,"Реестр лицензий на розничную продажу алкогольной продукции организаций, осуществляющих деятельность на территории Сургутского района в 2012 году",,,,,,,,
29,49,"Общество с ограниченной ответственностью ""Золотая корона""  ИНН 8617023771","Место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, 1 микрорайон, строение 15 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адрес места нахождения объекта:
1. г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, 6 А микрорайон, дом 90, помещение № 3, продуктовый магазин.                                                                                                                                                                           ","006608,Р№ 13.07.2012 до  07.07.2014",,,,настоящая лицензия выдана в порядке переоформления лицензии № 25 от 23.11.2011
30,3606,"Общество с ограниченной ответственностью ""Стелла""  ИНН 8617024567","Место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, 4 микрорайон, строение 6 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адрес места нахождения объекта:                                                                         г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, 4 микрорайон, д. 6, отдел ""Продукты""в магазине ""Малыш"". ","000040,  Р №   17.10.2006 до 17.10.2011 продлен до 17.10.2016",,,,
31,3636,"Общество с ограниченной ответственностью ""Три Медведя""  ИНН 8617023404","Место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 3, строение 71/2 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адрес места нахождения объекта:                                                                            г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, микрорайон 3, строение 71/2, кафе-бар ""Три  медведя"".  ","000073,  Р № 30.10.2006 до 30.10.2011                                                                                продлен до 30.10.2014",,,,
32,"30
","Потребительское общество ""Угутское""  ИНН 8617015354","Место нахождения юридического лица:  с. Угут Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Центральная (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адрес места нахождения объекта:                                                                                      1. с. Угут Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области,  ул. Центральная, 11, магазин ""Смешанные товары"".                                                                                     ","003070,  Р № 08.12.2011 до 28.03.2012
продлено до 28.03.2013
",,,,настоящая лицензия выдана в порядке переоформления лицензии № 3797 от 19.12.2006
33,55,"Общество с ограниченной ответственностью ""Венеция""  ИНН 8617012709","Место нахождения юридического лица:  пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Некрасова, д. 2А (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адреса мест нахождения объектов:                                                                       1. городское поселение Белый Яр, пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Некрасова, д. 2 А, магазин ""Продукты"";  
2. поселок городского типа Белый Яр Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Горького, д. 33, в осях 1-3 на 1 этаже четырехэтажного жилого дома, магазин ""Смешанные товары"";
3. г. Сургут Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Профсоюзов, д. 16, магазин ""Пять хлебов"";
4. городское поселение Белый Яр, пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Некрасова, д. 2 А, кафе ""Встреча"". 
            ","006614,  Р № 15.08.2012                          до 21.07.2016",,,,настоящая лицензия выдана в порядке переоформления лицензии № 47 от 05.06.2012
34,"3851
","Общество с ограниченной ответственностью ""Шанс""  ИНН 8617021661","Место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Назаргалеева, строение 32/1 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адрес места нахождения объекта:                                                                             г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской  области, ул. Назаргалеева, строение 32/1, отдел по реализации алкогольной продукции в магазине ""Шанс"".  ","000297,  Р № 27.12.2006 до 27.12.2011 продлено до 27.12.2014",,,,
35,59,"Общество с ограниченной ответственностью ""Хозяин""                          ИНН 8617024180","Место нахождения юридического лица:  пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Строителей, строение 44 А (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адрес места нахождения объекта:                                                                      городское поселение Федоровский поселок городского типа  Федоровский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, Фермерский проезд, 2/1, кафе ""У Татьяны"".  ","006618,  Р № 24.08.2012                до 06.04.2017",,,,настоящая лицензия выдана в порядке переоформления лицензии № 44 от 13.04.2012
36,53,"Общество с ограниченной ответственностью ""Каменный цветок""   ИНН 8617023933","Место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 4, д. 10, строение № 156 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адрес места нахождения объекта:                                                                                                        г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области,  микрорайон 4, д. 10, помещение 156, отдел в магазине ""Каменный цветок"".  ","006612,  Р № 31.07.2012  до 18.05.2017",,,,настоящая лицензия выдана в порядке переоформления лицензии № 4164 от 18.05.2007
37,52,"Общество с ограниченной ответственностью ""Удача""  ИНН 8617023348","Место нахождения юридического лица:  п. Солнечный Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Строителей, д. 37 (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адреса мест нахождения объектов:                                                                                  1. сельское поселение Локосово, село Локосово Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, улица Советская,  дом № 14, магазин ""Продукты"" в торговом центре; 
2. сельское поселение Локосово, село Локосово Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, улица Советская, дом № 14, бар ""Анна-Мария"" в торговом центре.
","006611,  Р № 31.07.2012 
продлено до 10.07.2017",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  4341 от  30.08.2007  
38,4368,"Общество с ограниченной ответственностью ""Тюльпан""  ИНН 8617002436","Место нахождения юридического лица:  пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Островского, д. 1 А (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии: адрес места нахождения объекта:                                                                                        пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области,  ул. Островского, д. 1 А, магазин ""Тюльпан"".  ","000846,  Р №  20.09.2007 до 20.09.2012 продлено до 20.09.2017",,,,
39,4377,"Общество с ограниченной ответственностью ""Торг Оптима Плюс""  ИНН 8617025779","Место нахождения юридического лица:  п. Нижнесортымский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Сортымская, д. 10 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адрес места нахождения объекта:                                                                                                        п. Нижнесортымский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской  области,   ул. Сортымская, д. 10, магазин ""Продукты"".  ","000855,  Р №  28.09.2007 до 28.09.2012   продлено до 28.09.2015",,,,
40,"4393
","Общество с ограниченной ответственностью ""Вручий""  ИНН 8617023443","Место нахождения юридического лица:  с. Угут Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Нефтяников, д. 14 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адрес места нахождения объекта:                                                                             с. Угут Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Нефтяников, 14, Торговый центр ""Максим"".  ","000872,  Р №  10.10.2007 до 25.04.2011
продлено до 25.04.2012 продлено до 25.04.2013",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  2960  17.05.2006  
41,4412,"Общество с ограниченной ответственностью ""Козерог""  ИНН 8617015474","Место нахождения юридического лица:  п. Солнечный Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Строителей, д. 18, офис 3 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                           г. Сургут Ханты-Мансийского автономного округа - Югры Тюменской области, СОТ ""Рябинушка"", магазин ""Продукты"".               ","000891,  Р № 26.10.2007 до 26.10.2012",,,,
