Наименование,Номер лицензии,Срок действия,Вид деятельности
"ООО ""РК ""Клуб 32""",32 МЕ 004277,7/24/2013,Розничная продажа алкогольной продукции
"ООО ""Мечта""",32 МЕ 004278,7/24/2013,Розничная продажа алкогольной продукции
"ООО ""Белый Берег""",32 МЕ 004298,8/1/2013,Розничная продажа алкогольной продукции
"ООО ""Азон""",32 МЕ 004299,8/1/2015,Розничная продажа алкогольной продукции
"ООО ""Легенда""",32 МЕ 004305,8/3/2014,Розничная продажа алкогольной продукции
"ООО ""Элга""",32 МЕ 004309,8/3/2013,Розничная продажа алкогольной продукции
"ООО ""Мечта""",32 МЕ 004310,8/3/2013,Розничная продажа алкогольной продукции
"ООО ""Валентина""",32 МЕ 004311,8/3/2013,Розничная продажа алкогольной продукции
"ООО ""ДИАМАНТ""",32 МЕ 004311,8/3/2013,Розничная продажа алкогольной продукции
"ЗАО ""Горизонт""",32 МЕ 004320,8/13/2013,Розничная продажа алкогольной продукции
"ООО ""Люкс""",32 МЕ 004322,8/13/2013,Розничная продажа алкогольной продукции
"ООО ""Мечта""",32 МЕ 004330,8/15/2013,Розничная продажа алкогольной продукции
"ООО ""Меркурий""",32 МЕ 004339,8/22/2014,Розничная продажа алкогольной продукции
"ООО ""Три-А""",32 МЕ 004344,8/28/2013,Розничная продажа алкогольной продукции
"ООО ""Дар""",32 МЕ 004348,8/30/2013,Розничная продажа алкогольной продукции
"ООО ""Рок Сити""",32 МЕ 004355,9/5/2013,Розничная продажа алкогольной продукции
"ООО ""Луч""",32 МЕ 004359,9/6/2013,Розничная продажа алкогольной продукции
"ООО ""ПОЛЯНКА""",32 МЕ 004368,9/11/2013,Розничная продажа алкогольной продукции
"ООО""Гермес""",32 МЕ 004369,9/11/2013,Розничная продажа алкогольной продукции
"ООО ""Дельфин""",32 МЕ 004370,9/11/2013,Розничная продажа алкогольной продукции
"ООО ""Джус""",32 МЕ 004371,9/11/2013,Розничная продажа алкогольной продукции
"ООО ""Галина""",32 МЕ 004372,9/11/2014,Розничная продажа алкогольной продукции
"ООО ""Триумф""",32 МЕ 004386,9/19/2017,Розничная продажа алкогольной продукции
"ООО ""Парус""",32 МЕ 004381,9/19/2013,Розничная продажа алкогольной продукции
"ООО ""Блантер""",32 МЕ 004383,9/20/2013,Розничная продажа алкогольной продукции
"ООО ""Виктория""",32 МЕ 004384,9/21/2013,Розничная продажа алкогольной продукции
"ООО ""Закат""",32 МЕ 004389,9/24/2013,Розничная продажа алкогольной продукции
"ООО ""ТРЦ ""Вавилон""",32 МЕ 004390,9/24/2013,Розничная продажа алкогольной продукции
"ООО""Арт-отель""",32 МЕ 004394,9/25/2013,Розничная продажа алкогольной продукции
