Наименование,Номер лицензии,Срок действия,Вид деятельности
Жирятинское райпо,32 МЕ 004300,3/11/2013,Розничная продажа алкогольной продукции
"ООО ""МАХ""",32 МЕ 004253,7/18/2013,Розничная продажа алкогольной продукции
"ООО ""Брянскснабсервис""",32 МЕ 003015,2/15/2016,Розничная продажа алкогольной продукции
Красногорское райпо,32 МЕ 004326,12/22/2013,Розничная продажа алкогольной продукции
"ООО ""ОТРАДА""",32 МЕ 003734,12/7/2014,Розничная продажа алкогольной продукции
"ООО ""Русь""",32 МЕ 003864,2/16/2013,Розничная продажа алкогольной продукции
Городищенское сельпо,32 МЕ 004340,12/20/2012,Розничная продажа алкогольной продукции
"ООО ""Эвкалипт""",32 МЕ 001934,12/19/2012,Розничная продажа алкогольной продукции
"ОАО ""Брянконфи""",32 МЕ 001822,12/20/2012,Розничная продажа алкогольной продукции
Супоневское сельпо,32 МЕ 001842,12/20/2012,Розничная продажа алкогольной продукции
"ООО ""Автопром""",32 МЕ 001825,12/20/2012,Розничная продажа алкогольной продукции
"ООО ""Русь""",32 МЕ 001828,12/20/2012,Розничная продажа алкогольной продукции
Кистерское сельпо,32 МЕ 001849,12/20/2012,Розничная продажа алкогольной продукции
"ООО ""Надежда""",32 МЕ 004313,12/19/2013,Розничная продажа алкогольной продукции
"ООО ""Прогрес""",32 МЕ 001841,12/24/2012,Розничная продажа алкогольной продукции
"ООО ""Перекресток""",32 МЕ 001843,12/24/2012,Розничная продажа алкогольной продукции
"ООО ""Хороший вкус""",32 МЕ 001848,12/25/2012,Розничная продажа алкогольной продукции
"ООО ""Разноторг""",32 МЕ 004067,5/25/2013,Розничная продажа алкогольной продукции
"ООО ""София""",32 МЕ 001855,12/27/2012,Розничная продажа алкогольной продукции
"ООО ""Продвизит""",32 МЕ 002920,12/28/2012,Розничная продажа алкогольной продукции
"ООО ""Лаванда""",32 МЕ 001861,1/10/2013,Розничная продажа алкогольной продукции
"ООО ""Эдем""",32 МЕ 001862,1/18/2013,Розничная продажа алкогольной продукции
"ООО ""Надежда""",32 МЕ 001866,1/24/2013,Розничная продажа алкогольной продукции
"ОАО ""Глинищеворемтехпред""",32 МЕ 001867,1/30/2013,Розничная продажа алкогольной продукции
"ООО ""МУШ""",32 МЕ 003635,10/4/2012,Розничная продажа алкогольной продукции
"ООО ""Эко-Центр""",32 МЕ 004248,2/11/2013,Розничная продажа алкогольной продукции
"ООО ""Городок""",32 МЕ 004079,5/31/2013,Розничная продажа алкогольной продукции
"ООО ""Пчелка""",32 МЕ 002445,2/13/2013,Розничная продажа алкогольной продукции
"ООО ""Ингода""",32 МЕ 001879,2/14/2013,Розничная продажа алкогольной продукции
"ООО ""Б.Т.""",32 МЕ 001880,2/14/2013,Розничная продажа алкогольной продукции
"ООО ""Нестеров""",32 МЕ 004233,7/6/2015,Розничная продажа алкогольной продукции
"ООО ""Универсальный""",32 МЕ 001886,2/19/2013,Розничная продажа алкогольной продукции
"ООО ""Прогресс""",32 МЕ 001964,2/19/2013,Розничная продажа алкогольной продукции
"ООО ""БеЛар""",32 МЕ 003964,4/12/2013,Розничная продажа алкогольной продукции
"ООО ""Арго""",32 МЕ 004088,6/5/2013,Розничная продажа алкогольной продукции
"ООО ""Делфи""",32 МЕ 002386,2/17/2014,Розничная продажа алкогольной продукции
"ООО ""Александра""",32 МЕ 004127,6/20/2013,Розничная продажа алкогольной продукции
