№ п/п,Наименование и организационно-правовая форма организации,ИНН/ОГРН,Юридический адрес,Фактический адрес объекта лицензирования,Наименование объекта лицензирования,Серия и номер лицензии,Дата начала срока действия лицензии,Дата выдачи лицензии,Дата окончания срока действия лицензии,Текущее состояние лицензии
7953,"Открытое акционерное общество ""Гостиница ""Турист""",7717600910/ 1077760973674,"129226, г.Москва, ул. Сельскохозяйственная, д.17","г.Москва, ул. Сельскохозяйственная, д.17, корп.3",Кафе,ДТУ 39,18.03.2011,21.03.2011,09.04.2013,Действует
7954,"Открытое акционерное общество ""Гостиница ""Турист""",7717600910/ 1077760973674,"129226, г.Москва, ул. Сельскохозяйственная, д.17","г.Москва, ул. Сельскохозяйственная, д.17, корп.6",Кафе,ДТУ 68,18.03.2011,21.03.2011,09.04.2013,Действует
7955,"Общество с ограниченной ответственностью ""Борисовский Пассаж""",7737505020/ 1057746156412,"115569, г. Москва, Каширское шоссе, д. 80","115569, г. Москва, Каширское шоссе, д. 80",Бар,ДТУ 65,19.03.2011,16.03.2011,19.03.2016,Действует
7956,"Общество с ограниченной ответственностью ""Компания Грамат-М""",7723143490/ 1027739564599,"109388, г.Москва, ул. Гурьянова, д.43, пом. правления ЖСК ""ВОЛНА 3""","г.Москва, ул. Шкулева, д.2Д",Магазин,ДТУ 61,22.03.2011,22.03.2011,22.03.2013,Действует
7957,"Общество с ограниченной ответственностью ""НАДЕЖДА""",7726062088/ 1037739151702,"113556, г.Москва, Чонгарский бульв., д.1, корп.1","г.Москва, Чонгарский бульв., д.1, корп.1",Магазин,ДТУ 85,22.03.2011,22.03.2011,22.03.2014,Действует
7958,"Общество с ограниченной ответственностью ""Созвездие 2000""",7714125671/ 1037739209100,"125183, г.Москва, пр-д Черепановых, д.74","г. Москва, пр-д Черепановых, д.74","Магазин ""Продукты""",ДПРУ 7977,22.03.2011,22.03.2011,04.09.2014,Действует
7959,"Общество с ограниченной ответственностью ""Эксилент""",7743773109/ 1107746201166,"127299, г.Москва, ул. Космонавта Волкова, д.7, кв.126","г.Москва, Волоколамское шоссе, д.20/2",Кафе,ДТУ 82,22.03.2011,,22.03.2016,На выдаче
7960,"Общество с ограниченной ответственностью ""ЮКА""",7705033086/ 1027700351381,"121099, г.Москва, пл. Смоленская, д.6, стр.3","г.Москва, Чонгарский бульв., д.19","Ресторан ""Шеш-Беш""",ДТУ 56,22.03.2011,22.03.2011,22.03.2014,Действует
796,,,,,,,,,,
7961,"Общество с ограниченной ответственностью ""Восток""",7729664122/ 1107746760076,"119192, г.Москва, Ломоносовский просп., д.29, корп.3","г.Москва, Ломоносовский просп., д.29, корп.3",Ресторан,ДТУ 69,23.03.2011,23.03.2011,23.03.2016,Действует
7963,"Общество с ограниченной ответственностью ""Сонтек-Запад""",7743581598/ 1067746033970,"125493, г. Москва, ул. Флотская, д. 5, корп. А","г.Москва, ул. Большая Бронная, д.23, стр.1","Кафе ""ДаПино""",ДТУ 73,23.03.2011,23.03.2011,23.03.2016,Действует
7964,"Общество с ограниченной ответственностью ""ЧЕСТЕР""",7728627833/ 1077758155551,"117630, г.Москва, ул. Воронцовские пруды, д.3","г.Москва, ул. Воронцовские пруды, д.3",Кафе,ДТУ 77,23.03.2011,23.03.2011,23.03.2013,Действует
7965,"Открытое акционерное общество ""Седьмой Континент""",7705005628/ 1027700093343,"125581, г. Москва, ул.Фестивальная, д.8, стр.1","г. Москва, ул. Чертановская, д.45 А",Магазин,ДПРУ 13713,23.03.2011,25.02.2011,23.03.2016,Действует
7966,"Общество с ограниченной ответственностью ""Омега""",7709860200/ 1107746686630,"105062, г.Москва, Лялин пер., д.5, стр.1, пом.IV, комн.2","г.Москва, Ленинский просп., д.102",Магазин,ДТУ 91,24.03.2011,24.03.2011,24.03.2016,Действует
7967,"Закрытое акционерное общество ""ДИСКОНТцентр""",7734213527/ 1037739301390,"109029, г.Москва, ул. Нижегородская, д.9Г, стр.1","г. Москва, Шипиловский пр-д, д.39, корп.3",Магазин,ДТУ 83,25.03.2011,25.03.2011,25.03.2016,Действует
7968,"Закрытое акционерное общество ""Смарт Велью Ритейл""",5032184511/ 1085032002901,"143005, Московская обл., г.Одинцово, Можайское шоссе, д.55","г.Москва, Ленинградский просп., д.77/2, корп.2",Магазин,ДТУ 111,25.03.2011,29.03.2011,25.03.2016,Действует
7969,"Общество с ограниченной ответственностью ""Айсберг""",7719668110/ 1087746164110,"105043, г.Москва, Измайловский просп., д.67","г.Москва, Измайловский просп., д.67",Кафе,ДТУ 84,25.03.2011,25.03.2011,25.03.2013,Действует
7970,"Общество с ограниченной ответственностью ""Атмосфера""",7717687333/ 1107746938705,"129075, г.Москва, Звездный бульв., д.24","г.Москва, Звездный бульв., д.24",Ресторан,ДТУ 70,25.03.2011,25.03.2011,25.03.2014,Действует
797,,,,,,,,,,
7971,"Общество с ограниченной ответственностью ""Ми Пиаче Проспект Мира""",7717682455/ 1107746744775,"129164, г.Москва, просп. Мира, д.118","г.Москва, просп. Мира, д.118",Кафе,ДТУ 74,25.03.2011,25.03.2011,25.03.2016,Действует
7972,"Общество с ограниченной ответственностью ""НАР""",7715820815/ 1107746583780,"127253, г.Москва, ул. Псковская, д.5, корп.4","г.Москва, ул. Псковская, д.5, корп.4",Магазин,ДТУ 98,25.03.2011,28.03.2011,25.03.2016,Действует
7973,"Общество с ограниченной ответственностью ""Отдохни-77""",7737531091/ 1087746635294,"115372, г.Москва, ул. Бирюлевская, д.38","г.Москва, ул. Онежская, д.18",Магазин,ДТУ 94,25.03.2011,25.03.2011,25.03.2014,Действует
7974,"Общество с ограниченной ответственностью ""Сабрина""",7731633611/ 1097746531365,"121351, г.Москва, ул. Кунцевская, д.4, корп.1","г.Москва, ул. Кунцевская, д.4, корп.1",Магазин,ДТУ 75,25.03.2011,25.03.2011,25.03.2016,Действует
7975,"Общество с ограниченной ответственностью ТОРГОВАЯ ФИРМА ""ТТВ""",7720141463/ 1027700286954,"111123, г. Москва, шоссе Энтузиастов, д. 50","г.Москва, шоссе Энтузиастов, д.50","Магазин ""Продукты""",ДТУ 90,25.03.2011,25.03.2011,25.03.2016,Действует
7976,"Общество с ограниченной ответственностью ""Тудордорф""",7736605456/ 1097746409991,"119313, г.Москва, просп. Ленинский, д.95","г.Москва, ул. 50 лет Октября, д.ВЛ.2Б, стр.2",Кафе,ДТУ 89,25.03.2011,29.03.2011,25.03.2016,Действует
7977,"Общество с ограниченной ответственностью ""Турист""",7702601728/ 1067746515407,"127051, г.Москва, М. Сухаревская пл., д.6, стр.1, пом. ТАРП ЦАО","г.Москва, ул. Воздвиженка, д.10",Кафе,ДТУ 93,25.03.2011,25.03.2011,25.03.2014,Действует
7978,"Общество с ограниченной ответственностью ""ЧИКО""",7729656869/ 1107746438007,"119285, г.Москва, ул. Пырьева, д.9, корп.1, помещение №III","г.Москва, ул. Пырьева, д.9, корп.1",Магазин,ДТУ 114,25.03.2011,29.03.2011,25.03.2016,Действует
7979,"Общество с ограниченной ответственностью ""БЛЕСК ПЛЮС""",7730090289/ 1037700127266,"127224, г.Москва, пр-д Шокальского, д.50","г. Москва, проезд Шокальского, д. 50",Кафе,ДТУ 116,29.03.2011,30.03.2011,29.03.2014,Действует
7980,"Общество с ограниченной ответственностью ""КАНТЭКС ЛТД""",7710372422/ 1037739169885,"123056, г.Москва, ул. Грузинская Б., д.60, стр.1","г.Москва, ул. Серафимовича, д.5/16",Ресторан,ДТУ 109,29.03.2011,30.03.2011,29.03.2016,Действует
798,,,,,,,,,,
7981,"Общество с ограниченной ответственностью ""Премьера Плюс""",7721707737/ 1107746909874,"109377, г.Москва, ул. Зеленодольская, д.3, корп.2","г.Москва, ул. Зеленодольская, д.3, корп.2",Кафе,ДТУ 106,29.03.2011,29.03.2011,29.03.2014,Действует
7982,"Общество с ограниченной ответственностью ""Рандеву""",7716663587/ 1107746355309,"129329, г.Москва, Тенистый пр-д, д.8","г.Москва, Ащеулов пер., д.9",Ресторан,ДТУ 102,29.03.2011,29.03.2011,29.03.2016,Действует
7983,"Общество с ограниченной ответственностью ""СИНТЕЗ 2001 НВК""",7734207989/ 1037739226623,"127434, г.Москва, пр-д Красностуденческий, д.4, стр.2","г.Москва, ул. Земляной вал, д.7",Магазин,ДТУ 86,29.03.2011,29.03.2011,29.03.2016,Действует
7984,"Общество с ограниченной ответственностью ""Галлерея М-текс""",7743534566/ 1047796561768,"105062, г.Москва, ул. Покровка, д.21-23/25, стр.1","г. Москва, ул. Покровка, д. 21-23/25, стр. 1",Магазин,ДПРУ 2846,30.03.2011,06.04.2011,03.11.2014,Действует
7985,"Общество с ограниченной ответственностью ""Ирландский паб ""О-Хара""",7701896275/ 1107746919675,"105005, г.Москва, ул. Фридриха Энгельса, д.20, стр.2","г.Москва, ул. Фридриха Энгельса, д.20, стр.2",Кафе,ДТУ 107,30.03.2011,31.03.2011,30.03.2016,Действует
7986,"Общество с ограниченной ответственностью ""К-АССОЛЬ""",7716014014/ 1027700268826,"129347, г. Москва, ул. Егора Абакумова, д. 9","г.Москва, ул. Холмогорская, д.8, корп.2",Магазин,ДТУ 118,30.03.2011,30.03.2011,30.03.2016,Действует
7987,"Общество с ограниченной ответственностью ""Рест - ХЛД""",7710872584/ 1107746650208,"109012, г.Москва, ул. Никольская, д.17, стр.12","г.Москва, Чистопрудный бульв., д.15, стр.1",Кафе,ДТУ 119,30.03.2011,30.03.2011,30.03.2013,Действует
7988,"Общество с ограниченной ответственностью ""СГС концепт""",7704767013/ 1107746843379,"119435, г.Москва, ул. Б. Пироговская, д.53/55","г.Москва, ул. Б. Пироговская, д.53/55",Магазин,ДТУ 87,30.03.2011,30.03.2011,30.03.2014,Действует
7989,"Общество с ограниченной ответственностью ""СГС концепт""",7704767013/ 1107746843379,"119435, г.Москва, ул. Б. Пироговская, д.53/55","г.Москва, ул. Б. Пироговская, д.53/55",Кафе,ДТУ 100,30.03.2011,30.03.2011,30.03.2014,Действует
7990,"Общество с ограниченной ответственностью ""Фанч""",7716675021/ 1107746906959,"129337, г.Москва, Хибинский пр-д, д.14, корп.1","г.Москва, Хибинский пр-д, д.14, корп.1",Ресторан,ДТУ 88,30.03.2011,30.03.2011,30.03.2014,Действует
799,,,,,,,,,,
7991,"Общество с ограниченной ответственностью ""ФЛАЙТРОН""",7728252630/ 1037728043044,"117574, г. Москва, ул. Голубинская, д.5, корп.1","г.Москва, ул. Народного Ополчения, д.9, корп.3","Магазин ""Продукты""",ДТУ 123,30.03.2011,30.03.2011,30.03.2014,Действует
7992,"Федеральное государственное унитарное предприятие ""Комбинат питания ""Кремлевский"" Управления делами Президента Российской Федерации",7704219592/ 1027700079417,"103073, г. Москва, Кремль, корп.14","г.Москва, Ипатьевский пер., д.9",Кафе,ДТУ 126,30.03.2011,30.03.2011,30.03.2016,Действует
7993,"Общество с ограниченной ответственностью ""Золотой гребешок""",7716186408/ 1027700241304,"129128, г. Москва, Будайский проезд, д. 7, корп. 1","г.Москва, Будайский пр-д, д.7, корп.1",Магазин,ДТУ 124,31.03.2011,31.03.2011,31.03.2014,Действует
7994,"Общество с ограниченной ответственностью ""Изюминка""",7729536459/ 1057749090101,"119602, г. Москва, ул. Академика Анохина, д. 6, корп.1","г. Москва, ул. Академика Анохина, д. 6, корп. 1",Магазин,ДТУ 78,31.03.2011,23.03.2011,31.03.2016,Действует
7995,"Общество с ограниченной ответственностью ""КОПЕЙКА-МОСКВА""",7715196234/ 1027739014930,"127560, г. Москва, ул. Коненкова, д. 5","г.Москва, ул. Полбина, д.30, стр.2",Магазин,ДТУ 108,31.03.2011,01.04.2011,31.03.2016,Действует
7996,"Общество с ограниченной ответственностью ""Магнат""",5032228279/ 1105032006903,"143005, Московская обл., г.Одинцово, ул. Акуловская, д.2, стр.4","г.Москва, Климентовский пер., д.10, стр.2",Кафе,ДТУ 129,31.03.2011,31.03.2011,31.03.2013,Действует
7997,"Общество с ограниченной ответственностью ""МУССОН""",7729568637/ 1077746367456,"125047, г.Москва, Оружейный пер., д.15А","г.Москва, Оружейный пер., д.15А",Кафе,ДТУ 121,31.03.2011,31.03.2011,31.03.2016,Действует
7998,"Общество с ограниченной ответственностью ""ПАТРОС""",7713585027/ 1067746571243,"107497, г.Москва, Щелковское шоссе, д.91, корп.1","г.Москва, Щелковское шоссе, д.91, корп.1",Магазин,ДПРУ 12621,31.03.2011,01.04.2011,10.08.2013,Действует
7999,"Общество с ограниченной ответственностью ""ПОЛИСТЕН""",7720014722/ 1027700068120,"123104, г.Москва, Малый Палашевский пер., д.5","г.Москва, Лукинская ул., д.10",Магазин,ДТУ 71,31.03.2011,31.03.2011,31.03.2014,Действует
8000,"Общество с ограниченной ответственностью ""РЕЗОН""",7723609929/ 5077746567575,"109369, г.Москва, ул. Перерва, д.30","г.Москва, ул. Старая Басманная, д.20, стр.1",Ресторан,ДТУ 103,31.03.2011,31.03.2011,31.03.2014,Действует
800,,,,,,,,,,
8001,"Общество с ограниченной ответственностью ""Стар Компани Смоленка""",7704744760/ 1107746043668,"119121, г.Москва, Ружейный пер., д.1","г.Москва, Ружейный пер., д.1",Кафе,ДТУ 115,31.03.2011,04.04.2011,31.03.2016,Действует
8002,"Общество с ограниченной ответственностью ""Студия Вкуса""",5003090185/ 1105003008945,"142700, Московская обл., Ленинский район, г.Видное, Северная промбаза","г.Москва, ул. М. Калужская, д.15, стр.4",Ресторан,ДТУ 92,31.03.2011,31.03.2011,31.03.2014,Действует
8003,"Общество с ограниченной ответственностью ""Юниверсал""",5051004387/ 1035011453696,"Московская область, г. Щербинка, ул. Космонавтов, дом 9","Московская область, г. Щербинка, ул. Космонавтов, дом 9, лит. А,а, пом. №1, по плану №1-5, магазин.",-,МО 14627,31.03.2011,,30.03.2014,Действует
8004,"Общество с ограниченной ответственностью ""Альфа""",7719749289/ 1107746372766,"105318, г.Москва, ул. Ибрагимова, д.31, корп.50","г.Москва, ул. Героев Панфиловцев, д.1А","Кафе ""Суши Сан""",ДТУ 72,01.04.2011,01.04.2011,01.04.2017,Действует
8005,"Общество с ограниченной ответственностью ""Амадэус""",7723727270/ 1097746506494,"109469, г.Москва, ул. Поречная, д.31, корп.1","г.Москва, ул. Поречная, д.31, корп.1",Магазин,ДТУ 127,01.04.2011,01.04.2011,01.04.2014,Действует
8006,"Общество с ограниченной ответственностью ""АРТ Т""",7728220364/ 1027739322423,"117342, г. Москва, ул. Введенского, д. 16","г.Москва, ул. Паустовского, д.2/34",Магазин,ДТУ 135,01.04.2011,05.04.2011,01.04.2016,Действует
8007,"Общество с ограниченной ответственностью ""ВАЛДРЕС""",7735106260/ 1037739123091,"124617, г. Москва, Зеленоград, корп. 1471Б, нежилое помещение 1","г.Москва, Зеленоград, корп.1471Б, н.п.1",Бар,ДТУ 152,01.04.2011,04.04.2011,01.04.2013,Действует
8008,"Общество с ограниченной ответственностью ""Виконт-1""",7710285554/ 1027739196990,"123022, г.Москва, ул. Рочдельская, д.15, стр.27","г. Москва, ул. Рочдельская, д.15, стр.27",Ресторан,ДПРУ 4568,01.04.2011,06.04.2011,08.05.2014,Действует
8009,"Общество с ограниченной ответственностью ""ГАМБФ""",7725138009/ 1027700568400,"119296, г.Москва, Ленинский просп., д.64/2","г. Москва, Ленинский пр-т, д. 64/2",Магазин,ДПРУ 3753,01.04.2011,05.04.2011,18.01.2015,Действует
8010,"Общество с ограниченной ответственностью ""ДИОНИСИЙ""",7732014967/ 1027739742360,"103027, г.Москва, ул. Аэрофлотская, д.2, корп.Б","г.Москва, ул. Аэрофлотская, д.2, корп.Б",Кафе,ДТУ 136,01.04.2011,01.04.2011,01.04.2014,Действует
801,,,,,,,,,,
8011,"Общество с ограниченной ответственностью ""ИНТРАСКОМ 2""",7728756571/ 1107746976303,"117463, г.Москва, Новоясеневский просп., д.32, корп.1, оф.1","г.Москва, ул. Фридриха Энгельса, д.31/35",Магазин,ДТУ 137,01.04.2011,01.04.2011,04.05.2015,Действует
8012,"Общество с ограниченной ответственностью ""Оазис М""",7714823732/ 1107746961574,"123007, г.Москва, Хорошевское шоссе, д.32А","г.Москва, Ленинградский просп., д.47, стр.2",Кафе,ДТУ 146,01.04.2011,01.04.2011,01.04.2014,Действует
8013,"Общество с ограниченной ответственностью ""СЕГМЕНТ""",7731594095/ 1087746631972,"121467, г.Москва, ул. Истринская, д.10, корп.1","г.Москва, ул. Истринская, д.10, корп.1",Магазин,ДТУ 143,01.04.2011,04.04.2011,01.04.2016,Действует
8014,"Общество с ограниченной ответственностью ""Триплекс""",7736621472/ 1107746697211,"119334, г.Москва, ул. Ляпунова, д.5","г.Москва, ул. Бутырская, д.46, стр.1",Ресторан,ДТУ 134,01.04.2011,04.04.2011,01.04.2014,Действует
8015,"Общество с ограниченной ответственностью ""Фастлэнд""",7703234453/ 1027739292448,"125009, г. Москва, Тверской б-р, д. 26 А","г.Москва, ул. Арбат, д.4, стр.1","Кафе ""Му-Му""",ДТУ 97,01.04.2011,01.04.2011,01.04.2016,Действует
8016,"Общество с ограниченной ответственностью ""Царь-Батюшка""",7726647993/ 1107746149125,"117105, г.Москва, Нагорный пр-д, д.6","г.Москва, ул. Курганская, д.3",Магазин,ДТУ 104,01.04.2011,04.04.2011,01.04.2014,Действует
8017,"Общество с ограниченной ответственностью ""Интерсервис""",7722701569/ 1097746732137,"111250, г.Москва, пр-д Завода Серп и Молот, д.5, стр.1А","г.Москва, пр-д Завода Серп и Молот, д.5, стр.1А",Ресторан,ДТУ 142,04.04.2011,04.04.2011,04.04.2016,Действует
8018,"Общество с ограниченной ответственностью ""ТРИАДА ГРУППИНВЕСТ""",7715531002/ 1047796566014,"127560, г.Москва, ул. Коненкова, д.13, стр.2","г. Москва, Ленинградское ш., д.68",Кафе,ДТУ 141,04.04.2011,04.04.2011,04.04.2014,Действует
8019,"Открытое акционерное общество ""Седьмой Континент""",7705005628/ 1027700093343,"125581, г. Москва, ул.Фестивальная, д.8, стр.1","г. Москва, ул. Вешняковская, д.13 А",Магазин,ДТУ 105,05.04.2011,01.04.2011,05.04.2016,Действует
8020,"Общество с ограниченной ответственностью ""Геус""",7727574339/ 1067746539332,"117036, г. Москва, ул. Гримау, д.16","г.Москва, ул. Сайкина, д.1/2",Магазин,ДТУ 151,06.04.2011,07.04.2011,06.04.2014,Действует
802,,,,,,,,,,
8021,"Закрытое акционерное общество ""Трио""",7701891703/ 1107746789787,"101000, г.Москва, ул. Покровка, д.1/13/6, стр.2, оф.35","г.Москва, ул. Мясницкая, д.38, стр.1",Кафе,ДТУ 145,07.04.2011,07.04.2011,07.04.2016,Действует
8022,"Общество с ограниченной ответственностью ""Отдохни-77""",7737531091/ 1087746635294,"115372, г.Москва, ул. Бирюлевская, д.38","г.Москва, ул. Новокосинская, д.35",Магазин,ДТУ 120,07.04.2011,07.04.2011,07.04.2014,Действует
8023,"Закрытое акционерное общество ""Т и К ПРОДУКТЫ""",7731162754/ 1027739277720,"121357, г. Москва, Можайское шоссе, д. 3/1, стр. 1","г.Москва, ул. Башиловская, д.1, корп.1",Магазин,ДТУ 156,08.04.2011,08.04.2011,08.04.2017,Действует
8024,"Закрытое акционерное общество ""ТАНДЕР""",2310031475/ 1022301598549,"350002, г. Краснодар, ул. Леваневского, д.185","г.Москва, ул. Алтайская, д.17А",Магазин,ДТУ 35,08.04.2011,08.04.2011,08.04.2016,Действует
8025,"Общество с ограниченной ответственностью ""АнФиДа""",7743799298/ 1107746930720,"125635, г.Москва, ул. Ангарская, д.6","г.Москва, Новоясеневский просп., д.1, корп.1",Кафе,ДТУ 196,08.04.2011,12.04.2011,08.04.2014,Действует
8026,"Общество с ограниченной ответственностью ""ЗУДИН-САПОЖОК""",7731200008/ 1027700580544,"121500, г.Москва, поселок Рублево, ул. Советская, д.7, стр.2","г.Москва, поселок Рублево, ул. Советская, д.7, стр.2",Магазин,ДТУ 174,08.04.2011,08.04.2011,08.04.2016,Действует
8027,"Общество с ограниченной ответственностью ""Кофе Интернешнел Групп""",7716649470/ 1097746582009,"129323, г.Москва, пр-д Серебрякова, д.6","г.Москва, ул. Коненкова, д.14",Кафе,ДТУ 149,08.04.2011,11.04.2011,08.04.2014,Действует
8028,"Общество с ограниченной ответственностью ""Стиль Жизни""",7726518412/ 1057746411975,"109052, г.Москва, ул. Нижегородская, д.84","г.Москва, просп. 60-летия Октября, д.9, стр.2",Ресторан,ДТУ 173,08.04.2011,08.04.2011,08.04.2014,Действует
8029,"Общество с ограниченной ответственностью ""СТИМУЛ-АЛЬФА""",7719756399/ 1107746601819,"105613, г.Москва, Измайловское шоссе, д.71, корп.4Г-Д","г.Москва, ул. Мироновская, д.18",Магазин,ДТУ 159,08.04.2011,11.04.2011,08.04.2014,Действует
8030,"Общество с ограниченной ответственностью ""Фортэ""",7733748022/ 1107746840915,"125364, г.Москва, ул. Свободы, д.42","г.Москва, ул. Свободы, д.42",Кафе,ДТУ 2,08.04.2011,11.04.2011,08.04.2016,Действует
803,,,,,,,,,,
8031,"Общество с ограниченной ответственностью ""Эдиар Восточная Европа""",7704708184/ 5087746616469,"127015, г.Москва, ул. Вятская, д.27, стр.13, 2 этаж, помещение IVа","г.Москва, ул. Вятская, д.27, стр.7",Ресторан,ДПРУ 13597,08.04.2011,08.04.2011,14.01.2016,Действует
8032,"Общество с ограниченной ответственностью ""Эспаньола""",7732506870/ 1057749611116,"113624, г.Москва, ул. Изюмская, д.47, корп.2","г.Москва, ул. Изюмская, д.47, корп.2",Магазин,ДПРУ 6394,08.04.2011,12.04.2011,11.01.2017,Действует
8033,"Общество с ограниченной ответственностью ""Максим +""",7713719993/ 5107746004581,"127540, г.Москва, ул. Дубнинская, д.8, корп.1, кв.13","г.Москва, Керамический пр-д, д.49, корп.2",Магазин,ДТУ 200,11.04.2011,14.04.2011,11.04.2016,Действует
8034,"Открытое акционерное общество ""Седьмой Континент""",7705005628/ 1027700093343,"125581, г. Москва, ул.Фестивальная, д.8, стр.1","г.Москва, Дмитровское шоссе, д.116Д",Магазин,ДТУ 144,11.04.2011,06.04.2011,11.04.2016,Действует
8035,"Общество с ограниченной ответственностью ""Гурме""",7701708570/ 5077746254394,"121471, г.Москва, ул. Алексеева Петра, д.12, стр.2","г.Москва, ул. Пятницкая, д.26/10, стр.2",Кафе,ДТУ 179,12.04.2011,12.04.2011,12.04.2016,Действует
8036,"Общество с ограниченной ответственностью ""ДЕБОРО""",7725059269/ 1027739621854,"125480, г.Москва, бульв. Райниса Яна, д.2, корп.1","г.Москва, ул. Митинская, д.43",Магазин,ДТУ 131,12.04.2011,13.04.2011,12.04.2016,Действует
8037,"Общество с ограниченной ответственностью ""Забава""",7721580939/ 5077746315565,"109125, г.Москва, Волгоградский просп., д.109, корп.5, кв.21","г.Москва, ул. Окская, д.5, корп.1",Магазин,ДТУ 165,12.04.2011,12.04.2011,12.04.2016,Действует
8038,"Общество с ограниченной ответственностью ""Индустрия""",7715773918/ 1097746545269,"127254, г.Москва, ул. Руставели, д.14, стр.6","г.Москва, просп. Мира, д.211, корп.2",Ресторан,ДТУ 117,12.04.2011,13.04.2011,12.04.2014,Действует
8039,"Общество с ограниченной ответственностью ""Таскано""",5018111977/ 1065018036533,"141092, Московская обл., г.Юбилейный, Лесная ул., д.12","г.Москва, Алтуфьевское шоссе, д.70, корп.1",Ресторан,ДТУ 210,12.04.2011,13.04.2011,12.04.2016,Действует
8040,"Общество с ограниченной ответственностью ""Фастлэнд""",7703234453/ 1027739292448,"125009, г. Москва, Тверской б-р, д. 26 А","г.Москва, ул. Покрышкина, д.4","Кафе ""Му-Му""",ДТУ 181,12.04.2011,12.04.2011,12.04.2016,Действует
804,,,,,,,,,,
8041,"Общество с ограниченной ответственностью ""Юлия""",7724775380/ 1117746035395,"117546, г.Москва, ул. Медынская, д.2, корп.2, стр.2","г.Москва, ул. Медынская, д.2, корп.2, стр.2",Магазин,ДТУ 140,12.04.2011,12.04.2011,12.04.2013,Действует
8042,"Общество с ограниченной ответственностью ""БИЛЬЯРДЦЕНТР""",7705243196/ 1027739601405,"119526, г.Москва, просп. Вернадского, д.93, корп.1","г.Москва, 1-й Боткинский пр-д, д.7, стр.134",Кафе,ДТУ 161,13.04.2011,13.04.2011,13.04.2014,Действует
8043,"Общество с ограниченной ответственностью ""Борисовский Бильярд""",7737504450/ 1047797063830,"115569, г. Москва, Каширское шоссе, д. 80","г.Москва, шоссе Каширское, д.80",Бар,ДТУ 48,13.04.2011,16.03.2011,13.04.2016,Действует
8044,"Общество с ограниченной ответственностью ""Лига""",7719586235/ 1067746441278,"105484, г. Москва, ул. 15-я Парковая, д.41, корп.2, кв.139","г.Москва, ул. Тарханская, д.3, корп.2",Магазин,ДТУ 186,13.04.2011,13.04.2011,13.04.2014,Действует
8045,"Общество с ограниченной ответственностью ""ПОЛИСТЕН""",7720014722/ 1027700068120,"123104, г.Москва, Малый Палашевский пер., д.5","г.Москва, ул. Петрозаводская, д.15, корп.5",Магазин,ДТУ 193,13.04.2011,13.04.2011,13.04.2014,Действует
8046,"Общество с ограниченной ответственностью ""Торговый Дом ""Простор МТ""",7733071446/ 1027700241546,"125499, г. Москва, Кронштадтский б-р, д.47, стр.1","г. Москва, Кронштадтский б-р, д.47",Магазин,ДТУ 204,13.04.2011,18.04.2011,13.04.2016,Действует
8047,"Общество с ограниченной ответственностью ""Эко-Бренд""",7701890844/ 1107746770273,"101000, г.Москва, ул. Мясницкая, д.40А","г.Москва, ул. Маросейка, д.2/15, стр.1",Кафе,ДТУ 169,13.04.2011,14.04.2011,13.04.2013,Действует
8048,"Общество с ограниченной ответственностью ""ЮМПФ-ИНВЕСТ""",7719510839/ 1047796171125,"105264, г. Москва, Сиреневый бульвар, д. 32, стр. 1","г.Москва, ул. Константина Федина, д.11",Кафе,ДТУ 185,13.04.2011,13.04.2011,13.04.2014,Действует
8049,"Открытое акционерное общество ""Седьмой Континент""",7705005628/ 1027700093343,"125581, г. Москва, ул.Фестивальная, д.8, стр.1","г.Москва, Ярославское шоссе, д.54",Магазин,ДТУ 154,13.04.2011,06.04.2011,13.04.2016,Действует
8050,"Общество с ограниченной ответственностью ""Бенидорм""",7707732153/ 1107746692569,"127055, г.Москва, ул. Сущевская, д.21","г.Москва, ул. Сущевская, д.21",Кафе,ДТУ 172,14.04.2011,15.04.2011,14.04.2016,Действует
805,,,,,,,,,,
8051,"Общество с ограниченной ответственностью ""Инвестпроект""",5047081220/ 1075047001974,"141401, Московская обл., г.Химки, Победы ул., д.11","г.Москва, ул. Кастанаевская, д.42, корп.2",Магазин,ДТУ 160,14.04.2011,18.04.2011,14.04.2016,Действует
8052,"Общество с ограниченной ответственностью ""ИСТОК""",7713575269/ 1057749724207,"127238, г.Москва, шоссе Дмитровское, д.24","г.Москва, Дмитровское шоссе, д.24",Бар №1,ДТУ 170,14.04.2011,14.04.2011,14.04.2014,Действует
8053,"Общество с ограниченной ответственностью ""Магия""",7705930784/ 1107746846459,"115172, г.Москва, ул. Гончарная, д.38, стр.2","г.Москва, ул. Верхняя Радищевская, д.9А, стр.1",Кафе,ДТУ 187,14.04.2011,14.04.2011,14.04.2014,Действует
8054,"Общество с ограниченной ответственностью ""Радуга""",5030056779/ 1075030001100,"Московская область, Наро-Фоминский район, пос. Киевский, дом 14 А","Московская область, Наро-Фоминский район, пос. Киевский, дом 14 А, магазин.",-,МО 14811,14.04.2011,,13.04.2014,Действует
8055,"Общество с ограниченной ответственностью ""Спорт плюс Отдых""",7714663408/ 5067746760769,"127006, г.Москва, ул. Петровка, д.30/7","г.Москва, ул. Петровка, д.30/7",Ресторан,ДТУ 133,14.04.2011,14.04.2011,14.04.2016,Действует
