№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
,,,,,"215500, Смоленская область, Сафоновский район, п. Истомино, 273 км а/д Москва-Беларусь (магазин)",,,,,,,,,,,
,,,,,"215500, Смоленская область, Сафоновский район, п. Истомино, 273 км а/д Москва-Беларусь (столовая)",,,,,,,,,,,
47,"ООО ""АЛЬЯНС""",6726012021,1066726016873,"215560, Смоленская область, Сафоновский район, д. Мира, д. 21","215560, Смоленская область, Сафоновский район, д. Дурово,ул. Мира, д.21 (магазин), без ограничений",№ 1411               Г 679388                    Г 301961,25 декабря 2006,по 25 декабря 2011,до 23 января 2015,23 января 2012                    смена юр адреса,,,,,,
48,"ООО ""Лагуна""",6726011405,1066726014761,"215500, Смоленская область, г. Сафоново, ул. Советская, 47","215500, Смоленская область, г. Сафоново, ул. Советская, д. 1 (магазин)",№ 1325               Г 254967,11 октября 2006,по 11 октября 2011,,,,,,,,
49,"ООО ""Визит""",6726011740,1066726015696,"215563, Смоленская область, Сафоновский район, п. Вадино, ул. Труда, 3-а, магазин ""Визит""","215563, Смоленская область, Сафоновский район, п. Вадино, ул. Труда, д. 3-а (магазин)",№ 1320                 Г 254964                         ( Г 301919),29 сентября 2006,по 29 сентября 2011,до 30 сентября 2016,,,,,,,
50,"ООО ""КАЛИНКА""",6726011469,1066726014850,"215000, Смоленская область, г. Сафоново, 2-й микрорайон, 19","215000, Смоленская область, г. Сафоново, 2-й микрорайон, д. 19 (закусочная)",№ 1248                Г 254877,08 августа 2006,по 08 августа 2011,,,,,,,,
51,"ООО ""Ветерок""",6726000361,1026700948812,"215700, Смоленская область, г. Сафоново, ул. Красногвардейская, д. 32","215700, Смоленская область, г. Сафоново, ул. Красногвардейская, д. 33-а (кафе)",№ 1089               Б 005865                 ( № 2100                         Б 004836),10 июля 2006                 (30 января 2012),по 10 июля 2011                     ( 30 января 2013),,,,,,,,
52,"ОАО ""Детский мир""",6726011780,1066726015850,"215500, Смоленская область, г. Сафоново, ул. Советская, д. 8","215500, Смоленская область, г. Сафоново, ул. Советская, д. 8 (магазин)",№ 1559                   Г 679565,17 сентября 2007,по 17 сентября 2012,,,,,,,,
53,"ООО Торгово-Коммерческому предприятию ""Блиц""",6726012261,1076726000779,"215500, Смоленская область, г. Сафоново, ул. Радищева, 5","215500, Смоленская область, г. Сафоново, ул. Кутузова, д. 6 (магазин ""Хороший"")",№ 1514               Г 679515,26 июня 2007,по 26 июня 2012,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. 40 лет Октября, д. 2 (магазин ""Хороший"")",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Советская, д. 48 (магазин ""Хороший"")",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Ковалева, д. 17 (магазин ""Хороший"")",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, 2 микрорайон, д. 11-а (кафе-бар ""Семерочка"")",,,,,,,,,,,
,,,,,"215700, Смоленская область, г. Сафоново, микрорайон2, д. 2 (магазин)",,,,,,,,,,,
54,"ООО ""Талисман""",6726013353,1086726000602,"215500, Смоленская область, г. Сафоново, ул. Гагарина, д. 5-а, кв. 24","215500, Смоленская область, г. Сафоново, микрорайон ГМП (кафе ""Водолей"")",№ 1666               Г 679686,08 мая 2008,по 08 мая 2013,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Ленина, д. 4-а (кафе ""Улыбка"")",,,,,,,,,,,
55,ФБУ ИК-2 УФСИН России по Смоленской области,6726007504,1026700947184,"215520, Смоленская область, Сафоновский район, с. Вадино, ЯО-100/2","215520, Смоленская область, Сафоновский район, п. Вадино (магазин)",№ 1592                Б 005098,10 февраля 2009,по 26 ноября 2012,,,,,,,,
56,"ООО ""Кедр""",6726007381,1026700948911,"215500, Смоленская область, г. Сафоново, ул. Радищева, 9-а","215500, Смоленская область, г. Сафоново, ул. Радищева, 9-а (магазин)",№ 1590                   Г 679606,26 ноября 2007,по 26 ноября 2012,,,,,,,,
57,"ООО ""Центральный""",6726002055,1026700947789,"215700, Смоленская область, г. Сафоново, ул. Красногвардейская, д. 36","215700, Смоленская область, г. Сафоново, ул. Красногвардейская, д. 36 (магазин ""Центральный"")",№ 1737                  Г 679792,31 декабря 2008,по 31 декабря 2013,,,,,,,,
58,"ООО ""Юбилейный""",6726001887,1026700947140,"215700, Смоленская область, г. Сафоново, ул. Ленина, д. 12 ","215700, Смоленская область, г. Сафоново, ул. Ленина, д. 12 (магазин ""Юбилейный"")",№ 1736                Г 679791,01 января 2009,по 01 января 2014,,,,,,,,
59,"ООО ""Компитал""",6726002129,1026700948218,"215505, Смоленская область, г. Сафоново, ул. Октябрьская, д. 78","215500, Смоленская область, г. Сафоново, 1-й микрорайон, д. 3 (магазин ""Сафит-1"")",№ 1725                      Г 679780,17 ноября 2008,по 17 ноября 2013,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, 2-й микрорайон, д. 3 (магазин ""Сафит-2"")",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, 1-й микрорайон, д. 13-а (магазин ""Сафит-3"")",,,,,,,,,,,
60,"МТП ""МЕРКУРИЙ""",6726000474,1026700948592,"215505, Смоленская область, г. Сафоново, 10й микрорайон, д. 20","215500, Смоленская область, Сафоновский район, г. Сафоново, микрорайон-1, д. 20 (магазин), без ограничений",№ 1960                Б 005364,16 февраля 2011,по 16 февраля 2012,,,,,,,,
61,"ООО ""Березка""",6726014580,1106726000468,"215520, Смоленская область, Сафоновский район, п. Вадино, ул. Советская","215520, Смоленская область, Сафоновский район, п. Вадино, ул. Советская, д. 1-а (магазин), без ограничений",№ 1939                  Б 005275                     (Г 301915),29 ноября 2010,по 29 ноября 2011,до 30 ноября 2012,,,,,,,
62,"ООО ""Ням-Ням""",6726013963,1096726001140,"215500, Смоленская область, г. Сафоново, Дорогобужский проезд, д. 3","215500, Смоленская область, г. Сафоново, Дорогобужский проезд, 3(магазин)",№1887                    Б 005190,22 декабря 2009,по 22 декабря 2014,,,,,,,,
63,"ООО ""Мальта""",6726010306,1056721965838,"215505, Смоленская область, г. Сафоново, ул. Октябрьская, 41","215505, Смоленская область, г. Сафоново, ул. Октябрьская, 41 (ресторан)",№ 1883                 Б 005182,03 декабря 2009,по 03 декабря 2014,,,,,,,,
64,"ООО ""Екатерина""",6704010207,1086726001120,"215500, Смоленская область, г. Сафоново, ул. Ленина, д. 18 ","215500, Смоленская область, г. Сафоново, ул. Ленина, д. 18 (кофейня)",№ 1871                     Б 005158,08 октября 2009,по 08 октября 2014,,,,,,,,
65,"ООО ""Островок""",6726504150,1086726001317,"215527, Смоленская область, Сафоновский район, д. Бараново, ул. Советская, д. 1-а","215527, Смоленская область, Сафоновский район, д. Бараново, ул. Советская, д. 1-а (магазин)",№ 1851                  Б 005134,01 июля 2009,по 01 июля 2014,,,,,,,,
66,"ООО ""У Ирины""",6726010627,1056721974044,"215700, Смоленская область, г. Сафоново, 2-ой микрорайон, д. 3","215700, Смоленская область, г. Сафоново, 2-ой микрорайон, д. 3 (магазин)",№ 1823                 Б 005092,28 января 2009,по 28 января 2014,,,,,,,,
67,"ООО ""Каскад""",6726003436,1026700946194,"215700, Смоленская область, г. Сафоново, магистраль Москва-Беларусь, 298 км","215500, Смоленская область, г. Сафоново, а/м Москва-Беларусь, 298 км (кафе)",№ 1819                 Б 005087,21 января 2009,по 21 января 2014,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, а/м Москва-Беларусь, 298 км (магазин)",,,,,,,,,,,
68,"ООО ""Встреча""",6726000604,1026700945622,"215700, Смоленская область, г. Сафоново, ул. Вахрушева, д. 14","215500, Смоленская область, г. Сафоново, ул. Вахрушева, д. 14 (бар)",№ 1818                Б 005083,21 января 2009,по 21 января 2014,,,,,,,,
69,"ООО ""Горняк""",6726001090,1026700947965,"215700, Смоленская область, г. Сафоново, ул. Куйбышева, ул. 40 лет Октября, 9, 10","215500, Смоленская область, г. Сафоново, ул. 40 лет Октября, д. 10 (магазин)",№ 1796              Б 005058,23 декабря 2008,по 23 декабря 2013,,,,,,,,
70,"ООО ""Кристалл""",6726000298,1026700946744,"215700, Смоленская область, г. Сафоново, ул. Ленина, д. 2","215700, Смоленская область, г. Сафоново, ул. Ленина, д. 2 (закусочная ""Экспресс"")",№ 1772                 Б 005046,01 января 2009,по 01 января 2014,,,,,,,,
71,"ООО ""Чародейка""",6726000033,1026700946634,"215500, Соленская область, г. Сафоново, ул. Ленина, 10","215500, Смоленская область, г. Сафоново, ул. Ленина, д. 10 (магазин)",№ 1771                Б 005070,01 января 2009,по 01 января 2014,,,,,,,,
72,"ООО ""Виктория""",6726003274,1026700946172,"215500, Смоленская область, г. Сафоново, ул. Московская, д. 1-а","215500, Смоленская область, г. Сафоново, ул. Московская, д. 1-а (магазин)",№ 1710                   Б 005047,01 января 2009,по 01 января 2014,,,,,,,,
73,"ЗАО ""ЭКОТЕК-Смоленск""",6726007092,1026700946249,"215700, Смоленская область, автомагистраль Москва-Беларусь, 297 км","215700, Смоленская область, г. Сафоново, а/м Москва-Беларусь, 297 км, левая сторона (какфе ""Жигули"")",№ 1768                  Б 005048,01 января 2009,по 01 января 2014,,,,,,,,
74,"ЗАО ""ТД Сафит""",6726504270,1086726001559,"215505, Смоленская область, г. Сафоново, ул. Октябрьская, 78","215500, Смоленская область, г. Сафоново, 1 микрорайон, д. 3 (магазин ""Сафит-1"")",№ 1756                Б 005024,26 ноября 2008,по 26 ноября 2013,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, 2 микрорайон, д. 3 (магазин ""Сафит-2"")",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, 1 микрорайон, д. 13-а (магазин ""Сафит-3"")",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, 2 микрорайон (кафе ""Тополек"")",,,,,,,,,,,
,,,,,"215500, Смоленская область, Сафоновский район, автодорога Москва-минск, 295 км. +100 (кафе-бар)",,,,,,,,,,,
75,"ООО ""УФЛ""",6726010338,1056721966916,"215500, Смоленская область, г. Сафоново, ул. Районная подстанция, 3-А","215500, Смоленская область, г. Сафоново, ул. Районная подстанция, 3-А (магазин)",№ 1753                     Б 005011,14 декабря 2008,по 14 декабря 2013,,,,,,,,
76,"ООО ""Южный""",6726003884,1026700946502,"215500, Смоленская область, г. Сафоново, ул. Ковалева, д. 18","215500, Смоленская область, г. Сафоново, ул. Ковалева, д. 18 (магазин №9)",№ 1751                Б 005010,17 декабря 2008,по 17 декабря 2013,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Ковалева, д. 17 (кафе)",,,,,,,,,,,
77,"ООО ""ЕЛЕНА""",6726504030,1086726000998,"215500, Смоленская область, г. Сафоново, ул. Ленина, д. 8, кв. 43","215750 , Смоленская область, Дорогобужский район, п. Верхнеднепровский, ул. Ленина, д. 13 (магазин № 6)",№1750               Б 005018,01 декабря 2009,по 26 ноября 2013,,,,,,,,
,,,,,"215750, Смоленская область, Дорогобужский район, п. Верхнеднепровский, ул. Комсомольская, д. 12 (магазин № 7)",,,,,,,,,,,
,,,,,"215750, Смоленская область, г. Дорогобуж, ул. Мира, д. 6 (магазин ТПС №3)",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, 2-ой, д. 11-а (кафе)",,,,,,,,,,,
78,"ЗАО ""СП Копитал""",6726007656,1026700945688,"215500, Смоленская область, г. Сафоново, ул. Октябрьская, д. 78","215500, Смоленская область, г. Сафоново, 2-й микрорайон,(кафе)",№1286                Г 254927,09 октября 2006,по 09 октября 2011,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Октябрьская, д. 78",,,,,,,,,,,
79,"ТД ""Титан""",6726012568,1076726001472,"215500, Смоленская область, Сафоновский район, д. Вышегор, 310 км а/д Москва-Минск","215500, Смоленская область, Сафоновский район, д. Вышегор, 310 км а/д Москва-Минск (кафе), без ограничений",№ 2068                       Г 301825,02 ноября 2011,до 02 ноября 2012,,,,,,,,
80,"ООО ""Аркада""",6726008071,1026700948966,"215500, Смоленская область, г. Сафоново, ГМП мр-н, магазин ""Продукты""","
1654/1 – 215500, г. Сафоново, ул. Красноармейская, д. 13(магазин), без ограничений.",№ 1654                                    Г 679675,19 апреля 2008,19 апреля 2013,,,,,,,,
,,,,,"
1654/2 – 215500, г. Сафоново, микрорайон ГМП (магазин), без ограничений.",,,,,,,,,,,
,,,,,"
1654/3 – 215500, г. Сафоново, микрорайон МЖК (магазин), без ограничений.",,,,,,,,,,,
,,,,,"
1654/4 – 215500, г. Сафоново, ул. Красногвардейская (магазин), без ограничений.",,,,,,,,,,,
,,,,,"
1654/5 – 215500, г. Сафоново, микрорайон 1, д. 4 (магазин ""24 часа""), без ограничений.",,,,,,,,,,,
81,"ООО ""Аркада 2009""",6726013811,1096726000865,"215500, Смоленская область, г. Сафоново, ул. Гагарина, д. 10","215500, Смоленская область, г. Сафоново, мкр. ГМП (магазин), без ограничений",№ 1882               Б 005184              ( Г 301779),03 декабря 2009,по 03 декабря 2014,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, мкр. МЖК (магазин), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Красногвардейская (магазин), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, 1 мкр. Д. 4 (магазин), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Красноармейская, д. 13 (магазин), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Дружбы, д.7 (магазин), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Энгельса, д. 28 (магазин), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, мкр. 2, д. 21  (магазин), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Кутузова, д. 35 (магазин), без ограничений",,,,18 октября 2011         включение объекта,,,,,,,
