тип решения,организационно правовая форма,наименование,место нахождения,ОГРН,ИНН,КПП,тип,район/город,населенный пункт,"ул,№дома",регистрационный №Лицензии,дата выдачи,начало срока действия,конец срока действия,серия лицензии,номер бланка лицензии,серия перечня,номер бланка перечня,условие,
о выдаче,ООО,Надежда,"Забайкальский край, Карымский район, с. Тыргетуй, пер. Уфимский, 9",1077524001763,7508005724,750801001,отдел в магазине,Карымский район,с. Тыргетуй,"пер. Уфимский, 11",0326,15-Aug-12,16-Aug-12,16-Aug-15,75МЕ,003243,,,,
о выдаче,ООО,Удача,"Забайкальский край, Карымский район, пгт. Карымское, ул. Ленинградская, 99 б",1077524002038,7508005763,750801001,"отдел в магазине ""Руслан""",Карымский район,пгт. Карымское,"ул. Ленинградская, 99 б",0327,16-Aug-12,16-Aug-12,16-Aug-13,75 МЕ,003244,,,,
о переоформлении,ООО,Акцент,"Забайкальский край, г. Чита, ул. Недорезова, 32",1057536116351,7536065002,753601001,отдел в магазине,Читинский район,оз. Арахлей,"мкр. Восточный, вл. 02/03",0333,16-Aug-12,17-Aug-12,17-Aug-13,75 Ме,003330,,,,
о выдаче,ООО,Жемчужина,"Забайкальский край, Оловянниеский район, пгт. Ясногорск, ул. Ленина, 4а",1117515000130,7515007680,751501001,отдел в магазине,Оловяннинский район,пгт. Ясногорск,"ул. Ленина, 4а",0328,16-Aug-12,07-Sep-12,07-Sep-13,75МЕ,003245,,,,
о выдаче,ООО,Надежда,"Забайкальский край, Читинский район, пгт. Новокручининский, ул. Луговая, 34-б",1067524004448,7524013105,752401001,"отдел в магазине ""Надежда""",Читинский район,пгт. Новокручининский,"ул. Луговая, 34-б",0351,16-Aug-12,20-Sep-12,20-Sep-13,75МЕ,003276,,,,
о переоформлении,ООО,Родное,"Забайкальский край, Борзинский район, пгт. Шерловая Гора, ул. Журавлева, д. 2",1067515002829,7515006493,752901001,магазин,Борзинский район,пгт. Шерловая Гора,"ул. Дзержинского, д.3 ,пом.1",0329,16-Aug-12,16-Aug-12,16-Aug-15,75ме,003343,,,,
о продлении,ООО,Витамин,"Забайкальский край, г. Чита, ул. Красноярская, д. 24, кв. 8",1067536045235,7536071694,753601001,организация общественного питания,г. Чита,г. Чита,"Железнодорожный административный район, ул. Трактовая, д. 70 а",0334,17-Aug-12,19-Aug-12,19-Nov-12,75МЕ,003251,,,РПАП до 16.5%,
о выдаче,ООО,Олеся,"Забайкальский край,Тунгокоченский район, с. Верх-Усугли, ул.Пролетарская, 1-в",1067527004764,7521003596,752101001,"магазин ""Дорожный""",Тунгокоченский район,с. Верх-Усугли,"ул. Дорожная, д.2",0332,17-Aug-12,17-Aug-12,17-Aug-13,75МЕ,003250,,,,
о выдаче,ООО,Соел,"Забайкальский край, Могойтуйский район, с. Хара-Шибирь,
ул. Советская, 60-а",1068080021283,8003037885,800301001,магазин,Могойтуйский район,с. Хара-Шибирь,"ул. Советская, 60-а",0336,20-Aug-12,20-Aug-12,20-Aug-13,75МЕ,003252,,,,
о продлении,ООО,Космос,"Забайкальский край, г. Чита, мкр. Северный, 60 В",1057536122874,7536065531,753601001,магазин,г. Чита,г. Чита,"ул. Бабушкина, д. 42 а",0339,20-Aug-12,20-Aug-12,20-Aug-13,75ме,003257,,,,
