тип решения,организационно правовая форма,наименование,место нахождения,ОГРН,ИНН,КПП,тип,район/город,населенный пункт,"ул,№дома",регистрационный №Лицензии,дата выдачи,начало срока действия,конец срока действия,серия лицензии,номер бланка лицензии,серия перечня,номер бланка перечня,условие,
о продлении,ООО,Олимп,"Забайкальский край,  Оловяннинский район, п. Ясногорск, мкр. Луговой, д.19",1107515000328,7515007560,751501001,отдел в магазине,Оловяннинский район,пгт. Ясногорск,"мкр. Луговой, д. 19",0690,26-Oct-11,09-Nov-11,09-Nov-12,75 ме,002662,,,,
о выдаче,ООО,Буданова,"Забайкальский край, Читинский район, с. Угдан, ул. Заозерная, д. 40 а",1077536014577,7536087790,753601001,отдел в магазине,Читинский район,с. Угдан,"ул. Заозерная, 40 а",0696,27-Oct-11,27-Oct-11,27-Oct-12,75 ме,002669,,,,
о выдаче,ООО,Продторг,"Забайкальский край, г. Чита, ул. Пригородная, 2, пом. 1/1",1087536003752,7536090947,753601001,магазин,г. Чита,г. Чита,"ул. Пригородная, 2, пом. 1/1",0698,27-Oct-11,27-Oct-11,27-Oct-12,75 ме,002671,,,,
о продлении,,Забайкальское районное потребительское общество,"Забайкальский край, Забайкальский район, пгт.Забайкальск, ул. Железнодорожная, 44 ""а""",1027500546523,7505000510,750501001,магазин №2,Забайкальский район,пгт. Забайкальск,"ул. Красноармейская, 3 А",0699,27-Oct-11,01-Nov-11,01-Nov-12,75 ме,002673,,,,
о выдаче,ООО,Чайка,"Забайкальский край, Красночикойский район, с. Красный Чикой, ул. Партизанская, 39",1027500599730,7509000824,750901001,отдел в магазине,Красночикойский район,с. Малоархангельск,"ул. Центральная, 115",700,27-Oct-11,27-Oct-11,27-Oct-14,75МЕ,002672,,,,
о выдаче,ООО,Капр,"Забайкальский край, Петровск-Забайкальский район, пгт. Баляга, ул. Шоссейная, 11",1067538004654,7531004292,753101001,магазин,Петровск-Забайкальский район,п. Тарбагатай,"ул. 40 лет Победы, 5/3",0702,28-Oct-11,28-Oct-11,28-Oct-12,75 ме,002675,,,,
о выдаче,ООО,Виктория,"Забайкальский край, г. Чита, ул. Бутина, 115, корп. 1, п. 1",1117536011416,7536121786,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Бутина, 115, корп. 1, п. 1",0703,28-Oct-11,28-Oct-11,28-Oct-12,75 ме,002676,,,,
о продлении,ООО,КВИНТ,"Забайкальский край, ЗАТО п. Горный, ул. Дружбы, 169",1067524007198,7533000857,753301001,отдел в магазине,ЗАТО п. Горный,ЗАТО п. Горный,"ул. Дружбы, 169",0701,28-Oct-11,07-Nov-11,07-Nov-12,75МЕ,002678,,,,
о продлении,ООО,Заря,"Забайкальский край, Хилокский район, г. Хилок, ул. Ямаровская, 37",1027500828552,7523001530,752301001,"бар в ресторане ""Агидель""",Хилокский район,г.Хилок,"ул. Ленина, 25",0719,31-Oct-11,01-Nov-11,01-Nov-12,75МЕ,002696,,,,
о продлении,ООО,Серия,"Забайкальский край, Борзинский район, п. Шерловая Гора, ул. Торговая, 11",1067505005920,7529010411,752901001,магазин,Борзинский район,п. Шерловая Гора,"ул. Торговая, 11",0705,31-Oct-11,10-Nov-11,10-Nov-12,75МЕ,002677,,,,
о продлении,ООО,Успех,"Забайкальский край, Нерчинский район, г. Нерчинск, ул. Комсомольская, 42",1027500648130,7513005021,751301001,"магазин ""Кедр""",Нерчинский район,г. Нерчинск,"ул. Советская, д.61",0707,31-Oct-11,07-Dec-11,07-Dec-12,75МЕ,002684,,,,
о переоформлении,ООО,"Торгово-производственная фирма ""Шестаков и компания""","Забайкальский край, Борзинский район,п.г.т.Шерловая Гора, ул. Матросова, 1",1027501005058,7529007641,752901001,отдел в магазине,Борзинский район,п. Шерловая Гора,"мкр.2, д.11",0671,01-Nov-11,01-Nov-11,01-Nov-12,75 ме,003066,,,,
о продлении,ООО,Барс,"Забайкальский край, Читинский район, пгт. Атамановка, ул. Заводская, 4",1057524020344,7524012630,752401001,"отдел в магазине ""У Никишихи""",Читинский район,пгт. Атамановка,"ул. Набережная, 14 Б",0709,01-Nov-11,10-Nov-11,10-Nov-13,75МЕ,002686,,,,
о выдаче,ООО,Аргишти,"Забайкальский край, Могочинский район, г. Могоча, ул. Садовая, 1 а",1117527000733,7512005396,751201001,павильон,Могочинский район,г. Могоча,"ул. Садовая, 1 а",0712,02-Nov-11,02-Nov-11,02-Nov-12,75 ме,002701,,,,
о выдаче,ООО,Регион,"Забайкальский край, Ононский район, с. Нижний Цасучей, ул. Мира, д. 1, кв. 1",1067515004644,7516002678,751601001,"отдел в магазине ""Комфорт""",Ононский район,с. Нижний Цасучей,"ул. Комсомольская, д. 35-а",0716,02-Nov-11,02-Nov-11,02-Nov-12,75 ме,002694,,,,
о выдаче,ООО,Алиса,"Забайкальский край, Карымский район, с. Урульга, ул. Забелина, д. 32",10675240061109,7508005146,750801001,магазин,Карымский район,с.Урульга,"ул. Забелина, д.32",0713,02-Nov-11,02-Nov-11,02-Nov-12,75МЕ,002690,,,,
о выдаче,ООО,Саламандра,"Забайкальский край, Борзинский район, г. Борзя, ул. Карла Маркса, 50",1067505006689,7529010676,752901001,"отдел в магазине ""Дежурный""",Борзинский район,г. Борзя,"ул. Карла Маркса, 50",0714,02-Nov-11,02-Nov-11,02-Nov-12,75МЕ,002691,,,,
о переоформлении,ООО,Караван,"Забайкальский край, г. Чита, ул. Кенонская, 31",1067536010222,7536067602,753601001,отдел в магазине,Тунгокоченский район,п.г.т. Вершино-Дарасунский,"ул. Ленина, 96",0723,02-Nov-11,02-Nov-11,02-Nov-12,75 ме,002929,,,,
о продлении,ООО,Тополек,"Забайкальский край, Приаргунский район, п.г.т. Приаргунск, ул. Ленина, 9",1107530000192,7518006854,751801001,"отдел в магазине ""Тополек""",Приаргунский район,пгт. Приаргунск,"ул. Ленина, 9",0718,02-Nov-11,04-Nov-11,04-Nov-12,75 ме,002695,,,,
о продлении,ООО,Забайкалье,"Забайкальский край, Александрово-Заводский район, с. Александровский Завод, ул. Георгия Стрелкова, д. 41",1067505006788,7502002300,750201001,"отдел в магазине ""Забайкалье""",Александрово-Заводский район,с. Александровский Завод,"ул. Георгия Стрелкова, 41",0715,02-Nov-11,16-Nov-11,16-Nov-12,75МЕ,002692,,,,
о продлении,ООО,Степное,"Забайкальский край, Оловяннинский район, п/ст. Хадабулак, ул. Советская, 10",1027500682934,7515001216,751501001,магазин,Оловяннинский район,ст. Хадабулак,"ул. Советская, 10",0711,02-Nov-11,16-Nov-11,16-Nov-13,75МЕ,002689,,,,
о продлении,ООО,ЭПОС,"Забайкальский край, г. Нерчинск, ул. Октябрьская, д.82",1027500648130,7513005818,751301001,"магазин ""Империал""",Нерчинский район,г. Нерчинск,"ул. Октябрьская, д.82",0717,02-Nov-11,09-Nov-11,09-Nov-14,75МЕ,002693,,,,
о выдаче,ООО,Заря,"Забайкальский край, Приаргунский район, п. Приаргунск, ул. Строительная, 18-а",1067530007170,7518006357,751801001,"отдел в магазине ""Аргунь""",Приаргунский район,п. Приаргунск,"ул. Губина, 5",0710,02-Nov-11,02-Nov-11,02-Nov-16,75МЕ,002687,,,,
о переоформлении,ООО,Руслан,"Забайкальский край, г. Чита, ул. Лазо, д.116",1067536045895,7536071912,753601001,"павильон ""Гудок""",г. Чита,г. Чита,привокзальная площадь,0720,02-Nov-11,10-Nov-11,10-Nov-16,75 ме,002770,,,,
о продлении,ООО,Регул,"Забайкальский край, Петровск-Забайкальский район, п. Баляга, ул. Балягинская, 1",1067538004775,7531004359,753101001,отдел в магазине,Петровск-Забайкальский район,п.Баляга,"ул. Балягинская, 1",0727,07-Nov-11,21-Nov-11,21-Nov-12,75 ме,002707,,,,
о продлении,ООО,Дружба,"Забайкальский край, Оловяннинский район, п.Оловянная, ул. Октябрьская, 2а",1057515021607,7515006214,751501001,"отдел в магазине ""Дружба""",Оловяннинский район,п. Оловянная,"ул. Октябрьская, 2а",0725,08-Nov-11,20-Nov-11,20-Nov-12,75 ме,002704,,,,
о выдаче,ООО,Карина,"Забайкальский край, Шилкинский район, с. Номоконово, ул. Школьная, 3-а",1067527003906,7527007572,752701001,отдел в магазине,Могойтуйский район,с. Боржигантай,"ул. Ленина, 1",0730,09-Nov-11,10-Nov-11,10-Nov-12,75 ме,002710,,,,
о продлении,ООО,Аспект,"Забайкальский край, Забайкальский район, пгт. Забайкальск, ул. Нагорная, 8",1067505006403,7505004698,750501001,"отдел в магазине ""Элита""",Забайкальский район,пгт. Забайкальск,"ул. Нагорная, 8",0732,09-Nov-11,17-Nov-11,17-Nov-12,75МЕ,002713,,,,
о продлении,ООО,Галхан,"Забайкальский край, Читинский район, с. Угдан, ул. 1-ая Трактовая, д.1",1067524005911,7524013144,752401001,"отдел в закусочной ""Галхан""",Читинский район,с. Угдан,"ул. 1-ая Трактовая, д.1",0731,09-Nov-11,24-Nov-11,24-Nov-12,75МЕ,002712,,,,
о выдаче,ООО,Шойбонов,"Забайкальский край, Могойтуйский район, с. Хара-Шибирь,
ул. Советская, 33",1068080021470,8003037959,800301001,отдел в магазине,Могойтуйский район,с. Хара-Шибирь,"ул. Советская, 33",0729,09-Nov-11,09-Nov-11,09-Nov-14,75 ме,002709,,,,
о выдаче,ООО,Мущ,"Забайкальский край, г. Чита, Железнодорожный район, ул. Карла Маркса, д.33",1067536046104,7536072031,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Карла Маркса, 33",0733,09-Nov-11,10-Nov-11,10-Nov-16,75МЕ,002714,,,,
о продлении,ООО,Селенит,"Забайкальский край, Петровск-Забайкальский район, с.Малета, ул.Комсомольская, 7",1067538004852,7531004398,753101001,отдел в магазине,Петровск-Забайкальский район,с. Катаево,"ул. Центральная, 11",0728,09-Nov-11,01-Dec-11,01-Dec-16,75 ме,002708,,,,
о выдаче,ООО,Баффало,"Забайкальский край, г. Чита, ул. Новобульварная, 30, пом. 2",1117536005806,7536119963,753601001,организация общественного питания (бар),г. Чита,г. Чита,"ул. Курнатовского, 17",0737,14-Nov-11,14-Nov-11,14-Nov-12,75 ме,002722,,,,
о переоформлении,ООО,Грей,"Забайкальский край, г. Чита, ул. Новобульварная, 82",1117536008292,7536120775,753601001,магазин,г. Чита,г. Чита,"1 мкр., д.24",0736,14-Nov-11,14-Nov-11,14-Nov-12,75 ме,003218,,,,
о переоформлении,ООО,Компания Металлсервис,"Забайкальский край, г. Чита, ул. Лазо, 1-б",1057536098344,7536062964,753601001,организация общественного питания (кафе),г. Чита,г. Чита,"Ингодинский административный район, ул. Красноярская, 6, пом. 10",0741,14-Nov-11,14-Nov-11,14-Nov-12,75 ме,003264,,,,
о выдаче,ООО,Енисей,"Забайкальский край, г. Чита, ул. Амурская, 2",1117536008996,7536121183,753601001,магазин,г. Чита,г. Чита,"ул. Амурская, 2, пом. 101",0742,14-Nov-11,14-Nov-11,14-Nov-12,75 ме,002737,,,,
о продлении,ООО,Урарту,"Читинская область, Карымский район, с. Урульга, ул. Совхозная, 29",1067524006637,7508005234,750801001, магазине,Карымский район,с. Урульга,"ул. Совхозная, 1",0740,14-Nov-11,15-Dec-11,15-Dec-12,75 ме,002725,,,,
о продлении,ООО,МКМ,"Забайкальский край, Краснокаменский район, г. Краснокаменск, ул. Зеленая, 1/2",1067530007600,7530011515,753001001,"бар в ресторане ""Русь""",г. Краснокаменск и Краснокаменский район,г. Краснокаменск,"ул. Зеленая, 1/2",0739,14-Nov-11,20-Nov-11,20-Nov-13,75МЕ,002724,,,,
о выдаче,ООО,ЛИК,"Забайкальский край, г. Чита, Железнодорожный район, ул. Советская, д. 11, кв. 30",1067536043101,7536070482,753601001,отдел в магазине,Читинский район,с. Засопка,"ул. Пионерская, 3, пом.4",0747,15-Nov-11,15-Nov-11,15-Nov-12,75МЕ,002733,,,,
о выдаче,ООО,Бурал,"Забайкальский край, Дульдургинский район, с. Таптанай, ул. Калинина, 90",1068080022450,8002003234,800201001,отдел в магазине,Дульдургинский район,с. Таптанай,"ул. Калинина, 90",0756,15-Nov-11,15-Nov-11,15-Nov-12,75 ме,002745,,,,
о выдаче,ООО,ТИТЛИС,"Забайкальский край, г. Чита, ул. Угданская, 3, офис 8",1107536001891,7536109027,753601001,бар в бильярдном клубе,г. Чита,г. Чита,"ул. Онискевича, 19-а",0743,15-Nov-11,15-Nov-11,15-Nov-12,75МЕ,002728,,,,
о продлении,ООО,Багульник,"Забайкальский край, Читинский район, с. Карповка, мкр. ДФТБ",1067524006384,7524013360,752401001,отдел в магазине,Читинский район,с. Карповка,"мкр. ДФТБ, строение 6",0748,15-Nov-11,28-Nov-11,28-Nov-12,75МЕ,002734,,,,
о выдаче,ООО,Меркурий,"Забайкальский край, г. Чита, ул. Шилова, 29, помещение 1",1117536011207,7536121560,753601001,магазин,г. Чита,г. Чита,"ул. Шилова, 29, помещение 1",0746,15-Nov-11,15-Nov-11,15-Nov-13,75 ме,002732,,,,
о выдаче,ООО,Ингода+М,"Забайкальский край, Шилкинский район, г. Шилка, ул. Баданина, 11",10675270040005,7527007646,752701001,магазин,Шилкинский район,г. Шилка,"ул. Балябина, 136",0745,15-Nov-11,15-Nov-11,15-Nov-14,75 ме,002731,,,,
о выдаче,ООО,Атлант,"Забайкальский край, Краснокаменский район, г. Краснокаменск, 456",1057530015290,7530010663,753001001,магазин,г. Краснокаменск и Краснокаменский район,г. Краснокаменск,456,0752,16-Nov-11,16-Nov-11,16-Nov-12,75МЕ,002741,,,,
о выдаче,ООО,Михалис,"Забайкальский край, г. Чита, мкр. Светлый, 347",1107536006984,7536114468,753601001,магазин,г. Чита,г. Чита,"ул. Комсомольская, 38-а",0749,16-Nov-11,16-Nov-11,16-Nov-14,75 ме,002736,,,,
о выдаче,ООО,ТЭКСО,"Забайкальский край, г. Чита, проезд Авиаторов, 10",1077536005140,7536079809,753601001,бар в кафе,г. Чита,г. Чита,"Дворцовский тракт, 58, стр. 1",0750,16-Nov-11,16-Nov-11,16-Nov-16,75 ме,002735,,,,
о выдаче,ООО,Меркурий,"Забайкальский край, Могойтуйский район, с. Догой,
ул. Мостовая, 5б",1068080022670,8003038166,800301001,отдел в магазине,Могойтуйский район,с. Догой,"ул. Мостовая, 5б",0751,17-Nov-11,17-Nov-11,17-Nov-12,75 ме,002740,,,,
о продлении,ООО,Фарм-Про,"Забайкальский край, Карымский район, пгт. Дарасун, ул. Почтовая 4-а",1027500585265,7508004569,750801001,отдел в магазине,Карымский район,п. Дарасун,"ул. Калинина, 1-в",0758,17-Nov-11,24-Nov-11,24-Nov-13,75МЕ,002747,,,,
о выдаче,ООО,Найдал,"Забайкальский край, Могойтуйский район, с. Хара-Шибирь, ул. Советская, д. 26 б",1068080021570,8003037980,800301001,магазин,Могойтуйский район,с. Хара-Шибирь,"ул. Советская, д. 26",0753,18-Nov-11,18-Nov-11,18-Nov-12,75 ме,002742,,,,
о продлении,ООО,БАХУС,"Забайкальский край, пгт. Горный, ул. Солнечная, 34",106752400021,7533000800,753301001,отдел в магазине,ЗАТО п. Горный,ЗАТО п. Горный,"ул. Солнечная, 34",0759,21-Nov-11,21-Nov-11,21-Nov-12,75МЕ,002748,,,,
о продлении,ООО,Татьяна,"Забайкальский край, Оловяннинский район, ст. Степь, ул. Комарова, 149",1067515005700,7515006743,751501001,отдел в магазине,Оловяннинский район,ст. Степь,"ул. Комарова, 149",0757,21-Nov-11,18-Dec-11,18-Dec-12,75МЕ,002746,,,,
о продлении,ООО,Вален,"Забайкальский край, Петровск-забайкальский район, п. Баляга, ул. Шоссейная, 3Б-15",1027501101825,7517000497,751701001,магазин,Петровск-Забайкальский район,п. Баляга,"ул. Шоссейная, 6 а",0755,21-Nov-11,21-Nov-11,21-Nov-16,75МЕ,002738,,,,
о переоформлении,ООО,Виритос,"Забайкальский край, г. Чита, ул. Журавлева, 2",1067533017526,7536068395,753601001,магазин,г. Чита,г. Чита,"мкр. Октябрьский, 8, пом.1",0765,22-Nov-11,22-Nov-11,22-Nov-12,75ме,003325,,,,
о выдаче,ООО,Людмила,"Забайкальский край, Могочинский район, г. Могоча, ул. Клубная, 3",1067527004346,7512004530,751201001,"организация общественного питания - кафе ""Жар-птица""",Могочинский район,г. Могоча,"ул. Клубная, 3",0763,22-Nov-11,22-Nov-11,22-Nov-12,75МЕ,002753,,,,
о выдаче,ООО,Витим,"Забайкальский край, Улетовский район, с. Черемхово, ул. Советская, 22",1117538001140,7522004257,752201001,отдел в магазине,Улетовский район,с. Горека,"ул. Почтовая, 4",0762,22-Nov-11,23-Nov-11,23-Nov-12,75 ме,002751,,,,
о переоформлении,ООО,Мега,"Забайкальский край, г. Чита, ул. Александро-Заводская, 13",1067536047480,7536072948,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Александро-Заводская, 13",0760,22-Nov-11,27-Nov-11,27-Nov-12,75МЕ,002883,,,,
о выдаче,ООО,Метелица,"Забайкальский край, г. Чита, ул. Весенняя, 14",1117536008413,7536120905,753601001,магазин,г. Чита,г. Чита,"ул. Весенняя, 14",0766,23-Nov-11,23-Nov-11,23-Nov-12,75 ме,002757,,,,
о продлении,ООО,Урарту,"Забайкальский край, г. Чита, ул. Автогенная, 2",1027501146749,7536001584,753601001,павильон,г. Чита,Центральный район,"ул. Автогенная, 6-а",0764,23-Nov-11,24-Nov-11,24-Nov-12,75МЕ,002752,,,,
о продлении,ООО,Поиск,"Забайкальский край, Приаргунский район, п. Приаргунск, ул. Комсомольская, 1в",1027500713855,7518004208,751801001,отдел в магазине,Приаргунский район,п. Приаргунск,"ул. Садовая, д. 7а",0775,24-Nov-11,24-Nov-11,24-Nov-12,75 ме,002771,,,,
о выдаче,ООО,Дальян,"Забайкальский край, г. Чита, ул. Деповская, 56",1117536007973,7536120648,753601001,павильон,г. Чита,г. Чита,"ул. Онискевича, 54 а",0769,24-Nov-11,25-Nov-11,25-Nov-12,75 ме,002761,,,,
о выдаче,ООО,Диана,"Забайкальский край, пгт. Агинское, ул. Цыбикова, 6",1068080022647,8001013688,800101001,отдел в магазине,Агинский район,пгт. Агинское,"ул. Комсомольская, 27",0771,24-Nov-11,25-Nov-11,25-Nov-12,75 ме,002763,,,,
о переоформлении,ООО,Оазис,"Забайкальский край, Сретенский район, г. Сретенск, ул. Кочеткова, 4а",1067513008750,7519003775,751901001,"отдел в магазине ""Оазис""",Сретенский район,пгт. Кокуй,"ул. 1-ая Луговая,  13/2",0706,24-Nov-11,24-Nov-11,24-Nov-16,75МЕ,002931,,,,
о продлении,ООО,Торговый дом Первомайский,"Забайкальский край, Шилкинский район, п. Первомайский, ул. Промышленная, 5",1037535001107,7527006811,752701001,магазин №29,Шилкинский район,п. Первомайский,"ул. Строительная, 7а",0772,24-Nov-11,28-Dec-11,28-Dec-16,75МЕ,002765,,,,
о продлении,ООО,Рамил,"Забайкальский край, г. Чита, Железнодорожный район, ул. Таежная, 16-а",1067536050504,7536074840,753601001,павильон,г. Чита,г. Чита,"Центральный район, ул. Таежная, 16-а",0770,24-Nov-11,29-Dec-11,29-Dec-16,,,,,,
о выдаче,ООО,Стамбул,"Забайкальский край, г. Краснокаменск, 3 мкр., дом 309",1057530021702,7530011032,753001001,магазин,г. Краснокаменск и Краснокаменский район,г. Краснокаменск,д.309,0768,25-Nov-11,25-Nov-11,25-Nov-12,75 ме,002760,,,,
о продлении,ООО,Девчата,"Забайкальский край, Оловяннинский район, ст. Ясная, ул. Базарная, 26",1067515005722,7515006750,751501001,отдел в магазине,Оловяннинский район,ст. Ясная,"ул. Базарная, 26",0767,25-Nov-11,11-Dec-11,11-Dec-12,75МЕ,002759,,,,
о продлении,ООО,Тополь,"Забайкальский край, Могочинский район, с. Сбега, ул. Центральная, 2",1067527004115,7512004434,751201001,отдел в магазине,Могочинский район,с. Сбега,"ул. Центральная, 2",0773,25-Nov-11,27-Dec-11,27-Dec-12,75МЕ,002766,,,,
о выдаче,ООО,Радомир,"Забайкальский край, г. Чита, Московский тракт, 24 б",1057536123468,7536065605,753601001,отдел в магазине,Шилкинский район,с. Средняя Кия,в 250 метрах на Запад от с. Средняя Кия,0774,28-Nov-11,28-Nov-11,28-Nov-12,75 ме,002767,,,,
о выдаче,ПО,Хилокское районное потребительское общество,"Забайкальский край, Хилокский район, г. Хилок, ул. Ленина, 31",102750082965,7523001788,752301001,магазин № 2,Хилокский район,г. Хилок,"ул. Комсомольская, д. 3",0776,07-Dec-11,07-Dec-11,07-Dec-12,75 ме,002774,,,,
о выдаче,ООО,Узор,"Забайкальский край, Дульдургинский район, с. Дульдурга, ул. Советская, 60",1107580000550,8002003957,800201001,"отдел в магазине ""Октябрьский""",Дульдургинский район,с. Дульдурга,"ул. 50 лет Октября, 4 Б",0777,09-Dec-11,09-Dec-11,09-Jun-13,75 ме,002775,,,,
о переоформлении,ПО,Улетовское районное потребительское общество,"Забайкальский край, Улетовский район, с. Улеты, ул. Лазо, 72",1027500804033,7522001104,752201001,магазин №2,Улетовский район,с. Улеты,"ул. Горького, 6-б",0779,12-Dec-11,13-Dec-11,13-Dec-12,75 ме,002778,,,,
о выдаче,ЗАО,КАПО Дьюти Фри,"Ленинградская область, г. Выборг, ул. Данилова, д. 15 (ф-л Забайкальский район, пгт. Забайкальск, ул. Нагорная, 7)",1027700027376,7717089615,,магазин беспошлинной торговли,Забайкальский район,пгт. Забайкальск,"режимная зона МАПП ""Забайкальск""",0778,12-Dec-11,14-Dec-11,14-Dec-16,75МЕ,002777,,,,
о переоформлении,ООО,Звездный,"Забайкальский край, г. Чита, ул. Космонавтов, д. 4, пом. 1",1117536006114,7536120133,753601001,отдел в магазине,г. Чита,г. Чита,"Железнодорожный административный район, ул. Магистральная, д. 13, пом. 1",0781,14-Dec-11,14-Dec-11,14-Dec-12,75 ме,003112,,,,
о переоформлении,ООО,Канон,"Забайкальский край, г. Чита, Железнодорожный район, ул. Недорезова, д.21",1027501152590,7535013587,753501001,бар,г. Чита,г. Чита,"ул. Матвеева, 25, пом. 1",0782,20-Dec-11,20-Dec-11,20-Dec-12,75МЕ,002846,,,,
о выдаче,ООО,АиСТ,"Забайкальский край, Тунгокоченский район, пгт. Вершино-Дарасунский, ул. Октябрьская, 17 а",111752700094,7521003885,752101001,"отдел в магазине ""Продукты+""",Тунгокоченский район,пгт. Вершино-Дарасунский,"ул. Октябрьская, 17 а",0787,20-Dec-11,21-Dec-11,21-Dec-12,75 ме,002786,,,,
о выдаче,ООО,Виктория,"Забайкальский край, Калганский район, с. Калга, ул. Савватеева, 33",1067530007819,7507002181,750701001,отдел в магазине,Калганский район,с. Калга,"ул. Савватева, 31 а",0785,20-Dec-11,21-Dec-11,21-Dec-13,75 ме,002784,,,,
о выдаче,ООО,Лазурь,"Забайкальский край, Чернышевский район, п.г.т.Аксенов-Зиловское, ул. Кирова, д.1",1107513000187,7525005837,752501001,отдел в магазине,Чернышевский район,п.г.т. Аксеново-Зиловское,"ул. Кирова, д. 1",0784,20-Dec-11,21-Dec-11,21-Dec-13,75 ме,002783,,,,
о выдаче,ООО,Торгсервис,"Забайкальский край, Чернышевский район, п.г.т. Аксеново-Зиловское, мкр. Березка, д. 10",1067513008584,7525005097,752501001,отдел в магазине,Чернышевский район,п.г.т. Аксеново-Зиловское,"ул. Октябрьская, д.1",0788,20-Dec-11,21-Dec-11,21-Dec-13,75 ме,002787,,,,
о выдаче,ООО,Развитие,"Забайкальский край, Борзинский район, г. Борзя, ул. Промышленная, 4-б, кв. 2",1067505007096,7529010789,752901001,отдел в магазине,Борзинский район,г. Борзя,"ул. Промышленная, 11/1",0783,20-Dec-11,21-Dec-11,21-Dec-16,75МЕ,002782,,,,
о переоформлении,ООО,Кристалл,"Забайкальский край,  г. Чита, 5 мкр., д. 13, кв. 40",1097536007777,7536106386,753601001,отдел в магазине,Дульдургинский район,с. Дульдурга,"ул. Гагарина, 54",0789,22-Dec-11,22-Dec-11,22-Dec-12,75 ме,002920,,,,
о переоформлении,ООО,Малышева,"Забайкальский край, Могойтуйский район, пгт. Могойтуй, ул. Бабушкина, 13",1117580001021,8003039642,800301001,отдел в магазине,Могойтуйский район,пгт. Могойтуй,"ул. Бабушкина, 13",0790,23-Dec-11,23-Dec-11,23-Dec-12,75 ме,002860,,,,
о выдаче,ООО,Улеты-Транзит,"Забайкальский край, г. Чита, мкр. Северный, дом 58, кв. 127",1067536021585,7536068885,753601001,организация бощественного питания (кафе-закусочная),Улетовский район,трасса Иркутск-Чита,"трасса Иркутск-Чита, 990 км.",0791,23-Dec-11,23-Dec-11,23-Dec-13,75МЕ,002791,,,,
о выдаче,ООО,Фомичи,"Забайкальский край, Нерчинский район, г. Нерчинск, ул. Красноармейская, 141",1067513008496,7513005737,751301001,бар в кафе,Нерчинский район,г. Нерчинск,"ул. Красноармейская, д. 141",0792,26-Dec-11,26-Dec-11,26-Dec-12,75МЕ,002792,,,,
о выдаче,ООО,Центр УР,"Забайкальский край, Приаргунский район, п. Досатуй, ул. Ленина, 17-б",1067530002979,7518006269,751801001,"отдел в магазине ""Центр""",Приаргунский район,п. Досатуй,"ул. Ленина, д. 17 б",0794,26-Dec-11,27-Dec-11,27-Dec-12,75МЕ,002858,,,,
о выдаче,ООО,Ритм,"Забайкальский край, г. Чита, ул. Новобульварная, д. 5",1067536049844,7536074374,753601001,магазин,г. Чита,г. Чита,"ул. Новобульварная, д.5, пом.3",0800,29-Dec-11,29-Dec-11,29-Dec-12,75МЕ,002801,,,,
о выдаче,ООО,Торговый дом ВОСХОД,"Республика Бурятия, Кижингинский район, с. Сулхара, ул. Подгорная, 2-1",1060321002147,0310009236,,"организация общественного питания (отдел в кафе ""Искушение"")",Хилокский район,г. Хилок,"ул. Дзержинского, 5а",0798,29-Dec-11,29-Dec-11,29-Dec-12,75МЕ,002799,,,,
о выдаче,ООО,Скорпион,"Забайкальский край, п.г.т.Чернышевск, ул. Первомайская, 50-б",1067513008771,7525005178,752501001,"отдел в магазине ""Янтарь""",Чернышевский район,пгт. Чернышевск,"ул. Первомайская, 50 ""б""",0801,29-Dec-11,29-Dec-11,29-Dec-12,75 ме,002802,,,,
о выдаче,ООО,Лагуна,"Забайкальский край, г. Чита, ул. Полины Осипенко, 22, помещение 4",1117536008391,7536120912,753601001,магазин,г. Чита,г. Чита,"ул. Полины Осипенко, 22, помещение 4",0797,29-Dec-11,29-Dec-11,29-Dec-12,75 ме,002798,,,,
о выдаче,ООО,Алина,"Забайкальский край, г. Чита, Железнодорожный район, ул. Ватутина, 21",1067536047567,7536073028,753601001,"отдел в магазине ""Продукты""",г. Чита,г. Чита,"ул. Ватутина, 21",0799,29-Dec-11,29-Dec-11,29-Dec-16,75МЕ,002800,,,,
о выдаче,,Эвенкийская  родовая община Таежный путь,"Тунгиро-Олекминский район, с. Тупик, ул. Береговая, 44",1047506001069,7520000786,752001001,магазин,Тунгиро-Олекминский район,с. Тупик,"ул. Новая, 1",0803,30-Dec-11,30-Dec-11,30-Dec-12,75 ме,002806,,,,
о выдаче,ООО,Виктор,"Забайкальский край, Нерчинский район, г. Нерчинск, ул. Шилова, д. 5",1067513008463,7513005720,751301001,магазин,Нерчинский район,г. Нерчинск,"ул. Шилова, д. 5",0805,30-Dec-11,30-Dec-11,30-Dec-12,75МЕ,002807,,,,
о выдаче,ООО,Капитал,"Забайкальский край, Оловяннинский район, пгт. Ясногорск, ул. Энергетиков, 12",1067515005689,7515006736,751501001,магазин,Оловяннинский район,пгт. Ясногорск,"ул. Энергетиков, 12",0804,30-Dec-11,30-Dec-11,30-Dec-13,75МЕ,002808,,,,
