"Реестр лицензий на розничную продажу алкогольной продукции, выданных на территории Кемеровской области",,,,,,
 № п/п,"Наименование лицензиата, ИНН, ОГРН",Место нахождения лицензиата,Место осуществления деятельности,"Регистрационный № лицензии, дата выдачи",Срок действия лицензии,Примеча ния
1128,"ООО Юлия-95, ИНН - 4202009740, ОГРН - 104200546501","652616, г. Белово, ул. Войкова, дом.70","г. Белово, ул. Димитрова д.63 (магазин)","лицензия № ОЛ-7628-РПА, Д № 488353, 05.06.2008",c 05.06.2008 по 05.06.2009 продлена с 06.06.2012 по 05.06.2013,
1129,"ООО Юниор, ИНН - 4204006671, ОГРН - 1064204004039","652785, г. Гурьевск, ул. Милкова, дом.2А","г. Гурьевск, ул. Милкова д.2А (магазин); г. Гурьевск, пер. Ясный д.2А (магазин); г. Гурьевск, ул. Пушкина д.13А (магазин)","лицензия № ОЛ-6025-РПА, Д № 489520, 27.07.2006",c 27.07.2006 по 27.07.2011 продлена с 28.07.2011 по 27.07.2012,
1130,"ООО Юность, ИНН - 4202001660, ОГРН - 1024200547260","652600, г. Белово, ул. Юности, дом.16","г. Белово, ул. Юности д.16 (магазин); г. Белово, ул. Юности д.16 (столовая); г. Белово, ул. Советская д.18 (столовая)","лицензия № ОЛ-1332-РПА, Д № 451514, 09.02.2005",c 16.12.2002 по 16.12.2005 продлена с 18.12.2011 по 17.12.2016,
1131,"ООО ЯША, ИНН - 4218027897, ОГРН - 1054218014102","654000, г. Новокузнецк, ул. 40 лет ВЛКСМ, дом.12А","г. Новокузнецк, ул. 40 лет ВЛКСМ д.12А (магазин)","лицензия № ОЛ-5928-РПА, Д № 489396, 07.07.2006",c 07.07.2006 по 07.07.2011 продлена с 08.07.2011 по 07.07.2012,
1132,"ООО Ярославна, ИНН - 4223042347, ОГРН - 1064223020883","653033, г. Прокопьевск, ул. Институтская, дом.13","г. Прокопьевск, ул. Институтская д.13 (магазин)","лицензия № ОЛ-5848-РПА, Д № 489317, 01.07.2006",c 01.07.2006 по 01.07.2011 продлена с 02.06.2012 по 01.06.2013,
1133,"ООО Яръ, ИНН - 4214023852, ОГРН - 1054214021267","652840, г. Мыски, ул. Новая, дом.61А","г. Мыски, ул. Новая д.61А (магазин); г. Мыски, ул. Гагарина д.7 (магазин); г. Мыски, ул. 50 лет Пионерии д.2 пом.3 (магазин)","лицензия № ОЛ-5096-РПА, В № 935721, 22.12.2005",c 22.12.2005 по 22.12.2008 продлена с 23.12.2011 по 22.12.2016,
1134,"ООО Ясар, ИНН - 4221003430, ОГРН - 1024201823250","654034, г. Новокузнецк, ул. Шункова, дом.3","г. Новокузнецк, ул. Шункова д.3 (магазин); г. Новокузнецк, ул. Обнорского д.1 (магазин)","лицензия № ОЛ-1044-РПА, Д № 092866, 30.10.2002",c 30.10.2002 по 30.10.2005 продлена с 01.11.2008 по 31.10.2013,
1135,"ООО магазин №52 ""Маяк"", ИНН - 4202000025, ОГРН - 1024200546908","652600, г. Белово, ул. Октябрьская, дом.41","г. Белово, ул. Октябрьская д.41 (магазин)","лицензия № ОЛ-11064-РПА, 42МЕ № 002639, 15.08.2011",c 15.08.2011 по 14.08.2012,
1136,"ООО производственно-коммерческая фирма ""Ладья"", ИНН - 4212014605, ОГРН - 1024201302575","652500, г. Ленинск-Кузнецкий, ул. Спасстанция, дом.4-А кв.12","г. Ленинск-Кузнецкий, ул. Черкасская д.2В (магазин)","лицензия № ОЛ-1730-РПА, Д № 092058, 23.01.2003",c 23.01.2003 по 23.01.2006 продлена с 25.01.2012 по 24.01.2013,
1137,"ООО фирма ""Лакомка"", ИНН - 4214000767","652870, г. Междуреченск, Строителей , дом.16 кв.10","г. Междуреченск, пр-кт. Строителей д.1 (кафе); г. Междуреченск, пр-кт. Строителей д.1 (магазин); г. Междуреченск, пр-кт. Строителей д.16 литер А (кафе)","лицензия № ОЛ-1453-РПА, Д № 092594, 24.12.2002",c 01.01.2003 по 01.01.2006 продлена с 03.01.2012 по 02.01.2013,
1138,"крестьянские (фермерские) хозяйства Калашников Николай Николаевич, ИНН - 4231003790, ОГРН - 1024200548294","652680, Беловский р-н, п. Старобачаты, пер. Базарный, дом.9Б","Беловский р-н, рп. Старобачаты, ул. Мира д.10А (магазин); Беловский р-н, рп. Старобачаты, пер. Рабочий 4-й д.3 (магазин); Беловский р-н, п. Щебзавод, ул. Станционная д.64 (магазин); Беловский р-н, рп. Старобачаты, пер. Базарный д.9Б (магазин)","лицензия № ОЛ-3609-РПА, Д № 489581, 14.08.2006",c 01.01.2005 по 01.01.2008 продлена с 02.01.2008 по 01.07.2013,
1139,"крестьянские (фермерские) хозяйства Кузнецовой Татьяны Николаевны, ИНН - 4236000827, ОГРН - 1024201304687","652580, Ленинск-Кузнецкий р-н, п. Восходящий","Ленинск-Кузнецкий р-н, п.ст. Егозово, ул. Полевая д.32А (магазин)","лицензия № ОЛ-6596-РПА, Д № 489835, 25.12.2006",c 25.12.2006 по 25.12.2011 продлена с 26.12.2011 по 25.12.2012,
1140,"потребительские кооперативы Кемеровский районный союз потребительских обществ, ИНН - 4234000028","652415, Кемеровский р-н, с. Ягуново, ул. Центральная, дом.38","Кемеровский р-н, д. Мозжуха, ул. Детсадовская д.1 (кафе); Кемеровский р-н, п. Звездный, ул. Центральная д.1 (магазин); Кемеровский р-н, д. Мозжуха, пер. Детсадовский д.1 (магазин); Кемеровский р-н, д. Солонечная, ул. Советская д.18 (магазин); Кемеровский р-н, с. Ягуново, ул. Горького д.1 А (магазин); Кемеровский р-н, д. Камышная, ул. Центральная д.16 А (магазин); Кемеровский р-н, п. Благодатный, ул. Весенняя д.2 (магазин); Кемеровский р-н, с. Андреевка, ул. Советская д.25 (магазин); Кемеровский р-н, с. Ягуново, ул. Центральная д.34 (магазин); Кемеровский р-н, д. Заря, ул. Ворошиловская д.34 (магазин); Кемеровский р-н, с. Ягуново, ул. Заречная д.6А (магазин); Кемеровский р-н, с. Мазурово, ул. Советская д.62 Б (магазин); Кемеровский р-н, с. Мазурово, ул. Лесная д.8 (магазин)","лицензия № ОЛ-3060-РПА, В № 934904, 16.07.2004",c 16.07.2004 по 16.07.2007 продлена с 18.07.2010 по 17.07.2013,
1141,"потребительские кооперативы Промышленновский союз потребительских кооперативов, ИНН - 4240007864","652380, Промышленновский р-н, пгт. Промышленная, ул. Кооперативная, дом.4","Промышленновский р-н, пгт. Промышленная, ул. Н.Островского д.10 (магазин); Промышленновский р-н, с. Тарасово, ул. Центральная д.43Д (магазин); Промышленновский р-н, с. Окунево, ул. Центральная д.61 (магазин); Промышленновский р-н, д. Прогресс, ул. Центральная д.32 (магазин); Промышленновский р-н, д. Пьяново, ул. Коммунистическая д.113 (магазин); Промышленновский р-н, с. Тарасово, ул. Заречная д.82А (магазин); Промышленновский р-н, с. Журавлево, ул. Центральная д.43А (магазин); Промышленновский р-н, с. Степные Озерки, ул. Центральная д.68 (магазин); Промышленновский р-н, д. Усть-Каменка, ул. Центральная д.54 (магазин); Промышленновский р-н, д. Труд, ул. Мира д.4А (магазин); Промышленновский р-н, д. Байрак, пер. Логовой д.2 (магазин); Промышленновский р-н, ст. Падунская, ул. Кооперативная д.48 (магазин)","лицензия № ОЛ-4128-РПА, Д № 451794, 11.04.2005",c 11.04.2005 по 11.04.2008 продлена с 12.04.2008 по 11.04.2013,
1142,"потребительские кооперативы Сельскохозяйственный перерабатывающий потребительский кооператив ""Сельский дом"", ИНН - 4229007652, ОГРН - 1074229000119","652320, Топкинский р-н, с. Топки, мкр. Микрорайон, дом.3А","Топкинский р-н, с. Топки, Микрорайон  д.3В (магазин)","лицензия № ОЛ-9739-РПА, 42 МЕ № 001705, 01.09.2010",c 01.09.2010 по 31.08.2011 продлена с 01.09.2011 по 31.08.2012,
1143,"потребительские кооперативы Чебулинское потребительское общество, ИНН - 4244002017, ОГРН - 1024201368070","652270, Чебулинский р-н, пгт. Верх-Чебула, ул. Чеботаева, дом.16А","Чебулинский р-н, пгт. Верх-Чебула, ул. Советская д.4 (магазин); Чебулинский р-н, пгт. Верх-Чебула, ул. Мира д.1 (магазин); Чебулинский р-н, с. Алчедат, ул. Советская д.57 (магазин); Чебулинский р-н, п. Орлово-Розовский 1-й, ул. Молодежная д.1 (магазин); Чебулинский р-н, с. Усть-Чебула, ул. Никитина д.45 (магазин); Чебулинский р-н, д. Покровка, ул. Трактовая д.68 (магазин); Чебулинский р-н, с. Ивановка, ул. Байкальская д.26 (магазин); Чебулинский р-н, с. Усманка, ул. Юбилейная д.33 (магазин); Чебулинский р-н, д. Курск-Смоленка, ул. Советская д.78А (магазин); Чебулинский р-н, пгт. Верх-Чебула, мкр. Южный д.27 (магазин); Чебулинский р-н, д. Карачарово, ул. Первомайская д.3 (магазин); Чебулинский р-н, пгт. Верх-Чебула, ул. Чеботаева д.16А (магазин); Чебулинский р-н, д. Дмитриевка, ул. Новая д.2А (магазин); Чебулинский р-н, д. Михайловка, ул. Набережная д.6 (магазин); Чебулинский р-н, д. Новоказанка, ул. Центральная д.35 (магазин); Чебулинский р-н, с. Чумай, ул. Подгорная д.14 (магазин); Че","лицензия № ОЛ-1179-РПА, Д № 092765, 30.12.2004",c 25.11.2002 по 01.01.2005 продлена с 03.01.2008 по 03.01.2013,
,,,"булинский р-н, с. Николаевка, ул. Осипова д.1 (магазин); Чебулинский р-н, п. Боровой, ул. Зеленая д.3 (магазин); Чебулинский р-н, д. Петропавловка, ул. Центральная д.16А (магазин); Чебулинский р-н, д. Шестаково, ул. Оренбургская д.2А (магазин); Чебулинский р-н, с. Усть-Серта, ул. Кирова д.2 (магазин); Чебулинский р-н, д. Кураково, ул. Юбилейная д.61 (магазин); Чебулинский р-н, 1-й п., ул. Трактовая д.2 (магазин); Чебулинский р-н, пгт. Верх-Чебула, ул. Советская д.145 (столовая)",,,
1144,"потребительские общества Антарес, ИНН - 4246000449","652100, Яйский р-н, пгт. Яя, ул. Дорожная, дом.28","Яйский р-н, пгт. Яя, ул. Советская д.2 (кафе); Яйский р-н, пгт. Яя, ул. Красноармейская д.24 А (кафе); Яйский р-н, с. Ольговка, ул. Мира д.7 (магазин ); Яйский р-н, с. Ишим, ул. Декабристов д.29 (магазин); Яйский р-н, пгт. Яя, ул. Западная д.3 (магазин); Яйский р-н, д. Вознесенка, ул. Центральная д.3 (магазин); Яйский р-н, пгт. Яя, ул. Авиационная д.5 (магазин); Яйский р-н, пгт. Яя, ул. Жуковского д.12 (магазин); Яйский р-н, пгт. Яя, ул. Трактовая д.157 (магазин); Яйский р-н, пгт. Яя, ул. Трактовая д.2 (магазин); Яйский р-н, пгт. Яя, ул. Советская д.2 (магазин); Яйский р-н, с. Сергеевка, ул. Сибирская д.27А (магазин); Яйский р-н, пгт. Яя, ул. Пожарная д.3 (магазин); Яйский р-н, д. Марьевка, ул. Школьная д.5А (магазин); Яйский р-н, с. Бекет, ул. Центральная д.8 (магазин); Яйский р-н, пгт. Яя, ул. Юбилейная д.96 (магазин)","лицензия № ОЛ-1499-РПА, Д № 451087, 09.11.2004",c 31.12.2002 по 31.12.2005 продлена с 02.01.2012 по 01.01.2013,
1145,"потребительские общества Антарес-Плюс, ИНН - 4246003792, ОГРН - 1034246002405",", Яйский р-н, пгт. Яя, ул. Восточная, дом.1","Яйский р-н, пгт. Яя, ул. Школьная д.11 (кафе); Яйский р-н, пгт. Яя, ул. Нахимова д.2 (кафе); Яйский р-н, пгт. Яя, ул. Дорожная д.28 (магазин)","лицензия № ОЛ-11604-РПА, 42 МЕ № 002984, 27.01.2012",c 27.01.2012 по 26.01.2013,
1146,"потребительские общества Беловская межрайбаза, ИНН - 4231001432, ОГРН - 1024200544323","652600, г. Белово, пер. Линейный, дом.41","Беловский р-н, с. Старопестерево, ул. Верхняя д.4А (кафе); Беловский р-н, п. Петровский, ул. Петровская д.23А (магазин); Беловский р-н, с. Вишневка, ул. Строителей д.9А (магазин); Беловский р-н, п. Убинский, ул. Школьная д.12А (магазин); Беловский р-н, с. Мохово, ул. Центральная д.9А (магазин); Беловский р-н, с. Мохово, ул. Шоссейная д.2Б (магазин); Беловский р-н, с. Мохово, ул. Комсомольская д.28А (магазин); Беловский р-н, д. Инюшка, ул. Школьная д.34 (магазин); Беловский р-н, д. Уроп, ул. Центральная д.34А (магазин); Беловский р-н, с. Вишневка, ул. Новая д.22 (магазин); Беловский р-н, с. Евтино, ул. Почтовая д.10 (магазин); Беловский р-н, с. Конево, ул. Школьная д.28Б (магазин); Беловский р-н, с. Новобачаты, ул. Новая д.4 (магазин); Беловский р-н, с. Беково, ул. Центральная д.9А (магазин); г. Белово, ул. 1 Телеут д.3 (магазин); г. Белово, пгт. Новый Городок, ул. Киевская д.27 (магазин)","лицензия № ОЛ-3703-РПА, Д № 451404, 20.12.2007",c 19.01.2005 по 19.01.2008 продлена с 20.01.2008 по 20.01.2013,
1147,"потребительские общества Беловское, ИНН - 4202036222, ОГРН - 1084202490723","652674, Беловский р-н, с. Пермяки, ул. Центральная, дом.40А","Беловский р-н, с. Менчереп, ул. Набережная д.70/1 (закусочная); Беловский р-н, д. Коротково, ул. Лесная д.16 (магазин № 10); Беловский р-н, п. Дунай-Ключ, ул. Новая д.12/2 (магазин № 11); Беловский р-н, п. Задубровский, ул. Пролетарская д.41 (магазин № 12); Беловский р-н, д. Рямовая, ул. Школьная д.8 (магазин № 15); Беловский р-н, д. Уроп, ул. Центральная д.34 (магазин № 16); Беловский р-н, д. Инюшка, ул. Школьная д.6 (магазин № 18); Беловский р-н, с. Менчереп, ул. Набережная д.70/3 (магазин № 20); Беловский р-н, д. Хахалино, ул. Центральная д.32 (магазин № 3); Беловский р-н, п. Старобачаты, ул. Зареченская д.63Б (магазин № 31); Беловский р-н, п. Старобачаты, ул. Новосадовая д.19 (магазин № 32); Беловский р-н, п. Старобачаты, ул. Петропавловская д.2 (магазин № 35); Беловский р-н, с. Артышта, ул. Артыштинская д.7 (магазин № 36); Беловский р-н, с. Новобачаты, ул. Советская д.6Б (магазин № 37); Беловский р-н, д. Новороссийка, ул. Первомайская д.45 (магазин № 39); Беловский р-н, д. Ивановк","лицензия № ОЛ-8383-РПА, Д № 488859, 04.02.2009",c 04.02.2009 по 03.02.2010 продлена с 04.02.2010 по 03.02.2014,
,,,"а, ул. Весенняя д.80 (магазин № 40); Беловский р-н, д. Осиновка, ул. Лесная д.28А (магазин № 41); Беловский р-н, с. Конево, ул. Центральная д.19А (магазин № 42); Беловский р-н, п. Старобачаты, пер. Садовый д.1А (магазин №29); Беловский р-н, п. им.Ильича, ул. Приозерная д.44А (магазин №38); Беловский р-н, п. Старобачаты, ул. Новосадовая д.17 (столовая №33); Беловский р-н, д. Уроп,  водоканал (магазин № 22)",,,
1148,"потребительские общества Березовское, ИНН - 4250002030, ОГРН - 1054250011375","650511, Кемеровский р-н, с. Березово, ул. Центральная, дом.30","Кемеровский р-н, с. Березово, ул. Центральная д.30 (кафе); Кемеровский р-н, с. Березово, ул. Центральная д.32 (магазин №1); Кемеровский р-н, с. Березово, ул. Центральная д.10 (магазин №10); Кемеровский р-н, п. Новостройка, ул. Мира д.1А (магазин №11); Кемеровский р-н, с. Березово, ул. Центральная д.22 (магазин №12); Кемеровский р-н, д. Сухово, ул. Заречная д.4А (магазин №13); Кемеровский р-н, с. Березово, ул. Центральная д.32 (магазин №3); Кемеровский р-н, п. Металлплощадка, ул. Рабочая 3-я д.10 (магазин №9); Кемеровский р-н, с. Березово, ул. Центральная д.32 (столовая с баром)","лицензия № ОЛ-5204-РПА, В № 935825, 29.12.2005",c 02.01.2006 по 02.01.2009 продлена с 03.01.2009 по 02.01.2014,
1149,"потребительские общества Елыкаевское, ИНН - 4234000067, ОГРН - 1024202051576","650523, Кемеровский р-н, с. Елыкаево, ул. Весенняя, дом.14","Кемеровский р-н, с. Елыкаево, ул. Советская д.75 (кафе); Кемеровский р-н, д. Тебеньковка, ул. Центральная д.10 (магазин); Кемеровский р-н, д. Старочервово, ул. Центральная д.10 (магазин); Кемеровский р-н, с. Елыкаево, ул. Весенняя д.16 (магазин); Кемеровский р-н, д. Осиновка, ул. Центральная д.1А (магазин); Кемеровский р-н, с. Елыкаево, ул. Советская д.142Б (магазин); Кемеровский р-н, с. Елыкаево, ул. Весенняя д.33 (магазин); Кемеровский р-н, с. Силино, ул. Центральная д.6А (магазин); Кемеровский р-н, с. Елыкаево, ул. Советская д.75 (магазин); Кемеровский р-н, д. Ляпки, ул. Центральная д.12А (магазин)","лицензия № ОЛ-1461-РПА, Д № 092430, 25.12.2002",c 01.01.2003 по 01.01.2006 продлена с 02.01.2012 по 01.01.2015,
1150,"потребительские общества ИЖМОРСКОЕ, ИНН - 4246005408, ОГРН - 1054246019816","652120, Ижморский р-н, пгт. Ижморский, ул. Ленинская, дом.55","Ижморский р-н, с. Постниково, ул. Ленинская д.71А (магазин); Ижморский р-н, с. Святославка, ул. Советская д.33А (магазин); Ижморский р-н, с. Новославянка, ул. Советская д.51 (магазин); Ижморский р-н, д. Большая Песчанка, ул. Ленинская д.25 (магазин); Ижморский р-н, с. Теплая Речка, ул. Ленина д.3 (магазин); Ижморский р-н, д. Нижегородка, ул. Советская д.51В (магазин); Ижморский р-н, с. Островка, ул. Островская (магазин); Ижморский р-н, с. Почитанка, ул. Ленинская д.68 (магазин); Ижморский р-н, д. Старопокровка, ул. Гагарина (магазин); Ижморский р-н, д. Ольговка, ул. Лесная (магазин); Ижморский р-н, с. Новопокровка, ул. Прудникова д.9 (магазин); Ижморский р-н, пгт. Ижморский, ул. Ленинская д.15 (магазин); Ижморский р-н, пгт. Ижморский, ул. Коммунистическая д.13 (магазин); Ижморский р-н, с. Новоорловка, ул. Заречная (магазин); Ижморский р-н, с. Левашовка, ул. Северная (магазин); Ижморский р-н, с. Нижегородка, ул. Советская д.87А (магазин); Ижморский р-н, с. Летяжка, ул. Молодежная д.34 (","лицензия № ОЛ-5354-РПА, В № 935932, 13.03.2006",c 13.03.2006 по 13.03.2011 продлена с 14.03.2011 по 13.03.2016,
,,,"магазин); Ижморский р-н, с. Симбирка, ул. Советская д.90А (магазин); Ижморский р-н, с. Троицкое, ул. Советская д.58 (магазин); Ижморский р-н, п. Березовский, ул. Механическая д.2А (магазин); Ижморский р-н, с. Ломачевка, ул. Центральная д.6 (магазин); Ижморский р-н, рп. Ижморский, ул. Ленинская д.55 (магазин); Ижморский р-н, с. Иверка, ул. Трактовая (магазин); Ижморский р-н, с. Ижморка, ул. Новая д.23 (магазин); Ижморский р-н, с. Колыон, пер. Майский д.1 (магазин); Ижморский р-н, с. Берикуль, ул. Ленина д.31 (магазин); Ижморский р-н, с. Берикуль, ул. Ленина д.31 (столовая); Ижморский р-н, рп. Ижморский, ул. Ленинская д.98 (столовая)",,,
1151,"потребительские общества Кемеровский областной союз потребительских обществ, ИНН - 4200000196, ОГРН - 1024200713404","650099, г. Кемерово, пр-кт. Советский, дом.6","г. Кемерово, пр-кт. Советский д.6 (магазин)","лицензия № ОЛ-10119-РПА, 42 МЕ № 001930, 27.12.2010",c 27.12.2010 по 26.12.2011 продлена с 27.12.2011 по 26.12.2012,
1152,"потребительские общества Крапивинское, ИНН - 4212427673, ОГРН - 1054212010687","652440, Крапивинский р-н, пгт. Крапивинский, ул. Юбилейная, дом.11Б","Крапивинский р-н, п. Березовка, ул. Новая д.11 (магазин № 49); Крапивинский р-н, п. Каменный, ул. Мира д.51 (магазин №12); Крапивинский р-н, с. Междугорное, ул. 60 лет Октября д.2 (магазин №15); Крапивинский р-н, с. Поперечное, ул. Смердина д.1 (магазин №16); Крапивинский р-н, п. Михайловский, ул. Кооперативная д.1 (магазин №20); Крапивинский р-н, п. Красные Ключи, ул. Центральная д.12 (магазин №22); Крапивинский р-н, д. Скарюпино, ул. Совхозная д.2 (магазин №23); Крапивинский р-н, д. Максимово, ул. Центральная д.15 (магазин №30); Крапивинский р-н, с. Борисово, ул. Геологов д.16 (магазин №31); Крапивинский р-н, п. Перехляй, ул. 40 лет Победы д.1 (магазин №33); Крапивинский р-н, с. Каменка, ул. Магистральная д.8 (магазин №38); Крапивинский р-н, д. Ключи, ул. Таежная д.19А (магазин №40); Крапивинский р-н, д. Новобарачаты, ул. Заречная д.5 (магазин №53); Крапивинский р-н, д. Шевели, ул. Гагарина д.13 (магазин №55); Крапивинский р-н, пгт. Крапивинский, ул. Мунгатская д.1А (магазин №6)","лицензия № ОЛ-4770-РПА, В № 935520, 02.11.2005",c 02.11.2005 по 02.11.2008 продлена с 03.11.2011 по 02.11.2016,
1153,"потребительские общества Ленинск-Кузнецкая межрайбаза, ИНН - 4236004099","652500, г. Ленинск-Кузнецкий, ул. Топкинская, дом.1","Ленинск-Кузнецкий р-н, д. Трекино, ул. Речная д.1 (магазин); Ленинск-Кузнецкий р-н, д. Новопокасьма, ул. Туснолобовой-Марченко д.11 (магазин); Ленинск-Кузнецкий р-н, с. Чусовитино, ул. Школьная д.12 (магазин); Ленинск-Кузнецкий р-н, п. Красная Горка, ул. Полевая д.13 (магазин); Ленинск-Кузнецкий р-н, п. Демьяновка, ул. Космонавтов д.17 (магазин); Ленинск-Кузнецкий р-н, п. Мирный, ул. Школьная д.17 (магазин); Ленинск-Кузнецкий р-н, с. Чусовитино, ул. Журинская д.1А (магазин); Ленинск-Кузнецкий р-н, п. Демьяновка, ул. Кемеровская д.1Б (магазин); Ленинск-Кузнецкий р-н, п. Мусохраново, ул. Новоселов д.1Б (магазин); Ленинск-Кузнецкий р-н, с. Панфилово, ул. Советская д.12А (магазин); Ленинск-Кузнецкий р-н, п. Чкаловский, ул. 50 лет Октября д.2 (магазин); Ленинск-Кузнецкий р-н, д. Новогеоргиевка, ул. Школьная д.29 (магазин); Ленинск-Кузнецкий р-н, с. Панфилово, ул. Орловская д.2Б (магазин); Ленинск-Кузнецкий р-н, с. Ариничево, ул. Советская д.3 (магазин); Ленинск-Кузнецкий р-н, п. Ивановка, у","лицензия № ОЛ-1678-РПА, Д № 092400, 09.01.2003",c 09.01.2003 по 09.01.2006 продлена с 11.01.2012 по 10.01.2013,
,,,"л. Лесная д.3 (магазин); Ленинск-Кузнецкий р-н, с. Подгорное, ул. Центральная д.3 (магазин); Ленинск-Кузнецкий р-н, д. Семеново, ул. Центральная д.35А (магазин); Ленинск-Кузнецкий р-н, с. Красное, ул. Санаторная д.45 (магазин); Ленинск-Кузнецкий р-н, с. Драченино, ул. Первомайская д.45 (магазин); Ленинск-Кузнецкий р-н, д. Торопово, ул. Весенняя д.52 (магазин); Ленинск-Кузнецкий р-н, с. Панфилово, ул. Советская д.52А (магазин); Ленинск-Кузнецкий р-н, д. Красноярка, ул. Центральная д.7 (магазин); Ленинск-Кузнецкий р-н, с. Шабаново, ул. Советская д.73 (магазин); Ленинск-Кузнецкий р-н, с. Камышино, ул. Центральная д.78 (магазин); Ленинск-Кузнецкий р-н, с. Чесноково, ул. Центральная д.8 (магазин); Ленинск-Кузнецкий р-н, с. Худяшово, ул. Центральная (магазин); Ленинск-Кузнецкий р-н, д. Покровка, ул. Центральная (магазин); г. Ленинск-Кузнецкий, пр-кт. Кирова д.60 (магазин)",,,
1154,"потребительские общества Мариинский районный союз потребительских обществ, ИНН - 4237000192, ОГРН - 1024201365495","652160, г. Мариинск, ул. Ленина, дом.33","Мариинский р-н, п. Калининский, ул. Школьная д.6 (кафе); Мариинский р-н, с. Большой Антибес, ул. Ленина д.68 оф.пом 2 (магазин); Мариинский р-н, п. Калининский, ул. Школьная д.6 (магазин); г. Мариинск, ул. Ленина д.33 (кафе); г. Мариинск, ул. Ленина д.33 (магазин)","лицензия № ОЛ-2002-РПА, Д № 451130, 14.04.2003",c 14.04.2003 по 14.04.2006 продлена с 15.04.2012 по 14.04.2013,
1155,"потребительские общества Моховское сельское потребительское общество, ИНН - 4231000502, ОГРН - 1024200546424","652661, Беловский р-н, с. Мохово, ул. Центральная, дом.2В","Беловский р-н, с. Мохово, ул. Центральная д.14А (кафе-закусочная); Беловский р-н, с. Мохово, ул. Молодежная д.1А (магазин); Беловский р-н, с. Мохово, ул. Центральная д.14А (магазин); Беловский р-н, с. Мохово, ул. Гагарина д.2А (магазин); Беловский р-н, с. Заринское, ул. Ленина д.3А (магазин); Беловский р-н, с. Старопестерево, ул. Верхняя д.4 (магазин); Беловский р-н, с. Старопестерево, ул. Мостовая д.44А (магазин); Беловский р-н, д. Грамотеино, ул. Чкалова д.54А (магазин); Беловский р-н, пгт. Грамотеино, мкр. Ивушка (магазин); Беловский р-н, с. Мохово, ул. Полевая (магазин); Беловский р-н, п. Заря,  (магазин)","лицензия № ОЛ-3797-РПА, Д № 451511, 07.02.2005",c 09.02.2005 по 09.02.2008 продлена с 11.02.2011 по 10.02.2016,
1156,"потребительские общества Пермяковское сельское потребительское общество, ИНН - 4231000510, ОГРН - 433","652674, Беловский р-н, с. Пермяки, ул. Центральная, дом.40","Беловский р-н, д. Каралда, ул. Мира д.42А (закусочная № 14); Беловский р-н, с. Каракан, ул. Центральная д.3 (закусочная № 4); Беловский р-н, с. Евтино, пер. Садовый д.3 (закусочная №19); Беловский р-н, с. Пермяки, ул. Школьная д.11 (кафе); Беловский р-н, д. Каралда, ул. Мира д.42А (магазин № 13); Беловский р-н, с. Каракан, ул. Торговая д.4 (магазин № 17); Беловский р-н, с. Пермяки, ул. Пушкина д.22А (магазин № 2); Беловский р-н, с. Коновалово, ул. Почтовая д.2 (магазин № 24); Беловский р-н, с. Каракан, ул. Центральная д.1 (магазин № 26); Беловский р-н, с. Евтино, пер. Садовый д.3 (магазин № 27); Беловский р-н, с. Сидоренково, ул. Центральная д.9А (магазин № 30); Беловский р-н, с. Поморцево, ул. Центральная д.37 (магазин № 34); Беловский р-н, с. Пермяки, ул. Центральная д.47 (магазин № 5); Беловский р-н, с. Пермяки, ул. Центральная д.13 (магазин № 6); Беловский р-н, с. Пермяки, ул. Лесная д.5 (магазин № 7); Беловский р-н, с. Пермяки, ул. Центральная д.45 (магазин №9); Беловский р-н, с. ","лицензия № ОЛ-2283-РПА, В № 934285, 22.12.2004",c 29.12.2001 по 31.12.2004 продлена с 02.01.2008 по 02.01.2013,
,,,"Новохудяково, ул. Школьная д.3 (магазин)",,,
1157,"потребительские общества Производственно-заготовительное Потребительское общество ""Союз"", ИНН - 4240007293","652380, Промышленновский р-н, пгт. Промышленная, ул. Кооперативная, дом.4","Промышленновский р-н, пгт. Промышленная, ул. Кооперативная д.4 (магазин); Промышленновский р-н, пгт. Промышленная, ул. Комарова д.20А (магазин); Промышленновский р-н, п. Ивано-Родионовск, ул. Сибирская д.36 (магазин)","лицензия № ОЛ-3982-РПА, Д № 451658, 11.03.2005",c 11.03.2005 по 11.03.2008 продлена с 12.03.2008 по 12.03.2013,
