"Реестр лицензий на розничную продажу алкогольной продукции, выданных на территории Кемеровской области",,,,,,
 № п/п,"Наименование лицензиата, ИНН, ОГРН",Место нахождения лицензиата,Место осуществления деятельности,"Регистрационный № лицензии, дата выдачи",Срок действия лицензии,Примеча ния
28,"ОАО ЮРГИНТОРГ, ИНН - 4230003839, ОГРН - 1024202001757","652000, г. Юрга, ул. Ленинградская, дом.20","г. Юрга, ул. Ленинградская д.20 (пивной зал); г. Юрга, ул. Кирова д.21 (пивной зал)","лицензия № ОЛ-6003-РПА, Д № 489463, 20.07.2006",c 20.07.2006 по 20.07.2011 продлена с 21.07.2011 по 20.07.2012,
29,"ООО ""Альянс-V"", ИНН - 4212006315, ОГРН - 1024201303785","652500, г. Ленинск-Кузнецкий, ул. 7 Микрорайон, дом.1 кв.54","г. Ленинск-Кузнецкий, ул. 7 Микрорайон д.1А (магазин)","лицензия № ОЛ-2414-РПА, В № 934411, 02.12.2003",c 02.12.2003 по 02.12.2006 продлена с 04.12.2011 по 03.12.2012,
30,"ООО ""Продимпекс"", ИНН - 4217045727, ОГРН - 1034217007142","654007, г. Новокузнецк, пр-кт. Кузнецкстроевский, дом.32Б","г. Новокузнецк, пр-кт. Кузнецкстроевский д.32Г (магазин); г. Новокузнецк, ул. Транспортная д.77А (магазин)","лицензия № ОЛ-9632-РПА, 42 МЕ № 001658, 15.07.2010",c 15.07.2010 по 14.07.2011 продлена с 15.07.2011 по 14.07.2012,
31,"ООО ""Фараон"", ИНН - 4214013974, ОГРН - 1024201390212","652884, г. Междуреченск, ул. Интернациональная, дом.4","г. Междуреченск, ул. Пушкина д.176 (магазин); г. Междуреченск, ул. Интернациональная д.4 (магазин)","лицензия № ОЛ-2525-РПА, В № 934530, 24.12.2003",c 01.01.2004 по 01.01.2007 продлена с 03.01.2012 по 02.01.2014,
32,"ООО 4-Стихии, ИНН - 4205209385, ОГРН - 1104205017740","650000, г. Кемерово, ул. Ноградская, дом.5","г. Кемерово, ул. Ноградская д.5 оф.литер Г1 (кафе)","лицензия № ОЛ-11290-РПА, 42МЕ № 002783, 11.11.2011",c 11.11.2011 по 10.11.2016,
33,"ООО 777, ИНН - 4202015350, ОГРН - 1024200543762","652615, г. Белово, ул. Цимлянская, дом.85А","г. Белово, мкр. 3-й д.6А (магазин); г. Белово, ул. Цимлянская д.85А (магазин)","лицензия № ОЛ-4518-РПА, В № 935289, 20.07.2005",c 20.07.2005 по 20.07.2008 продлена с 21.07.2011 по 20.07.2012,
34,"ООО 8 Марта, ИНН - 4214028515, ОГРН - 1084214000111","652840, г. Мыски, ул. Ленинградская, дом.36Б","г. Мыски, ул. Ленинградская д.36Б (магазин)","лицензия № ОЛ-11896-РПА, 42МЕ № 003143, 11.05.2012",c 11.05.2012 по 10.05.2017,
35,"ООО 888, ИНН - 4214027511, ОГРН - 1074214001674","652870, г. Междуреченск, ул. Интернациональная, дом.8","г. Междуреченск, ул. Интернациональная д.8 (магазин)","лицензия № ОЛ-9755-РПА, 42МЕ № 001719, 09.09.2010",c 09.09.2010 по 08.09.2011 продлена с 09.09.2011 по 08.09.2012,
36,"ООО А- ""Югус"", ИНН - 4214023242, ОГРН - 1054214018143","652870, г. Междуреченск, ул. Лукиянова, дом.5 магазин","г. Междуреченск, ул. Октябрьская д.25 (магазин); г. Междуреченск, ул. Лукиянова д.5 (магазин); г. Междуреченск, ул. Седова д.1 Б (магазин)","лицензия № ОЛ-4995-РПА, В № 935635, 07.12.2005",c 07.12.2005 по 07.12.2008 продлена с 08.12.2011 по 07.12.2016,
37,"ООО АБА-XXI, ИНН - 4238008620, ОГРН - 1024202129995","654901, Новокузнецкий р-н, с. Сосновка","г. Новокузнецк, ул. Куйбышева д.8 (бар)","лицензия № ОЛ-4996-РПА, В № 935685, 14.12.2005",c 14.12.2005 по 14.12.2008 продлена с 15.12.2008 по 14.12.2013,
38,"ООО АБВ и К, ИНН - 4212004710, ОГРН - 1054212028936","652507, г. Ленинск-Кузнецкий, пр-кт. Ленина, дом.39","Крапивинский р-н, п. Крапивинский, ул. Энергетиков д.2 (магазин); Крапивинский р-н, с. Борисово, ул. Кирова д.57А (магазин)","лицензия № ОЛ-11847-РПА, 42 МЕ № 003117, 12.04.2012",c 12.04.2012 по 11.04.2013,
39,"ООО АВАНГАРД, ИНН - 4221029414, ОГРН - 1104221000751","654034, г. Новокузнецк, ул. Чекалина, дом.15 пом.99","г. Новокузнецк, ул. Чекалина д.15 помещение 99  (магазин)","лицензия № ОЛ-10309-РПА, 42МЕ № 002047, 28.02.2011",c 28.02.2011 по 27.02.2016,
40,"ООО АВГУСТ, ИНН - 4240008762, ОГРН - 1064240003816","652380, Промышленновский р-н, пгт. Промышленная, ул. Транспортная, дом.44","Промышленновский р-н, пгт. Промышленная, ул. Транспортная д.47 (магазин)","лицензия № ОЛ-11299-РПА, 42МЕ № 002796, 16.11.2011",c 16.11.2011 по 15.11.2012,
41,"ООО АВИСТА, ИНН - 4214024599, ОГРН - 1064214004777","652870, г. Междуреченск, ул. Вокзальная, дом.64,пом.1А","г. Междуреченск, пр-кт. Шахтеров д.37 помещение 1А (магазин); г. Междуреченск, ул. Вокзальная д.64 помещение 1А (магазин)","лицензия № ОЛ-5747-РПА, 42 МЕ № 002334, 10.06.2011",c 01.07.2006 по 01.07.2011 продлена с 02.07.2012 по 01.07.2017,
42,"ООО АВОСЬ, ИНН - 4220031121, ОГРН - 1064220010458","654000, г. Новокузнецк, пр-кт. Дружбы, дом.3","г. Новокузнецк, пр-кт. Дружбы д.3 (магазин); г. Новокузнецк, ул. Ноградская д.3Б (магазин)","лицензия № ОЛ-11045-РПА, 42МЕ № 002617, 02.08.2011",c 02.08.2011 по 01.08.2016,
