РЕЕСТР,,,,,,,,,
"действующих лицензий на розничную продажу алкогольной продукции,",,,,,,,,,
"выданных министерством сельского хозяйства, торговли и продовольствия Сахалинской области на  01.10.2012 года ",,,,,,,,,
"№
п/п","Номер 
регистрации","Дата 
выдачи","Название 
организации",Место нахождения организации,"Номер 
лицензии","Срок 
действия",Статус,Условие,Объекты
270,217-12алк/ЮС,7/4/2012,"ООО ""ВИЛСах""","г. Южно-Сахалинск, пл.р/н Новоалександровск, ул. 2-я Красносельская, 2/Б",МЕ007038,7/3/2013,действующая,алк> 15%,"магазин №1 ""Продукты"" г. Южно-Сахалинск пл. р-он Новоалександровск, ул. 2-я Красносельская, 2/Б; магазин ""Меркурий"" г. Южно-Сахалинск  пл. р-он Новоалесандровск, ул. Красносельская, 24"
271,225-12алк/Пор,7/4/2012,"ООО ""Зевс""","Поронайский р-н, г. Поронайск, ул. Ленина, 8",МЕ007047,7/3/2013,действующая,алк> 15%,"бар     г. Поронайск ул. Ленина, 8; кафе    г. Поронайск ул. Ленина, 8"
272,235-12алк/ЮС,7/6/2012,"ООО ""Настюша""","г. Южно-Сахалинск, пр. Мира, 178/А",МЕ007060,7/5/2013,действующая,алк> 15%,"магазин ""Виктория"" г. Южно-Сахалинск пл. р-он Хомутово, ул. 2-я Центральная, 2"
273,230-12алк/ЮС,7/6/2012,"ООО ""О`Кей""","г. Южно-Сахалинск, ул. Южно-Сахалинская, 11/Б",МЕ 007055,7/5/2013,действующая,алк> 15%,"магазин ""О`Кей"" г. Южно-Сахалинск ул. Южно-Сахалинская, 11/Б"
274,233-12алк/Нев,7/6/2012,"ООО ""Лилия""","Невельский р-н, г. Невельск, ул. Ленина, 63",МЕ007058,7/5/2013,действующая,алк> 15%,"магазин ""Лилия"" г. Невельск ул. Ленина, 63"
275,231-12алк/Ан,7/6/2012,"ООО ""Аристей""","Анивский р-н, с. Ново Троицкое, ул. Зеленая, 6, оф. 1",МЕ007056,7/5/2013,действующая,алк> 15%,"магазин ""Центральный"" с. Ново Троицкое ул. Октябрьская, 4"
276,56-11алк/Ох,7/7/2011,"ООО ""Мадэра""","Охинский р-н, г. Оха, ул. Советская, 2",МЕ006619,7/6/2013,действующая,алк> 15%,"магазин ""Удача"" г. Оха ул. Советская, 2; магазин ""Радуга - 2"" п. Тунгор ул. Ленина, 7"
277,238-12алк/ЮС,7/8/2012,"ООО ""НАМО""","г. Южно-Сахалинск, пр-кт Победы, 75",МЕ007063,7/7/2013,действующая,алк> 15%,"бар ""Гризли"" г. Южно-Сахалинск ул. Победы, 75"
278,240-12алк/Дол,7/8/2012,"ООО ""Туман""","Долинский р-н, с. Сокол, ул. Широкая, 20/В",МЕ007065,7/7/2013,действующая,алк> 15%,"магазин ""Туман"" с. Сокол ул. Широкая, 20/В"
279,237-12алк/Дол,7/8/2012,"ООО ""Елена""","Долинский р-н, г. Долинск, ул. Шевченко, 41",МЕ007062,7/7/2013,действующая,алк> 15%,"магазин ""Елена"" с. Взморье ул. Вокзальная, 20/А; магазин ""Бриз"" с. Стародубское ул. Набережная, 30"
280,239-12алк/Хол,7/8/2012,"ООО ""Надия""","Холмский р-н, г. Холмск, ул. Портовая, 6",МЕ007064,7/7/2013,действующая,алк> 15%,"магазин ""Надия"" №45 г. Холмск ул. Портовая, 6; магазин №2 ""Хлеб"" г. Холмск ул. Советская, 72; магазин ""Зима"" г. Холмск ул. Победы, 26/А; магазин ""Лазурный"" г. Холмск ул. Молодежная, 6"
281,78-08алк/Ох,3/5/2011,"ООО ""Максимум""","Охинский р-н, г. Оха, ул.Красноармейская,26",МЕ005553,7/8/2013,действующая продленная,алк> 15%,"магазин ""магазин №5"" г. Оха ул. Красноармейская, 26; магазин ""Спутник-3"" г. Оха ул. Дзержинского, 29/1"
282,244-12алк/ЮС,7/13/2012,"КП СО ""ПТУ Правительства Сахалинской Области""","г. Южно-Сахалинск, пр. Мира, 107, пом. 50",МЕ007070,7/12/2013,действующая,алк> 15%,"кафе    г. Южно-Сахалинск пр. Коммунистический, 39"
283,247-12алк/Вах,7/13/2012,"ООО ""Импульс""","Вахрушевский р-н, Вахрушев, ул. Центральная, 62",МЕ007073,7/12/2013,действующая,алк> 15%,"магазин ""Импульс"" Вахрушев ул. Центральная, 62"
284,258-12алк/Мак,7/13/2012,"ООО ""Дом Романовых""","Макаровский р-н, г. Макаров, ул. Хабаровская, 11/А",МЕ007084,7/12/2013,действующая,алк> 15%,"магазин ""Дом Романовых"" г. Макаров ул. Хабаровская, 11/А"
285,253-12алк/Ан,7/13/2012,"ООО ""Восток""","Анивский р-н, г. Анива, ул. Калинина, 1/3",МЕ007079,7/12/2013,действующая,алк> 15%,"магазин ""21 Век"" г. Анива ул. Калинина, 3; кафе ""21 Век"" г. Анива ул. Калинина, 3"
286,249-12алк/Ног,7/13/2012,"ООО ""РОСТ""","Ногликский р-н, п.г.т.  Ноглики, ул. Физкультурная, 2",МЕ007075,7/12/2013,действующая,алк> 15%,"бар    п.г.т.  Ноглики ул. Физкультурная, 2"
287,255-12алк/,7/13/2012,"ООО ""Лира""","Курильский р-н, г. Курильск, ул. 60 лет Октября, 3/3",МЕ007081,7/12/2013,действующая,алк> 15%,"магазин ""Лира"" с. Китовое ул. Пограничная"
288,254-12алк/ЮС,8/31/2012,"ООО ""Битренд""","г. Южно-Сахалинск, пр. Мира, 250",МЕ007157,7/12/2013,действующая переоформленная,алк> 15%,"кафе ""Гранд Лион"" г. Южно-Сахалинск пр. Мира, 250; бар ""Гранд Лион"" г. Южно-Сахалинск пр. Мира, 250 (2-й этаж); бар ""Гранд Лион""  г. Южно-Сахалинск ул. Ленина, 250 (3-й этаж)"
289,84-08алк/Хол,7/15/2008,"ООО ""МИРАЖ""","Холмский р-н, г. Холмск, ул.Советская, 60",МЕ004570,7/15/2013,действующая продленная,алк> 15%,"магазин ""Ларчик"" г. Холмск ул.Пушкина, 25"
290,264-12алк/ЮС,7/18/2012,"ООО ""Подкова""","г. Южно-Сахалинск, ул. Комсомольская, 133/А, 2",МЕ007090,7/17/2013,действующая,алк> 15%,"кафе ""Подкова"" г. Южно-Сахалинск ул. Комсомольская, 133/А"
291,263-12алк/Нев,7/18/2012,"ООО ""Взморье""","Невельский р-н, г. Невельск, ул. Береговая, 16/А",МЕ007089,7/17/2013,действующая,алк> 15%,"магазин ""Взморье"" г. Невельск ул. Береговая, 16/А"
292,89-07алк/Ан,8/8/2007,"ООО ""Новация +""","Анивский р-н, с.Рыбацкое, ул.Береговая,5",МЕ004307,7/18/2013,действующая продленная,алк> 15%,"магазин ""Абаев"" с.Рыбацкое ул.Анивская, 21; магазин ""Юлия"" г. Анива ул.Калинина, 110а"
293,63-11алк/Том,7/21/2011,"ООО ""Визит""","Томаринский р-н, с. Красногорск, ул. Заводская, 14",МЕ006628,7/20/2013,действующая,алк> 15%,"магазин ""Визит"" Вахрушев ул. Заводская, 14"
294,64-11алк/Ох,7/21/2011,"ООО ""Эконом""","Охинский р-н, г. Оха, ул. Советская, 3/Б",МЕ006629,7/20/2013,действующая,алк> 15%,"магазин ""Эконом"" г. Оха ул. Советская, 3/Б"
295,271-12алк/ЮС,7/25/2012,"ООО ""Росторг""","г. Южно-Сахалинск, ул. Комсомольская, 298/Б",МЕ007097,7/24/2013,действующая,алк> 15%,"супермаркет ""Теремок"" г. Южно-Сахалинск пр. Победы, 4/Б"
296,278-12алк/ЮС,7/27/2012,"ООО ""Андорра""","г. Южно-Сахалинск, пр. Мира, 379/А",МЕ007104,7/26/2013,действующая,алк> 15%,"магазин ""Велком"" г. Южно-Сахалинск пр. Мира, 375"
297,284-12алк/Мак,7/27/2012,"ООО ""Люкс""","Макаровский р-н, г. Макаров, ул. 50 лет ВЛКСМ, 21",МЕ007110,7/26/2013,действующая,алк> 15%,"магазин ""Ника"" г. Макаров ул. 50 лет Октября, 7"
298,285-12алк/Пор,7/27/2012,"ООО ""Чудеса""","Поронайский р-н, г. Поронайск, ул. Ленина, 5/6",МЕ007111,7/26/2013,действующая,алк> 15%,"магазин ""Чудеса"" г. Поронайск ул. Октябрьская, 39"
299,280-12алк/ЮС,7/27/2012,"ООО ""Забава""","г. Южно-Сахалинск, ул. Ленина, 294",МЕ007106,7/26/2013,действующая,алк> 15%,"магазин ""Забава"" г. Южно-Сахалинск ул. Ленина, 294"
300,295-12алк/Угл,7/27/2012,"ООО ""Минутка""","Углегорский р-н, г. Углегорск, ул. Красноармейская, 2, пом. 3",МЕ007124,7/26/2013,действующая,алк> 15%,"магазин ""Минутка"" г. Углегорск ул. Красноармейская, 2, пом. 3"
301,277-12алк/Хол,7/27/2012,"ООО ""Екатерина""","Холмский р-н, п. Чапланово, ул. Советская, 29/А",МЕ007103,7/26/2013,действующая,алк> 15%,"магазин ""Дашенька"" п. Чапланово ул. Советская, 29/А"
302,286-12алк/ЮС,7/27/2012,"ООО ""Ариэль""","г. Южно-Сахалинск, пл.р/н Новоалександровск, ул.Советская,41а",МЕ007112,7/26/2013,действующая,алк> 15%,"магазин ""Надежда"" г. Южно-Сахалинск пл. р/н Новоалександровск, ул. 3-я Строительная, 4/Б"
303,65-11алк/ЮС,7/28/2011,"ООО ""КОМИТЕТ""","г. Южно-Сахалинск, ул. Ленина, 154",МЕ006632,7/27/2013,действующая,алк> 15%,"кафе ""Комитет"" г. Южно-Сахалинск ул. Ленина, 154"
304,289-12алк/ЮС,7/28/2012,"ООО ""Бабек""","г. Южно-Сахалинск, пл. р-он Луговое, ул. Дружбы, 3, оф. 26",МЕ007114,7/27/2013,действующая,алк> 15%,"магазин ""Юг"" г. Южно-Сахалинск пл. р/н Луговое, ул. Дружбы, 1/1"
305,290-12алк/Дол,8/1/2012,"ООО ""Рубин""","Долинский р-н, с. Быков, ул. Горняцкая, 5/А, пом. 23",МЕ007115,7/31/2013,действующая,алк> 15%,"магазин ""Рубин"" с. Быков ул. Горняцкая, 5/А, пом. 23"
306,291-12алк/Хол,8/1/2012,"ООО ""Миссия""","Холмский р-н, с.Чехов, ул. Парковая, 15",МЕ007116,7/31/2013,действующая,алк> 15%,"магазин ""Осень"" с.Чехов ул. Северная, б/н"
307,292-12алк/Ох,8/1/2012,"ООО ""Три поросёнка""","Охинский р-н, г. Оха, ул. Карла Маркса, 33/3",МЕ007118,7/31/2013,действующая,алк> 15%,"магазин ""Три поросенка"" г. Оха ул. К. Маркса, 33/3"
