РЕЕСТР,,,,,,,,,
"действующих лицензий на розничную продажу алкогольной продукции,",,,,,,,,,
"выданных министерством сельского хозяйства, торговли и продовольствия Сахалинской области на  01.10.2012 года ",,,,,,,,,
"№
п/п","Номер 
регистрации","Дата 
выдачи","Название 
организации",Место нахождения организации,"Номер 
лицензии","Срок 
действия",Статус,Условие,Объекты
53,433-09алк/Ан,12/3/2009,"ООО ""Фирма ТЕДИ""","Анивский р-н, с. Троицкое, ул.Гвардейская,4/25",МЕ005212,12/3/2012,действующая,алк> 15%,"магазин ""Центральный"" с. Троицкое ул.Центральная,19а"
54,432-09алк/Дол,12/3/2009,"ООО ""Планета""","Долинский р-н, г. Долинск, ул.Комсомольская,16",МЕ005210,12/3/2012,действующая,алк> 15%,"магазин ""Тоша"" с. Быков ул.Торговая,6; магазин ""Планета"" г. Долинск ул.Комсомольская16"
55,436-09алк/Дол,12/3/2009,"ООО ""АЛЬФА""","Долинский р-н, с. Стародубское, ул.Лобанова, 4",МЕ005213,12/3/2012,действующая,алк> 15%,"магазин ""Нина"" с. Стародубское ул.Лобанова, 4"
56,438-09алк/Ног,12/3/2009,"ООО ""Комбинат +""","Ногликский р-н, п.г.т.  Ноглики, ул.Советская,44",МЕ005215,12/3/2012,действующая,алк> 15%,"бар ""Завод"" п.г.т.  Ноглики ул.Советская,44а"
57,431-09алк/Пор,12/3/2009,"ООО ""Горняк""","Поронайский р-н, с. Тихменево, ул.Строительная,3/2",МЕ005209,12/3/2012,действующая,алк> 15%,"магазин ""Горняк"" с. Тихменево ул.Горького,10"
58,124-11алк/Нев,12/8/2011,"ООО ""Корс""","Невельский р-н, г. Невельск, ул. Школьная, 93",МЕ006724,12/7/2012,действующая,алк> 15%,"магазин ""Продукты"" г. Невельск ул. Школьная, 93; магазин ""Продукты"" г. Невельск ул. Ленина, 1/А, стр. 5"
59,125-11алк/См,12/8/2011,"ООО ""Визит""","Смирныховский р-н, п.г.т. Смирных, ул. Центральная, 25/А",МЕ006725,12/7/2012,действующая,алк> 15%,"магазин ""Визит"" п.г.т. Смирных ул. Центральная, 25/А, пом. 1"
60,131-11алк/См,12/8/2011,"ООО ""Дева""","Смирныховский р-н, п.г.т. Смирных, ул.Железнодорожная,13/2",МЕ006731,12/7/2012,действующая,алк> 15%,"кафе ""Азалия"" п.г.т. Смирных ул. Горького, 14/А"
61,129-11алк/Кор,12/8/2011,"ООО ""САХАЛИН КОНКОРД""","Корсаковский р-н, г. Корсаков, ул. Нагорная, 62-1",МЕ006733,12/7/2012,действующая,алк> 15%,"магазин ""Удача"" г. Корсаков ул. Нагорная, 62, оф. 1"
62,128-11алк/ЮС,9/7/2012,"ООО ""ВАРС""","г. Южно-Сахалинск, ул. Сентябрьская, 16",МЕ007181,12/7/2012,действующая переоформленная,алк> 15%,"кафе ""Черри"" г. Южно-Сахалинск ул. Сахалинская, 117"
63,448-09алк/ЮС,12/10/2009,"ООО ""Мария-95""","г. Южно-Сахалинск, пр.Мира,109",МЕ005228,12/10/2012,действующая,алк> 15%,"кафе ""Вечернее"" г. Южно-Сахалинск пр.Мира,109"
