,,,,,,,,,,,
,"Реестр лицензий, текущий статус которых ""действует"" по состоянию на 08 октября 2012 г.",,,,,,,,,,
,,,,,,,,,,,
,,Параметры отбора:,,,,,,,,,
,,Статус лицензий = Действует,,,,,,,,,
,№,Лицензиант,ИНН,КПП,Данные лицензии,,,,,,Юридический адрес
,,,,,Номер ,Серия,Дата выдачи,Дата начала,Дата окончания,Текущий статус,
,103,"Общество с ограниченной ответственностью ""21 век""",2129044689,213001001,"830,993",Г,01.08.2008,01.08.2008,31.07.2013,Действует,"428000, Чувашская Респ, , Чебоксары г, , Пролетарская ул, 16, ,"
,104,"Общество с ограниченной ответственностью ""4Д""",2130061858,213001001,"1,230",ЛГN,13.09.2012,13.09.2012,12.09.2014,Действует,"428000, Чувашская Респ, , Чебоксары г, , Московский пр-кт, 38, корпус III, , "
,105,"Общество с ограниченной ответственностью ""555""",2130000421,213001001,"1,185",ЛГN,04.09.2012,04.09.2012,10.01.2013,Действует,"428027, Чувашская Респ, , Чебоксары г, , 9 Пятилетки пр-кт, 28, 39,"
,106,"Общество с ограниченной ответственностью ""XXX""",2130090577,213001001,"1,159",ЛГN,22.08.2012,31.08.2012,30.08.2013,Действует,"428003, Чувашская Респ, , Чебоксары г, , Купца Ефремова ул, 3, , "
,107,"Общество с ограниченной ответственностью ""А-ОАЗИС""",2130039122,213001001,"831,454",Г,26.08.2008,26.08.2008,25.08.2013,Действует,"428020, Чувашская Респ, , Чебоксары г, , Инженера Куприянова ул, 18/16, , "
,108,"Общество с ограниченной ответственностью ""Абак""",2128705544,213001001,572,ЛГN,11.11.2011,11.11.2011,27.12.2015,Действует,"428029, Чувашская Респ, , Чебоксары г, , Ленинского Комсомола ул, 16, ,"
,109,"Общество с ограниченной ответственностью ""Абсолют""",2130002147,213001001,"1,022",ЛГN,28.06.2012,07.07.2012,06.07.2017,Действует,"428000, Чувашская Респ, , Чебоксары г, , К.Маркса ул, 51а, ,"
,110,"Общество с ограниченной ответственностью ""Абсолют""",2116496906,211601001,"831,546",Г,16.01.2009,16.01.2009,15.01.2014,Действует,"429500, Чувашская Респ, Чебоксарский р-н, , Кугеси рп, Советская ул, 67а, ,"
,111,"Общество с ограниченной ответственностью ""Авантаж""",2105005095,210501001,"831,558",Г,16.02.2009,16.02.2009,15.02.2014,Действует,"429700, Чувашская Респ, Ибресинский р-н, , Ибреси пгт, Комсомольская ул, 1, , "
,112,"Общество с ограниченной ответственностью ""Август""",2130075681,213001001,"1,249",ЛГN,25.09.2012,20.10.2012,19.10.2015,Действует,"428014, Чувашская Респ, , Чебоксары г, , Волкова ул, 6, , "
,113,"Общество с ограниченной ответственностью ""Авеко""",2122001446,212201001,"831,577",Г,15.04.2009,15.04.2009,14.04.2014,Действует,"429826, Чувашская Респ, Алатырь г, Ленина ул, 41"
,114,"Общество с ограниченной ответственностью ""Аверс""",2130001062,213001001,520,ЛГ,18.10.2011,18.10.2011,17.10.2012,Действует,"428017, Чувашская Респ, , Чебоксары г, , Т.Кривова ул, 3, ,"
