                  Государственный реестр выданных лицензий  за май 2012 г. по  Хабаровскому краю,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
№ пп,Организация - заявитель ,,,,, Объект,Место осуществления деятельности                                           ,Общая площадь,Арендуемая площадь,"Площадь торг зала, кол-во посадочных мест ",Время работы ,Примечание,Номер и срок действия лицензии,
,ОПФ,нименование организации,юридический адрес,"ИНН, КПП, ОГРН","Вид деятельности, заявленный срок в годах",,,,,,,,,
г. Хабаровск,,,,,,,,,,,,,,
32,ООО," ""Успех плюс""","г.Комсомольск-на-Амуре, аллея Труда д.64, тел. 8 (4217) 57-87-29",2703025683/270301001/1042700022364,"розничная продажа АП, розничная продажа АП в розлив 1 год",бар ,"г.Комсомольск-на-Амуре, аллея Труда д.64",50,50,24,9-22,продление с 14.06.2012,ХБ 001087 № 1321 14.06.2012 - 14.06.2013,
,,,,,,магазин ,"г.Комсомольск-на-Амуре, аллея Труда д.64",396.1,396.1,148,9-22,,,
33,ООО,"""Гарем""","г.Комсомольск-на-Амуре, ул.Парижской Коммуны д.28, тел. 8 (4217) 53-03-54",2703033892/270301001/1062703008598,розничная продажа АП в розлив 5 лет,кафе ,"г.Комсомольск-на-Амуре, ул.Парижской Коммуны д.28",157.4,157.4,35,12-02,продление с 19.06.2012,ХБ 001080 № 1331 19.06.2012 - 19.06.2017,
34,ООО,"""Гурман""","г.Комсомольск-на-Амуре, ул.Советская д.27, 57, тел. 22-27-72",2703049525/270301001/1092703000390,розничная продажа АП в розлив 1 год,кафе,"г.Комсомольск-на-Амуре, ул.Сидоренко д.32",488.9,488.9,40,10-23,продление,ХБ 001055 № 2361 15.05.2012 - 15.05.2013,
35,ООО,"""Дарина""","г.Комсомольск-на-Амуре, пр-кт.Победы д.45, 39, тел. 8-909-862-39-83",2703049412/270301001/1092703000279,розничная продажа АП 5 лет,магазин,"г.Комсомольск-на-Амуре, ул.Копылова д.32",113.5,113.5,77.8,9-22,доп. объект,ХБ 002061 № 1960 14.04.2009 - 14.04.2014,
36,ООО,"""Малахит""","г.Комсомольск-на-Амуре, пр-кт.Первостроителей д.21, тел. 8 (4217) 53-29-16",2703022065/270301001/1032700037622,"розничная продажа АП, розничная продажа АП в розлив 3 года",бар,"г.Комсомольск-на-Амуре, пр-кт.Первостроителей д.21",61.5,61.5,20,10-23,продление,ХБ 001076 № 2365 15.05.2012 - 15.05.2015,
,,,,,,магазин,"г.Комсомольск-на-Амуре, пр-кт.Ленина д.41",366.7,366.7,251.1,8-23,,,
37,ООО,"""Родина""","г.Комсомольск-на-Амуре, ш.Северное д.10, корп. 3, тел. 8-914-547-97-17",2703059273/270301001/1112703000970,розничная продажа АП 2 года,магазин,"г.Комсомольск-на-Амуре, ш.Северное д.10-3",404,404,26,,доп. объект,ХБ 001014 № 2556 17.04.2012 - 17.04.2014,
38,ООО,"""Стерх""","г.Комсомольск-на-Амуре, пр-кт.Ленина д.38, тел. 8 (4217) 54-40-62",2703037255/270301001/1062703061959,розничная продажа АП 2 года,магазин,"г.Комсомольск-на-Амуре, пр-кт.Ленина д.38",74.8,74.8,48.5,9-21,доп. объект,ХБ 001037 № 2564 17.04.2012 - 17.04.2014,
39,ООО,"""Эвриком"""," г.Комсомольск-на-Амуре, пр-кт.Ленина д.17, тел. 54-35-84",2703034053/270301001/1062703018751,розничная продажа АП в розлив 1 год,бар,"г.Комсомольск-на-Амуре, пр-кт.Ленина д.17",154,154,42,11-02,продление с 16.06.2012,ХБ 001068 № 2000 16.06.2012 - 16.06.2013,
40,ООО,"""Амрита""","г.Комсомольск-на-Амуре, ул.Почтовая д.13, тел. 8-924-100-81-00",2703034920/270301001/1062703019268,розничная продажа АП 1 год,магазин,"г.Комсомольск-на-Амуре, ул.Почтовая д.13",126.1,126.1,50,8-23,продление с 16.06.2012,ХБ 001093 № 1996 16.06.2012 - 16.06.2013,
41,ООО,"""ДВ-Вместе""","г.Комсомольск-на-Амуре, ул.Павловского д.19-2, тел. 8-962-287-37-79",2703052976/270301001/1092703003689,розничная продажа АП в розлив 1 год,кафе,"г.Комсомольск-на-Амуре, ул.Павловского д.19-2",233,233,40,11-07,продление,ХБ 001096 № 2179 15.05.2012 - 15.05.2013,
42,ООО,"""Столица-Диора""","г.Хабаровск, ул.Краснореченская д.92, тел. 962-501-08-90",2723095745/272301001/1072723006696,розничная продажа АП 5 лет,магазин,"г.Комсомольск-на-Амуре, пр-кт.Победы д.14",194,,80,10-20,доп. объект,ХБ 001764 № 1832 16.12.2008 - 16.12.2013,
Амурский р-н,,,,,,,,,,,,,,
43,ООО,"""Арина""","г.Амурск, пр-кт.Мира д.54, тел. 8 (42-142) 2-06-38",2706016905/270601001/1022700649839,розничная продажа АП 1 год,магазин,"г.Амурск, пр-кт.Мира д.54",220.4,,36,8-23,продление с 24.05.2012,ХБ 001079 № 276 24.05.2012 - 24.05.2013,
Ванинский р-н,,,,,,,,,,,,,,
44,ООО,"""Анта""","п.с.т.Монгохто, ул.Спортивная д.5, 62, тел. 8-909-841-49-73",2709011662/270901001/1062709013124,розничная продажа АП 2 года,магазин,"п.с.т.Монгохто, ул.Театральная д.12",75.7,75.7,39.9,9-21,продление с 12.07.2012,ХБ 001103 № 705 12.07.2012 - 12.07.2014,
