,Реестр действующих лицензий на право розничной продажи алкогольной продукции,,,,,,
,по состоянию на 02.10.2012г.,,,,,,
,,,,,,,
,№ п/п,Наименование организации (предприятия),"Адрес, директор, телефон","Торговые точки, адрес",Номер лицензии,Срок действия лицензии,Вид лицензируемой алкогольной продукции
,,,,"6 577,Магазин, Кузоватовский район, р.п.Кузоватово, ул.К.Маркса, 41 А",,,
,,,,"6 578,Закусочная, Кузоватовский район, р.п.Кузоватово, ул,К.Маркса, 41 А",,,
,,,,"6 579,Магазин, Чердаклинский район, с.Архангельское, ул. 50 лет Победы, 1",,,
,,,,"6 580,Магазин, Чердаклинский район, с.Архангельское, проезд Сиреневый, 21 А",,,
,,,,"6 581,Кафе, Чердаклинский район, с.Архангельское, проезд Сиреневый, 21 А",,,
,,,,"6 582,Магазин, Сурский район, с.Астрадамовка, Красная площадь, 11",,,
,,,,"6 584,Магазин, Сенгилеевский район, с.Алешкино, ул.Ленина, 84 А",,,
,,,,"6 586,Магазин, Карсунский район, с.Сухой Карсун, ул.Новая, 40 а",,,
,,,,"6 587,Магазин, Карсунский район, р.п.Карсун, ул.Репинского, 19 А",,,
,,,,"6 544,Магазин, г.Димитровград, пр-т Автостроителей, 51 В",,,
,,,,"7 074,Магазин, Майнский район: с.Степное Матюнино, ул.Школьная, 8 А",,,
,,,,"7 075,Магазин, Новоспасский  район, р.п.Новоспасское, пл.Семашко, 9",,,
,,,,"2 157,Магазин, Старомайнский район, р.п.Старая Майна, ул.Рабочая, 12 а",,,
,,,,"2 128,Магазин, Майнский р-н, с.Тагай, ул.Центральная, 90",,,
,,,,"2 161,Магазин, Старомайнский район, с.Прибрежное, ул.Советская, 1",,,
,,,,"2 162,Магазин, Старомайнский район, с.Лесная Поляна, Глубинная, 17",,,
,,,,"2 163,Магазин, Старомайнский район, р.п.Старая Майна, ул.Красногвардейская, 19",,,
,,,,"2 166,Магазин, Чердаклинский район, с.Уразгильдино, ул.Школьная, 32",,,
,,,,"2 173,Магазин, Кузоватовский район, р.п.Кузоватово, ул.Советская, 67 а",,,
,,,,"2 174,Магазин, Мелекесский район, с.Александровка, ул.Ленина, 50/1",,,
,,,,"2 175,Магазин, Майнский район, п.Гимово",,,
,,,,"2 129,Магазин, Майнский р-н, с.Абрамовка, ул.Почтовая, 39",,,
,,,,"2 130,Магазин, Майнский р-н, ст.Выры",,,
,,,,"6 583,Магазин, Сурский район, с.Астрадамовка, Красная площадь, 28 А",,,
,,,,"2 160,Магазин, Старомайнский район, р.п.Старая Майна, ул.Дзержинского, 4 а",,,
,,,,"6 835,Кафе, Ульяновский район, с.Большие Ключищи, в районе поста ГАИ",,,
,,,,"6 836,Магазин, г.Новоульяновск, п.Меловой, ул.Ульяновская, 12",,,
,,,,"6 837,Магазин, г.Ульяновск, ул.Б.Хмельницкого, 13",,,
,,,,"6 838,Магазин, г.Ульяновск, ул.Вр.Михайлова, 30 А",,,
,,,,"6 839,Магазин, г.Ульяновск, ул.Краснопролетарская, 26",,,
,,,,"6 840,Магазин, Ульяновский район, с.Большие Ключищи, ул.Каштанкина, 50 А",,,
,,,,"6 841,Магазин, г.Ульяновск, ул.Пушкарева, 64 ",,,
,,,,"6 545,Магазин, Чердаклинский район, с.Енганаево, ул.Советская, 7 А",,,
,,,,"6 546,Магазин, Старомайнский район, с.Прибрежное, ул.Пролетарская, 2",,,
,,,,"6 870,Магазин, г.Ульяновск, ул.Рабочая, 19",,,
,,,,"6 873,Закусочная, г.Ульяновск, ул.Радищева, 144 а",,,
,,,,"6 875,Магазин, Майнский район, р.п.Майна, ул.Почтовая, 24",,,
,,,,"6 547,Магазин, Чердаклинский район, с.Суходол, ул.Мира, 16",,,
,,,,"6 548,Магазин, Чердаклинский район, с.Красный Яр, ул.Димитрова, 1 А",,,
,,,,"6 909,Магазин, г.Димитровград, ул.Гвардейская, 36 б",,,
,,,,"6 910,Кафе-бар, г.Димитровград, пр-т Автостроителей, 67",,,
,,,,"6 911,Бар, г.Ульяновск, ул.Гончарова, 33\2",,,
,,,,"6 932,Магазин, г.Ульяновск, пр-д Менделеева, 18 А",,,
,,,,"6 935,Магазин, Мелекесский район, с.Ерыклинск, ул.Колхозная, 24",,,
,,,,"6 937,Закусочная, Мелекесский район, с.Русский Мелекесс, ул.Центральная, 14/1",,,
,,,,"6 939,Магазин, г.Ульяновск, пр-т Врача Сурова, 20 Б",,,
,,,,"6 940,Магазин, г.Ульяновск, ул.Пионерская, 11 А",,,
,,,,"6 942,Бар, г.Ульяновск, ул.Автомобилистов, 1 А",,,
,,,,"6 943,Бар, г.Ульяновск, ул.Советская, 8",,,
,,,,"6 957,Магазин, г.Ульяновск, ул.Урицкого, 27",,,
,,,,"2 178,Магазин, Цильнинский район, с.Пилюгино, ул.Центральная",,,
,,,,"2 179,Магазин, Цильнинский район, с.Степное Анненково, ул.Садовая",,,
,,,,"2 185,Магазин, г.Ульяновск, ул.Толбухина, 62  а",,,
,,,,"6 834,Магазин, г.Новоульяновск, с.Криуши, ул.Затон, 56",,,
,,,,"2 209,Магазин, г.Димитровград, ул.Западная, 26 А",,,
,,,,"2 210,Магазин, г.Димитровград, ул.Свирская, 31",,,
,,,,"2 212,Магазин, Кузоватовский район, р.п.Кузоватово, ул.Элеваторная, 1 А",,,
,,,,"2 213,Магазин, Кузоватовский район, с.Кузоватово, ул.Советская, 38",,,
,,,,"2 214,Магазин, г.Ульяновск, ул.Ефремова, 123 А",,,
,,,,"2 215,Магазин, г.Ульяновск, ул.Мостостроителей, 41",,,
,,,,"6 899,Магазин, Старомайнский район, р.п.Старая Майна, ул.Мира, 31 А",,,
,,,,"6 933,Магазин, Карсунский район, с.Татарская Голышевка, ул.Победы",,,
,,,,"2 177,Магазин, г.Ульяновск. ул.Хваткова, юго-западнее трамвайного кольца",,,
,,,,"5 662,Столовая, г.Димитровград, ул.Т.Потаповой, 125",,,
,,,,"2 257,Магазин, Чердаклинский район, р.п.Чердаклы, ул.Октябрьская, 12",,,
,,,,"2 258,Магазин, Сенгилеевский район, с.Шиловка, ул.Володарского, 24",,,
,,,,"1 169,Закусочная, г.Инза, ул.Тухачевского, 27",,,
,,,,"2 265,Магазин, г.Барыш, ул.Ленина, 68",,,
,,,,"1 175,Закусочная, г.Ульяновск, ул.Радищева, 53",,,
,,,,"1 176,Закусочная, г.Ульяновск, ул.Марата, 45",,,
,,,,"2 278,Магазин, г.Ульяновск, ул. Р.Люксембург, 23",,,
,,,,"2 279,Магазин, г.Ульяновск, перекресток ул.К.Либкнехта и ул.Ж.Дивизии, остановочный комплекс ""Ул.Ж.Дивизии""",,,
,,,,"2 280,Магазин, Ульяновский район, с.Салмановка, ул.Советская, 2 в",,,
,,,,"2 281,Магазин, г.Ульяновск, пр-т Ленинского Комсомола, 19 а",,,
,,,,"6 391,Магазин, Ульяновский район, с.Новая Беденьга, при въезде в село",,,
,,,,"6 779,Магазин, Сенгилеевский район, п.Силикатный. ул.Лесная, 1",,,
,,,,"6 780,Закусочная, г.Ульяновск, ул.Федерации, 16",,,
,,,,"6 781,Магазин, Чердаклинский район, с.Архангельское, ул.Дачная, 22 А",,,
,,,,"6 782,Магазин, Чердаклинский район, р.п.Чердаклы, ул.Советская, 64 А",,,
,,,,"6 783,Закусочная, Старомайнский район, с.Прибрежное, ул.Советская, 1",,,
,,,,"6 204,Кафе, г.Димитровград, пр-т Ленина, 9",,,
,,,,"6 206,Магазин, Чердаклинский район, с.Петровское. ул.Центральная, 69 А",,,
,,,,"2 294,Магазин, г.Ульяновск, ул.Минаева, 13",,,
,,,,"2 298,Магазин, Мелекесский район, р.п.Мулловка, ул.Маркова, 7",,,
,,,,"2 299,Магазин, Сенгилеевский район, п.Цемзавод, ул.Кооперативная, 4",,,
,,,,"2 305,Магазин, Инзенский район, с.Панциревка, ул.Центральная, 10",,,
,,,,"2 306,Магазин, г.Инза, ул.Революции, 101",,,
,,,,"2 307,Магазин, г.Инза, ул.Фридриха Энгельса, 57",,,
,,,,"2 308,Магазин, г.Инза, ул.Фабричная, 6 б",,,
,,,,"2 310,Магазин, г.Ульяновск, пр-т Хо Ши Мина, 14 а",,,
,,,,"1 180,Закусочная, г.Ульяновск, пр-т Хо Ши Мина, 14 а",,,
,,,,"1 181,Закусочная, г.Ульяновск. ул.Хваткова, юго-западнее трамвайного кольца",,,
,,,,"2 312,Магазин, Старомайнский район, р.п.Старая Майна, ул.Л.Толстого, 93",,,
,,,,"2 313,Магазин, Старомайнский район, р.п.Старая Майна, ул.Комсомольская, 31",,,
,,,,"2 324,Магазин, г.Ульяновск, ул.Ленина, 9",,,
,,,,"2 325,Магазин, Ульяновский район, р.п.Ишеевка, ул.Новокомбинатовская, 34 б",,,
,,,,"2 327,Магазин, Цильнинский район, с.Елховое Озеро, ул.Садовая, 59 а",,,
,,,,"2 328,Магазин, Кузоватовский район, с.Стоговка",,,
,,,,"2 329,Магазин, Кузоватовский район, р.п.Кузоватово, ул.Рабочая, 37 а",,,
,,,,"2 330,Магазин, Кузоватовский район, р.п.Кузоватово, ул.Полевая, 3 в",,,
,,,,"2 331,Магазин, Кузоватовский район, р.п.Кузоватово. пер.Хлебный, 3 а",,,
,,,,"2 332,Магазин, Кузоватовский район, с.Смышляевка, ул.Центральная, 37",,,
,,,,"2 333,Магазин, Кузоватовский район, р.п.Кузоватово, ул.Октябрьская. 20 б",,,
,,,,"2 334,Магазин, Майнский район, с.Загоскино, ул.Центральная",,,
,,,,"7 008,Магазин, Барышский район, п.Лесная Дача, ул.Центральная, 19",,,
,,,,"6 615,Магазин, Барышский район, г.Барыш, ул.Тростинского, 10",,,
,,,,"6 616,Магазин, г.Димитровград, ул.Тараканова, 40",,,
,,,,"6 617,Магазин, г.Ульяновск, ул. 40 лет Победы, 7",,,
,,,,"6 618,Магазин, г.Ульяновск, 14 проезд Инженерный, 13",,,
,,,,"6 619,Магазин, Цильнинский район, с.Б.Нагаткино, ул.Молодёжная, 7 А",,,
