41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
,,,,,,,,,,,,3/26/2009,3/26/2014,
,,,,,,,,,,,,4/6/2009,4/6/2014,
,,,,,,,,,,,,4/6/2009,4/6/2014,
,,,,,,,,,,,,7/13/2010,4/17/2014,
,,,,,,,,,,,,6/29/2009,6/29/2014,
,,,,,,,,,,,,6/29/2009,6/29/2014,
,,,,,,,,,,,,7/27/2012,8/18/2014,
,,,,,,,,,,,,7/27/2012,8/18/2014,
,,,,,,,,,,,,8/12/2009,8/12/2014,
,,,,,,,,,,,,8/12/2009,8/12/2014,
,,,,,,,,,,,,9/21/2009,9/21/2014,
,,,,,,,,,,,,9/21/2009,9/21/2014,
,,,,,,,,,,,,10/1/2009,10/1/2014,
,,,,,,,,,,,,7/2/2010,12/8/2014,
,,,,,,,,,,,,7/2/2010,12/8/2014,
,,,,,,,,,,,,7/8/2010,12/8/2014,
,,,,,,,,,,,,7/8/2010,12/8/2014,
,,,,,,,,,,,,7/8/2010,12/8/2014,
,,,,,,,,,,,,12/8/2009,12/8/2014,
,,,,,,,,,,,,12/18/2009,12/8/2014,
,,,,,,,,,,,,12/18/2009,12/8/2014,
,,,,,,,,,,,,12/23/2009,12/8/2014,
,,,,,,,,,,,,12/28/2009,12/8/2014,
,,,,,,,,,,,,12/28/2009,12/8/2014,
,,,,,,,,,,,,1/29/2010,12/8/2014,
,,,,,,,,,,,,7/8/2010,12/8/2014,
,,,,,,,,,,,,2/3/2010,12/8/2014,
,,,,,,,,,,,,2/17/2010,12/8/2014,
,,,,,,,,,,,,2/17/2010,12/8/2014,
,,,,,,,,,,,,2/25/2010,12/8/2014,
,,,,,,,,,,,,2/17/2010,12/8/2014,
,,,,,,,,,,,,2/19/2010,12/8/2014,
,,,,,,,,,,,,12/14/2009,12/14/2014,
,,,,,,,,,,,,12/14/2009,12/14/2014,
,,,,,,,,,,,,5/11/2011,12/25/2014,
,,,,,,,,,,,,7/5/2010,1/25/2015,
,,,,,,,,,,,,7/5/2010,1/25/2015,
,,,,,,,,,,,,7/5/2010,1/25/2015,
,,,,,,,,,,,,7/5/2010,1/25/2015,
,,,,,,,,,,,,8/18/2010,1/25/2015,
,,,,,,,,,,,,8/18/2010,1/25/2015,
,,,,,,,,,,,,8/18/2010,1/25/2015,
,,,,,,,,,,,,9/1/2010,1/25/2015,
,,,,,,,,,,,,9/1/2010,1/25/2015,
,,,,,,,,,,,,9/10/2010,1/25/2015,
,,,,,,,,,,,,10/18/2010,1/25/2015,
,,,,,,,,,,,,9/24/2010,1/25/2015,
,,,,,,,,,,,,9/24/2010,1/25/2015,
,,,,,,,,,,,,10/1/2010,1/25/2015,
,,,,,,,,,,,,10/1/2010,1/25/2015,
,,,,,,,,,,,,10/25/2010,1/25/2015,
,,,,,,,,,,,,10/25/2010,1/25/2015,
,,,,,,,,,,,,12/29/2010,1/25/2015,
,,,,,,,,,,,,11/12/2010,1/25/2015,
,,,,,,,,,,,,11/12/2010,1/25/2015,
,,,,,,,,,,,,11/12/2010,1/25/2015,
,,,,,,,,,,,,11/22/2010,1/25/2015,
,,,,,,,,,,,,12/16/2010,1/25/2015,
,,,,,,,,,,,,12/16/2010,1/25/2015,
,,,,,,,,,,,,12/29/2010,1/25/2015,
,,,,,,,,,,,,12/29/2010,1/25/2015,
,,,,,,,,,,,,12/29/2010,1/25/2015,
,,,,,,,,,,,,1/21/2011,1/25/2015,
,,,,,,,,,,,,1/21/2011,1/25/2015,
,,,,,,,,,,,,1/21/2011,1/25/2015,
,,,,,,,,,,,,2/4/2011,1/25/2015,
,,,,,,,,,,,,2/4/2011,1/25/2015,
,,,,,,,,,,,,2/15/2011,1/25/2015,
,,,,,,,,,,,,3/16/2012,1/25/2015,
,,,,,,,,,,,,1/28/2010,1/28/2015,
,,,,,,,,,,,,1/28/2010,1/28/2015,
,,,,,,,,,,,,10/11/2011,10/11/2014,
,,,,,,,,,,,,10/11/2011,10/11/2014,
,,,,,,,,,,,,10/11/2011,10/11/2014,
,,,,,,,,,,,,11/3/2011,10/11/2014,
,,,,,,,,,,,,8/21/2012,10/11/2014,
,,,,,,,,,,,,4/15/2011,12/29/2015,
,,,,,,,,,,,,5/10/2011,12/29/2015,
,,,,,,,,,,,,5/20/2011,12/29/2015,
,,,,,,,,,,,,7/5/2011,12/29/2015,
,,,,,,,,,,,,5/10/2012,12/29/2015,
,,,,,,,,,,,,7/27/2012,12/29/2015,
,,,,,,,,,,,,3/18/2012,3/18/2017,
,,,,,,,,,,,,3/18/2012,3/18/2017,
,,,,,,,,,,,,3/18/2012,3/18/2017,
,,,,,,,,,,,,3/18/2012,3/18/2017,
