"Выписка из реестра  выданных лицензий на розничную продажу алкогольной продукции, 
лицензий, действие которых приостановлено, и и аннулированнных лицензий 
на территории Петрозаводского городского округа",,,,,,,,,
,Лицензирующий орган:  с 01.05.10 г,,,,,,,,
№,,Дата ,,Реквизиты лицензии,,Срок действия лицензии,,Продление лицензии,Разграничение реализации по % спирта
," ОФПР, название, место нахождения, телефон, 
ФИО руководителя","приема
 док-тов",выдачи лицензии,серия ,"рег.
номер ",начало ,конец,на срок по ,
1,5,22,23,24,25,26,27,28,36
69,"ООО,Мадлен,Петрозаводск,Титова,12/6",15/11/04,24/11/04,Б393117,82,24/11/04,24/11/07,25/11/12,вся АП
70,"ООО,Мариинское плюс,Петрозаводск,пр.К.Маркса,22,",13/07/04,22/07/04,Б393065,53,22/07/04,22/07/07,22/07/12,вся АП
71,"ООО,фирмаМедео,Петрозаводск,пр.Ленина,9,",28/07/04,06/08/04,Б233078,61,06/08/04,06/08/07,06/08/12,вся АП
72,"ООО,Миор,Петрозаводск,Куйбышева,9,78-53-88,",09/09/08,10/09/08,Б393337,127,10/09/08,10/09/13,,вся АП
73,"ООО,Мой день,Петрозаводск,Лисицыной,5а",22/10/03,30/10/03,Б393206,125,02/11/03,02/11/06,03/11/11,вся АП
74,"ООО,Мосторг,Петрозаводск,пр.Первомайский,31",05/03/03,05/03/03,Б393376,195,05/03/03,05/03/06,06/03/11,вся АП
75,"ООО,Медиум,Петрозаводск,бульвар Интернационалистов,6/4-",12/09/07,14/09/07,Б393092,70,14/09/07,14/09/12,,"вся АП, более 15 % - с 8 до 23"
76,"ООО,фирма Найк,Петрозаводск,пр.А.Невского,37-26,",06/03/07,14/03/07,Б393101,21,14/03/07,14/03/12,,"до 15 % -в городах, общая S < 50 кв.м"
77,"ООО,Негоциант,Петрозаводск,Зеленая,6,",29/08/03,01/09/03,996,,01/09/03,01/09/06,23/08/11,вся АП
78,"ООО,ННК,Петрозаводск,Березовая аллея,29а,",24/11/03,09/12/03,416,1057,01/01/04,31/12/06,31/12/11,вся АП
79,"ООО,Норд лимитед,Петрозаводск,пр.Ленина,8/Кирова,24,",12/11/04,23/11/04,Б393119,83,05/12/04,05/12/07,05/12/12,вся АП
80,"ООО,Нордия,Петрозаводск,пр.К.Маркса,12,76-15-50",17/07/03,30/07/03,993,,02/08/03,02/08/06,18/08/11,вся АП
81,"ООО,Норд,Петрозаводск,Новосулажгорская,23,",27/05/09,28/05/09,Б393326,180,28/05/09,28/05/14,,вся АП
82,"ООО,фирма,Олана,Петрозаводск,Мурманская,27",20/09/04,28/09/04,Б393096,69,02/10/04,02/10/07,02/10/12,вся АП
83,"ООО,Омега-Трейд,Петрозаводск,Свердлова,17-",07/07/05,12/07/02,Б393191,118,12/07/05,12/07/08,12/07/13,вся АП
84,"ООО,Онего,Петрозаводск,Кирова,10,",27/05/04,01/06/04,Б393359,38,03/06/04,03/06/07,03/06/12,вся АП
85,"ООО,Онего продукты плюс,Петрозаводск,Кирова,10,",09/12/08,15/12/08,Б393262,146,15/12/08,15/12/13,,вся АП
86,"ООО,Онего у Дома,Петрозаводск,Кирова,10.",09/12/08,15/12/08,Б393264,147,15/12/08,15/12/13,,вся АП
87,"ООО,Онего у Дома,Петрозаводск,Кирова,10, ",09/12/08,15/12/08,Б393264,147,15/12/08,15/12/13,,вся АП
88,"ООО,Озон,Петрозаводск,бр.Интернационалистов,17а, ",25/12/08,30/12/08,Б393393,160,30/12/08,30/12/13,,вся АП
89,"ООО,Рос-Плюс,Петрозаводск,Ковалевской,3",25/10/06,31/10/06,Б393292,166,01/11/06,01/11/11,,"вся АП, более 15 % - с 8 до 23"
90,"ООО,Петровский,Петрозаводск,Андропова,1,",20/10/06,25/10/06,,1013,25/10/06,25/10/11,,вся АП
91,"ООО,Прионежская,Петрозаводск,Федосовой,46,",08/07/05,13/07/05,Б393190,117,13/07/05,13/07/08,13/07/13,вся АП
92,"ООО,Продфронт-Плюс,Петрозаводск,Шуйское ш.,8,",09/06/07,22/06/07,Б393054,45,22/06/07,22/06/12,,вся АП
93,"ООО,Петров Град,Петрозаводск,пр.Первомайский,54,",20/10/06,31/10/06,1012,,31/10/06,31/10/11,,вся АП
94,"ООО,Петр,Петрозаводск,Шуйское ш.,16,",13/11/07,15/11/07,Б393116,81,15/11/07,15/11/12,,вся АП
95,"ООО,ПиК,Петрозаводск,Ленина,12-",28/02/08,19/03/08,Б393155,103,19/03/08,19/03/13,,вся АП
96,"ООО,Продуктовый рай,Петрозаводск,Архипова,30,",29/12/08,30/12/08,Б393389,161,30/12/08,30/12/13,,вся АП
97,"ООО,Пит Стоп,Петрозаводск,Шуйское ш,13,79-70-20.",23/04/08,29/04/08,Б393314,111,29/04/08,29/04/13,,вся АП
98,"ООО,Пинта,Петрозаводск, пр.Леной,47, 71-97-08,",04/08/08,06/08/08,Б393227,120,06/08/08,08/08/13,,вся АП
99,"ООО,Продвижение,Петрозаводск,Чапаева,5.,77-13-79",24/07/08,22/08/08,Б393204,124,22/08/08,22/08/13,,вся АП
100,"ООО,Продукты,Петрозаводск, Ватутина,33,",03/12/08,11/12/08,Б393317,143,11/12/08,11/12/13,,"вся АП, более 15 % - с 8 до 23"
101,"ООО,Петергофф,Петрозаводск,Л.Толстого,16-",17/03/10,30/03/10,Б393384,197,30/03/10,30/03/11,,вся АП
102,"ООО,фирма Радуга 2,Петрозаводск,Чапаева,34",21/08/03,22/08/03,Б393383,60,22/08/03,22/08/06,22/08/11,вся АП
103,"ООО,Рай.Ком,Петрозаводск,Титова,11,",01/12/03,11/12/03,419,1045,13/12/03,13/12/06,14/12/11,вся АП
104,"ООО,Мастер Фуд,Петрозаводск,Мелентьевой,60",01/10/06,05/10/06,1007,,06/10/06,06/10/11,,вся АП
105,"ООО,Российская пресса,Петрозаводск,Питкярантская,26-",21/12/05,27/12/05,Б393275,154,31/12/05,31/12/08,31/12/13,вся АП
106,"ООО,Россияночка,Петрозаводск,Станционная,26,",11/08/08,21/08/08,Б393203,123,21/08/08,21/08/13,,вся АП
107,"ОАО,Росспиртпром,Москва,пр.Кутузовский,34к.21",24/12/09,29/12/09,Б393369,191,29/12/09,29/12/14,,вся АП
108,"ООО,Руна,Петрозаводск,Энгельса,13,",26/12/05,28/12/05,Б393274,153,28/12/05,28/12/08,28/12/13,вся АП
109,"ООО,РестораныПетрозаводска, Петрозаводск,Титова,11,",22/01/07,25/01/07,393009,8,26/01/07,26/01/12,,вся АП
110,"ООО,Респект,Петрозаводск,пр.Октябрьский,60,",20/09/07,04/10/07,Б393097,70,04/10/07,04/10/12,,вся АП
111,"ООО,РесторанКарелия,Петрозаводск,наб.Гюллинга,2,",02/11/07,13/11/07,Б393114,79,13/11/07,13/11/12,,вся АП
112,"ООО,Радуга,Петрозаводск,Сегежская,10,",17/12/08,18/12/08,Б393396,149,18/12/08,18/12/13,,"вся АП, более 15 % - с 8 до 23"
113,"ООО,Релакс,Петрозаводск,Дзержинского,3,",23/12/08,26/12/08,Б393281,158,26/12/08,26/12/13,,вся АП
114,"ООО,Ресторан Клеопатра,Петрозаводск,Балтийская,21а, ",05/03/09,23/03/09,Б393305,173,23/03/09,23/03/14,,вся АП
115,"ООО,РТП 2010,Петрозаводск,Куйбышева,13,",29/03/10,31/03/10,Б393385,198,31/03/10,31/03/12,,вся АП
116,"ООО,Руна-Кейтеринг,Петрозаводск,Энгельса,13,78-42-45",16/04/10,16/04/10,Б393390,199,26/04/10,26/04/11,,вся АП
117,"ООО,Свеман,Прионежский р-н,п.Деревянное,Мира,7-",27/05/04,03/06/04,Б393331,43,03/06/04,03/06/07,03/06/12,вся АП
118,"ООО,СД,Петрозаводск,пр.Лесной,51,72-22-02",06/04/05,20/04/05,Б393361,85,20/04/05,20/04/08,20/04/13,вся АП
119,"ООО,Седьмой континент,Петрозаводск,пр.Первомайский,47,",26/02/04,11/03/04,Б393386,20,12/03/04,12/03/07,13/03/12,вся АП
120,"ООО,Сигма Сити,Петрозаводск,пр.Лесной,47,71-97-08,Блинков Г.В.",08/08/05,24/08/05,Б393207,106,25/08/05,25/08/08,25/08/13,вся АП
121,"ООО,Спартак плюс,Петрозаводск,Дзержинского,3,77-31-13",30/05/07,01/06/07,Б393051,42,01/06/07,01/06/12,,вся АП
