"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Нижнеилимский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
34,ООО,Св-во сер.38 №000195513,А 245055,п.Новая Игирма,,,,,,
,"""Сентябрь""",выдано МИ ФНС России №11 по,с 24.07.2011 г.,"м/р ""Химки"", д.23, кв.52, магазин ""Сентябрь""",,,7/24/2012,,,
,ИНН 3834010770,Ирк. обл. и УО БАО от 06.12.05 г.,по 24.07.2012 г.,,,,,,,
35,ООО,Св-во сер.38 №002399516,А 245201,"п.Н.Игирма, м/р Киевский, отдел а маг.""Медведь"";",,,,,,
,"""Айсберг""",выдано МИ ФНС России №11 по,с 25.06.2012 г.,"ул.Гагарина, д.35, отдел в маг.""Эдельвейс""; м/р Химки,",,,,,,
,ИНН 3834012016,Ирк. обл. и УО БАО от 23.06.06 г.,по 10.08.2016 г.,"отдел в маг.""Байкал""; м/р Киевский, отдел в маг ""Гранд"";",,,,,,
,,,переоф. А 245097,"м/р Химки, д.29, отдел в супермаркете ""Игирма""",,,,,,
36,ООО,Св-во сер.38 №002399513,А 245178,п.Новая Игирма,,,,,,
,"""Глобус""",выдано МИ ФНС России №11 по,с 14.09.2011 г.,"м/р ""Химки"", общ. №22, отдел в маг. ""Росинка""",с 01.03.2012 г.,,с 07.06.2012 г.,,,
,ИНН 3834012030,Ирк. обл. и УО БАО от 26.06.06 г.,по 14.09.2012 г.,,по 01.06.2012 г.,,,,,
37,ООО,Св-во сер. 38 №002399414,А 245093,п.Новая Игирма,,,,,,
,"""ПРЕСТИЖ"" ",выдано МИ ФНС России №11 по,с 13.06.2007 г.,"м/р ""Химки"", д.3, кв.48, отдел в магазине ""Престиж""",,,с 13.06.2012 г.,,,
,ИНН 3834011862,Ирк. обл. и УО БАО от 7.06.06 г.,по 13.06.2012 г.,,,,,,,
38,Нижнеилимское,Св-во сер. 38 №000194850,А 245033,"п.Н.Игирма, ул.Кубанская, 11, маг.№1;",,,,,,
,Райпо,выдано МИ ФНС России №11 по,с 5.05.2008 г.,"пер.Речной, 1, маг.№25; ул.Волгоградская, 36,",,,,,,
,ИНН 3834001208,Ирк. обл. и УО БАО от 02.03.05 г.,по 5.05.20013 г.,"маг.№4; ул.Калинина, 27, маг.№5;",,,,,,
,,,,"ул.Бархатова, 20, маг.№26; п.Рудногорск,",,,,,,
,,,,"ул.Вокзальная, 1 ""а"", маг.№9",,,,,,
39,ООО,Св-во сер.38 №000194141,А 245131,п.Новая Игирма,,,,,,
,"""МЕРКУРИЙ-ИЛИМ""",выдано ИМНС России  по,с 2.03.2009 г.,"ул.Илимская, д.31,  магазин ""Меркурий""",,,,,,
,ИНН 3834008429,Нижнеилимскому р-ну от 29.10.02 г.,по 2.03.2014 г.,,,,,,,
40,ООО,Св-во сер.38 № 002763714,А 245140,п.Новая Игирма,,,,,,
,"""Тайга""",выдано МИ ФНС России №11 по,с 22.07.2009 г.,"м/р ""Химки"", д.28, ресторан ""Тайга""",,,,,,
,ИНН 3834014310,Иркутской области от 06.04.2009 г.,по 22.07.2014 г.,,,,,,,
41,ООО,Св-во сер. 38 № 002423767,А 245141,п.Новая Игирма,,,,,,
,"""ЭСТЕЛ""",выдано МИ ФНС России №11 по,с 22.07.2009 г.,"ул.Гагарина, д.12 ""в"",  магазин ",,,,,,
,ИНН 3834013186,Иркутской обл. и УО БАО от 9.10.07 г.,по 22.07.2014 г.,,,,,,,
42,ООО,Св-во сер.38 №000195058,А 245142,п.Новая Игирма ,,,,,,
,"""Заиров и сыновья""",выдано МИ ФНС России №11 по,с 24.07.2009 г.,"ул.Новосёлов, д.71 ""а"", магазин ""Алёша""",,,,,,
,ИНН 3834008250,Иркутской обл. и УО БАО от 24.05.05 г.,по 24.07.2014 г.,,,,,,,
43,ООО,Св-во сер.38 №002399378,А 245202,"п.Видим, ул.Советская, д.10, магазин ""Эдем"";",,,,,,
,"""Эдем""",выдано МИ ФНС России №11 по,с 25.06.2012 г.,"ул.Советская, д.8, отдел в магазине ""Кристина"".",,,,,,
,ИНН 3834011781,Ирк. обл. и УО БАО от 23.05.06 г.,по 19.07.2012 г.,,,,,,,
,,,переоф.А 245175,,,,,,,
44,ООО,Св-во сер.38 №002399494,А 245188,п.Видим,,,,,,
,"""Бриз""",выдано МИ ФНС России №11 по,с 12.03.2012 г.,"ул.Советская, д.12 ""а"", отдел в магазине",,,,,,
,ИНН 3834012062,Ирк. обл. и УО БАО от 5.07.06 г.,по 09.10.2012 г.,,,,,,,
,,,переоф. А 245181,,,,,,,
45,ООО,Св-во сер.38 №002423060,А 245111,п.Речушка,,,,,,
,"""ГСТ""",выдано МИ ФНС России №11 по,с 26.02.2008 г.,"ул.Пионерская, д.4, отдел в магазине ""Юлия""",,,,,,
,ИНН 3834012778,Ирк. обл. и УО БАО от 2.04.07 г.,по 26.02.2013 г.,,,,,,,
46,ООО,Св-во сер.38 №002399211,А 245151 ,"п.Радищев, д.33, магазин ""Монарх""",,,,,,
,"""Монарх""",выдано МИ ФНС России №11 по,с 17.08.2011 г.,"г.Иркутск, ул.Дальневосточная, д.144,",,,,,,
,ИНН 3834011703,Ирк. обл. и УО БАО от 01.05.06 г.,по 17.08.2013 г.,"отдел в минимаркете ""Квадрат""",,,,,,
47,ООО,Св-во сер.38 №002399515,А 245190,"п.Семигорск,",,,,,,
,"""Романова""",выдано МИ ФНС России №11 по,с 26.03.2012 г.,"ул.Трактовая, д.23, отдел в магазин ""Квант"";",,,,,,
,ИНН 3834012048,Ирк. обл.  и УО БАО от 26.06.06 г.,по 21.08.2012 г.,"г.Железногорск-Илимский, 3 квартал, д.16""а"" ,",,,,,,
,,,переоф. А 245153,"отдел в магазине ""Северянка""",,,,,,
48,ООО,Св-во сер 38 №002399518,А 245189,п.Семигорск,,,,,,
,"""Яцык""",выдано МИ ФНС России №11 по,с 26.03.2012 г.,"ул.Кубанская, д.14, отдел в магазине № 2",с 01.03.2012 г.,,,,,
,ИНН 3834011990,Ирк. обл. и УО БАО от 23.06.06 г.,по 22.09.2013 г.,,по 01.09.2012 г.,,,,,
,,,переоф. А 245179,,,,,,,
49,ООО,Св-во сер 38 №002399222,А 245182,"п.Рудногорск, ул.Первомайская, д.4 ""а"",",,,,,,
,"""Аромат""",выдано МИ ФНС России №11 по,с 21.10.2011 г.,"магазин ""Багульник""",,,,,,
,ИНН 3834011742,Ирк. обл. и УО БАО от 10.05.06 г.,по 04.09.2012 г.,,,,,,,
50,ООО,Св-во сер 38 №002399439,А 245069,"п.Рудногорск, ул.Вокзальная, д.1/10,  магазин",,,,,,
,"""Снегири""",выдано МИ ФНС России №11 по,с 04.09.2011 г.,"""Снегири""; п.Радищев, д.4, магазин ""Снегири""",,,,,,
,ИНН 3834011950,Ирк. обл. и УО БАО от 19.06.06 г.,по 04.09.2013 г.,,,,,,,
51,ООО,Св-во сер.38 №003130391,А 245177,"п.Рудногорск, ул.Вокзальная, д.1/9, отдел в",,,,,,
,"""Афродита""",выдано МИ ФНС России №11 по,с 20.07.2011 г.,"магазине ""Тайга""; п.Новоилимс, ул.Мира, д.1 ""а"", ",,,20.07.2012 г.,,,
,ИНН 3834015183,Иркутской области от 17.12.2010 г.,по 20.07.2012 г.,"отдел в магазине ""Алина""",,,,,,
52,ООО,Св-во сер 38 №002399512,А 245251,"п.Рудногорск, ул.Почтовая, д.23, отдел в магазине",,,,,,
,"""Юнона""",выдано МИ ФНС России №11 по,с 30.12.2011 г.,"""Юнона""; бар ""Юнона""; отдел в магазине № 1;",  ,,,,,
,ИНН 3834012023,Ирк. обл. и УО БАО от 26.06.06 г.,по 30.12.2013 г.,отдел в магазине № 2.,,,,,,
53,ООО,Св-во сер.38 №003069907,А 245192,"п.Рудногорск, ул.Вокзальная, д.1/5, кв.21, магазин ",,,,,,
,"""Агата""",выдано МИ ФНС России №15 по,с 06.04.2012 г.,"""Агата""; ул.Вокзальная, д.1/4, магазин ""Агата плюс"".",,,,,,
,ИНН 3834015722,Иркутской области от 10.02.2012 г.,по 06.04.2017 г.,,,,,,,
54,ООО,Св-во сер.38 №002399526,А 245135,"п.Хребтовая, ул.Горького, д.7, отдел в магазине",,,,,,
,"""Кедр""",выдано МИ ФНС России №11 по,с 09.10.2011 г.,"""Продукты""; ул.Трактовая, д.25 ""а"" отдел в магазине",,,,,,
,ИНН 3834012087,Ирк. обл. и УО БАО от 5.07.06 г.,по 09.10.2012 г.,"""Продукты"" ",,,,,,
55,ООО,Св-во сер.38 №000457695,А 245176,"п.Березняки, ул.Строителей, д.2, отдел в магазине №1;",,,,,,
,"""Фортуна""",выдано МИ МНС России №17 по ,с 20.07.2011 г.,"ул.Строителей, д.2, бар; п.Новая Игирма, ",,,,,,
,ИНН 3834009863,Иркутской области от 7.06.04 г.,по 05.12.2012 г.,"ул.Бархатова, д.97, магазин №2",,,,,,
56,ООО,Св-во сер.38 №000195514,А 245115,"п.Янгель,",,,,,,
