тип_реш,опф,наим,место_нах,ОГРН,ИНН,КПП,тип,район/город,нас_пункт,"ул,№дома",рег№Лиц,дата переоф,дата_выдачи,начало,конец,серия_лиц,номер_бл_лиц,серия_перечня,номер_бл_перечня,условие,статус,E-mail,Тел,Руководитель
о продлении,ООО,Софья,"Забайкальский край, Читинский район, п. Яблоново, ул. Советская, д. 12",,7524013232,752401001,магазин,Читинский район,пгт. Яблоново,"ул. Главная, д. 13 а",0437,,13-Jul-11,01-Aug-11,01-Aug-12,75МЕ,002382,ВВ,001251,,Прекращена,,,
о продлении,ООО,Роза,"Забайкальский край, Могочинский район, г. Могоча, ул. Стадионная",,7512004402,751201001,"магазин ""Звезда""",Могочинский район,г. Могоча,ул. Вокзальная,0474,,21-Jul-11,02-Aug-11,02-Aug-12,75МЕ,002420,ВВ,001291,,Прекращена,,,
о продлении,ООО,Фаворит,"Забайкальский край, Карымский район, п. Курорт Дарасун, ул. Дорожная, 12",,7508005202,750801001,отдел в магазине,Карымский район,п. Курорт Дарасун,"ул. Дорожная, 12",0489,,21-Jul-11,02-Aug-11,02-Aug-12,75МЕ,002436,ВВ,001307,,Прекращена,,,
о выдаче,ООО,Багульник,"Читинская область, Нерчинско-Заводский район, с. Нерчинский Завод, ул. Красноармейская, 59-а",,7514002930,751401001,"отдел в магазине ""Багульник""",Нерчинско-Заводский район,с. Нерчинский Завод,"ул. Красноармейская, 54-а",813,,03-Aug-07,03-Aug-07,02-Aug-12,75МЕ,000937,В,000966,,прекращена,,,
о выдаче,ООО,Лотос,"Читинская область, г. Чита, ул. Труда, д. 2, кв.317",,7536073959,753601001,бар в организации общественного питания,г. Чита,г. Чита,"ул. Луговая, 102",815,,03-Aug-07,03-Aug-07,02-Aug-12,75МЕ,000944,В,000968,,Прекращена,,,
о продлении,ООО,Инга,"Забайкальский край, Могочинский район, г. Могоча, ул. Связи, д. 6",,7512004385,751201001,"магазин ""Инга""",Могочинский район,г. Могоча,"ул. Связи, д . 1-а",0473,,21-Jul-11,02-Aug-11,02-Aug-12,75МЕ,002419,ВВ,001290,,Прекращена,,,
о переоформлении,ООО,Досатуйагроснаб,"Читинская область, Приаргунский район, п.Досатуй, ул.Советская, 50",,7518000940,751801001,магазин №4,Приаргунский район,с. Погадаево,"ул. Советская, 14",814,,26-Nov-07,03-Aug-07,02-Aug-12,75МЕ,000938,В,001057,,Прекращена,,,
о продлении,ООО,КосПар,"Забайкальский край, г. Чита, ул. Чайковского, 30",1067536044311,7536071246,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Фрунзе, 10",0457,,19-Jul-11,02-Aug-11,02-Aug-12,75МЕ,002402,ВВ,001272,,прекращена,,,
о продлении,ООО,Шанс,"Забайкальский край, Сретенский район, п.г.т.Кокуй, ул. 1-я Набережная, 12",1067513002402,7519003694,751901001,отдел в магазине,Сретенский район,п. Кокуй,"пер. Школьный, 6",389,,30-Jun-11,03-Aug-11,03-Aug-12,,,,,,Прекращена,,,
о продлении,ООО,Березка,"Забайкальский край, Дульдургинский район, с. Дульдурга, ул. 50 лет Октября, д. 35 а",1068080021580,8002003139,800201001,отдел в магазине № 1,Дульдургинский район,с. Дульдурга,"ул. 50 лет Октября, д. 35 а",0448,,14-Jul-11,03-Aug-11,03-Aug-12,75МЕ,002395,ВВ,001264,,Прекращена,,,
о продлении,ООО,Магнит,"Забайкальский край, Нерчинский район, г.Нерчинск, ул.Шилова, д.32",1107513000264,7513006459,751301001,отдел в магазине,Нерчинский район,г. Нерчинск,"ул. Шилова, д. 32",0499,,03-Aug-11,04-Aug-11,04-Aug-12,75МЕ,002440,,,,Прекращена,,"89144674439, 41048",
о продлении,ООО,Ирина,"Забайкальский край, Могочинский район, г. Могоча, ул. Березовая, ДОС",,7512004427,751201001,магазин,Могочинский район,г. Могоча,"ул. Березовая, ДОС",0488,,21-Jul-11,04-Aug-11,04-Aug-12,75МЕ,002435,ВВ,001306,,прекращена,,,
о продлении,ООО,Натали,"Забайкальский край, п. Горный, ул. Дружбы, д. 6, кв. 39",,7533000818,753301001,отдел в павильоне,ЗАТО п. Горный,ЗАТО п. Горный,"ул. Дружбы, 179",0491,,21-Jul-11,04-Aug-11,04-Aug-12,75МЕ,002438,ВВ,0491,,Прекращена,,,
о выдаче,ООО,Марал,"Забайкальский край, г. Чита, Промышленный переулок, д. 5а",1117536004520,7536118906,753601001,магазин,г. Чита,г. Чита,"переулок Промышленный, д. 5а, пом. 2",0507,,05-Aug-11,05-Aug-11,05-Aug-12,75МЕ,002450,ВВ,001320,,Прекращена,,89144991843,
о выдаче,ООО,Гера,"Забайкальский край, г. Краснокаменск, д. 1 ""Ц"", магазин ""Нонна""",1097530000182,7530012526,753001001,магазин,г. Краснокаменск и Краснокаменский район,г. Краснокаменск,"д. 1 ""Ц""",0509,,05-Aug-11,05-Aug-11,05-Aug-12,75МЕ,002452,ВВ,001322,,Прекращена,,"83024527477, 83024525651",
о продлении,ООО,Самир,"Забайкальский край, Карымский район, с.Урульга, ул. Советская, д. 40",1067524005988,7508005121,750801001,отдел в магазине,Карымский район,с. Урульга,"ул. Советская, д. 17",0486,,21-Jul-11,05-Aug-11,05-Aug-12,75МЕ,002434,ВВ,001305,,прекращена,,,
о выдаче,ООО,Командор,"Читинская область, г.Чита, ул. Шилова, 93-а",,7536072232,753601001,павильон,г. Чита,г. Чита,"ул. Шилова, 93-а",816,,06-Aug-07,06-Aug-07,05-Aug-12,75МЕ,000919,В,000967,,Прекращена,,,
о продлении,ООО,ДУЭТ,"Забайкальский край, Оловяннинский район, п.ст. Хада Булак, ул.Гражданская, 6",1107515000185,7515007514,751501001,отдел в магазине,Оловяннинский район,п.ст. Хада-Булак,"ул.  Гражданская, 6",0458,,19-Jul-11,06-Aug-11,06-Aug-12,75МЕ,002403,ВВ,001273,,Прекращена,,,
о выдаче,ООО,Надежда,"Читинская область, Карымский район, с. Тыргетуй, пер. Уфимский, 9",,7508005724,750801001,отдел в магазине,Карымский район,с. Тыргетуй,"пер. Уфимский, 11",820,,08-Aug-07,08-Aug-07,07-Aug-12,75МЕ,000942,В,000975,,Прекращена,,,
о выдаче,ООО,Катюша,"Читинская область, Улетовский район, с. Хадакта, ул. Мостовая, 9",,7522003888,752201001,отдел в магазине,Улетовский район,с. Хадакта,"ул. Мостовая, 9",819,,08-Aug-07,08-Aug-07,07-Aug-12,75МЕ,000941,В,000974,,Прекращена,,,
о выдаче,ООО,Престиж,"Читинская область, Читинский район, п. Ягодный, ул. Зеленая, 6",,7524013585,752401001,отдел в магазине,Читинский район,п. Ягодный,ул. Центральная,818,,08-Aug-07,08-Aug-07,07-Aug-12,75МЕ,000940,В,000973,,Прекращена,,,
о выдаче,ООО,Соел,"Забайкальский край, Могойтуйский район, с. Хара-Шибирь,
ул. Советская, 60-а",1068080021283,8003037885,800301001,отдел в магазине,Могойтуйский район,с. Хара-Шибирь,"ул. Советская, 60-а",0518,,08-Aug-11,08-Aug-11,08-Aug-12,75МЕ,002463,ВВ,001332,,прекращена,,89245131599,
о продлении,ООО,Двин,"Забайкальский край, г. Чита, ул. Смоленская, д. 40",,7536071817,753601001,"бар в кафе ""Двин""",г. Чита,г. Чита,"Центральный район, ул. Смоленская, д. 40",0479,,21-Jul-11,08-Aug-11,08-Aug-12,75МЕ,002428,ВВ,001297,,прекращена,,,
о продлении,ООО,Каларский,"Забайкальский край, г. Чита, п. Антипиха, ул. Каларская, д. 20",,7536064062,753601001,отдел в магазине,г. Чита,г. Чита,"п. Антипиха, ДОС 650",0459,,19-Jul-11,09-Aug-11,09-Aug-12,75МЕ,002404,ВВ,001274,,Прекращена,,,
