"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО Киренский район",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
,,"ул.Ленрабочих, 35 ",до 20.05.2013г.,,,,,,,
,ИНН 3831003623,,,,,,,,,
,,,,,,,,,,
27,Общество с,"666703,",Г 117108,"маг. ""Эдем"",",,,,,,
,ограниченной,"Иркутская область,",№34,"г.Киренск, ул.Ленина, 21.",,,,,,
,ответственностью,"г.Киренск,",от 26.06.2008г.,,,,,,,
,"""Астория-Сиб""","ул.Ленина, 21 ",до 26.06.2013г.,,,,,,,
,,,,,,,,,,
,ИНН 3831004497,,,,,,,,,
28,Потребительское,"666731,",Г 117138,"маг. №1, Киренский район,",,,,,,
,"общество ""Темп""","Иркутская область,",№58,"с.Макарово, ул.Советская,69;",,,,,,
,,"Киренский район,",от 20.04.2011г.,"маг. №2, Киренский район,",,,,,,
,ИНН 3831003662,"с.Макарово,",до 27.08.2013г.,"с.Макарово, ул.Советская, 45;",,,,,,
,,"ул.Советская, 44",взамен,"маг. №4, Киренский район,",,,,,,
,,,Г 117109,"с.Кривая Лука, ул.Боровкова,8;",,,,,,
,,,№35,"маг. №5, Киренский район,",,,,,,
,,,от 27.08.2008г.,д.Усть-Киренга.,,,,,,
29,Общество с,"666703,",Г 117146,"кафе ""Березка"",",,,,,,
,ограниченной,"Иркутская область,",№65,"г.Киренск, ул.Комарова, 10а;",,,,,,
,ответственностью,"г.Киренск,",от 07.12.2011г.,"кафе ""Рубин"",",,,,,,
,"""Рубин""","ул.Соснина, 5 ",до 23.04.2014г.,"г.Киренск, ул.Комарова, 10а;",,,,,,
,,,взамен,"маг. ""Водолей"",",,,,,,
,ИНН 3818025064,,Г 117120,"г.Киренск, ул.Комарова, 59а.",,,,,,
,,,№42,,,,,,,
,,,от 23.04.2009г.,,,,,,,
30,Общество с,"666703,",Г 117130,"маг. ""Бонус"",",,,,,,
,ограниченной,"Иркутская область,",№50,"г.Киренск, ул.Комарова, 43;",,,,,,
,ответственностью,"г.Киренск,",от 28.05.2010г.,"маг. ""Ермак"", г.Киренск,",,,,,,
,"""Бонус""","ул.Пионерская, д.15, ",до 22.04.2014г.,"ул.Коммунистическая, 41;",,,,,,
,,кв.1,взамен,"маг. ""Добрыня"",",,,,,,
,ИНН 3818024663,,Г 117116,"г.Киренск, ул.Советская, 6а.",,,,,,
,,,№40,,,,,,,
,,,от 22.04.09г.,,,,,,,
31,Общество с,"666703,",Г 117137,"маг. ""Мой"", г.Киренск,",,,,,,
,ограниченной,"Иркутская область,",№57,"микрорайон ""Пролетарский"",",,,,,,
,ответственностью,"г.Киренск,",от 20.04.2011г.,"ул.Майская, 8;",,,,,,
,"""Город""","ул.Комарова, 2 ",до 24.12.2014г.,"маг. ""Мой"", г.Киренск,",,,,,,
,,,взамен,"микрорайон ""Пролетарский"",",,,,,,
,ИНН 3818025917,,Г 117125,"пер.Сосновый, 2.",,,,,,
,,,№46,"маг. ""Мой"", г.Киренск,",,,,,,
,,,от 24.12.2009г.,"ул.Комарова, 2",,,,,,
32,Общество с,"666744,",Г 117131,"маг. ""Кедр"",",,,,,,
,ограниченной,"Иркутская область,",№51,"Киренский район,",,,,,,
,ответственностью,"Киренский район,",от 20.07.2010г.,"п.Визирный, ул.Ленская, 13.",,,,,,
,"""Империя""","п.Визирный,",до 20.07.2011г.,,,,,,,
,,"ул.70 лет Октября,",продлена,,,,,,,
,ИНН 3818025628,"д.3, кв.2",до 20.07.2012г.,,,,,,,
33,Общество с,"666701,",Г 117134,"маг. ""Погребок"",",,,22.12.2011г.,,,
,ограниченной,"Иркутская область,",№54,"г.Киренск, ул.Зайцева, 2.",,,,,,
