"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Ангарскому МО",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
193,ООО «ТОКИО»         ИНН 3801101084," 665830, г. Ангарск, улица Московская, 23, офис 3",А 176760 № 34 от 28.04.2012 3 года с 28.04.2012 до 28.04.2015,"1) г. Ангарск, улица Иркутская, 30, кафе «Суши Токио»  2) г. Ангарск, квартал 14, дом 1, закусочная ""БАРакабама""  3) г. Ангарск, квартал 20, дом 1, кафе ""Чайна Таун"" 4) г. Иркутск, ул. Чехова, 2, кафе-бар ""Бар Акабама""",,,,,
194,ООО «Сомелье» ИНН 3801102345," 665813, г. Ангарск, квартал 86, дом 1, кв. 80",А 176761 № 35 от 04.05.2012 (взамен А 167332 № 74 от 24.11.2009) 5 лет с 24.11.2009 до 24.11.2014,"г. Иркутск, улица Декабрьских Событий, дом 44, магазин",,,,,
195,ООО «Союз-Трейд»              ИНН 3801083332," 665852, г. Ангарск, микрорайон Китой, улица Советская, дом 2", А 176762 № 36 от 11.05.2012 (взамен: А 176646 № 125 от 15.07.2011; А 176604 № 78 от 06.06.2011; А 232859 № 84 от 30.06.2006) 5 лет с 30.06.2011 до 30.06.2016 ,"1) г. Ангарск, микрорайон 8 на пересечении улица Жилая и улица Декабристов, павильон «Юпитер» 2) г. Ангарск, микрорайон 11, дом 10, магазин ""Спутник"" 3) г. Ангарск, квартал 37, дом 1, помещение 14, магазин «Пилот», отдел ""Вино-водка""  4) г. Ангарск, квартал 49, дом 17 ""а"", магазин ""Авангард"", отдел ""Вино-водка"" 5) г. Ангарск, микрорайон 15, дом 11, помещение 156, магазин ""Саянский"" отдел ""Вино-водка"" 6) г. Ангарск, микрорайон Южный массив, квартал 1, дом 3, магазин ""Тандем-ВС"" отдел ""Вино-водка"" 7) г. Ангарск, микрорайон Китой, улица Советская, 2, закусочная 8) Ангарск, микрорайон Китой, улица Советская, 2, магазин ""Универсам"" отдел ""Вино-водка"" 9) г. Ангарск, улица Социалистическая, микрорайон 17, у дома 20, павильон ""Континент"" ",,,,,
196,ООО «Восход» ИНН 3801081462,"г. Ангарск, микрорайон 11, дом 7/7 ""а""",А 176763 № 37 от 10.05.2012 3 года с 10.05.2012 до 10.05.2015,"г. Ангарск, микрорайон 11, дом 7/7 «а», помещение 123, магазин «Продукты» ",,,,,
197,ООО «Ангарская Розничная Сеть»        ИНН 3801085001," 665813, г. Ангарск, квартал 125, строение 1/15, секция № 8",А 176764 № 38 от 10.05.2012 (взамен: А 176745 № 18 от 07.03.2012; А 176734 № 4 от 24.01.2012) 2 года с 24.01.2012 до 24.01.2014 ,"1) г. Ангарск, квартал 125, строение 1/15, склад 6, отдел «Вино-водка» 2) Заларинский район, п. Залари, ул. Кооперативная, 2, отдел в помещении кафе ""Фортуна"" 3) Заларинский район, п. Залари, ул. Дзержинского, 46, отдел в магазине 4) Заларинский район, с. Владимир, ул. Новошахтёрская, 23, отдел в магазене 5) Заларинский район, автомобильная дорога Залари-Троицк 20 км., отдел в магазине",,,,,
198,ООО «Цикломен» ИНН 3801081261," 665838, г. Ангарск, микрорайон 22, дом 6, помещение 141",А 176765 № 39 от 15.05.2012 1 год с 15.05.2012 до 15.05.2013,"г. Ангарск, микрорайон 22, дом 6, помещение 141, отдел ""Вино-водка"" в магазине ""Фея"" ",,,,,
199,ООО «Ангарапродукт»      ИНН 3808220267,"664058, г. Иркутск, микрорайон Первомайский, 25",Заригистрирована в Реестре на территории АМО № 58 от 13.06.2012  А 039Пр3 от 28.05.2012  38 МЕ 004003  с 27.11.2011 по 26.12.2013 (вместо: А 039Пр2 от 18.04.2012                38 МЕ 003967)  ,"1) г. Ангарск, квартал 206, дом 3, магазин 2) г Ангарск, микрорайон 15, дом 31 ""а"", помещение 98, магазин  3) г. Ангарск, квартал 124, дом 1, помещение 3, отдел в Торговом центре ОАО ""Ангарское управление строительства"" ",,,,,Администрацией г. Иркутска
200,"ООО ""Светалина""  ИНН 3801112544","   665826, г. Ангарск, микрорайон 12, дом 7",А 176767 № 41 от 16.05.2012      2 года с 16.05.2012 до 16.05.2014,"г. Ангарск, микрорайон 12, дом 7, магазин ""Тайга"" ",,,,,
201,ООО «Торговая фирма «Галина» ИНН 3801080878," 665816, г. Ангарск, микрорайон 32, дом 7, квартира 165",А 176768 № 42 от 18.05.2012 1 год с 18.05.2012 до 18.05.2013,"г. Ангарск, микрорайон 19, дом 2, магазин ""Флора"" ",,,,,
202,ООО «ВИКТАН»,"664025, г. Иркутск, улица Степана Разина, 27",Зарегистрирована в Реестре на территории АМО № 43 от 15.05.2012 АН 00029Пр20 от 02.05.2012 38МЕ003979 срок действия до 05 апреля 2016,"1) г. Ангарск, микрорайон Шеститысячник, квартал 49, магазин «Дубль» отдел «Вино-водка» 2) г. Ангарск,  квартал 278, дом 1 магазин «Продукты», отдел «Вино-водка» 3) г. Ангарск,  улица К. Маркса, 36, отдел 4) г. Ангарск, микрорайон 8, дом 8/8 «а», отдел в магазине «Элегант» 5) Ангарский район, р.п. Мегет, квартал 1, дом 5 «а», отдел в магазине «Бриз» 6) Ангарский район, р.п. Мегет, улица Ленина, 15, отдел в магазине ""Продтовары"" 7) г. Ангарск, микрорайон 8, дом 24/3, магазин ",,,,,Администрацией г. Иркутска
203,ООО «НордТрейд» ИНН 3801081247," 665813, г. Ангарск, квартал 106, дом 5",А 176769 № 44 от 17.05.2012 3 года с 17.05.2012 до 17.05.2015,"1) г. Ангарск, квартал 24, дом 8, помещение 1, кафе ""СаквояжЪ""  2) г. Ангарск, квартал 24, дом 8, помещение 1, магазин ""Норд"", отдел ""Вино-водка"" 3) г. Ангарск, квартал 106, дом 5, помещение 49, магазин ""Дары природы"", отдел ""Вино-водка"" 4) г. Ангарск, микрорайон 29, дом 32, магазин ""Тили-тесто"", отдел ""Вино-водка"" ",,,,,
204,ООО «Торговая Марка Кайрос» ИНН 3819011427," г. Иркутск, улица Трактовая, 1, павильон 1",Зарегистрирована в Реестре на территории АМО№ 45 от 17.05.2012 АП 0320Пр19 от 27.04.2012 38 МЕ 003974 с 29.03.2005 по 28.03.2015 ,"1) г. Ангарск, квартал 125, строение 1/13, отдел 2) г. Ангарск, квартал 125, строение 1/13, зал 2, павильон 3) г. Ангарск, микрорайон 33, дом 7, помещение 1, магазин 4) г. Ангарск, квартал 125, строение 1/1, помещения 2, 4, 5, 10, магазин  5) г. Ангарск, квартал 254, дом 3, блок Б, помещение 17, магазин",,,,,Администрацией г. Иркутска
205,ООО «Биотех» ИНН 3801043731," 665808, г. Ангарск, квартал 95, дом 6",А 176770 № 46 от 22.05.2012 1 год с 22.05.2012 до 22.05.2013,"г. Ангарск, квартал 102, дом 3, помещение 97, магазин «Звёздочка» ",,,,,
206,ООО «Лоза»               ИНН 3801081293," 665825, г. Ангарск, квартал 93, дом 15, помещение 1",А 176771 № 47 от 29.05.2012 2 года с 09.06.2011 до 09.06.2013 (взамен:  А 176632 № 108 от 30.06.2011)    ,"1) г. Ангарск, квартал 177, дом 7/7 «а»,отдел «Вино-водка» в магазине «Галант» 2) г. Ангарск, микрорайон 29, дом 3, отдел № 1 (зал А) в ТД «Медео» 3) г. Ангарск, микрорайон 12 ""а"", дом 2, отдел № 17/18 «Вино-водка» в ТД  «Гефест»  4) г. Ангарск, квартал 179, дом 15, магазин «Ярославна», отдел «Вино-водка» 5) г. Ангарск, микрорайон 11, дом 7 «а», магазин «Продукты» 6) г. Ангарск, квартал 219, дом 10, помещение 24, магазин «Продукты-МЖК», отдел «Вино-водка»7) г. Ангарск, квартал 84, дом 17 «а», помещения 5, 4, 2, магазин «Продукты-84», отдел «Вино-водка» 8) г. Ангарск, квартал 84, д. 26, помещение 77, магазин ""Продукты"" 9) г. Ангарск, микрорайон 6, дом 3, помещение 116, магазин ""Корзинка"",отдел ""Вино-водка"" 10) г. Ангарск, микрорайон 17, дом 8, помещение 2, магазин ""Вишенка"", отдел ""Вино-водка"" 11) г. Ангарск, квартал 189, дом 2, магазин ""Аппетит"" ",,,,,
207,ООО «Мажорель» ИНН 3801103518," 665806, г. Ангарск, квартал 55, дом 6, помещение 19",А 176772 № 48 от 31.05.2012 (взамен: А 167310 № 47 от 15.07.2009) 5 лет с 15.07.2009 до 15.07.2014,"1) г. Ангарск, микрорайон 13, дом 26, ресторан «Мажорель» 2) г. Ангарск, микрорайон 33, дом 14, универсам «Континент-9» 3) г. Ангарск, микрорайон 11, дом 4, помещение 57, супермаркет «Юбилейный» 4) г. Ангарск, квартал 219, дом 13, помещение 320, универсам «Суперэконом» 5) г. Ангарск, квартал 61, дом 16, помещение 20, универсам «Миниэконом-1» 6) г. Анграрск, квартал 94, дом 1, помещение 119, универсам ""Миниэконом-2"" ",,,,,
208,ООО «Белоречье» ИНН 3801057251," 665813, г. Ангарск, улица Чайковского, 2 «Б»",А 176801 № 80 от 06.07.2012 3 года с 31.05.2012 до 31.05.2015 (взамен: А 176773 № 49 от 31.05.2012; А 176786 № 64 от 22.06.2012) ,"г. Ангарск, микрорайон 11, дом 3, магазин ""Белореченский""",,,,,
209,"ООО ""Комбинат питания""           ИНН 3801109559","665813, г. Ангарск, улица Московская, дом 52/53, квартара 33",А 167467 № 8 от 26.01.2011 г. с 26.01.2011 г. до 26.01.2012 г.,"1) г. Ангарск, квартал 219, дом 11, МЖК-1, блок обслуживания, столовая МЖК 2) г. Ангарск, в 2.5 км. юго-западнее ст. Суховская и в 3.0 км. юго-восточнее 219 квартала, здание 822 А, столовая № 21",,,1/26/2012,,
210,ООО «Гранд Байкал»               ИНН 3808079832,"ИФНС России по Октябрьскому округу г. Иркутска 664000, г. Иркутск, улица Сухэ-Батора, 3",22.02.2007 г. лицензия продлена до 27.02.2012 г.   А 232492 № 9 от 27.02.2004 г. 3 года ,"Ангарский район, 15 км. Савватеевского тракта, база отдыха «Звездный» - бар",,,2/27/2012,,
211,ООО «Океан» ИНН 3801075250," 665819, г. Ангарск, квартал 84, дом 25, помещение 77",А 167372 № 34 от 02.06.2010 г. 5 лет с 27.02.2007 г. до 27.02.2012,"1) г. Ангарск, квартал 84, дом 25, кафе «Блинная» 2) г. Ангарск, микрорайон 22, строение 20, помещение 13, закусочная «Ланд Граф» 3) г. Ангарск, микрорайон 10, дом 33, помещение 156, кафе «Deje-Vu» ",,,2/27/2012,,
212,ООО «Велл»                       ИНН 3809011629 ,"664025, г. Иркутск, улица Степана Разина, 11 «Д»",А 167447 № 111 от 01.12.2010 с 07.02.2007 г. до 07.02.2012 ,"1) г. Ангарск, квартал 60, дом 5/6, помещение 20, магазин «Лоза» 2) г. Иркутск, улица Степана Разина, 11 «Д», магазин «Лоза»  ",,,2/7/2012,,
213,ООО «АРТ-Магазин»             ИНН 3801084022," 665822, г. Ангарск, микрорайон Китой, улица Партизанская, 48, 33",А 167295 № 29 от 07.05.2009 г. 5 лет с 19.12.2006 до 19.12.2011,"г. Ангарск, микрорайон Китой, улица Партизанская, 48, магазин «АРТ» ",,,12/19/2011,,
214,ООО «МРИЯ» ИНН 3801019560," 665824, г. Ангарск, квартал 225-1-27",12.02.2011 г. продлен срок действия лицензии до 12.02.2012 г.  А 167387 № 10 от 12.02.2010 г. с 12.02.2010 г. до 12.02.2011,"г. Ангарск, квартал 211, дом 5, магазин «Меридиан», отдел «Вино-водка»",,,2/10/2012,,
215,ООО «Форум» ИНН 3801080660," 665824, г. Ангарск, улица Пойменная, 10",А 167460 № 126 от 23.12.2010 с 14.12.2006 г. до 14.12.2011 г. ,"1) г. Ангарск, улица Пойменная, 10, Магазин «Продукты» 2) г. Ангарск, квартал 205, дом 8, ТД «Зебра», отдел «Вино-водка» ",,,12/14/2011,,
216,Потребительское общество Мегетское ПОСПО                       ИНН 3801007780," 665854, Ангарский район, пгт Мегет, пер. Школьный, 3 «а»",А 176668 № 131 от 21.07.2011 (взамен: А 167418 от 08.09.2010) с 04.03.2011 г. до 04.03.2012 г.,"1) пгт. Мегет, пер. Школьный, 2, маг. № 19 «Центральный» 2) пгт. Мегет, улица Калинина, 74а, магазин № 7 «Продукты» 3) пгт. Мегет, улица Нагорная, 2, магазин № 6 «Продукты» 4) Иркутский район, с. Мамоны, улица Садовая, 14, магазин № 18 5) Иркутский район с. максимовщина, улица Комсомольская, 2 ""а"", магазин № 2 6) Иркутский район, д. Малая Еланка, улица Пролетарская, 18 ""а"", магазин № 8",,,3/4/2012,,
217,"ООО ""КАСКАД""        ИНН 3801083445"," 665813, г. Ангарск, ул. Горького, дом 21, 2 этаж",А 176566 № 29 от 11.03.20011 г. с 11.03.2011 г. до 11.03.2012 г.,"г. Ангарск, ул. Горького, 21, закусочная ""Фуд-Корт""",,,3/11/2012,,
218,"ООО ""Ротекс""             ИНН 2464044636","660093, г. Красноярск, ул. Королева, 8а, 119",А 176580 № 45 от 18.04.2011 с 30.03.2011 до 30.03.2012,"1) г. Ангарск, промышленная площадка ОАО ""АНХК"" объект № 781, столовая № 4   2) г. Ангарск, промышленная площадка ОАО ""АНХК"" объект № 1445, столовая № 8  3) г. Ангарск, промышленная площадка ОАО ""АНХК"" объект № 88/1, столовая № 28                    4) г. Ангарск, промышленная площадка ОАО ""АНХК"" объект № 453, столовая № 13 ",,,3/30/2012,,
219,ООО «Багира» ИНН 3801087506," 665830, г. Ангарск, улица Карла Маркса, 22",А 232973 № 24 от 26.04.2007 г. 5 лет с 26.04.2007 г. до 26.04.2012,"г. Ангарск, улица Карла Маркса, 22, кафе «Багира» ",,,4/26/2012,,
220,ООО «Нарек» ИНН 3801089165," 665816, г. Ангарск, улица К. Маркса, 23",А 232984 № 37 от 02.08.2007 г. 5 лет с 02.08.2007 г. до 02.08.2012,"г. Ангарск, улица К. Маркса, 23, кафе «Матрица» ",,,4/17/2012,,
221,ООО «Дольче Вита Плюс»        ИНН 3801095592," 665835, г. Ангарск, микрорайон 29, дом 19, помещение 221",А 167223 № 27 от 03.07.2008 г. 5 лет с 03.07.2008 г. до 03.07.2013,"г. Ангарск, микрорайон 29, дом 19 помещение 221, бар «Дольче Вита Плюс»",,,4/17/2012,,
222,ООО «Север» ИНН 3801081776," 665825, г. Ангарск, улица Чайковского, 29",Продлен срок действия лицензии на 1 год с 21.07.2011 до 21.07.2012       А 176663 № 135 от 21.07.2011 (взамен: А 232889 № 110 от 21.07.2006),"г. Ангарск, улица Чайковского, 29, кафе «Север»",,,4/17/2012,,
223,"ООО ""МАКС""            ИНН 3801108361"," 665830, г. Ангарск, квартал 55, дом 33, кв. 14",А 176584 № 52 от 25.04.2011      1 год с 25.04.2011 до 25.04.2012,"г. Ангарск, микрорайон 17, дом 3, помещение 247, магазин ""Продукты""",,,4/24/2012,,
224,ООО «ДИОНИС» ИНН 3801061427," 665825, г. Ангарск, квартал 94, дом 18",25.04.2011 продлен срок действия лицензии на 1 год с 25.04.2011 до 25.04.2012          А 167389 № 26 от 15.04.2010 г. ,"г. Ангарск, улица Мира, 53 (территория автостанции), магазин «Белый аист-2» (запрет более 15 %) ",,,4/25/2012,,
225,ООО «Биотех» ИНН 3801043731," 665808, г. Ангарск, квартал 95, дом 6", 29.04.2011 продлен срок действия лицензии          А 176585 № 54 от 29.04.2011 на 1 год с 29.04.2011 до 29.04.2012 ,"1) г. Ангарск, квартал 95, дом 6, отдел «Вино-водка» в магазине «Ангара» 2) г. Ангарск, квартал 102, дом 3, магазин «Звездочка» ",,,4/29/2012,,
226,"ООО ""Светалина""  ИНН 3801112544","   665826, г. Ангарск, м-н 12, дом 7",А 176587 № 55 от 29.04.2011      1 год с 29.04.2011 до 29.04.2012,"г. Ангарск, микрорайон 12, дом 7, магазин ""Тайга"" ",,,4/29/2012,,
227,ООО «ТОКИО»         ИНН 3801101084," 665830, г. Ангарск, улица Московская, 23, офис 3",15.04.2011 продлен срок действия лицензии          А 176561  № 23 от 04.03.2011 с 15.04.2011 до 15.04.2012,"1) г. Ангарск, улица Иркутская, 30, кафе «Суши Токио» 2) г. Ангарск, квартал 20, дом 1, помещение 21, кафе ""Чайна Таун"" 3) г. Ангарск, квартал 14, дом 1, закусочная ""БАРакабама"" ",,,4/15/2012,,
228,ООО «Валентина» ИНН 3801086044," 665830, улица Глинки, дом 8, офис 2","Зарегистрирована в Реестре № 105 от 22.11.2010 г. АН00326Пр2 от 12.11.2010 г., 38МЕ003471 с 12.04.2007 г. по 11.04.2012 г.","г. Ангарск, улица Ленина, Торговый центр «ОАО АУС», зал № 2, павильон № 68 (запрет более 15 %)",,,4/11/2012,,Администрацией г. Иркутска
229,ООО «Камелия»         ИНН 3801080500," 665813, г. Ангарск, квартал 125, строение 1/13, офис 6",А176591 № 62 от 11.05.2011 взамен: 07.04.2011 продлен срок действия лицензии          А 176567  № 30 от 23.03.2011 г.  на 1 год с 07.04.2011  до 07.04.2012,"1) г. Ангарск, микрорайон 29, ТЦ «Каскад», отдел № 18 2) г. Ангарск, квартал 125, строение 1/3, магазин «Вино-водка» 3) г. Ангарск, квартал 125,  строение 1/1 магазин «Дейрос» 4) г. Ангарск, квартал 125, ТЦ «Ангарский», продовольственный зал, отдел № 1 5) г. Ангарск, улица Ленина, ТЦ ОАО «АУС», продовольственный. зал, отдел № 3 6) г. Ангарск, улица Ленина, ТЦ «ОАО «АУС», продовольственный зал, отдел № 33 ",,,07/04/12,,
,,,,"7) г. Иркутск, улица Свердлова, 36, ТЦ «Сезон», отдел «Вино-водка» 8) г. Иркутск, улица Рабочая, 1, ТЦ Ушаковский, специализированный отдел № 1 9) г. Ангарск, улица О.Кошевого, 19, Центральный рынок, Павильон «Камелия» (запрет более 15 %) 10) г. Усолье-Сибирское, проспект Красных Партизан, 45, торговый комплекс «Хамелеон» (2-я очередь) павильон № 41 11) микрорайон 19, дом 4, магазин «Продукты», отдел «Вино-водка» 12) квартал 85, дом 24, магазин «Олимпиада», отдел «Вино-водка» 13) г. Ангарск, микрорайон 6, дом 19, магазин «Лола», отдел «Вино-водка» 14) г. Усолье-Сибирское, ул. Ленина, 83, ТЦ ""Восход"", отдел ""Вино-водка"" 15) г. Усолье-Сибирское, проспект Комсомольский, 81, ТЦ ""Торговый ряд"", отдел ""Вино-водка"" 16) г. Усолье-Сибирское, проспект  Красных Партизан, 16, ТЦ ""Снежинка"", отдел ""Вино-Водка""",,,,,
230,"ООО ""РОСПАК-БАЙКАЛ""","664001, г. Иркутск, ул. Рабочего Штаба, 27",Зарегистрирована в Реестре на территрии АМО № 23 от 19.03.2012 38 МЕ 003059 № 22 от 15.02.2012 срок действия до 04.04.2012 ,"г. Ангарск, квартал 215, строение 15, помещение 2, вино-водочный отдел ""Роспак-Байкал""",,,4/4/2012,,Муниципальное образование Нукутский район
231,ООО «Олирис» ИНН 3801106999," 665808, г. Ангарск, квартал 95, дом «Б», помещение 158",04.05.2011 продлен срок действия лицензии А 176590 № 58 от 04.05.2011 на 1 год с 04.05.2011 до 04.05.2012 взамен: А 167386 № 30 от 04.05.2010 г. ,"г. Ангарск, квартал 95, дом «Б», помещение 158, магазин «Славянский»",,,5/4/2012,,
232,ООО «Думкар» ИНН 3801063463," 665806, г. Ангарск, п. Майск, улица Димитрова, строение 9",А 232974 № 25 от 07.05.2007 г. 5 лет с 07.05.2007 г. до 07.05.2012,"г. Ангарск, п. Майск, улица Димитрова, строение 9, закусочная",,,5/7/2012,,
233,ООО «Восход» ИНН 3801081462,"г. Ангарск, микрорайон 11 дом 7/7а",продлен срок действия лицензи на 1 год с 15.06.2011 до 15.06.2012 А 176609 № 84 от 15.06.2011 (взамен: А 232813 № 34 от 15.06.2006 5 лет с 15.06.2006),"г. Ангарск, микрорайон 11 дом7/7 «а», Отдел Продукты» в магазине «Визит» ",,,5/14/2012,,
234,ООО «Цикломен» ИНН 3801081261," 665838, г. Ангарск, микрорайон 22, дом 6, помещение 141",16.05.2011 продлен срок действия лицензии на 1 год с 16.05.2011 до 16.05.2012       А 176595 № 64 от 11.05.2011 взамен: А 232785 № 11 от 16.05.2006 г. 5 лет с 16.05.2006 г.,"г. Ангарск, микрорайон 22, дом 6, помещение 141, торговый центр «Фея» ",,,5/16/2012,,
235,ООО «НордТрейд» ИНН 3801081247," 665813, г. Ангарск, квартал 106, дом 5",17.05.2011 продлен срок действия лицензии А 176575  № 39 от 13.04.2011 на 1 год с 17.05.2011 до 17.05.2012,"1) микрорайон 29, дом 32, магазин «Тили-тесто» 2) улица О. Кошевого, 9, магазин «Норд» 3) квартал 106, дом 5, магазин «Дары природы» 4) г. Ангарск, квартал 24, дом 8, кафе ""Саквояжъ""  ",,,5/17/2012,,
236,ООО «Торговая фирма «Галина» ИНН 3801080878," 665816, г. Ангарск, микрорайон 32, дом 7, квартира 165",А 176681 № 147 от 28.07.2011 (взамен:  А 176553 № 13 от 31.01.2011) до 26.05.2012,"г. Ангарск, микрорайон 19, дом 2, магазин ""Флора"" ",,,5/26/2012,,
237,ООО «Металлика» ИНН 3801083276," 665816, г. Ангарск, квартал 182-13",А 176710 № 184 от 28.10.2011 срок действия продлен на 1 год с 12.10.2011 до 12.10.2012 (взамен: А 232931 № 156 от 12.10.2006 г. 5 лет с 12.10.2006 г. до 12.10.2011,"г. Ангарск, квартал 182, дом 13, кофейня «Странник» ",,,5/29/2012,,
238,ООО «Белоречье» ИНН 3801057251," 665813, г. Ангарск, улица Чайковского, 2 «Б»",А 176786 № 64 от 22.06.2012  с 31.05.2012 до 31.05.2015 (взамен: А 176773 № 49 от 31.05.2012) ,"1) г. Ангарск, квартал 80, дом 22, магазин ""Белоречье-8"" 2) г. Ангарск, квартал 86, общежитие № 9, помещение 32, магазин «Мария» 3) г. Ангарск, квартал 94, дом 3а/3б, помещение 114, магазин ""Белоречье-4""  4) г. Ангарск, квартал 91, дом 13, помещение 1, магазин ""Белоречье-13""  5) Ангарский район , р.п. Мегет, ул. Ленина, дом 10 ""а"", магазин ""Белоречье-9""",,,5/30/2012,,
239,ООО «Лона»                 ИНН 3801006602," 665832, г. Ангарск, микрорайон 7, дом «Б», помещение 79",А 176775 № 51 от 06.06.2011 1 год с 06.06.2012 до 06.06.2013 ,"г. Ангарск, микрорайон 7, дом «Б», помещение 79, магазин «Лона» ",,,,,
240,ООО «Гран-При» ИНН 3801080370," 665830, г. Ангарск, улица Глинки, 1",А 176776 № 52 от 06.06.2012 3 года с 06.06.2012 до 06.06.2015 ,"г. Ангарск, улица Глинки, 1, магазин «Праздничный» ",,,,,
241,ООО «Сильверадо» ИНН 3801081279," 665826, г. Ангарск, микрорайон 12 «А», дом 7",А 176777 № 54 5 лет с 06.06.2012 до 06.06.2017 ,"1) г. Ангарск, микрорайон 12 «а», дом 7, кафе «Сильверадо» 2) г. Ангарск, микрорайон 13, дом 33, помещение 2, Торговый центр «Мега», бар 3) г. Ангарск, микрорайон 13, дом 33, помещение 2, Торговый центр «Мега», ресторан",,,,,
242,ООО «Олирис» ИНН 3801106999," 665808, г. Ангарск, квартал 95, строение 30",А 176780 № 55 от 09.06.2012 2 года с 09.06.2012 до 09.06.2014 ,"г. Ангарск, квартал 95, строение 30, магазин «Славянский»",,,,,
243,ООО «Фруктория» ИНН 3801107720," 665832, г. Ангарск, микрорайон 7, дом 36",А 176781 № 57 от 13.06.2012 1 год с 13.06.2012 г. до 13.06.2013 ,"г. Ангарск, квартал 95, дом 6, помещение 65, магазин «Ангара», отдел ""Вино-водка""",,,,,
244,ООО «Арктика»      ИНН 3812133641,"664024, г. Иркутск, улица Набережная Иркута, 1",Заригистрирована в Реестре на территории АМО № 59 от 13.06.2012  А 201055 с 07.06.2012 по 07.02.2014 ,"1) г. Ангарск, микрорайон 22, строение 20, помещение 13, кафе ""Старый Замок"" ",,,,,Администрацией г. Усолье-Сибирское
245,ООО «ДУМКАР» ИНН 3801063463," 665806, г. Ангарск, микрорайон Майск, улица Димитрова, строение 9",А 176783 № 61 от 20.06.2012 1 год с 20.06.2012 г. до 20.06.2013,"г. Ангарск, микрорайон Майск, улица Димитрова, строение 9, закусочная",,,,,
246,ООО «Гейзер» ИНН 3801082970," 665854, Ангарский район, р.п. Мегет, улица Садовая, 33, помещение 41",А 176784 № 62 от 22.06.2012 3 года с 22.06.2012 до 22.06.2015,"Ангарский район, р.п. Мегет, улица Садовая, 33, помещение 41, магазин «Коммерсант» ",,,,,
247,ООО «Янтарь» ИНН 3801114460," 665816, г. Ангарск, микрорайон 33, дом 9Е, офис 1",А 176785 № 63 от 20.06.2012  5 лет с 20.06.2012 до 20.06.2017,"1) г. Ангарск, квартал 95, дом 4, помещение 139, магазин «Ветерок» 2) г. Ангарск, квартал 211, дом 4, помещение 57, магазин «Волна» ",,,,,
248,ООО «Бренн» ИНН 3801081310," 665819, г. Ангарск, квартал 84, дом 4",А 176787 № 65 от 22.06.2012 5 лет с 22.06.2012 до 22.06.2017,"1) г. Ангарск, квартал 84, дом 4, помещение 79, Магазин «Продукты» 2) г. Ангарск, микрорайон 6 «а», дом 28, помещение 113, магазин «Маяк»",,,,,
249,ООО «Ангарск-Азия» ИНН 3801082280," 665806, г. Ангарск, улица Сибирская, 24",А 176788 № 66 от 25.06.2012 1 год с 25.06.2012 до 25.06.2013,"г. Ангарск, квартал 24, дом 1, помещение 21, магазин  № 47, отдел ""Вино-водка"" ",,,,,
250,ООО «Рома»      ИНН 3808135484,"664009, г. Иркутск, улица Култукская,11, 82",А 176789 № 67 от 25.06.2012 1 год с 25.06.2012 до 25.06.2013,"Ангарский район, 1860 км автодороги Новосибирск-Иркутск, дом 7, кафе «Рома»",,,,,
251,ООО «МариС» ИНН 3801082184,"665825, г. Ангарск, квартал 92/93, дом 1, помещение 119",А 176790 № 69 от 27.06.2012 3 года с 27.06.2012 до 27.06.2015," г. Ангарск, квартал 92/93, дом 1, помещение 119, магазин ""Ассорти""",,,,,
252,ООО «Форвард» ИНН 3801081840," 665835, г. Ангарск, микрорайон 29, 7",А 176799 № 78 от 05.07.2012 (взамен А 176791 № 70 от 27.06.2012) 5 лет с 27.06.2012 до 27.06.2017,"1) 1км. автодороги Байкал на участке «Подъезд к Ангарску», строение, 1 магазин «Дачный», отдел ""Вино-водка"" 2) г. Ангарск, микрорайон 29, дом 7, магазин «Продукты», отдел ""Вино-водка"" 3) г. Ангарск, квартал 84, дом 14, помещение 78, магазин «Сибирский», отдел ""Вино-водка"" ",,,,,
253,ООО «Закусочная «Каламбур»     ИНН 3801082191," 665824, г. Ангарск, улица Саянская, 5а, 9",А 176792 № 71 от 27.06.2012 1 год с 27.06.2012 до 27.06.2013,"г. Ангарск, район станции Суховская, Московский тракт, 1845+800 км, закусочная «Каламбур»",,,,,
254,ООО «Мандарин» ИНН 3801083438," 665830, г. Ангарск, квартал 74, дом 16",А 176793 № 72 от 27.06.2012 2 года с 27.06.2012 до 27.06.2014,"г. Ангарск, квартал 74, дом 16, магазин «Мандарин»",,,,,
255,ООО «Пирамида» ИНН 3801082378,"665825, г. Ангарск, квартал 92, дом 10, магазин «Осень»",А 176794 № 73 от 02.07.2012 1 год с 02.07.2012 до 02.07.2013,"г. Ангарск, квартал 92, дом 10, магазин «Осень»",,,,,
