"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Эхирит-Булагатский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
50,"Общество с ограниченной ответственностью ""Лотос"",  8506010390",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176277 от 10.08.2011г. До 09.08.2012г.,"отдел магазина ""Лотос"" - Иркутская область, Эхирит-Булагатский район, с. Капсал",,,,,,
51,"Общество с ограниченной ответственностью ""Вестас"",  8506010287",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176284 от 24.10.11г. До 14.08.12г. Вместо А 176278 ,"магазин ""Вестас"" - Иркутская область, Эхирит-Булагатский район, п. Усть-Ордынский, ул. Первомайская, № 31-2",,,,,,
52,"Общество с ограниченной ответственностью ""Урегша"",  8506010470",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176026 от 15.12.2010 г.продлена до 14.08.2012г.,"магазин ""Урегша"" - Эхирит-Булагатский район, с. Алужино",,,,,,
53,"Общество с ограниченной ответственностью  ""Спутник"""",  8506010382",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176279 от 17.08.2011г. До 16.08.2012г.,"магазин ""Спутник"" - Иркутская область, Эхирит-Булагатский район, с. Ахины, ул. Ленина, № 37",,,,,,
54,"Общество с ограниченной ответственностью ""Юрта"",  8506009919",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176007 от 26.04.2010 г. продлена до 21.08.2012г.,"магазин ""Октябрь"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Октябрьская, № 40",,,,,,
55,"Общество с ограниченной ответственностью ""Мечта"",  3849016165",Межрайоннная ИФНС № 17 по Иркутской области,А 176283 от 24.10.11 г. до 23.08.12г. Вместо А 176280,"магазин ""Мечта"" - Иркутская область, Эхирит-Булагатский район, п. Бозой, ул. Матросова, 7 А",,,,,,
56,"Общество с ограниченной ответственностью ""Промсервис 2"",  3808072403",ИФНС по Правобережному округу г. Иркутска,А 244948 от 30.12.2008г.до 26.10.12г. вместо лицен. 38 МЕ 000845,"бар ""Адмирал"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Каландарашвили, № 16""а""",,,,,,
57,"Общество с ограниченной ответственностью ""Рабданов"",  8506009901",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176286 от 28.10.11г. До 27.10.2012 г.,"магазин- Иркутская область, Эхирит-Булагатский район, с. Олой, ул. Молодежная, 1.",,,,,,
58,"Общество с ограниченной ответственностью ""Теремок"",  8506009563",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176303 от 15.06.2012 г. До 29.12.12 г.вместо А 176288," магазин ""Фортуна"" - Эхирит-Булагатский район, п. Бозой, ул. Ленина, № 27; магазин ""Теремок""- Эхирит-Булагатский, п. Бозой, ул. Советская, 3 ""а""",,,,,,
59,"Общество с ограниченной ответственностью ""Долина"",  8506011234",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 244959 от 01.07.2009г до 13.12.12г.вместо лицен. 38 МЕ 000864,"кафе ""Долина""- Эхирит-Булагатский район, 92 км автотрассы Иркутск-Качуг; магазин ""Светлый"" - Эхирит-Булагатский район, с.Корсук, ул. Солнечная, № 6",,,,,,
60,"Общество с ограниченной ответственностью ""Рябинка"",  8506011280",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,38 МЕ 000981 от 27.12.2007г. до 27.12.12г. ,"магазин ""Рябинка"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Октябрьская, № 71",,,,,,
61,"Общество с ограниченной ответственностью ""Андриян"",  8506011033",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 244938 от 30.09.2008г. до 30.09.13г. ,"магазин ""Андриян"" - Эхирит-Булагатский район, п. Свердлово, ул. Школьная, №2",,,,,,
62,"Общество с ограниченной ответственностью ""ТАМИК"",  8506011555",Межрайоннная ИФНС № 7 по Иркутской области,А 244939 от 05.11.2008г. до 05.11.13г. ,"магазин ""ТАМИК"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Иркутская, № 2",,,,,,
63,"Общество с ограниченной ответственностью ""Макена"",  8506011604",Межрайоннная ИФНС № 7 по Иркутской области,А 244940 от 07.11.2008г. до 07.11.13г. ,"кафе ""Макена"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Шувалова, № 57 ""а""",,,,,,
64,"Общество с ограниченной ответственностью ""Эконом"",  8506011548",Межрайоннная ИФНС № 7 по Иркутской области,А 244947 от 30.12.2008г. до 30.12.13г. ,"магазин ""Эконом"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул. 50 лет Октября, № 37",,,,,,
65,"Общество с ограниченной ответственностью ""Лотос"",  3845000083",Межрайоннная ИФНС № 16 по Иркутской области,А 244949 от 31.12.2008г. до 31.12.13г. ,"магазин ""Лотос"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Кудинская, № 68",,,,,,
66,"Общество с ограниченной ответственностью ""Меркурий"",  3845000132",Межрайоннная ИФНС № 16 по Иркутской области,А 244952 от 12.02.2009г. до 12.02.14г. ,"магазин ""Меркурий"" - Эхирит-Булагатский район, п. Бозой, ул. Калинина, № 1-2",,,,,,
67,"Общество с ограниченной ответственностью ""Аполлон"",  3845000291",Межрайоннная ИФНС № 17 по Иркутской области,А 244955 от 03.03.2009г. до 03.03.14г. ,"павильон ""Бриз"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Ербанова, № 11 ""а""",,,,,,
68,"Общество с ограниченной ответственностью ""Багира"",  8503006395",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176302 от 08.06.2012г. до 29.04.14г.вместо А 244956 ,"магазин ""Макси"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Аптечная, 1""Б""",с 01.03.12г. До 02.07.12г.,с 05.06.2012 г.,,,,
69,"Общество с ограниченной ответственностью ""Импульс"",  3849001384",Межрайоннная ИФНС № 17 по Иркутской области,А 244957 от 29.05.2009г. до 29.05.14г. ,"магазин ""Янта"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул.Ленина, № 50 ""д""",,,,,,
