№ п/п,"Полное и сокращённое наименование, организационно-правовая форма юридического лица",ОГРН,ИНН,Местонахождение юридического лица,Места нахождения обособленных подразделений и условия осуществления деятельности,Срок действия лицензии,Регистрационный номер и дата выдачи лицензии,Сведения о продлении срока действия лицензии,Основание и дата переоформления лицензии,Основание и дата приостановления и возобновления действия лицензии,Основание и дата прекращения действия лицензии,Основание и дата аннулирования лицензии
57,"Общество с ограниченной ответственностью ""Аппарель-Продукты""",1.0376E+12,7602041198,"Россия, 150061,г.Ярославль, Мурманский пр-д, д. 7а, кв.14","1. г.Ярославль,Московский проспект, д.80-А",с 01.11.2008 г. по 01.11.2013 г.,"76202708/Л0305,",,Предыдущее переоформление 26.01.2012 г.,,,
,"(ООО ""Аппарель-Продукты"")",,,,павильоны №№148-149,,"01.11.2008 г., ",,(4) - код 5,,,
,,,,,"(Продажа а/п до 16,5%)",,,,,,,
,,,,,"2. г.Ярославль, ул. Труфанова, д. 30, корп. 3",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. г.Ярославль, пр-кт Октября, остановочный комплекс ЯЭМЗ",,,,,,,
,,,,,киоск в остановочном комплексе,,,,,,,
,,,,,"(Продажа а/п до 16,5%)",,,,,,,
,,,,,"4. г.Ярославль, пл. Богоявления, у д. 7 по ул. Комсомольской",,,,,,,
,,,,,киоск,,,,,,,
,,,,,"(Продажа а/п до 16,5%)",,,,,,,
,,,,,"5. г.Ярославль, Московский проспект, д.80а",,,,,,,
,,,,,кафе,,,,,,,
,,,,,"(Продажа а/п до 16,5%)",,,,,,,
58,"Общество с ограниченной ответственностью ""Апрель плюс""",1.0576E+12,7604082150,"Россия, г. Ярославль, ул.Панина, д.24","1. Ярославская обл., Ростовский район, рп Петровское, ул. Подгорная",с 12.11.2007 г. по 12.11.2012 г.,"76202707/Л0111,",,Предыдущее переоформление 03.07.2012 г.,,,
,"(ООО ""Апрель плюс"")",,,,павильон,,"12.11.2007 г., ",,"(4) - коды 20,29",,,
,,,,,"2. г.Ярославль, ул. Панина, д.24",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. г.Ярославль, Ленинградский пр., д.72-а",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"(Продажа а/п до 16,5%)",,,,,,,
,,,,,"4. г.Ярославль, пер. Красноперевальский, д.9",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"5. г. Рыбинск, ул. Бори Новикова, д. 23а/ул. Расплетина, д. 10",,,,,,,
,,,,,кафе,,,,,,,
,,,,,"6. Ярославская область, Некрасовский район, пос.Строитель, д.3а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"7. Ярославская область, Некрасовский район, пос.Некрасовское,ул.Космонавтов,д.6а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"8. Ярославская область, г.Любим, ул.Вологодская, д.23/23",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"9. Ярославская область,г.Любим, ул.Заводская, д.8а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"10. Ярославская область,г.Любим, ул.Октябрьская, д.2",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"11. Ярославская область,г.Любим, ул. Даниловская,д.73а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"12. Ярославская область,г.Любим, ул.Советская, д.100",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"13. г. Рыбинск, ул. Бори Новикова, д. 23а/ул. Расплетина, д. 10",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"14. Ярославская область, г. Углич, Рыбинское шоссе, д. 4",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"15. Ярославская область, г. Углич, ул. Кирова, д. 42а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"16. Ярославская область, Некрасовский район, Рп Красный Профинтерн, ул. Советская, д. 38",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"17. Ярославская область, г. Углич, Кашинское шоссе, д. 28",,,,,,,
,,,,,магазин (отдел),,,,,,,
59,"Общество с ограниченной ответственностью ТОРГОВЫЙ ДОМ ""АПРЕЛЬ ПЛЮС""",1.0676E+12,7604096509,"Россия, 150049, г.Ярославль, ул.Свободы, д.99","1. г.Ярославль, ул.Свободы, д.99",с 26.09.2008 г. по 26.09.2013 г.,"76202708/Л0260,",,,,,
,"(ООО торговый дом ""АПРЕЛЬ ПЛЮС"")",,,,магазин,,"26.09.2008 г., ",,,,,
60,"Общество с ограниченной ответственностью ""Аракс""",1.0476E+12,7602043237,"Российская Федерация, г.Ярославль, ул.Блюхера, д.38, кв.68","1. г. Ярославль, пр. Октября, д.28а-28",с 20.07.2011 г. по 20.07.2016 г.,"76202711/Л0435,",,Предыдущее переоформление 14.09.2012 г.,,,
,"(ООО ""Аракс"")",,,,кафе,,"20.07.2011 г., ",,(4) - код 5,,,
,,,,,"2. г. Ярославль, проспект Машиностроителей, д.7",,,,,,,
,,,,,кафе,,,,,,,
,,,,,"3. г.Ярославль, ул. Урицкого, д. 7а",,,,,,,
,,,,,кафе,,,,,,,
61,"Общество с ограниченной ответственностью ""Арго""",1.0276E+12,7604009376,"Россия, г.Ярославль, ул.Первомайская, д.19","1. г. Ярославль, ул.Первомайская, д.19",с 22.03.2012 г. по 22.03.2013 г.,"76202712/Л0124,",,,,,
,"(ООО ""Арго"")",,,,кафе,,"22.03.2012 г., ",,,,,
62,"Общество с ограниченной ответственностью ""АРЕНА-бар""",1.0376E+12,7605021295,"Российская Федерация, г.Ярославль, ул.Гагарина, д.15","1. г.Ярославль, ул.Гагарина, д.15",с 09.09.2011 г. по 09.09.2016 г.,"76202711/Л0550,",,,,,
,"(ООО ""АРЕНА-бар"")",,,,бар,,"09.09.2011 г., ",,,,,
63,"Общество с ограниченной ответственностью ""АРЕНА-кафе""",1.0376E+12,7605021288,"Российская Федерация, г.Ярославль, ул.Гагарина, д.15","1. г.Ярославль, ул.Гагарина, д.15",с 09.09.2011 г. по 09.09.2016 г.,"76202711/Л0549,",,,,,
,"(ООО ""АРЕНА-кафе"")",,,,не определено,,"09.09.2011 г., ",,,,,
64,"Общество с ограниченной ответственностью ""Ариес""",1.07761E+12,7612038525,"Ярославская область, г.Углич, ул.Часовая, д.2а","1. Ярославская область, г.Углич, ул.Часовая, д.2а",с 21.04.2008 г. по 21.04.2013 г.,"76202708/Л0091,",,Предыдущее переоформление 16.08.2011 г.,,,
,"(ООО ""Ариес"")",,,,магазин,,"21.04.2008 г., ",,-1,,,
,,,,,"2. Ярославская область, г.Углич, ул.Нариманова, д.27",,,,,,,
,,,,,бар,,,,,,,
65,"Общество с ограниченной ответственностью ""Арктика СТ""",1.06763E+12,7621006897,"Ярославская область, Некрасовский район, п. Некрасовское, ул. Строителей, д. 9а","1. Ярославская область, Некрасовский район, Рп Некрасовское, ул. Строителей ,д. 9а",с 20.07.2011 г. по 20.07.2016 г.,"76202711/Л0432,",,,,,
,"(ООО ""Арктика СТ"")",,,,магазин,,"20.07.2011 г., ",,,,,
66,"Общество с ограниченной ответственностью ""Арлена""",1.0276E+12,7608008849,"Россия, г. Переславль-Залесский, ул. Светлая, д.8","1. Ярославская область, г. Переславль-Залесский, ул. Светлая, д. 8",с 23.10.2007 г. по 23.10.2012 г.,"76202707/Л0087,",,,,,
,"(ООО ""Арлена"")",,,,магазин (отдел),,"23.10.2007 г., ",,,,,
,,,,,"2. Ярославская область, г. Переславль-Залесский, ул. Кооперативная, д.68а",,,,,,,
,,,,,магазин,,,,,,,
67,"Общество с ограниченной ответственностью ""Армавир""""",1.06761E+12,7612035838,"Российская Федерация, Ярославская область, город Углич, улица Гражданская, д.35а","1. Ярославская область, г.Углич, ул.Гражданская, д.35а",с 23.12.2011 г. по 23.12.2016 г.,"76202711/Л0760,",,,,,
,"(ООО ""Армавир"")",,,,магазин,,"23.12.2011 г., ",,,,,
68,"Общество с ограниченной ответственностью ""АРМАДА""",1.06761E+12,7608012362,"Ярославская обл., г. Переславль-Залесский, площадь Менделеева,4","1. Ярославская область, г.Переславль-Залесский, пл.Менделеева, д.4, 2 этаж",с 02.07.2012 г. по 02.07.2017 г.,"76202712/Л0309,",,,,,
,"(ООО ""АРМАДА"")",,,,бар,,"02.07.2012 г., ",,,,,
,,,,,"2. Ярославская область, г.Переславль-Залесский, пл.Менделеева, д.4, 1 этаж",,,,,,,
,,,,,бар,,,,,,,
69,"Общество с ограниченной ответственностью ""Арнэт""",1.06761E+12,7610069743,"Россия, Ярославская область, г.Рыбинск, ул.Димитрова, д.3","1. Ярославская область, г.Рыбинск, ул. Димитрова, д.3",с 23.05.2012 г. по 23.05.2015 г.,"76202712/Л0228,",,,,,
,"(ООО ""Арнэт"")",,,,закусочная,,"23.05.2012 г., ",,,,,
70,"Общество с ограниченной ответственностью ""Арована""",1.1176E+12,7604207787,"г.Ярославль, ул. Наумова, д.64, кв.1.","1. г.Ярославль, Московский проспект, д.90",с 01.09.2011 г. по 01.09.2016 г.,"76202711/Л0543,",,,,,
,"(ООО ""Арована"")",,,,бар,,"01.09.2011 г., ",,,,,
71,"Общество с ограниченной ответственностью ""Арт""",1.07761E+12,7606065697,"Российская Федерация, г.Ярославль, ул.Республиканская, д.3,корп.6","1. г.Ярославль, ул.Республиканская, д.3,корп.6",с 06.12.2007 г. по 06.12.2012 г.,"76202707/Л0146,",,,,,
,"(ООО ""Арт"")",,,,бар,,"06.12.2007 г., ",,,,,
72,"Общество с ограниченной ответственностью ""Арт""",1.0876E+12,7604133782,"Россия, г.Ярославль, ул.Ушинского, д.8","1. г.Ярославль, ул.Ушинского, д.8",с 19.08.2008 г. по 19.08.2013 г.,"76202708/Л0221,",,Предыдущее переоформление 11.11.2011 г.,,,
,"(ООО ""Арт"")",,,,магазин,,"19.08.2008 г., ",,(4) - код 2,,,
,,,,,"2. г.Ярославль, Тутаевское шоссе, д.1",,,,,,,
,,,,,магазин,,,,,,,
73,"Общество с ограниченной ответственностью ""Артем""",1.0376E+12,7604061810,"г.Ярославль, ул.Первомайская, д.23","1. г.Ярославль, ул.Депутатская, д.2",с 31.05.2012 г. по 31.05.2015 г.,"76202712/Л0240,",,Предыдущее переоформление 22.08.2012 г.,,,
,"(ООО ""Артем"")",,,,кафе-пиццерия,,"31.05.2012 г., ",,(4) - код 4,,,
,,,,,"2. г.Ярославль, ул.Собинова, д.43а",,,,,,,
,,,,,пиццерия,,,,,,,
,,,,,"3. г.Ярославль, ул. Свободы, д. 52/39",,,,,,,
