"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Заларинский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности",,"Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
22,"ООО ""Исток"" ИНН 3814016083",МИ ФНС № 14 по Ирк.обл.                           св-во 38 № 002851717,рег. № 2 Д 518227                                               от 14.05.2012г. по 14.05.2013г.    Взамен: рег.  № 4 Д 518201                                               от 15.04.2011г. по 15.04.2012г.,"1. п. Залари, ул. Урицкого, 35","1. отдел ООО ""Исток"" в магазине ",,,,,"лицензия выдана   Администрацией    муниципального образования ""Аларский район"""
23,"ООО ""Высота"" ИНН 3814015107",МИ ФНС № 14 по Ирк.обл.                           св-во 38 № 002851717,А 244923  рег. № 7                                             от 23.04.2012г. по 05.03.2016г.  Взамен: А 244913  рег. № 84                                             от 07.07.2011г. по 05.03.2016г.  ,"1. Заларинский район, д. Красное Поле, ул. Центральная, 8","1. отдел ООО ""Высота"" в магазине ""Рисана"" ",,,,,"лицензия выдана   Администрацией    муниципального образования ""Куйтунский район"""
24,"ООО""Гауди""         ИНН 8500035774",МИ ФНС РФ №7 по Ирк.обл. и УОБАО от 13.10.2005г.,        38 МЕ 003055 рег. № 18                                  от 11.07.2011г. до 04.12.2012г. ,"1. п.Залари,ул.Ленина,49А                                       2. п.Залари,ул.Ленина,105А                                   3. п.Тыреть 1-ая,м-он Солерудник.                             ","1. отдел ООО ""Гауди"" в магазине ""Меркурий""                                                                                       2. отдел ООО ""Гауди"" в магазине ""Меркурий""                                                                                           3. отдел ООО ""Гауди"" в магазине ""Меркурий""      ",,,,,"лицензия выдана   Администрацией    муниципального образования ""Нукутский район"""
25,"ООО""Радуга""  ИНН 3814014713 ",Ми ФНС РФ № 14 по Ирк.обл. и УОБАО от 27.08.2009г.,       А 242647 рег.№ 00071                        от 22.12.2011г.до 22.12.2012г.,"1. р.п. Залари, ул. Ленина, 101 Б",1. торговый бутик № 1 в магазине ИП Боровик Л.А.,,,,,
26,"ООО""Ремида""         ИНН 3801083759 ",ИФНС по г.Ангарску Ирк.обл. от 04.07.2006г.,  А 242648 рег. № 00072                           от 23.12.2011г. до 23.12.2012г.                 ,"1. с.Владимир,Заларинского                  района, ул.40 лет Победы,7","1. отдел ООО ""РЕМИДА"" в              магазине ИП Манжуковой Р.В.",,,,,
27,"ООО ""Наш регион"" ИНН 3805703964",МИ ФНС РФ №15   по Ирк. Обл. и УОБАО от 24.05.2006г., 38 МЕ 006515 рег. № 940                             от 9.07.2012г. По 07.12.2012г.            Взамен: 38 МЕ 006483                              рег. № 908  от 22.05.2012г.                                По 07.12.2012г.   ,"1. п.Залари, ул. Куйбышева, 4а магазин ""Продукты""",,,,,,комитет экономики и труда администрации города Братска
28,"ООО ""Волна"" ИНН 3812125802",МИ ФНС № 17 по Ирк.обл.                           св-во № 003164325 от 04.02.2010г.,А 224302 рег. № 13                                         от 15.05.2012г. По 22.01.2017г.                                                     Взамен: А 224297 рег. № 8                         от 11.03.2012г. По 22.01.2017г.  ,"1. Заларинский район, с. Семеновск, ул. 40 лет Победы, 42;                                                                   2. Заларинский район, с. Холмогой, ул.                    Юбилейная, 20","1. отдел ООО ""Волна"" в магазине                 2. отдел ООО ""Волна"" в магазине                    ",,,,, Администрация    муниципального района Усольского районного муниципального образования
29,"ООО ""Ангарская Розничная Сеть"" ИНН 3801085001",МИ ФНС  России по Ангарску Ирк.обл.            от  2.06.2011г.,А 176764 рег. № 38                                       от 10.05.2012г. До 24.01.2014г.                                 Взамен:  А 176745 рег. № 18                         от 07.03.2012г. До 24.01.2014г.,"1. Иркутская обл., Заларинский район,             п. Залари, ул. Кооперативная, дом 2;                       2. Иркутская обл., Заларинский район,                       п. Залари, ул. Дзержинского, 46;                                   3. Иркутская обл., Заларинский район,                                с. Владимир, ул. Новошахтерская, 23;                              4. Иркутская обл., Заларинский район,                   автомобильная дорога Залари-Троицк,                      20км. ","1. отдел в помещении кафе ""Фортуна"";                                                               2. отдел в магазине;                                              3. отдел в магазине;                                                         4. отдел в магазине.                                      ",,,,, Администрацией    Ангарского муниципального образования
30,"ООО ""РОСПАК-БАЙКАЛ""                ИНН 8506005248",ИМНС России №7 по Ирк.обл. и УОБАО от 05.05.1999г.,рег. № 24 38 МЕ 003062 от 13.04.2012г. до 12.04.2013г.  ,"1. Ирк.обл., Заларинский р-он, п. Залари, ул. Красина, 33",1. вино-водочный отдел, ,,,,"администрация МО ""Нукутский район"""
31,"ООО ""Бриз""   ИНН 3812130383",ИФНС по Свердловскомц округу г. Иркутска  св-во 38 № 003064422,А 203263 рег. № 34                                   от 13.07.2012г по 25.07.2016г.                Взамен: А 203250 рег. № 23                                   от 11.05.2012г по 25.07.2016г.,"1. Ирк. обл., Заларинский р-он                                               п. Тыреть, ул. Трактовая, 15 отдел ООО ""Бриз"" в помещении магазина ""Шанс""                                                        ",,,,,,Иркутское районное муниципальное образование 
