                  Государственный реестр выданных лицензий  за март 2012 г. по  Хабаровскому краю ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
№ пп,Организация - заявитель ,,,,, Объект,Место осуществления деятельности                                           ,Общая площадь,Арендуемая площадь,"Площадь торг зала, кол-во посадочных мест ",Время работы объекта,Примечание,Номер и срок действия лицензии,,,
,ОПФ,нименование организации,юридический адрес,"ИНН, КПП, ОГРН","Вид деятельности, заявленный срок в годах",,,,,,,,,,,
г. Хабаровск,,,,,,,,,,,,,,,,
42,ООО,"""Любавва""","р.п.Дормидонтовка, ул. Пашина, 37, тел. 45-2-49",2723027255/271101001/1032700446899,розничная продажа АП 1 год,отдел в магазине,"с.Кукелево, ул.Набережная д.8а",25,25,25,8-20,продление,ХБ 000924 № 60 13.03.2012 - 13.03.2013,,,
,,,,,,отдел в магазине,"р.п.Дормидонтовка, ул.Пашина д.37",25,25,25,8-21,,,,,
,,,,,,отдел в мгазине," р.п.Дормидонтовка, ул.Карла Маркса д.29",25,25,25,8-20,,,,,
г. Комсомольск-на-Амуре,,,,,,,,,,,,,,,,
43,ООО," ""Комстрой"""," г.Комсомольск-на-Амуре, ул.Кирова д.79, тел. 51-15-28",2727025611/270301001/1022700523890,розничная продажа АП 1 год,магазин ,"г.Комсомольск-на-Амуре, ул.Кирова д.79",175.1,175.1,63,8-21,продление,ХБ 000931 № 2139 13.03.2012 - 13.03.2013,,,
44,ООО," ""Лотос""","Комсомольский р-н., с.Хурба, ул.Комсомольская д.10, тел. 56-02-61",2712006567/271201001/1052740119970,розничная продажа АП 5 лет,магазин,"г.Комсомольск-на-Амуре, ул.Сортировочная д.3",51.7,51.7,31.9,8-21,доп. объект,ХБ 002522 № 1850 16.12.2008 - 16.12.2013,,,
45,ООО,"""Арко""","г.Комсомольск-на-Амуре, пр-кт.Победы д.75, тел. 55-70-05",2703053419/270301001/1092703004140,розничная продажа АП 2 года,магазин,"г.Комсомольск-на-Амуре, ул.Ленинградская д.33",107.1,107.1,57.2,8-21,продление,ХБ 000961 № 2145 13.03.2012 - 13.03.2014,,,
,,,,,,магазин,"г.Комсомольск-на-Амуре, пр-кт.Победы д.75",313.1,313.1,149.8,8-21,,,,,
,,,,,,магазин,"г.Комсомольск-на-Амуре, ул.Культурная д.9",345.4,345.4,110.2,8-21,,,,,
46,ООО,"""Дальневосточная торговая компания""","г.Комсомольск-на-Амуре, ул.Сидоренко д.19, тел. 27-38-60",2703062452/270301001/1112703005546,розничная продажа АП 1 год,магазин,"г.Комсомольск-на-Амуре, ул.Копылова д.48",141.1,141.1,115.3,8-23,доп. объект,ХБ 000879 № 2526 14.02.2012 - 14.02.2013,,,
47,ООО,"""Колос""","г.Комсомольск-на-Амуре, ш.Магистральное д.13-1, тел. 53-51-71",2703009586/270301001/1022700518312,розничная продажа АП 1 год,магазин,"г.Комсомольск-на-Амуре, ш.Магистральное д.13-1",409.6,409.6,131,8-20,продление,ХБ 000934 № 95 13.03.2012 - 13.03.2013,,,
