,12087,02/07/12,03/07/06,02/07/17,11МЕ004318,"ООО ""Каспи"", по адресу:  г. Сыктывкар,ул. Морозова, д.113, кв.70. ОГРН 1061101022168,в лице Габибов Мубашир Гуджат оглы. Тел.21-69-37. ИНН : 1101125054/110101001","кафе «Восток» г. Сыктывкар,ул. Печорская, д. 67",  
,12092,18/07/12,04/07/06,03/07/13,11МЕ004377осн,"ООО ""Волга"", по адресу:  г. Сыктывкар,ул. Краснозатонская, д.38. Тел.236-156. ОГРН 1061101037227,в лице Балобченко Руслан Викторович. Тел. 43-11-70, 236-156. ИНН : 1101125992/110101001", ,  
,12092,18/07/12,04/07/06,03/07/13,11МЕ004377коп,"ООО ""Волга"", по адресу:  г. Сыктывкар,ул. Краснозатонская, д.38. Тел.236-156. ОГРН 1061101037227,в лице Балобченко Руслан Викторович. Тел. 43-11-70, 236-156. ИНН : 1101125992/110101001","магазин №360 «Ксения» г. Сыктывкар,ул. Краснозатонская, д. 38",  
,12092,18/07/12,11/08/08,03/07/13,11МЕ004377коп,"ООО ""Волга"", по адресу:  г. Сыктывкар,ул. Краснозатонская, д.38. Тел.236-156. ОГРН 1061101037227,в лице Балобченко Руслан Викторович. Тел. 43-11-70, 236-156. ИНН : 1101125992/110101001","магазин №797 г. Сыктывкар,ул. Корабельная, д.7",  
,12120,23/07/12,07/07/06,06/07/13,11МЕ004389,"ООО ""Пчелка"", по адресу:  г. Сыктывкар,п. Верхний Чов, д.55/1. ОГРН 1061101033366,в лице Булдин Владимир Алексеевич. Тел. 23-01-36, 55-17-66. ИНН : 1101125463/110101001","магазин «Светлячок» г. Сыктывкар,п. Верхний Чов, д.55/1",  
,12143,15/06/11,11/07/06,10/07/13,11МЕ003575,"ООО ""Сушки"", по адресу:  г. Сыктывкар,ул. Южная, д.7. ОГРН 1051100550588,в лице Очкасов Евгений Александрович. Тел.24-94-96. ИНН : 1101046268/110101001","бар ""Сушки"" г. Сыктывкар,ул. Южная, д.7",  
,12147,12/07/12,21/10/11,12/07/13,11МЕ004358коп,"ООО ""Русская трапеза"", по адресу:  г. Сыктывкар,Эжвинский р-н,ул. Мира, д.33. ОГРН 1061121003790,в лице Жилин Сергей Олегович. Тел.33-33-40,31-66-08. ИНН : 1121014708/112101001","магазин «2 Клубнички» г. Сыктывкар,проспект Бумажников, д.45",  
,12147,12/07/12,01/11/11,12/07/13,11МЕ004358коп,"ООО ""Русская трапеза"", по адресу:  г. Сыктывкар,Эжвинский р-н,ул. Мира, д.33. ОГРН 1061121003790,в лице Жилин Сергей Олегович. Тел.33-33-40,31-66-08. ИНН : 1121014708/112101001","магазин №3 «2 Клубнички» г. Сыктывкар,ул. Заводская, д. 21",  
,12147,12/07/12,12/09/11,12/07/13,11МЕ004358коп,"ООО ""Русская трапеза"", по адресу:  г. Сыктывкар,Эжвинский р-н,ул. Мира, д.33. ОГРН 1061121003790,в лице Жилин Сергей Олегович. Тел.33-33-40,31-66-08. ИНН : 1121014708/112101001","бар «Живая Пинта» г. Сыктывкар,Эжвинский р-н,ул. Космонавтов, д.9-А",  
,12147,12/07/12,12/09/11,12/07/13,11МЕ004358коп,"ООО ""Русская трапеза"", по адресу:  г. Сыктывкар,Эжвинский р-н,ул. Мира, д.33. ОГРН 1061121003790,в лице Жилин Сергей Олегович. Тел.33-33-40,31-66-08. ИНН : 1121014708/112101001","магазин №2 «2 Клубнички» г. Сыктывкар,Эжвинский р-н,ул. Космонавтов, д.9-А",  
,12147,12/07/12,13/07/06,12/07/13,11МЕ004358осн,"ООО ""Русская трапеза"", по адресу:  г. Сыктывкар,Эжвинский р-н,ул. Мира, д.33. ОГРН 1061121003790,в лице Жилин Сергей Олегович. Тел.33-33-40,31-66-08. ИНН : 1121014708/112101001", ,  
,12147,12/07/12,13/07/06,12/07/13,11МЕ004358коп,"ООО ""Русская трапеза"", по адресу:  г. Сыктывкар,Эжвинский р-н,ул. Мира, д.33. ОГРН 1061121003790,в лице Жилин Сергей Олегович. Тел.33-33-40,31-66-08. ИНН : 1121014708/112101001","магазин «Рио» г. Сыктывкар,Эжвинский р-н,ул. Мира, д. 33",  
,12155,12/07/11,13/07/06,12/07/14,11МЕ003604осн,"ООО ""Слобода"", по адресу:  г. Сыктывкар,ул. Ленина, д.17, кв.93. ОГРН 1061101038591,в лице Ладанов Сергей Борисович. Тел.63-15-81, 55-77-34. ИНН : 1101126650/110101001", ,  
,12155,12/07/11,13/07/07,12/07/14,11МЕ003604коп,"ООО ""Слобода"", по адресу:  г. Сыктывкар,ул. Ленина, д.17, кв.93. ОГРН 1061101038591,в лице Ладанов Сергей Борисович. Тел.63-15-81, 55-77-34. ИНН : 1101126650/110101001","магазин ""Эжва"" г. Сыктывкар,Эжвинский р-н,ул. Мира, д.56",  
,12155,12/07/11,13/07/06,12/07/14,11МЕ003604коп,"ООО ""Слобода"", по адресу:  г. Сыктывкар,ул. Ленина, д.17, кв.93. ОГРН 1061101038591,в лице Ладанов Сергей Борисович. Тел.63-15-81, 55-77-34. ИНН : 1101126650/110101001","магазин ""Слобода"" г. Сыктывкар,Эжвинский р-н,ул. Мира, д.70",  
,12169,18/07/12,18/07/06,17/07/13,11МЕ004374осн,"ООО ""Магазин ""Авоська"", по адресу:  г. Сыктывкар,ул. З. Космодемьянской, д.22-б. ОГРН 1061101038790,в лице Королева Ольга Сергеевна. Тел.22-68-68, 56-34-17. ИНН : 1101126717/110101001", ,  
,12169,18/07/12,18/07/06,17/07/13,11МЕ004374коп,"ООО ""Магазин ""Авоська"", по адресу:  г. Сыктывкар,ул. З. Космодемьянской, д.22-б. ОГРН 1061101038790,в лице Королева Ольга Сергеевна. Тел.22-68-68, 56-34-17. ИНН : 1101126717/110101001","магазин «Авоська» г. Сыктывкар,ул. З. Космодемьянской, д.22б",  
,12169,18/07/12,17/07/12,17/07/13,11МЕ004374коп,"ООО ""Магазин ""Авоська"", по адресу:  г. Сыктывкар,ул. З. Космодемьянской, д.22-б. ОГРН 1061101038790,в лице Королева Ольга Сергеевна. Тел.22-68-68, 56-34-17. ИНН : 1101126717/110101001","магазин «Северяночка» г. Сыктывкар,ул. Северная, д.61",  
,12175,18/07/12,18/07/06,17/07/13,11МЕ004379,"ООО ""Аран"", по адресу:  г. Сыктывкар,Сысольское шоссе, д.1/3. ОГРН 1061101038107,в лице Аббасова Светлана Валерьевна. Тел.29-31-76, 555-395. ИНН : 1101126393/110101001","кафе «Канан» г. Сыктывкар,Сысольское шоссе, д. 1/3",  
,12200,20/07/11,18/10/07,20/07/16,11МЕ003628коп,"ООО ""Камелот"", по адресу:  г. Сыктывкар,Эжвинский р-н,проспект Бумажников, д.26, кв.41. ОГРН 1061121005692,в лице Мамедов Кямран Гуммет оглы. Тел.89042045300. ИНН : 1121014754/112101001","магазин ""Камелот-1"" г. Сыктывкар,Эжвинский р-н,ул. Космонавтов, д.12",  
,12200,20/07/11,21/07/06,20/07/16,11МЕ003628осн,"ООО ""Камелот"", по адресу:  г. Сыктывкар,Эжвинский р-н,проспект Бумажников, д.26, кв.41. ОГРН 1061121005692,в лице Мамедов Кямран Гуммет оглы. Тел.89042045300. ИНН : 1121014754/112101001", ,  
,12204,26/07/12,24/07/06,23/07/13,11МЕ004411,"ООО ""Ольга"", по адресу:  г. Сыктывкар,ул. Магистральная, д.33, кв.15. ОГРН 1061101037535,в лице Коробицына Ольга Ивановна. Тел.25-41-02, 550-137. ИНН : 1101126139/110101001","магазин №95 г. Сыктывкар,ул. Магистральная, д.11",  
,12221,07/06/11,31/07/06,30/07/14,11МЕ003433осн,"ООО ""ФЕЯ"", по адресу:  г. Сыктывкар,Октябрьский проспект, д.131/6, офис 13. ОГРН 1061101038250,в лице Жилкина Наталья Георгиевна. Тел.89125620413. ИНН : 1101049149/110101001", ,  
,12229,27/07/12,13/02/08,31/07/13,11МЕ004412коп,"ООО ""Зенфира"", по адресу:  г. Сыктывкар,Октябрьский проспект, д.124, кв.93. ОГРН 1061101036853,в лице Алекперова Зенфира Имрановна. Тел.21-94-16, 555-296, 351-266. ИНН : 1101125738/110101001","магазин «Алтын» г. Сыктывкар,ул. Карла Маркса, д.192",  
,12229,27/07/12,01/08/06,31/07/13,11МЕ004412осн,"ООО ""Зенфира"", по адресу:  г. Сыктывкар,Октябрьский проспект, д.124, кв.93. ОГРН 1061101036853,в лице Алекперова Зенфира Имрановна. Тел.21-94-16, 555-296, 351-266. ИНН : 1101125738/110101001", ,  
,12248,09/08/11,10/08/06,09/08/13,11МЕ003779осн,"ООО ""Мария"", по адресу:  г. Сыктывкар,п. Седкыркещ, ул.Гастелло, д.4, кв.2. ОГРН 1061101039196,в лице Шапина Мария Ивановна. Тел.31-45-60, 795-597. ИНН : 1101126837/110101001", ,  
,12248,09/08/11,10/08/06,09/08/13,11МЕ003779коп,"ООО ""Мария"", по адресу:  г. Сыктывкар,п. Седкыркещ, ул.Гастелло, д.4, кв.2. ОГРН 1061101039196,в лице Шапина Мария Ивановна. Тел.31-45-60, 795-597. ИНН : 1101126837/110101001","магазин № 16 г. Сыктывкар,п. Седкыркещ, ул. Уральская, д. 17",  
,12248,09/08/11,10/08/06,09/08/13,11МЕ003779коп,"ООО ""Мария"", по адресу:  г. Сыктывкар,п. Седкыркещ, ул.Гастелло, д.4, кв.2. ОГРН 1061101039196,в лице Шапина Мария Ивановна. Тел.31-45-60, 795-597. ИНН : 1101126837/110101001","магазин №11 г. Сыктывкар,п. Седкыркещ, ул. Чайкиной, 25",  
,12258,02/08/11,16/08/06,15/08/12,11МЕ003760,"ООО ""Окей"", по адресу:  г. Сыктывкар,Эжвинский р-н,ул. Весенняя, д.1. ОГРН 1061121007826,в лице Казанцев Владимир Петрович. Тел.62-33-70. ИНН : 1121015081/112101001","магазин «Весна» г. Сыктывкар,Эжвинский р-н,ул. Весенняя, д.1",  
,12271,23/08/11,01/09/06,31/08/12,11МЕ003704,"ООО ""Каравелла"", по адресу:  г. Сыктывкар,Октябрьский пр., д.136. ОГРН 1021100524719,в лице Герасименко Юрий Геннадьевич. Тел.44-73-35. ИНН : 1101023091/110101001","магазин №203 г. Сыктывкар,Октябрьский проспект, д.136",  
,12274,26/08/11,30/08/06,29/08/12,11МЕ003708,"ООО ""Талисман"", по адресу:  г. Сыктывкар,пгт. Седкыркещ, ул. Уральская, д.19«а». ОГРН 1061101037755,в лице Оплеснина Валентина Степановна. Тел.238-235. ИНН : 1101126280/110101001","магазин №153 г. Сыктывкар,пгт. Седкыркещ, ул. Гастелло, д.14/1",  
,12276,23/07/12,14/04/09,03/09/13,11МЕ004390коп,"ООО «Гермес», по адресу:  г. Сыктывкар,Эжвинский р-н,пр. Бумажников, д.30, кв.310. ОГРН 1061121007738,в лице Ширяева Наталья Александровна. Тел.62-28-89, 27-43-51. ИНН : 1121015050/112101001","кафе «Виолет» г. Сыктывкар,Эжвинский р-н,ул. Емвальская, д.13",  
,12276,23/07/12,04/09/06,03/09/13,11МЕ004390осн,"ООО «Гермес», по адресу:  г. Сыктывкар,Эжвинский р-н,пр. Бумажников, д.30, кв.310. ОГРН 1061121007738,в лице Ширяева Наталья Александровна. Тел.62-28-89, 27-43-51. ИНН : 1121015050/112101001", ,  
,12276,23/07/12,23/07/12,03/09/13,11МЕ004390коп,"ООО «Гермес», по адресу:  г. Сыктывкар,Эжвинский р-н,пр. Бумажников, д.30, кв.310. ОГРН 1061121007738,в лице Ширяева Наталья Александровна. Тел.62-28-89, 27-43-51. ИНН : 1121015050/112101001","кафе «Апельсин» г. Сыктывкар,Эжвинский р-н,пр. Бумажников, д.40/1",  
,12276,23/07/12,04/09/06,03/09/13,11МЕ004390коп,"ООО «Гермес», по адресу:  г. Сыктывкар,Эжвинский р-н,пр. Бумажников, д.30, кв.310. ОГРН 1061121007738,в лице Ширяева Наталья Александровна. Тел.62-28-89, 27-43-51. ИНН : 1121015050/112101001","магазин г. Сыктывкар,Эжвинский р-н,садоводческое товарищество ""Черемушки"", участок №160, проезд 1-Б",  
,12276,23/07/12,03/12/07,03/09/13,11МЕ004390коп,"ООО «Гермес», по адресу:  г. Сыктывкар,Эжвинский р-н,пр. Бумажников, д.30, кв.310. ОГРН 1061121007738,в лице Ширяева Наталья Александровна. Тел.62-28-89, 27-43-51. ИНН : 1121015050/112101001","магазин «Гермес» г. Сыктывкар,Эжвинский р-н,ул. Емвальская, д. 13",  
,12279,24/08/11,05/09/06,04/09/12,11МЕ003706осн,"ООО ""БАХУС""., по адресу:  г. Сыктывкар,ул. Морозова, д.100. ОГРН 1061101009463,в лице Посталаке Аурел Константинович. Тел.34-11-12, 57-11-87. ИНН : 1101124572/110101001", ,  
,12279,24/08/11,29/12/06,04/09/12,11МЕ003706коп,"ООО ""БАХУС""., по адресу:  г. Сыктывкар,ул. Морозова, д.100. ОГРН 1061101009463,в лице Посталаке Аурел Константинович. Тел.34-11-12, 57-11-87. ИНН : 1101124572/110101001","магазин ""Бахус"" г. Сыктывкар,ул. Морозова, д.100",  
,12295,18/01/12,15/09/06,14/09/13,11МЕ003922коп,"Общество с ограниченной ответственностью «Гамма-Сыктывкар» (ООО «Гамма-С»), по адресу:  г. Сыктывкар,ул. Снежная, д.31. ОГРН 1061101037216,в лице Габов Иван Михайлович. Тел.274-199. ИНН : 1101125985/110101001","магазин «Продукты» г. Сыктывкар,п. Выльтыдор, ул. Механическая",  
,12295,18/01/12,15/09/06,14/09/13,11МЕ003922коп,"Общество с ограниченной ответственностью «Гамма-Сыктывкар» (ООО «Гамма-С»), по адресу:  г. Сыктывкар,ул. Снежная, д.31. ОГРН 1061101037216,в лице Габов Иван Михайлович. Тел.274-199. ИНН : 1101125985/110101001","магазин №57 ""Универсам Окраина"" г. Сыктывкар,пгт Верхняя Максаковка, ул.  Снежная, д. 31",  
,12295,18/01/12,15/09/06,14/09/13,11МЕ003922осн,"Общество с ограниченной ответственностью «Гамма-Сыктывкар» (ООО «Гамма-С»), по адресу:  г. Сыктывкар,ул. Снежная, д.31. ОГРН 1061101037216,в лице Габов Иван Михайлович. Тел.274-199. ИНН : 1101125985/110101001", ,  
,12313,31/08/11,26/09/06,25/09/12,11МЕ003711,"ООО ""Конфетти"", по адресу:  г. Сыктывкар,ул. Морозова, д.164, кв.102. ОГРН 1061101041616,в лице Желудева Ираида Александровна. Тел.31-41-19. ИНН : 1101127654/110101001","магазин №472 г. Сыктывкар,ул. Банбана, д.5",  
,12316,30/09/11,27/09/06,26/09/12,11МЕ003852,"ООО ""Фрегат"", по адресу:  г. Сыктывкар,ул. Пушкина, д.20 «а». ОГРН 1051100582830,в лице Агапиев Александр Валентинович. Тел.20-18-55, 21-67-63. ИНН : 1101124075/110101001","бар «Немо» г. Сыктывкар,ул. Пушкина, д.20 «а»",  
,12324,05/10/11,03/10/06,02/10/12,11МЕ003857осн,"ООО ""ТРЕЙД"", по адресу:  г. Сыктывкар,ул. Первомайская, д.62. ОГРН 1061101021156,в лице Ивкина Екатерина Сергеевна. Тел.39-12-33, 89068806162. ИНН : 1101048233/110101001", ,  
,12324,05/10/11,03/10/06,02/10/12,11МЕ003857коп,"ООО ""ТРЕЙД"", по адресу:  г. Сыктывкар,ул. Первомайская, д.62. ОГРН 1061101021156,в лице Ивкина Екатерина Сергеевна. Тел.39-12-33, 89068806162. ИНН : 1101048233/110101001","бар ""Зебра"" г. Сыктывкар,ул. Первомайская, д. 62, блок А и Б",  
,12329,20/12/11,01/01/07,31/12/12,11МЕ003958коп,"ООО ""Галатея"", по адресу:  г. Сыктывкар,ул. Зои Космодемьянской, д.48, кв.105. ОГРН 1021100529339,в лице Никогосян Ашот Гарникович. Тел.21-49-87, 43-07-54. ИНН : 1101011762/110101001","магазин №144 г. Сыктывкар,ул. Ленина, д.82",  
,12329,20/12/11,01/01/07,31/12/12,11МЕ003958осн,"ООО ""Галатея"", по адресу:  г. Сыктывкар,ул. Зои Космодемьянской, д.48, кв.105. ОГРН 1021100529339,в лице Никогосян Ашот Гарникович. Тел.21-49-87, 43-07-54. ИНН : 1101011762/110101001", ,  
,12330,11/10/11,10/10/06,09/10/12,11МЕ003863,"ООО ""БАХУС "", по адресу:  г. Сыктывкар,ул. Кирова, д.56. ОГРН 1061101010805,в лице Исмаилов Маркс Гаджиахметович. Тел.72-05-11. ИНН : 1101124639/110101001","бар «БАХУС» г. Сыктывкар,ул. Кирова, д.56",  
,12355,30/09/11,31/10/06,30/10/12,11МЕ003853,"ООО ""МИР-СП"", по адресу:  г. Сыктывкар,Эжвинский р-н,ул. Маяковского, д.9, кв.58. ОГРН 1061121008101,в лице Рудольф Виктор Гаррикович. Тел. 33-33-40. ИНН : 1121015300/112101001","кафе ""Рио"" г. Сыктывкар,Эжвинский р-н,ул. Калинина, д.20",  
,12379,11/10/11,30/11/06,29/11/14,11МЕ003867,"ООО  ""Капитал"", по адресу:  г. Сыктывкар,Эжвинский р-н,ул. Комарова, 22/1. ОГРН 1061121008046,в лице Шилова Ирина Александровна. Тел.66-50-69. ИНН : 1121015250/112101001","магазин «Мираж» г. Сыктывкар,Эжвинский р-н,ул. Комарова, д. 22/1",  
,12418,12/10/11,28/12/06,27/12/13,11МЕ003870,"ООО ""МАРИЦА"", по адресу:  г. Сыктывкар,ул. Зои Космодемьянской, д. 48, кв.34. КПП 110101001,в лице Иванова Нина Васильевна. Тел.89121430839. ИНН : 1101060216/110101001","магазин г. Сыктывкар,ул. Пермская, д. 33",  
,12421,26/12/11,29/12/06,28/12/12,11МЕ003996осн,"ООО ""Фадком"", по адресу:  г. Сыктывкар,ул. Тентюковская, д.168. ОГРН 1061101037722,в лице Габзаева Галина Валерьевна. Тел.22-55-78. ИНН : 1101126259/110101001", ,  
,12421,26/12/11,09/07/09,28/12/12,11МЕ003996коп,"ООО ""Фадком"", по адресу:  г. Сыктывкар,ул. Тентюковская, д.168. ОГРН 1061101037722,в лице Габзаева Галина Валерьевна. Тел.22-55-78. ИНН : 1101126259/110101001","магазине №49 г. Сыктывкар,ул. Тентюковская, д. 473",  
,12421,26/12/11,29/12/06,28/12/12,11МЕ003996коп,"ООО ""Фадком"", по адресу:  г. Сыктывкар,ул. Тентюковская, д.168. ОГРН 1061101037722,в лице Габзаева Галина Валерьевна. Тел.22-55-78. ИНН : 1101126259/110101001","магазин № 849 г. Сыктывкар,ул. Тентюковская, д.168",  
,12422,16/01/12,16/01/12,28/12/12,11МЕ003918коп,"Общество с ограниченной ответственностью «Все для Вас» (ООО «ВДВ»), по адресу:  г. Сыктывкар,пгт. В. Максаковка, ул. Снежная, д. 1в. ОГРН 1061101043926,в лице Саладин Алексей Георгиевич. Тел. 23-21-95. ИНН : 1101128760/110101001","павильон №85 г. Сыктывкар,п.г.т. Верхняя Максаковка, ул. Красноборская, 1/2",  
,12422,16/01/12,16/01/12,28/12/12,11МЕ003918коп,"Общество с ограниченной ответственностью «Все для Вас» (ООО «ВДВ»), по адресу:  г. Сыктывкар,пгт. В. Максаковка, ул. Снежная, д. 1в. ОГРН 1061101043926,в лице Саладин Алексей Георгиевич. Тел. 23-21-95. ИНН : 1101128760/110101001","магазин №1 г. Сыктывкар,п.г.т. Верхняя Максаковка, ул. Снежная, д.1в",  
,12422,16/01/12,29/12/06,28/12/12,11МЕ003918коп,"Общество с ограниченной ответственностью «Все для Вас» (ООО «ВДВ»), по адресу:  г. Сыктывкар,пгт. В. Максаковка, ул. Снежная, д. 1в. ОГРН 1061101043926,в лице Саладин Алексей Георгиевич. Тел. 23-21-95. ИНН : 1101128760/110101001","павильон №85 торгового комплекса г. Сыктывкар,ул. Красноборская - Снежная",  
,12422,16/01/12,29/12/06,28/12/12,11МЕ003918осн,"Общество с ограниченной ответственностью «Все для Вас» (ООО «ВДВ»), по адресу:  г. Сыктывкар,пгт. В. Максаковка, ул. Снежная, д. 1в. ОГРН 1061101043926,в лице Саладин Алексей Георгиевич. Тел. 23-21-95. ИНН : 1101128760/110101001", ,  
,12435,12/01/12,20/01/07,19/01/17,11МЕ003916коп,"ООО ""ЛЕС"", по адресу:  г. Сыктывкар,ОГРН 1021100521276,в лице Кушнерик Петр Иванович. Тел.23-27-79. ИНН : 1101010230/110101001","магазин №371 г. Сыктывкар,п. Максаковка, ул. Большая, 6",  
,12435,12/01/12,20/01/07,19/01/17,11МЕ003916коп,"ООО ""ЛЕС"", по адресу:  г. Сыктывкар,ОГРН 1021100521276,в лице Кушнерик Петр Иванович. Тел.23-27-79. ИНН : 1101010230/110101001","магазин №206 г. Сыктывкар,п. Максаковка, ул. Красноборская, 1",  
,12435,12/01/12,20/01/07,19/01/17,11МЕ003916осн,"ООО ""ЛЕС"", по адресу:  г. Сыктывкар,ОГРН 1021100521276,в лице Кушнерик Петр Иванович. Тел.23-27-79. ИНН : 1101010230/110101001", ,  
,12440,23/01/12,19/01/07,18/01/13,11МЕ003929,"ООО ""ЮТэйр-Экспресс"", по адресу:  г. Сыктывкар,ул. Первомайская, д.70. ОГРН 1061101044949,в лице Плясухин Вячеслав Викторович. Тел.20-66-00, 20-67-61. ИНН : 1101061763/110101001","цех бортового питания г. Сыктывкар,Авиационный переулок, д.18",  
,12451,28/12/11,10/02/07,09/02/15,11МЕ004000,"ООО ""Общепит-К"", по адресу:  г. Сыктывкар,ул. Бабушкина, д.38. ОГРН 1021100516359,в лице Маркова Любовь Николаевна. Тел.24-00-24. ИНН : 1101110749/110101001","столовая «Пельменная-2» г. Сыктывкар,ул. Бабушкина, д.38",  
,12463,20/07/12,05/05/12,28/02/13,11МЕ004392коп,"ООО ""Дионис"", по адресу:  г. Сыктывкар,Покровский бульвар, д.5. ОГРН 1031100438467,в лице Иванов Игорь Владимирович. Тел. 21-54-53, 32-20-90. ИНН : 1101039662/110101001","торговый павильон №5 г. Сыктывкар,ул. Орджоникидзе, д. 50",  
,12463,20/07/12,27/01/12,28/02/13,11МЕ004392коп,"ООО ""Дионис"", по адресу:  г. Сыктывкар,Покровский бульвар, д.5. ОГРН 1031100438467,в лице Иванов Игорь Владимирович. Тел. 21-54-53, 32-20-90. ИНН : 1101039662/110101001","павильон №3 г. Сыктывкар,ул. Оплеснина, д. 58-а, в ТЦ «Строитель»",  
,12463,20/07/12,01/03/07,28/02/13,11МЕ004392коп,"ООО ""Дионис"", по адресу:  г. Сыктывкар,Покровский бульвар, д.5. ОГРН 1031100438467,в лице Иванов Игорь Владимирович. Тел. 21-54-53, 32-20-90. ИНН : 1101039662/110101001","магазин №82 г. Сыктывкар,Покровский бульвар, д.5",  
,12463,20/07/12,01/03/07,28/02/13,11МЕ004392осн,"ООО ""Дионис"", по адресу:  г. Сыктывкар,Покровский бульвар, д.5. ОГРН 1031100438467,в лице Иванов Игорь Владимирович. Тел. 21-54-53, 32-20-90. ИНН : 1101039662/110101001", ,  
,12463,20/07/12,20/07/12,28/02/13,11МЕ004392коп,"ООО ""Дионис"", по адресу:  г. Сыктывкар,Покровский бульвар, д.5. ОГРН 1031100438467,в лице Иванов Игорь Владимирович. Тел. 21-54-53, 32-20-90. ИНН : 1101039662/110101001","магазин № 226 г. Сыктывкар,ул. Колхозная, д.2/1",  
,12463,20/07/12,22/12/09,28/02/13,11МЕ004392коп,"ООО ""Дионис"", по адресу:  г. Сыктывкар,Покровский бульвар, д.5. ОГРН 1031100438467,в лице Иванов Игорь Владимирович. Тел. 21-54-53, 32-20-90. ИНН : 1101039662/110101001","павильон №7 ТК «Эжвинский гостиный двор» г. Сыктывкар,Эжвинский р-н,проспект Бумажников, 36/1",  
,12463,20/07/12,25/10/11,28/02/13,11МЕ004392коп,"ООО ""Дионис"", по адресу:  г. Сыктывкар,Покровский бульвар, д.5. ОГРН 1031100438467,в лице Иванов Игорь Владимирович. Тел. 21-54-53, 32-20-90. ИНН : 1101039662/110101001","павильон №8 в ТЦ «Триумф» г. Сыктывкар,Эжвинский р-н,проспект Бумажников, д. 37А",  
,12478,29/03/12,03/04/07,02/04/14,11МЕ004114,"ООО ""Сакура"", по адресу:  г. Сыктывкар,пос. Верхний Чов, д.50. ОГРН 1021100521254,в лице Курносова Наталья Анатольевна. Тел.23-05-36. ИНН : 1101105080/110101001","магазин №619 г. Сыктывкар,пос. Верхний Чов, д.50.",  
,12480,04/05/12,01/09/08,04/04/17,11МЕ004190коп,"ООО ""Формат Трейдинг"", по адресу:  г. Сыктывкар,ул. Громова, д.83. ОГРН 1031100436146,в лице Карповская Надежда Николаевна. Тел.24-81-45, 24-81-55. ИНН : 1101039415/110101001","магазин №36 г. Сыктывкар,ул. Пушкина, д.28",  
,12480,04/05/12,25/12/07,04/04/17,11МЕ004190коп,"ООО ""Формат Трейдинг"", по адресу:  г. Сыктывкар,ул. Громова, д.83. ОГРН 1031100436146,в лице Карповская Надежда Николаевна. Тел.24-81-45, 24-81-55. ИНН : 1101039415/110101001","павильон №100 г. Сыктывкар,ул. Школьная, д.9",  
,12480,04/05/12,05/04/07,04/04/17,11МЕ004190коп,"ООО ""Формат Трейдинг"", по адресу:  г. Сыктывкар,ул. Громова, д.83. ОГРН 1031100436146,в лице Карповская Надежда Николаевна. Тел.24-81-45, 24-81-55. ИНН : 1101039415/110101001","магазин №42 г. Сыктывкар,м. Дырнос, 35",  
,12480,04/05/12,05/04/07,04/04/17,11МЕ004190коп,"ООО ""Формат Трейдинг"", по адресу:  г. Сыктывкар,ул. Громова, д.83. ОГРН 1031100436146,в лице Карповская Надежда Николаевна. Тел.24-81-45, 24-81-55. ИНН : 1101039415/110101001","магазин №11 г. Сыктывкар,ул. Судоремонтная, 18",  
,12480,04/05/12,05/04/07,04/04/17,11МЕ004190коп,"ООО ""Формат Трейдинг"", по адресу:  г. Сыктывкар,ул. Громова, д.83. ОГРН 1031100436146,в лице Карповская Надежда Николаевна. Тел.24-81-45, 24-81-55. ИНН : 1101039415/110101001","магазин №26 г. Сыктывкар,ул. Красных Партизан, 81",  
,12480,04/05/12,05/04/07,04/04/17,11МЕ004190осн,"ООО ""Формат Трейдинг"", по адресу:  г. Сыктывкар,ул. Громова, д.83. ОГРН 1031100436146,в лице Карповская Надежда Николаевна. Тел.24-81-45, 24-81-55. ИНН : 1101039415/110101001", ,  
,12486,23/04/12,27/10/11,15/04/17,11МЕ004090коп,"ООО ""Бастион"", по адресу:  г. Сыктывкар,ул. Лесопарковая, д.67. ОГРН 1061101044520,в лице Панев Олег Леонидович. Тел.31-59-05, 270-720. ИНН : 1101129147/110101001","торговый павильон «Империя Вин» в ТЦ «Океан» г. Сыктывкар,ул. Морозова, д.115",  
,12486,23/04/12,14/07/11,15/04/17,11МЕ004090коп,"ООО ""Бастион"", по адресу:  г. Сыктывкар,ул. Лесопарковая, д.67. ОГРН 1061101044520,в лице Панев Олег Леонидович. Тел.31-59-05, 270-720. ИНН : 1101129147/110101001","магазин «Империя Вин» г. Сыктывкар,ул. Гаражная, д.9/2",  
,12486,23/04/12,08/09/09,15/04/17,11МЕ004090коп,"ООО ""Бастион"", по адресу:  г. Сыктывкар,ул. Лесопарковая, д.67. ОГРН 1061101044520,в лице Панев Олег Леонидович. Тел.31-59-05, 270-720. ИНН : 1101129147/110101001","магазин «Империя Вин» г. Сыктывкар,ул. Орджоникидзе, д. 50/2",  
,12486,23/04/12,14/12/10,15/04/17,11МЕ004090коп,"ООО ""Бастион"", по адресу:  г. Сыктывкар,ул. Лесопарковая, д.67. ОГРН 1061101044520,в лице Панев Олег Леонидович. Тел.31-59-05, 270-720. ИНН : 1101129147/110101001","магазин «Империя Вин» г. Сыктывкар,ул. Первомайская, д. 85/2",  
,12486,23/04/12,16/04/07,15/04/17,11МЕ004167осн,"ООО ""Бастион"", по адресу:  г. Сыктывкар,ул. Лесопарковая, д.67. ОГРН 1061101044520,в лице Панев Олег Леонидович. Тел.31-59-05, 270-720. ИНН : 1101129147/110101001", ,  
