№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
56,"ООО ""ПЕРСПЕКТИВА""",6723020352,1066723006338,"215027, Смоленская область, Гагаринский район, д. Никольское, ул. Центральная, 29, 2","215027, Смоленская область, Гагаринский район, д. Никольское, ул. Центральная,22 (магазин), без ограничений",№ 1402              Г 679380                   ( Г 301947),21 декабря 2006,по 21 декабря 2011,до 22 декабря 2013,,,,,,,
57,"ООО ""С.В.К. Гжатск""",6723009020,1026700886387,"215047, Смоленская область, Гагаринский район, п. Карманово, ул. Советская, 28","215010, Смоленская область, Гагаринский район, д. Мальцево, 164 км. а/д Москва-Минск, АЗС (закусочная), без ограничений",№ 1396                 Г 679371,12 декабря 2006,по 12 декабря 2011,,,,,,,,
58,"ООО ""Север""",6723020218,1066723006063,"215010, Смоленская область, г. Гагарин, ул. Петра Алексеева, 15, 153","215010, Смоленская область, г. Гагарин, ул. Строителей, д. 167 (магазин), без ограничений",№ 1392                     Г 679370,12 декабря 2006,по 12 декабря 2011,,,,,,,,
59,"ООО ""Оксана""",6723020257,1066723006151,"215002, Смоленская область, Гагаринский район, д. Акатов","215002, Смоленская область, Гагаринский район, д. Акатово (магазин), без ограничений",№ 1375                  В 445788,27 ноября 2006,по 27 ноября 2011,,,,,,,,
,,,,,"215002, Смоленская область, Гагаринский район, д. Ивашково (магазин), без ограничений",,,,,,,,,,,
60,"ООО ""Талко""",6723020458,1066723006503,"215023, Смоленская область, Гагаринский р-н, д. Токарево","215023, Смоленская область, Гагаринский район, д. Токарево (магазин), без ограничений",№ 1440                     Г 679426,19 февраля 2007,по 19 февраля 2012,,,,,,,,
61,"ООО ""Покров""",6723020225,1066723006074,"215025, Смоленская область, Гагаринский район, д. Покров","215025, Смоленская область, Гагаринский район, д. Покров (закусочная), без ограничений",№ 1363                 В 445778,15 ноября 2006,по 15 ноября 2011,,,,,,,,
,,,,,"215025, Смоленская область, Гагаринский район, д. Покров (магазин), без ограничений",,,,,,,,,,,
62,"ООО ""Гжатск-сервис""",6723010890,1036724302251,"215010, Смоленская область, г. Гагарин, ул. Ленина, 3","215010, Смоленская область, Гагаринский район, с/п Никольское, западнее дер. Дорожно-Ремонтный Пункт, 175 км. Автодороги Москва-Минск (закусочная ""Транзит""), без ограничений",№ 1356                  Г 301805                 ,14 ноября 2011,по 14 ноября 2013,,,,,,,,
,,,,,"Смоленская область, Гагаринский район, Усилительный пункт (Сверчково), 174 км. а/д Москва-Минск (закусочная), без ограничений",№ 1356                В 445775,13 ноября 2006,по 13 ноября 2011,,исключение объекта,,,,,,
,,,,,"Смоленская область, Гагаринский район, п. Сверчково, 174 км. а/д Москва-Минск, в здании АЗС-закусочная, без ограничений",,,,,исключение объекта,,,,,,
