№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продление   лицензии ,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
,,,,,"214522, Смоленская область, Смоленский район, п. Авторемзавод, д. 1-а (кафе-бар), без ограничений",,,,,,,,,,,
,,,,,"214522, Смоленская область, Смоленский район, п. Авторемзавод, д. 18-а (магазин) без ограничений",,,,,,,,,,,
36,"ООО ""Сонет""",6714021053,1026700664550,"214512, Смоленская область, Смоленский район, пос. Талашкино, ул. Новосельская, 4","214000, Смоленская область, г. Смоленск, пр-т Гагарина, д. 24 (кафе)",№ 1143                      Б 005914,17 июля 2006,по 17 июля 2011,,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск,пр-т Гагарина, д. 24(магазин ""Оршанский"")",,,,,,,,,,,
37,"ООО ""КОЛОСОК""",6714026943,1066714005797,"214505, Смоленская область, Смолнский район, д. Лубня, ул. Центральная, д. 3","214505, Смоленская область, Смоленский район, д. Лубня, ул.Центральная, д. 3 (магазин)",№ 1162               Б 005949,19 июля 2006,по 19 июля 2011,,,,,,,,
,,,,,"214010, Смоленская область, г. Смоленск, ул. Седова, д. 5 (магазин)",,,,,,,,,,,
38,"ООО ""Династия""",6714027062,1066714006260,"214514, Смоленская область, Смоленский район, дер. Русилово, ул. Центральная, 9,5","214514, Смоленская область, Смоленский район, дер. Русилово, ул. Центральная (отдел магазина)",№ 1227               Г 254859,31 июля 2006,по 31 июля 2011,,,,,,,,
,,,,,"214514, Смоленская область, Смоленский район, д. Русилово, ул. Центральная (кафе)",,,,,,,,,,,
39,"ООО ""Изолит-С""",6714021381,1026700667828,"214522, Смоленская область, Смоленский район, пос. Катынь, пос. АРЗ, д. 1-а","214522, Смоленская область, Смоленский район, пос. Катынь, ГУ ""Санаторий ""Борок"" МВД России"" (кафе)",№ 1258               Г 254919,23 августа 2006,по 23 августа 2011,,,,,,,,
40,"ООО ""Ольша""",6714030097,1096714000514,"214533, Смоленская область, сю Ольша, ул. Заозерная, д. 13, кв. 6","214533, Смоленская область, северо-восточнее с. Ольша на расстоянии 300 м, 396 км а/д М1 Москва-Минск (магазин)",№ 1895                Б 005196,30 декабря 2009,по 30 декабря 2014,,,,,,,,
41,"ООО ""Катрин""",6714029398,1086714001120,"214525, Смоленская область, Смоленский район, дер. Гнездово, д. 39-а","214525, Смоленская область, Смоленский район,дер. Гнездово, д. 39-а (магазин)",№ 1865                Б 005154            (№ 2104              Г 244483),25 сентября 2009                   09 февраля 2012,по 25 сентября 2011                      09 февраля 2013,,,,,,,,
42,"ООО ""Стиль""",6730021460,1026700666849,"216025,Смоленская область, Смоленский район, д. Ермаки, 407км а/д Москва-Беларусь","216025, Смоленская область, Смоленский район, д. ермаки, 408 км а/д Москва-Минск, АЗС (магазин)",№ 1835               Б 005099,18 февраля 2009,по 18 февраля 2014,,,,,,,,
43,"ООО ""Кладовочка""",6731083998,1086731011950,"214501, Смоленская область, Смоленский район, Михновское сельское поселение, д. Ясенная, ул. Солнечная, д. б/н","214501,Смоленская область, Смоленский район, Михновское сельское поселение, д. Ясення, ул. Солнечная, д. б/н (магазин)",№ 1830               Б 005103,18 Февраля 20069,по 18 февраля 2014,,,,,,,,
44,"ООО ""Мария""",6714029609,1086714001340,"214518, Смоленская область, Смоленский район, д. Нагать, ул. Заречная, д. 7","214518, Смоленская область, Смоленский район, с. Пригорьское, ул. Спортивная, д. 4-а (магазин-кафе)",№ 1810               Б 005078,12 января 2009,по 12 января 2014,,,,,,,,
45," ООО ""Кисель"" ",6708005825,1076727001450,"215850, Смоленская область, п. Кардымово, ул. Красноармейская, 10-а","215850, Смоленская область, п. Кардымово, ул. Красноармейская, 10-а (магазин)",№ 1803               Б 005069,23 декабря 2008,по 23 декабря 2013,,,,,,,,
46,"ООО ""ДиэЛ""",6730051457,1046758301930,"214510, Смоленская область, Смоленский район, д. Высокое (западнее на расстоянии 50 м)","214510, Смоленская область, Смоленский район, д. Высокое (западнее на расстоянии 50 м) (бар)",№ 1738               Г 679793,12 ноября 2008,по 12 ноября 2013,,,,,,,,
47,"ЗАО ""Смоленский автосервис""",6714004548,1026700664429,"216030, Смоленская область, Смоленский район, 384 км а/м Москва-Минск","216030, Смоленская область, Смоленский район, 348 км а/м Москва-Минск (магазин)",№ 1727              Г 679779,23 октября 2008,по 23 октября 2013,,,,,,,,
48,"ООО ""Гермес""",6714029260,1086714000977,"214506, Смоленская область, Смоленский район, д. Сметанино, ул. Озерная, д. 2, кв. 1","214506, Смоленская область, Смоленский район, д. Сметанино, ул. Ветеранов, д. 10 (магазин)",№ 1724              Г 679774,23 октября 2008,по 23 октября 2013,,,,,,,,
49,"ООО ""Смолводстрой""",6714027986,1076714001033,"216030, Смоленская область, Смоленский район, с. Печерск, ул. Минская, д. 20","216030, Смоленская область, Смоленский район, с. Печерск, ул. Минская, д. 20 (магазин)",№ 1587               Г 679602,19 ноября 2007,по 19 ноября 2012,,,,,,,,
50,"ЗАО ""Статус""",6714027305,1066714009009,"214506, Смоленская область, Смоленский район, д. Сметанино, ул. Ветеранов, 10","214506, Смоленская область, Смоленский район, д. Сметанино, ул. Ветеранов, д. 10 (закусочная)",№ 1355               В 445770,08 ноября 2006,по 08 ноября 2011,,,,,,,,
51,"ООО ""Визит""",6714027320,1066714009042,"214518, Смоленская область, Смоленский район, с. Пригорьское, ул. Октябрьская, 4-а","214518, Смоленская область, Смоленский район, с. Пригорское, ул. Октябрьская, 4-а (отдел в магазине)",№ 1343               В 445759                           (Б 004884),27 октября 2006,по 27 октября 2011,до 28 октября 2013,,,,,,,
