"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО Куйтунский район",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
26.,"ООО ""Алекс""             ИНН 381401001  выдача","Иркутская область, Куйтунский район, п. Харик, ул. 40 лет Победы, 2-1",А 244927 №14 от 25.05.2012г. до 25.05.2013г. Взамен:А 244929 №18 от 22.06.2012г. до 25.05.2013г. ,"п.Харик, ул. Кооперативная, 5 - отдел",,,,,,
,,,,"п.Харик, ул. Вокзальная, 17 - отдел",,,,,,
,,,,,,,,,,
27.,"ООО ""Алекс""             ИНН 381401001  окончание срока действия лицензии","Иркутская область, Куйтунский район, п. Харик, ул. 40 лет Победы, 2-1",А 244906 №65 от 31.03.2011г. до 31.03.2012г. ,"п.Харик, ул. Кооперативная, 5 - отдел",,,3/31/2012,,,
,,,,"п.Харик, ул. Вокзальная, 17 - отдел",,,,,,
,,,,"п. Харик, ул. Ленина, 15 - отдел",,,,,,
28.,ООО «Ветер»                  ИНН 3812122167,"г.Иркутск, ул.Ракитная, 14 оф.1",Г888801 № 28 от 13.10.2010г. до 13.10.2014г.                      Взамен: Г 888793 № 18 от 14.07.2010г. до 13.10.2014г.  Взамен: Г 8888 № 41 от 30.12.2010 г. до 13.10.2014 г.,"р.п. Куйтун, ул.Карла Маркса,34 а – отдел",,,,,г. Шелехов,
,,,,"р.п. Куйтун, ул.Карла Маркса, 30а – отдел",,,,,,
,,,,"с.Харик, ул.Юбилейная, 44 – отдел",,,,,,
,,,,"п.Харик, ул.Чапаева, 1б – отдел",,,,,,
,,,,"п.Харик, ул.Ленина, 10а – отдел ",,,,,,
,,,,"п.Уховский, ул.Гагарина, 32а – отдел",,,,,,
,,,,"р.п. Куйтун, ул.Ворошилова, 14 – отдел",,,,,,
29.,ООО «Мега»                 ИНН 3806004503,"Иркутская область, г..Зима, ул.Мира, 5",А 154371 №18 от 29.10.2010г. до 26.02.2012г.            Взамен А 154364 №7 от 10.08.2010г.  до 26.02.2012г. Взамен: А 154376 № 1 от 10.02.2011 до 26.02.2012,"с.Карымск, ул.Советская,  5 – отдел",,,26.02.2012г.,, г. Зима,
30.,ЗАО«Иркутскнефтепродукт»                                    ,"г. Иркутск, ул.Октярьской Революции, 5",38  МЕ 005245 №АН00432ПР7 от 30.12.2009г. до 10.01.2013 г  Взамен: АН00432Пр9 от 27.12.2010 г. до 10.01.2013 г.,"Куйтунский  р-он, 1559,3км, а/д «Красноярск-Иркутск» - магазин",,,16.10.2012г.,,г. Иркутск,
31.,ОАО « ЖТК»                     переоформление,"г.Москва, ул.Новорязанская, 12                                    МФНС №46 г. Москва",А 002269 №12 от 31.08.2009г. до 24.10.2012г.  Взамен:                  А 002283 № 24 от 28.10.2011 до 24.10.2012,ст.Тулюшка – магазин № 47,,,,,г. Зима,
