"Реестр действующих, приостановленных лицензий на 01.10.2012",,,,,,,,,,,,
вид деятельности: розничная продажа алкогольной продукции,,,,,,,,,,,,
,,,,,,,,,,,,
,Название/ФИО,Адрес,ИНН,ОГРН,Дата регистрации,Номер бланка,Рег. номер,Дата выдачи,Срок действия,Орган выдавший лицензию,Действующая приостановка,Объекты
,,,,,,,,,,,,"магазин ""Продукты-юбилейный"" - Мещовский район, ст. Кудринская, ул. Центральная д.27"
,,,,,,,,,,,,"магазин ТПС - Мещовский район, с. Мошонки, ул. Старая д.11"
,,,,,,,,,,,,"магазин ТПС - Мещовский район, п. Молодёжный, ул. Юбилейная д.8"
,,,,,,,,,,,,"магазин ТПС - Мещовский район, п. Серпейск, ул. Ленина д.25"
,,,,,,,,,,,,"магазин ТПС - Мещовский район, с. Терпилово, ул. Молодёжная д.1"
,,,,,,,,,,,,"магазин ТПС - Мещовский район, п. Лесной, ул. Центральная д.7"
,,,,,,,,,,,,"столовая ""Колос"" - Мещовский район, г. Мещовск, пр-кт Революции д.26"
,,,,,,,,,,,,"магазин ТПС - Мещовский район, с. Мармыжи, ул. Мармыжи д.47"
,,,,,,,,,,,,"столовая ""Визит"" - Мещовский район, ст. Кудринская, ул. Центральная д.27"
35,Пригородное потребительское общество Козельского РАЙПО,"Козельский район, г. Козельск, ул. Кузнечная д.2",4009000027,1024000669791,30.09.2002,М001629,377,23.11.2011,24.11.2011 - 08.10.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин №5 - Козельский район, г. Козельск, ул. Чкалова д.51а"
,,,,,,,,,,,,"магазин №30 ""Ландыш"" - Козельский район, г. Козельск, ул. Привокзальная д.11"
,,,,,,,,,,,,"магазин №3 - Козельский район, г. Козельск, ул. Чкалова, район АЗС"
,,,,,,,,,,,,"магазин №4 - Козельский район, с. Березичский стеклозавод, ул. Куйбышева д.13а"
,,,,,,,,,,,,"магазин №2 - Козельский район, г. Козельск, ул. Горького д.27а"
36,"Общество с ограниченной ответственностью ""Прод Индустрия""","г. Обнинск, пр-кт Маркса д.61",4025072075,1024000935518,30.09.2002,М000557,243,01.10.2008,05.10.2008 - 04.10.2013,Министерство конкурентной политики и тарифов Калужской области, ,"кафе ""Проспект"" - г. Обнинск, пр-кт Маркса д.114"
37,"Общество с ограниченной ответственностью ""Торговое предприятие ""СБ""","г. Калуга, ул. Ленина д.59",4026002433,1024001429374,01.10.2002,М001184,185,29.12.2010,30.12.2010 - 10.12.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин - г. Калуга, ул. Ленина д.59"
,,,,,,,,,,,,"магазин - г. Калуга, ул. Калинина д.12"
38,"Общество с ограниченной ответственностью ""Камелия-7""","г. Калуга, ул. Театральная д.1/48",4026009319,1024001186098,07.10.2002,М000580,264,22.10.2008,02.11.2008 - 01.11.2013,Министерство конкурентной политики и тарифов Калужской области, ,"кафе ""Камелия"" - г. Калуга, ул. Театральная д.1/48"
39,"Общество с ограниченной ответственностью ""Репка""","Дзержинский район, п. Товарково, ул. Ленина д.13",4004010737,1024000567227,08.10.2002,М001087,94,21.07.2010,22.07.2010 - 08.11.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин ""Репка"" - Дзержинский район, п. Товарково, ул. Ленина д.13"
,,,,,,,,,,,,"магазин ""Кристалл"" - Дзержинский район, п. Товарково, ул. Дзержинского д.7"
,,,,,,,,,,,,"магазин ""Репка-2"" - Дзержинский район, п. Товарково, ул. Строителей д.8а"
40,"Общество с ограниченной ответственностью ""Общественное питание""","Людиновский район, г. Людиново, ул. III Интернационала д.21",4024001480,1024000912374,08.10.2002,М000595,278,05.11.2008,17.11.2008 - 16.11.2013,Министерство конкурентной политики и тарифов Калужской области, ,"ресторан ""Людиново"" - Людиновский район, г. Людиново, ул. Маяковского д.6"
,,,,,,,,,,,,"столовая ""На Молодежной"" - Людиновский район, г. Людиново, ул. Гогиберидзе д.25а"
41,Сухиничское районное потребительское общество,"Сухиничский район, г. Сухиничи, ул. Тявкина д.12",4017000983,1024000806708,22.10.2002,М000837,142,10.06.2009,11.06.2009 - 04.02.2014,Министерство конкурентной политики и тарифов Калужской области, ,"магазин - Сухиничский район, с. Б.Колодези д.77"
,,,,,,,,,,,,"магазин - Сухиничский район, с. Немерзки д.10"
,,,,,,,,,,,,"магазин - Сухиничский район, д. Клевенево д.36"
,,,,,,,,,,,,"магазин - Сухиничский район, д. Субботники д.58"
,,,,,,,,,,,,"магазин - Сухиничский район, д. Дабужа д.107"
,,,,,,,,,,,,"магазин - Сухиничский район, д. Слизнево д.2"
,,,,,,,,,,,,"магазин - Сухиничский район, д. Володино д.44"
