Выписка из реестра действующих лицензий,,,,,,,,,,
 за период с  начала работы по 01.10.12,,,,,,,,,,
,,,,,,,,,,
,Лицензиат,ИНН,Срок действия,,Рег.ном,Бланк,Юридический адрес,Адрес осуществления деятельности,Дата приостановления,Дата возобновления
,,,,,,,,"Магазин г. Красноярск, ул.Чкалова, 41 Г, пом. 62 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Уярский район, пос.Балай, ул.Ленина, 37 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Емельяновский район, пос.Памяти 13 Борцов, ул.Лесная, 2 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г. Красноярск, ул.Республики, 49, пом.  148 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г. Красноярск, ул.Новгородская, 8, пом. 69, комн. 5 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Березовский район, п. Березовка, ул.Дзержинского, 22А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г. Красноярск, ул.Авиаторов, 44, пом. 218 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г. Красноярск, ул.60 лет Октября, 67, пом. 29 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г. Красноярск, ул.Авиаторов, 25, пом. 97 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г. Красноярск, ул.Щорса, 1, пом. 66 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г. Красноярск, пер.Кривоколенный, 7, пом. 3 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г.Дивногорск, ул.Набережная, район магазина ""Обувь"" (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г. Красноярск, ул.60 лет Образования СССР, 43, корп. 2, пом. 167 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г. Красноярск, ул.Капитанская, 10, пом. 221 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин г. Красноярск, ул.Копылова, 36, пом. 115 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Манский район, пос. Колбинский, ул.Партизанская, 2 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.Павлова, 12 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Березовский район, пос.Березовка, ул.Пархоменко-Советская, . (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.26 Бакинских комиссаров, 28 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, бульв.Солнечный, 13 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.Львовская, 35 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.52 квартал, 12 (продажа алкогольной продукции с содержанием этилового спирта не более 15% объема готовой продукции.)",,
,,,,,,,,"Павильон Березовский район, п.Березовка, ул.Кирова, 94 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г.Дивногорск, ул.Набережная, 13-15 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Емельяновский район, д.Таскино, ул.Школьная, 6 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.Словцова, 6 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.Судостроительная, 133 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, просп.Красноярский рабочий, 185 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.Киренского, 122 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.9 Мая, 17 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.2-ая Краснофлотская, 9 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.Шевченко, 44 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.Тобольская, 5 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.Читинская, 4 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.Щорса, 69 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Березовский район, п. Березовка, ул.Заводская, 64 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Емельяновский район, д. Крутая, ул.Урицкого, 2 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.Шумяцкого, 11 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, просп.Свободный, 56Г (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Березовский район, п. Березовка, ул.Мичурина, 7 В (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.Попова, 20 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.Семафорная, 127 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.Белорусская, 7 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.Свердловская, 19Г (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.Краснодарская, 7 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Емельяновский район, п. Минино, мкр. Геолог, 22 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г. Красноярск, ул.Академика Павлова, 44Г/4 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон г.Дивногорск, в районе ул. Машиностроителей, 7 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Емельяновский район, СНТ ""Калягино"", 610А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
1919,"ООО ""Кафе  КУБ""",2465094767,28.02.12,28.02.17,9196-АР,109544,"660135, г. Красноярск, ул. Молокова, д. 21","Предприятие общественного питания г. Красноярск, ул.Молокова, 21 ()", , 
,,,,,,,,"Предприятие общественного питания г. Красноярск, ул.Молокова, 21 ()",,
,,,,,,,,"Предприятие общественного питания г. Красноярск, ул.Молокова, 21 ()",,
1920,"ООО ""Троада""",2466106951,06.03.12,30.06.16,9198-АР,109545,"660020, г. Красноярск, ул. Шахтеров, д. 35","Магазин г. Красноярск, ул.Калинина, 70 А, пом. 70 ()", , 
,,,,,,,,"Магазин ""Троя плюс"" г.Красноярск, 1-ый км Енисейского тракта ()",,
1921,"ООО ""Емельяновский Общепит""",2411001318,07.03.12,07.03.13,9199-АР,109546,"Емельяновский район, пос. Емельяново, ул.Московская, 175 А","Предприятие общественного питания Емельяновский район, р.п. Емельяново, ул.Московская, 175 Б ()", , 
1922,"ООО ""Саяны""",2448003706,06.03.12,06.03.15,9200-АР,109547,"663973, Рыбинский район, р.п.Саянский, ул.Школьная, 3","Магазин Рыбинский район, пос.Саянский, ул.Школьная, 3 ()", , 
1923,"ООО ""СПАР-Красноярск""",2463060473,27.02.12,15.11.12,9201-АР,109549,"660061, г.Красноярск, ул.Калинина, 167","Магазин г. Красноярск, ул.Аральская, 14, пом.146 ()", , 
,,,,,,,,"Магазин г. Красноярск, ул.9 Мая, 12, пом.256 ()",,
,,,,,,,,"Магазин г. Красноярск, ул.Воронова, 16, пом.339, 340 ()",,
,,,,,,,,"Магазин г. Красноярск, ул.Петра Словцова, 5, пом.3 ()",,
,,,,,,,,"Магазин г. Красноярск, ул.Академика Киренского, 116, пом.110 ()",,
,,,,,,,,"Магазин г. Красноярск, ул.Взлетная, 24, пом. 236 ()",,
,,,,,,,,"Магазин г.Назарово, ул.30 лет ВЛКСМ, 73, пом. 65 ()",,
,,,,,,,,"Магазин г.Красноярск, ул.Гладкова, 13 ()",,
,,,,,,,,"Магазин г. Красноярск, ул.Весны, 16 А, пом. 31 ()",,
1924,"ООО ""Торговый Дом-Восход""",2461210300,07.03.12,07.03.15,9202-АР,109551,"660122, г. Красноярск, ул.Павлова, 60 К","Павильон г.Красноярск, ул.Павлова, 60 К ()", , 
1925,"ООО ""Ника-Трейд""",7017248563,02.03.12,14.12.13,9203-АР,109553,"634059, г.Томск, ул.Стародеповская, 60","Магазин г. Красноярск, ул.Западная, 4, пом. 42 ()", , 
,,,,,,,,"Магазин г. Красноярск, ул.Алексеева, 27, пом. 305 ()",,
,,,,,,,,"Магазин г. Красноярск, ул.Семафорная, 191, пом. 162 ()",,
,,,,,,,,"Магазин г. Красноярск, ул.Мате Залки, 10 Г, пом. 10 ()",,
,,,,,,,,"Магазин г. Красноярск, ул.Авиаторов, 42, пом. 211 ()",,
,,,,,,,,"Павильон г. Красноярск, ул.Диктатуры Пролетариата, 42 ()",,
,,,,,,,,"Павильон г. Красноярск, ул.Павлова, 33 Ж ()",,
1926,"ООО ""Аквариум""",2452016916,07.03.12,07.03.15,9204-АР,109548,"662971, ЗАТО Железногорск, г.Железногорск, ул.Ленина, 42","магазин ЗАТО Железногорск, г.Железногорск, ул.Ленина, 42 ()", , 
1927,"Магазин ""пгт.Урал""",Первомайская,21.09.12,07.03.13,9206-АР,110131,00032000160000100003,ООО  (663977), , 
1928,"ООО ""Родня""",2447005510,21.09.12,07.03.13,9206-АР,110131,"663977, Рыбинский район, пгт.Урал, ул.Первомайская, 8-3",ООО  (663977), , 
1929,"ООО ""Родня""",2448005510,21.09.12,07.03.13,9206-АР,110131,"663977, Рыбинский район, пгт.Урал, ул.Первомайская, 8-3",ООО  (663977), , 
,,,,,,,,2464038209 ООО (246401001),,
,,,,,,,,2464038209 ООО (246401001),,
,,,,,,,,2464038209 ООО (246401001),,
,,,,,,,,"660010, г.Красноярск, просп.Красноярский рабочий, 170А 55.30 (20120824)",,
,,,,,,,,"660010, г.Красноярск, просп.Красноярский рабочий, 170А 55.30 (20120824)",,
,,,,,,,,"660010, г.Красноярск, просп.Красноярский рабочий, 170А 55.30 (20120824)",,
,,,,,,,,"нет 663580, Саянский район, с. Агинское, ул.Советская, 150-3 (2448005319\)",,
,,,,,,,,"нет 663580, Саянский район, с. Агинское, ул.Советская, 150-3 (2448005319\)",,
,,,,,,,,"нет 663580, Саянский район, с. Агинское, ул.Советская, 150-3 (2448005319\)",,
,,,,,,,,"Магазин Рыбинский район, пгт.Урал, ул.Первомайская, 8, пом. 3 ()",,
,,,,,,,,"Магазин Рыбинский район, пгт.Урал, ул.Первомайская, 8, пом. 3 ()",,
,,,,,,,,"Магазин Рыбинский район, пгт.Урал, ул.Первомайская, 8, пом. 3 ()",,
,,,,,,,,"Магазин Рыбинский район, пгт.Урал, ул.Октябрьская, 15, пом. 1 ()",,
,,,,,,,,"Магазин Рыбинский район, пгт.Урал, ул.Октябрьская, 15, пом. 1 ()",,
,,,,,,,,"Магазин Рыбинский район, пгт.Урал, ул.Октябрьская, 15, пом. 1 ()",,
1930,"ООО ""Ро Марри""",2464230657,07.03.12,07.03.17,9207-АР,109556,"660012, г. Красноярск, ул.Судостроительная, 90","Магазин г. Красноярск, ул.Судостроительная, 90, пом. 469 ()", , 
1931,"ООО ""БрУТС""",2466230490,07.03.12,07.03.15,9208-АР,109557,"660004, г. Красноярск, просп.Красноярский рабочий, 30а - 44","Предприятие общественного питания г. Красноярск, просп.Красноярский рабочий, 30 А, стр. 44 ()", , 
1932,"ООО ""Байкал""",2462002408,12.03.12,12.03.17,9211-АР,109560,"660124, г. Красноярск, ул. Борисевича,  д. 1В","Магазин г. Красноярск, ул.Борисевича, 1В, пом.67 ()", , 
,,,,,,,,"Магазин г. Красноярск, ул.Борисевича, 1В, пом.68 ()",,
,,,,,,,,"Павильон г.Красноярск, ул.Машиностроителей, 11Г ()",,
1933,"ООО ""АЛКОТРЕК""",2460084966,13.03.12,05.12.12,9212-АР,109561,"660111, г. Красноярск, ул.Пограничников, 28, оф. 18","Магазин г.Красноярск, ул.Калинина, 49, стр.1,пом.1 ()", , 
,,,,,,,,"Магазин г.Красноярск, бульв.Солнечный, 13 ()",,
,,,,,,,,"Магазин г.Красноярск, ул.Королева, 13 ()",,
,,,,,,,,"Магазин г.Красноярск, ул.Спандаряна, 3, стр.1,пом.8 ()",,
,,,,,,,,"магазин г. Красноярск, ул.Парашютная, 78 Д ()",,
,,,,,,,,"магазин г. Красноярск, ул.Николаева, 15 Б, пом. 1, комн.1,7 ()",,
,,,,,,,,"магазин Большемуртинский район, с.Юксеево, ул.Лесная, 4 ()",,
,,,,,,,,"Магазин Емельяновский район, п.Элита, ул.Полевая, 27 ()",,
,,,,,,,,"Магазин Красноярский край, п. Кедровый, ул. Дзержинского,  д. 1 Б ()",,
,,,,,,,,"Магазин г. Красноярск, ул.Воронова, 29, пом. 53 ()",,
,,,,,,,,"Магазин Большемуртинский район, п.Большая Мурта, ул.Кооперативная, 31, пом. 2 ()",,
,,,,,,,,"Магазин Емельяновский район, с.Еловое, пер.Еловый, 1 ()",,
,,,,,,,,"Магазин Емельяновский район, пос.Памяти 13 Борцов, ул.Советская, 18 ()",,
,,,,,,,,"Магазин Емельяновский район, д.Минино, ул.Осенняя, 10 -1 ()",,
,,,,,,,,"Магазин Емельяновский район, пос.Памяти 13 Борцов, ул.Гурского, 69 А ()",,
,,,,,,,,"Магазин Емельяновский район, п. Элита, ул.Озерная, 3 А ()",,
,,,,,,,,"Магазин Емельяновский район, пос.Памяти 13 Борцов, ул.Гурского, 68 А ()",,
,,,,,,,,"Магазин Козульский район, с.Жуковка, ул.Советская, 4 ()",,
,,,,,,,,"Магазин Козульский район, п.Новочернореченский, ул.Карла Маркса, 7 Б ()",,
,,,,,,,,"Магазин Емельяновский район, пос.Памяти 13 Борцов, ул.Гурского, 89 ()",,
,,,,,,,,"Магазин Большемуртинский район, п.Большая Мурта, ул.Октябрьская, 1 А ()",,
,,,,,,,,"Магазин Березовский район, п.Березовский, ул.Пионерская, 11 ()",,
,,,,,,,,"Магазин Козульский район, пос.Косачи, ул.Лесная, 17А ()",,
,,,,,,,,"Магазин Уярский район, с.Ольгино, ул.Центральная, 7 А ()",,
,,,,,,,,"Магазин Уярский район, с.Новопятницкое, ул.Советская, 45 ()",,
,,,,,,,,"Магазин Уярский район, пос.Балай, ул.Ленина, 37 А ()",,
,,,,,,,,"Магазин Емельяновский район, совхоз Сибиряк, ул.Новая, 8А ()",,
,,,,,,,,"Магазин г. Красноярск, ул.Суворова, 43, пом. 1 ()",,
,,,,,,,,"Магазин Манский район, пос.Первоманск, ул.Крупской, 5, пом. 1 ()",,
,,,,,,,,"Магазин г.Ачинск, ул.5 Июля, 7Б/1 ()",,
,,,,,,,,"Магазин Бирилюсский район, с.Новобирилюссы, ул.Новая, 2А ()",,
,,,,,,,,"Магазин г. Красноярск, ул.Чкалова, 41 Г, пом. 61 ()",,
,,,,,,,,"Магазин Партизанский район, с. Партизанское, ул. Молодежная, 2-В, пом. 1 ()",,
,,,,,,,,"Магазин Козульский район, п. Козулька, ул. Школьная, 13 ()",,
,,,,,,,,"Магазин Назаровский район, с.Красная Поляна, ул.Гагарина, 49 ()",,
,,,,,,,,"Магазин г.Назарово, ул.Южная, 5 ()",,
,,,,,,,,"Магазин Манский район, п. Большой Унгут, пер.Гайдара, 5 А ()",,
,,,,,,,,"Магазин Емельяновский район, п. Элита, ул.Заводская, 10 А ()",,
,,,,,,,,"Магазин Манский район, п. Камарчага, ул.Черняка, 26 ()",,
,,,,,,,,"Магазин г.Назарово, ул.Труда, 13 Б ()",,
,,,,,,,,"Магазин г.Енисейск, ул.Худзинского, 64 ()",,
,,,,,,,,"Магазин Козульский район, п. Козулька, ул.Вокзальная, 10, 1 ()",,
,,,,,,,,"Магазин Емельяновский район, д. Кубеково, ул.Центральная, 15 ()",,
,,,,,,,,"Магазин г.Назарово, ул.Арбузова, 120 Б ()",,
,,,,,,,,"Магазин Козульский район, п. Козулька, ул.Заводская, 30 А ()",,
,,,,,,,,"Магазин Козульский район, п. Новосибирский, ул.Строителей, 18 А ()",,
,,,,,,,,"Магазин Партизанский район, с.Партизанское, ул.Советская, 87 А ()",,
,,,,,,,,"Магазин Емельяновский район, пос.Памяти 13 Борцов, ул.Петелина, 1 А ()",,
,,,,,,,,"Магазин Емельяновский район, пос.Памяти 13 Борцов, ул.Суркова, 25  А ()",,
,,,,,,,,"Магазин Емельяновский район, с.Устюг, ул.Трактовая, 1 Б ()",,
,,,,,,,,"Магазин Большеулуйский район, пос.Кытат, ул.Таежная, 17, пом. 1 ()",,
,,,,,,,,"Магазин г. Красноярск, ул.Молокова, 46, пом. 188 ()",,
,,,,,,,,"Магазин Емельяновский район, п. Элита, ул.Строительная, 44 А ()",,
,,,,,,,,"Магазин г. Красноярск, ул.Вильского, 16, пом. 524 ()",,
,,,,,,,,"Магазин г. Красноярск, ул.Парашютная, 88 Б ()",,
,,,,,,,,"Магазин Козульский район, п. Козулька, ул.Советская, 44 Б ()",,
,,,,,,,,"Магазин Козульский район, п. Козулька, ул.Юности, 15 ()",,
,,,,,,,,"Магазин Пировский район, с.Пировское, ул.Ленина, 48 ()",,
,,,,,,,,"Магазин Бирилюсский район, с.Новобирилюссы, ул.Мелиоративная, 1 А ()",,
,,,,,,,,"Магазин Емельяновский район, 0-й км автодороги Красноярск - Солонцы, (правая сторона) 3, пом. 36 ()",,
,,,,,,,,"Магазин г.Назарово, ул.Вокзальная, 1 А, пом. 38 ()",,
,,,,,,,,"Магазин г. Красноярск, ул.Пограничников, 28, стр. 25, пом. 3 ()",,
,,,,,,,,"Магазин Партизанский район, пос.Мана, ул.Трактовая, 8 А ()",,
,,,,,,,,"Магазин г.Боготол, ул.Урицкого, 8 Б ()",,
,,,,,,,,"Павильон г.Красноярск, ул.Цимлянская, 35 ()",,
,,,,,,,,"Павильон г.Красноярск, ул.Энергетиков, 22 Г ()",,
,,,,,,,,"павильон г. Красноярск, ул.Львовская, 19 ()",,
,,,,,,,,"павильон Сухобузимский район, д.Ковригино, ул.Ленина, 21 А ()",,
,,,,,,,,"Павильон г. Красноярск, ул.Тамбовская, 23 А, пом. 2, 3 ()",,
,,,,,,,,"Павильон Манский район, пос.Первоманск, ул.Мрачека, 2 Б ()",,
,,,,,,,,"Павильон Ачинский район, с.Большая Салырь, ул.Ворошилова, 30 А ()",,
,,,,,,,,"Павильон Манский район, с. Нижняя - Есауловка, ул.Трактовая, 12 А ()",,
,,,,,,,,"Павильон Козульский район, п. Козулька, ул.Советская, 1 Ж ()",,
,,,,,,,,"Предприятие общественного питания Козульский район, п. Козулька, 715 км. автодороги ""Байкал"" ()",,
,,,,,,,,"Предприятие общественного питания г.Енисейск, ул.Ленина, 69 ()",,
,,,,,,,,"Предприятие общественного питания г. Красноярск, ул.Попова, 3, пом. 2 ()",,
,,,,,,,,"Предприятие общественного питания Козульский район, п. Козулька, ул.Комсомольская, 112 ()",,
1934,"ООО ""РАСЭ""",2449002399,13.03.12,13.03.17,9213-АР,109562,"663200, г.Игарка, 1 микрорайон, 16","Магазин г.Игарка, 1 микрорайон, 29 А ()", , 
1935,"ООО ""ФОРТУНА""",2420070660,14.03.12,14.03.17,9214-АР,109563,"663491, г.Кодинск, ул.Михайлова, 6/2","Магазин г.Кодинск, ул.Михайлова, 6/2 ()", , 
1936,"ООО ""Березовская торговая компания""",2404008930,15.03.12,15.03.14,9215-АР,109565,"662520, Березовский район, п. Березовка, ул.Трактовая, 15","Магазин Березовский район, пос.Березовка, ул.Трактовая, 15 ()", , 
1937,"ООО ""ЛИДИЯ""",2403007210,13.03.12,08.09.16,9216-АР,109564,"662340, Балахтинский район, п.Балахта, ул.Советской Армии, 24","Магазин Балахтинский район, д.Красная, ул.40 лет Победы, 9 А ()", , 
,,,,,,,,"Магазин Балахтинский район, пос.Балахта, ул.Ленина, 24 А ()",,
,,,,,,,,"Магазин Балахтинский район, пос.Балахта, ул.Дивногорская, 2 ()",,
,,,,,,,,"Магазин Балахтинский район, с.Большие Сыры, ул.Октябрьская, 19 А ()",,
,,,,,,,,"Магазин Балахтинский район, п.Балахта, ул.Советской Армии, 28 Б ()",,
1938,"ООО ""Фортуна""",2457059617,15.03.12,15.03.17,9217-АР,109566,"663300, г.Норильск, район Центральный, ул.Талнахская, 21-54","Магазин г.Норильск, район Центральный, ул.Талнахская, 8А ()", , 
1939,"ООО ""ФЕРЗЬ""",2465103919,15.03.12,15.03.17,9218-АР,109568,"660125, г.Красноярск, пер.Светлогорский, 2-374","Магазин г. Красноярск, пер.Светлогорский, 2, пом.374 ()", , 
1940,"ООО ""НСК ГРУП""",2457072738,15.03.12,15.03.17,9219-АР,109581,"663305, г.Норильск, район Центральный, ул.Талнахская, 10-28","Предприятие общественного питания г.Норильск, район Центральный, ул.Павлова, 5, пом. 1 ()", , 
1941,"ООО ""Аллюр Плюс""",2460075947,16.03.12,16.03.13,9221-АР,109569,"660021, г.Красноярск, ул.Красной Армии, 28","Магазин г.Красноярск, ул.Красной Армии, 28 ()", , 
1942,"ООО ""Гурман""",2443028947,16.03.12,16.03.17,9222-АР,109571,"662150, г.Ачинск, ул.Герцена, 10","Магазин г.Ачинск, ул.Герцена, 10 ()", , 
,,,,,,,,"Магазин г.Ачинск, микрорайон 5, д. 41, пом. 101 ()",,
,,,,,,,,"Магазин г.Ачинск, микрорайон 9, д. 21, пом. 88 ()",,
,,,,,,,,"Павильон г.Ачинск, ул.Набережная, возле дома 16 ()",,
1943,"ООО ""Меркурий""",2457062105,15.03.12,21.08.13,9223-АР,109573,"663319, г.Норильск,  проезд Молодежный, 15, общ.40","Магазин г.Норильск, район Центральный, ул.Дзержинского, 7-в (продажа алкогольной продукции.)", , 
,,,,,,,,"Павильон г.Норильск, ж/р Оганер, ул.Озерная, 11 (продажа алкогольной продукции.)",,
,,,,,,,,"Павильон г.Норильск,  в районе ул.Комсомольская, 41 А (продажа алкогольной продукции с содержанием этилового спирта не более 15% объема готовой продукции.)",,
,,,,,,,,"Предприятие общественного питания г.Норильск, район Талнах, ул.М. Кравца, 4 А (продажа алкогольной продукции.)",,
1944,"ООО ""Верба""",2462038933,14.03.12,14.03.17,9226-АР,109575,"660013, г.Красноярск, ул.Энергетиков, 34 Г","Павильон г.Красноярск, ул.Глинки, 10 Г ()", , 
,,,,,,,,"Павильон г.Красноярск, ул.Энергетиков, 34 Г ()",,
1945,"ООО ""ФЛАМИНГО""",2465060905,14.03.12,14.03.17,9227-АР,109576,"660022, г.Красноярск, ул.Партизана Железняка, 6 А","Магазин г.Красноярск, ул.Партизана Железняка, 6 А, пом.8 ()", , 
,,,,,,,,"Магазин г.Красноярск, ул.Робеспьера, 20, пом.1 ()",,
1946,"ООО ""Восток""",2456011034,13.03.12,13.03.17,9229-АР,109578,"662200, г.Назарово, 8 микрорайон, 10 А","Магазин г.Назарово, 8 микрорайон, 10 А ()", , 
1947,"ООО ""УВК""",2456011242,13.03.12,13.03.17,9230-АР,109579,"662200, г.Назарово, ул.Лебяжья, 28 А","Магазин г.Назарово, ул.Школьная, 6 ()", , 
,,,,,,,,"Магазин г.Назарово, ул.Лебяжья, 28 А ()",,
1948,"ООО ""Океанъ""",2440006007,19.03.12,19.03.13,9232-АР,109583,"663920, г.Уяр, ул.Ленина, 81","Магазин г.Уяр, ул.Красных Партизан, 77 ()", , 
,,,,,,,,"Магазин г.Уяр, ул.Советская, 95 ()",,
1949,"ООО ""Зылевич""",2463076547,20.03.12,20.03.17,9233-АР,109584,"660113, г. Красноярск, ул.Тотмина, 10 Г","Магазин г. Красноярск, ул.Тотмина, 10 Г ()", , 
1950,"ООО ""Фортуна""",2465105916,20.03.12,19.01.16,9236-АР,109587,"660119, г. Красноярск, просп.Молодежный, 7-49","Магазин г. Красноярск, просп.Молодежный, 8 А ()", , 
,,,,,,,,"Павильон г. Красноярск, просп.Металлургов, 30 Е ()",,
1951,"ООО ""Фирма ""ТАЙФИ""",2464011510,21.03.12,21.03.13,9237-АР,109588,"660079, г. Красноярск, ул.60 лет Октября, 106","Предприятие общественного питания г. Красноярск, ул.60 лет Октября, 106, пом. 72 ()", , 
1952,"ООО ""Феникс""",2466139925,23.03.12,23.03.15,9238-АР,109589,"660056, г. Красноярск, ул.Березина, 119","Павильон г.Красноярск, ул.Березина, 119 ()", , 
1953,"ООО ""СПЕЦСТРОЙКОМПЛЕКТ""",2463047401,16.03.12,16.03.14,9239-АР,109590,"660135, г. Красноярск, ул.Взлетная, 28, пом.191","Предприятие общественного питания г. Красноярск, ул.Взлетная, 28, пом.191 ()", , 
1954,"ЗАО ""Горняк""",2460084370,16.03.12,16.03.13,9240-АР,109580,"660075, г. Красноярск, ул.Красной Гвардии, 21, офис 503","Магазин Таймырский Долгано-Ненецкий муниципальный район, с. Хатанга, ул.Советская, 19 ()", , 
,,,,,,,,"Магазин Таймырский Долгано-Ненецкий муниципальный район, с. Хатанга, ул.Советская, 30 ()",,
,,,,,,,,"Предприятие общественного питания Таймырский Долгано-Ненецкий муниципальный район, с. Хатанга, ул.Советская, 41 ()",,
1955,"ООО ""Дельта Плюс""",2403007404,19.03.12,19.03.17,9242-АР,109592,"Балахтинский район, п.Чистые Пруды, ул.Мира, 15","Магазин Балахтинский район, п.Чистые Пруды, ул.Мира, 15 ()", , 
1956,"ООО ""Производственно-коммерческая фирма ""Лада-92""",2463008265,19.03.12,20.12.14,9243-АР,109593,"660036, г. Красноярск, ул.Академгородок, 24А-72","Предприятие общественного питания г. Красноярск, ул.Охраны Труда, 12 ()", , 
,,,,,,,,"Предприятие общественного питания г. Красноярск, ул.Новосибирская, 35 Г ()",,
,,,,,,,,"Предприятие общественного питания г. Красноярск, ул.Попова, 4 ()",,
1957,"ООО ""Организация общественного питания""",2461207956,20.03.12,20.03.13,9244-АР,109594,"660059, г. Красноярск, ул.Корнетова, 8","Предприятие общественного питания г. Красноярск, ул.Корнетова, 8 пом. 62 ()", , 
1958,"ООО ПКФ ""Пинта""",2465007820,26.03.12,26.03.15,9245-АР,109595,"660073, г. Красноярск, ул.Тельмана, 32 А","Предприятие общественного питания г. Красноярск, просп.Металлургов, 51 К ()", , 
1959,"ЗАО ""Компромисс""",2465205660,26.03.12,17.12.13,9248-АР,109598,"660127, г. Красноярск, ул.Мате Залки, 37, пом. 280","Магазин г. Красноярск, ул.Мате Залки, 37, пом. 280, 282 ()", , 
1960,"ООО ""Фрут Спэйн""",2460218962,26.03.12,25.11.12,9249-АР,109600,"660021, г. Красноярск, ул.Ленина, 137","Магазин г. Красноярск, ул.Ленина, 137, пом. 59 ()", , 
1961,"ООО ""Полянка""",2470001020,02.03.12,02.03.15,01-ЭМР,105706,"648000, Эвенкийский муниципальный район, пгт.Тура, ул.Борисова, 30-5","Магазин Эвенкийский муниципальный район, пгт.Тура, ул.50 лет Октября, 26, пом. 9 ()", , 
