Выписка из реестра действующих лицензий,,,,,,,,,,
 за период с  начала работы по 01.10.12,,,,,,,,,,
,,,,,,,,,,
,Лицензиат,ИНН,Срок действия,,Рег.ном,Бланк,Юридический адрес,Адрес осуществления деятельности,Дата приостановления,Дата возобновления
,,,,,,,,"Магазин Эвенкийский А.О., с.Байкит, ул.Бояки, 40 (продажа всей алкогольной продукции.)",,
64,"ООО ""ДВМ""",2460081250,18.12.07,18.12.12,4980-АР,105407,"660075, г.Красноярск, ул.Железнодорожников, 17","Павильон г.Красноярск, ул.Ладо Кецховели, 35 Ж/1 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
65,"ООО ""Ника +""",2466153550,19.12.07,19.12.12,4984-АР,105410,"660049, г.Красноярск, ул.Дубровинского, 80","Предприятие общественного питания г.Красноярск, ул.Дубровинского, 80 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
66,"ООО ""Ярков и К""",2466135039,19.12.07,19.12.12,4985-АР,105404,"660056, г.Красноярск, ул.Березина, 162","Магазин г.Красноярск, ул.Березина, 162 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
67,"ООО ""МеталлСервис""",2463080906,12.12.07,12.12.12,4986-АР,105416,"660062, г.Красноярск, ул.Высотная, 4","Магазин г.Красноярск, ул.Мирошниченко, 2 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
68,"ООО ""Континент""",2463043654,14.12.07,14.12.12,4987-АР,105417,"660115, г.Красноярск, ул.Тотмина, 35 А","Магазин г.Красноярск, ул.Аральская, 16А, пом.72 (продажа всей алкогольной продукции, кроме спирта питьевого.)", 04.04.08, 09.04.08
,,,,,,,,"Магазин г.Красноярск, ул.Тотмина, 35 А, пом.87,84 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
69,"ООО ""АКБАРС""",2457063194,12.12.07,12.12.12,4988-АР,105405,"663340, г.Норильск, ул.Школьная, 1-54","Павильон г.Норильск, район Кайеркан, в районе ул.Надеждинская, 2 Б (продажа алкогольной продукции с содержанием этилового спирта не более 15% объема готовой продукции.)", , 
70,"ООО ""Пятачок""",2461126143,14.12.07,14.12.12,4989-АР,105418,"660091, г.Красноярск, ул.Новая, 38","Магазин г.Красноярск, ул.Новая, 38 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
71,"ООО ""АиР""",2452034249,20.12.07,20.12.12,4993-АР,105412,"662970, г.Железногорск, ул.Королева, 3 А","Магазин г.Железногорск, ул.Королева, 3 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
72,"ООО ""ТК ЭКСПРЕСС-СЕРВИС""",2465098715,18.12.07,18.12.12,4994-АР,105421,"660077, г.Красноярск, ул.Октябрьская, 2 А","Предприятие общественного питания г.Красноярск, ул.Октябрьская, 2 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
73,"ООО ""Статус-1""",2430003110,24.12.07,24.12.12,4997-АР,105423,"663540, Партизанский район, с.Партизанское, ул.Гагарина, 14","Магазин Партизанский район, с.Партизанское, ул.Гагарина, 14 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
74,"ООО ""Лига""",2444301927,26.12.07,26.12.12,5000-АР,105415,"662066, Боготольский район, с.Боготол, ул.Целинная, 7","Магазин Боготольский район, с.Боготол, ул.Целинная, 7 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
75,"ООО ""Ергаки""",2413005967,26.12.07,26.12.12,5002-АР,105427,"662820, Ермаковский район, с.Ермаковское, ул.Красных Партизан, 115","Предприятие общественного питания Ермаковский район, 605 км.Трассы М-54, ""Енисей"" база отдыха ""Ергаки"", дом №15 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
76,"ООО ""Валентина - 95""",2466058578,17.12.07,17.12.12,5003-АР,105428,"660005, г.Красноярск, просп.Металлургов, 30","Магазин г.Красноярск, просп.Металлургов, 30, пом.350 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
77,"ООО ""Метеор""",2417003470,21.12.07,21.12.12,5005-АР,105429,"663102, Казачинский район, с.Мокрушинское, ул.Свердлова, 11 Б","Магазин Казачинский район, с.Мокрушинское, ул.Свердлова, 11 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
78,"ООО ""Елена""",2461120381,24.12.07,24.12.12,5007-АР,105431,"660094, г.Красноярск, ул.Транзитная, 30 Д","Магазин Емельяновский район, пос.Емельяново, ул.Юбилейная, 1 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
79,"ООО ""Валентина""",2435004491,27.12.07,27.12.12,5009-АР,105433,"663042, Сухобузимский район, с.Павловщина, пер.Почтовый, 9","Магазин Сухобузимский район, с.Павловщина, пер.Почтовый, 9 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Магазин Сухобузимский район, с.Павловщина, ул.Лукъянова, 26 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Предприятие общественного питания Сухобузимский район, с.Павловщина, ул.Лукъянова, 26 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
80,"ООО ""Елена""",2450023890,20.12.07,20.12.12,5014-АР,105438,"663631, Канский район, с.Бражное, ул.1 Мая, 18 А","Магазин Канский район, с.Бражное, ул.1 Мая, 18 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
81,"ООО ""Медведь""",2444301934,21.12.07,21.12.12,5018-АР,105446,"662060, г.Боготол, ул.Элеваторная, 10","Магазин г.Боготол, ул.Элеваторная, 18-1 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Магазин г.Боготол, ул.Иркутская, 37 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
