"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Черемховскому РМО",,,,,,,,,,
по состоянию на 1 августа  2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
43,"ООО «Сергей»
инн 3820014341
от 14.04.09г
","Свидетельство
1093820000460
от 14.04.09г
","А 167641
от 26.05.09г
до 26.05.14г
","с.Тальники, ул. Лесозаготовительная, 58-1
магазин
«Смешанные товары»
",,,,,,
44,"ООО «Калинка»
инн 3820013676
от 23.09.08г
","Свидетельство
1083820000868
от 23.09.08г
","А 167642
от 17.06.09г
до 17.06.14г
","с.Новостройка, ул.Центральная,28
магазин «Калинка»
",,,,,,
45,"ООО «Дарья»
инн 3820014359
от 22.04.09г
","Свидетельство
1093820000482
от 22.04.09г
","А 167643
от 09.07.09г
до 09.07.14г
","д.Нены, ул.Центральная,6а
магазин
",,,,,,
46,"ООО «Сияние»
инн 3820014207
от 05.03.09г
","Свидетельство
1093820000306
от 07.04.09г
","А 167644
от 10.07.09г
до 10.07.14г
","с.Каменно-Ангарск, ул.Федяевская,10-1
магазин «Сияние»
",,,,,,
47,"ООО «Мечта» 
инн 3820014430
от 11.06.09г
","Свидетельство 
1093820000592
от 11.06.09г
","А 167645
от 28.08.09г
       до 28.08.14г
","с.Голуметь, ул. Первомайская,99
магазин «Мечта»
",,,,,,
48,"ООО «Старт»
Инн 3812120956
11.03.09г
","Свидетельство
38№ 002932198
11.03.09г
","АН00636Пр15
от 28.04.10г
до 29.04.14г
","п.Михайловка, ул.Пушкина,15 отдел",,,,,Администрация г.Иркутска,
49,"ООО «Орхидея»
Инн 3820014479
16.10.09г
","Свидетельство
1093820000636
от 30.06.09г
","А 167703
16.10.09г
16.10.14г
","п.Михайловка, 3 квартал, дом 1 а
кафе «Орхидея»
",,,,,,
50,"ООО «Кристалл»
Инн 3820014581
От 08.10.09г
","Свидетельство
1093820000823
от 08.10.09г
","А 167704
от 17.11.09г
до 17.11.14г
","д.Петровка, ул.Петрова
 д 5 А
магазин «Фортуна»
",,,,,,
51,"ООО «Вираж»
Инн 3820014574
От 02.10.09г
","Свидетельство
1093820000801
от 01.10.09г
","А 167646
от 11.12.09г
до 11.12.14г
","с.Голуметь, ул.Советская,99 павильон «Лидия»
с.Голуметь ул.Уварова,42 а магазин «Восьмой»
",,,,,,
52,"ООО «Маржан»
Инн 3851000290
от 13.04.2010г
","Свидетельство
1103851000307
от 13.04.2010г
","А 167650
от 24.05.2010г
до 24.05.2012г
","с.Бельск, ул.Иванова,37
Магазин «У Натальи»
с.Бельск, ул.Иванова,37
Кафе «Маржан»
",,,5/24/2012,,,
53,Черемховское районное потребительское общество 3843003466 от 18.08.00г ,Свидетельство 1033802213940 от 18 августа 2000г.,"А 167651
от 14.06.2010 г.  до 14.06.2012г.
","с.Бельск ул.Спортивная,11 магазин; г.Черемхово ул.Первомайская,2 магазин; г.Черемхово ул.Первомайская,2 столовая; д.Искра ул.Козловская 7-2 магазин; д.Балухарь ул.Озерная 7магазин; с.Рысево ул.Совхозная 3 магазин. 

",,,14.06.2012г,,,
54,Общество с ограниченной ответственностью «Алко-Ден» инн3820014711 от 25.02.10,"Свидетельство 
1093820000966
от 25.01.10г
","38МЕ 002917
от 09.12.10г
до 16.09.12г
","с.Зерновое, ул.Иркутская, д 7а магазин «Ромашка»",,,,,"Администрация
Города
Черемхово
",
55,"СХОАО  Белореченское"" инн3840001848",свидетельство    1023802144431  от 11.12.2002г,А 167663 от 21.02.2012г до 21.02.2013,"Черемхово ул.Орджоникидзе магазин №33, с.Алехино, ул.Площадь труда,1 магазин №2,с.Лохово,ул.Школьная, строение 32,магазин №4 с.Бельск,ул.Иванова,строение 48 магазин №3, п.Михайловка,квартал 1, общежитие №10 магазин №32, с.Нижняя Иреть, ул.Советская, строение 18А магазин №8, с.Узкий Луг, ул.Центральная, строение, 43 магазин №9, с.Зерновое,ул.Иркутская, строение 13, магазин №14, д.Петровка, ул.Совхозная, строение 2А магазин №15,  с.Зерновое, ул.Иркутская, строение 9 столовая, с.Бельск, ул.Октябрьская, строение,17 столовая, ",,,,,,
56,"ООО ""Саяны""  инн3851001631 от 26.10.2010г",свидетельство  1103851001540 от 26.10.2010г,А 167656 от 21.02.2011г до 21.02.2012г ,"с.Голуметь ул. Советская.27  магазин ""Саяны""",,,21.02.2012г,,,
57,"ООО ""Успех"" инн 3851002547",свидетельство 1113851000251 от 04.02.11г,А 167657 от 04.03.2011г до 04.03.2012г,"п.Михайловка ул.Пушкина,15 магазин",,,3/4/2012,,,
58,"ООО ""Ковчег ""382001001 ",свидетельство 1063820011991,38 МЕ 002923 от25.02.2011г до 25.04.12г,"Черемховский район, район Жмуровской развязки на 1740 км. Прибайкальской автодороги Новосибирск-Иркутск кафе ""Ной""",,,,," Администрация город ""Черемхово""",
59,ООО Волна инн 3812125802 04.02.2011,,А2242293 от 23.01.2012," д.Паршевникова ул.Новая, 20 отдел",,,,,Усольская районное образование,
60,ОО абсолют инн3814013854,свидетельство 1083814001644 от 27.11.08,а 244908 от 22.04.11 до 25.12.2013,"д.паршевникова ул.северная, 16 а Зарина",,,,,Куйтунская районная администрация,
61,ООО Русь инн 3820012440,свидетельство 1073820000715,38ме 002926 от 04.07.2011,"с.Нижняя Иреть ул.Советская,27",,,10/17/2011,,администрация город Черемхово,
62,ООО СП-Трейд инн 3851004576 от 02.11.11г,свидетельство 1113851003408 от 02.11.11г,А 167660 от 27.12.2011г до 27.12.2012г,"с.Голуметь, ул.Кирова,2 магазин ""Голуметский"", с.Голуметь, ул.Советская,105А магазин ""Тройка""",,,,,,
63,ООО Ольга инн 3851005347,свидетельство 1123851000206 от 01.02.12,А 167665 от 06.04.2012г,"с.Парфеново,ул.Долгих,33 магазин",,,,,,
64,"ООО ""Овен"" 3851005410 от 03.02.2012",свидетельство 1123851000283 от 03.02.2012г,А 167666 от 16.04.2012г  до 16.04 2013г,"с.Лохово,ул школьная,36а магазин",,,,,,
65,"ООО ""Маржан""инн3851000290",межрайонная инспекция №18 1103851000307 от 13.04.2010г,А 167667 от 01.06.2012 до 01.06.2013г,"с.Бельск,ул.Иванова,37 магазин ""У Натальи,""  с.Бельск,ул.иванова,37 кафе ""Маржан""",,,,,,
66,"ООО ""Скорпион""3820011830",межрайонная инспекция №18 1063820012332 от 25.02.2010,А 167668 от 01.06.12 до 01.07.2013г,"с.Голуметь ул Калинина,д 14а.магазин",,,,,,
67,"ООО «Виола»
3820012087
02.03.07г
","Свидетельство
1073820000275
от 02.03.07г
Межрайонная
ИФНС № 10
","а167670 от 11.07.2012 по 11.07.2013
","с.тальники ул.Лесозаготовительная,29",,,,,,
68,"ООО «Диалог» ИНН 3820011189
05.06.06г
","Свидетельство № 1063820011254
от 05.06.2006г.
Межрайонная ИФНС №10
","А167671 от 12.07.2012 по 12.07.2013
","п.Михайловка, ул Заводская,25
магазин «Диалог»
",,,,,,
69,"ООО «Елена» ИНН 3851006157
",,"А167671 от 12.07.2012 по 12.07.2013
","с.Онот,ул.Ленина,7а",,,,,,
70,"ООО «Лианна» ИНН 3820011171
",,А167673 от 20.07.2012 по 20.07.2015,"д.Шаманаева,ул.трактовая,6",,,,,,
71,"ООО ТД «Багульник» ИНН 3843002550
09.01.03г 
","Свидетельство № 1033802214049
от 09.01.2003г.
Межрайонная ИФНС №10 
","А167707 от 20.07.2012 от 
20.07.2013
","пос.Михайловка, квартал 2  
магазин,
квартал1 д 11  кафе «Ассоль»
",,,,,,
