"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО города Братска",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
,,,,"Магазин

ж р Центр-ный юго-запад ж д №37 по ул Подбельского","
",,,,
,,,,"Магазин

ж.р. Центральный,ул. Гагарина, севернее медучилища","
",,,,
,,,,"Отдел в магазине

ул. Возрождения, 34, помещение № 1001","
",,,,
,,,,"Павильон

ул. Металлургов, 7","
",,,,
,,,,"Павильон

ул. Депутатская, а/с ""Прогресс""","
",,,,
,,,,"Магазин

ул. Советская, 508","
",,,,
22,"ООО ""Бизнес-БАЙКАЛ""
ИНН: 3804034534","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 04.04.2006","38МЕ006334 759 от 23.06.2011
 срок действия с 29.06.2011 по 28.06.2014;     ","Торговый отдел
в торговом центре ""Байкал"" (№ 1)
г. Братск, ж.р. Центральный, ул. Янгеля, 120/1","
",,,,
,,,,"Торговый отдел
в торговом центре ""Байкал"" (№ 2)
г. Братск, ж.р. Центральный, ул. Янгеля, 120/1","
",,,,
,,,,"Торговый отдел
в торговом центре ""Багульник""
г. Братск, ж.р. Центральный, ул. Крупской, 8","
",,,,
,,,,"Отдел в магазине
""Гастроном Братский""
г. Братск, ул. Янгеля, 9","
",,,,
23,"ООО ""БРАМСЕЛЬ""
ИНН: 3804034823","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 04.05.2006","38МЕ006120 554 от 21.09.2009
 срок действия с 21.09.2009 по 26.04.2012","Отдел в магазине

 ул. Студенческая, 18а","
",,26.04.2012,,
24,"ООО ""БратскСпецСтрой""
ИНН: 3805708137","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 29.04.2008","38МЕ006035 473 от 30.12.2008
 срок действия с 30.12.2008 по 29.12.2013;     ","Бар

ж.р. Падун, ул. 25-летия Братскгэсстроя, 21","
",,,,
25,"ООО ""БрИНО""
ИНН: 3804029196","ИМНС России по Центр. Округу г.Братска Ирк. Обл.
Постановление(св-во) от 06.04.2004","38МЕ005846 294 от 16.08.2007
 срок действия с 17.08.2007 по 16.08.2012;     ","Магазин

ул. Курчатова, 30а","
",,,,
26,"ООО ""ВЕГА""
ИНН: 3804042694","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 17.10.2008","38МЕ006005 447 от 25.11.2008
 срок действия с 25.11.2008 по 24.11.2013;     ","Закусочная

ж.р. Центральный, ул. Комсомольская, 62","
",,,,
27,"ООО ""Вега+""
ИНН: 3805702752","Межрайонная ИФНС № 15 по Иркутской области и УОБАО
Постановление(св-во) от 20.10.2007","38МЕ006522 948 от 26.07.2012
 срок действия с 26.07.2012 по 13.12.2012;     взамен: 38МЕ006482 рег. № 907 от 22.05.2012 с 22.05.2012 до 25.07.2012","Магазин

г. Братск, ж.р. Центральный, ул. Комсомольская, 60, пом. № 1003","
",,,,
,,,,"Магазин

г. Братск, бульвар Победы, 32","
",,,,
,,,,"Магазин

г. Братск, ул. Крупской, напротив ж.д. № 35","
",,,,
,,,,"Торговый отдел
в торговом центре ""За Стеклом""
г. Братск, ж.р. Центральный, ул. Крупской, 11А","
",,,,
,,,,"Магазин

г. Братск, ул. Янгеля, 165А","
",,,,
,,,,"Отдел в магазине

Усть-Илимский район, п. Невон, пер. Садовый, 11","
",,,,
,,,,"Магазин
""Версаль""
г. Братск, ж.р. Центральный, бульвар Космонавтов, 18, пом. 1001","
",,,,
,,,,"Торговый отдел
в торговом центре ""Байкал""
г. Братск, ж.р. Центральный, ул. Янгеля, 120/1","
",,,,
,,,,"Отдел в магазине

Усть-Илимский район, р.п. Железнодорожный, ул. Мира,10","
",,,,
,,,,"Торговый отдел
в павильоне
г. Братск, ж.р. Гидростроитель, ул. Енисейская, 128","
",,,,
,,,,"Магазин

г. Братск, ул. Обручева, 44","
",,,,
,,,,"Павильон

г. Братск, ж.р. Центральный, ул. Малышева в 25 м. южнее д. №4","
",,,,
,,,,"Отдел в магазине
в торговом центре  ""Москва""
г. Братск, ж.р. Центральный, ул. Маршала Жукова, 7/18","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Центральный, ул. Южная, 45А","
",,,,
,,,,"Отдел в магазине

г. Братск,  ж.р. Чекановский,  ул. Прибрежная, 5А","
",,,,
,,,,"Отдел в магазине

г. Братск, ул. Наймушина, 4","
",,,,
,,,,"Отдел в магазине

г. Братск, ул. Зверева, 17","
",,,,
,,,,"Магазин

г. Братск, ул. Карла Маркса, 22","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Осиновка, ул Спортивная, 3","
",,,,
,,,,"Отдел в магазине

г. Братск, ул. Студенческая, в 30 м к северу от ж. д. № 14","
",,,,
28,"ООО ""ВедПрод""
ИНН: 3805706771","МИФНС №15 по Иркутской области и УОБАО
Постановление(св-во) от 26.09.2007","38МЕ005889 335 от 25.12.2007
 срок действия с 25.12.2007 по 24.12.2012;     ","Магазин

г. Братск, ул. Погодаева, 4, пом. 1001","
",,,,
29,"ООО ""ВЕКТОР С""
ИНН: 3805711595","МИФНС № 15 по Ирк. обл.
Постановление(св-во) от 27.04.2010","38МЕ006385 812 от 18.08.2011
 срок действия с 18.08.2011 по 27.07.2012;     взамен: 38МЕ006374 рег. 799 от 28.07.2011 с 28.07.2011 до 17.08.2011","Магазин

г. Тайшет, ул. Пушкина, 6 - 7Н","
",,27.07.2012,,
,,,,"Магазин

г. Братск, ж.р. Гидростроитель, ул. Гайнулина, 1А, № 11","
",,,,
,,,,"Магазин

г. Братск, ж.р. Центральный, ул. Коммунальная,  №11/27","
",,,,
,,,,"Магазин
винно-водочный
г. Усть-Илимск, ул. Братская, 50А","
",,,,
,,,,"Торговый отдел
в ТЦ ""Арена""
г. Братск, ж.р. Центральный, ул. Крупской, 56","
",,,,
,,,,"Магазин

г. Братск, ж.р. Гидростроитель, ул. Гайнулина, 1А/2","
",,,,
30,"ООО ""Вектор Север""
ИНН: 3805710496","Межрайонная ИФНС № 15 по Иркутской области
Постановление(св-во) от 16.09.2009","38МЕ006487 912 от 28.05.2012
 срок действия с 28.05.2012 по 27.05.2013;     прекращенная: 38МЕ006379 806 от 08.08.2011  срок действия с 08.08.2011 по 27.05.2012","Отдел в магазине

г. Братск, ж.р. Гидростроитель, ул. Енисейская, 110 А","
",,27.05.2012,,
,,,,"Отдел в магазине

Братский р-он, с.Покосное, ул. О.Кошевого, 4","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Падун, переулок 3-й Химлесхозовский, 1","
",,,,
,,,,"Отдел в магазине

Братский район, с Тангуй, ул. Кутузова, 7","
",,,,
,,,,"Отдел в магазине
""Сюзанна""
Братский район, с. Покосное, ул. Южная, 27 А","
",,,,
,,,,"Магазин

г. Братск, ж.р. Центральный, проспект Ленина, 40, пом. 1002","
",,,,
31,"ООО ""Венера""
ИНН: 3804044814","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 11.02.2011","38МЕ006475 899 от 25.04.2012
 срок действия с 25.04.2012 по 24.04.2015;     прекращенная: 38МЕ006293 723 от 25.04.2011  срок действия с 25.04.2011 по 24.04.2012","Отдел в магазине
""Орион""
г. Братск, ул. Мира, 60, пом. № 1001","
",,24.04.2012,,
32,"ООО ""Визит""
ИНН: 3805104858","МИМНС России № 15 по Иркутской обл.
Постановление(св-во) от 13.09.2002","38МЕ006425 853 от 22.12.2011
 срок действия с 26.12.2011 по 25.12.2012;     ","Магазин

г. Братск, ж.р. Гидростроитель, ул. Вокзальная, 10, пом. 1001","
",,,,
,,,,"Магазин

г. Братск, ж.р. Осиновка, ул. Красноярская, 5, кв. 1001","
",,,,
,,,,"Магазин

г. Братск, ж.р. Гидростроитель, ул. Сосновая, 26, пом. 1002","
",,,,
33,"ООО ""Винея""
ИНН: 3804023518","ИМНС России по Центральному округу г.Братска Иркут
Постановление(св-во) от 04.11.2002","38МЕ006362 787 от 21.07.2011
 срок действия с 21.07.2011 по 20.07.2012;     ","Отдел в магазине
""Винея""
г. Братск, ул. Обручева, 14","
",,20.07.2012,,
34,"ООО ""ВиниТрейд""
ИНН: 3808067509","ИМНС России по Правобережному округу г.Иркутска
Постановление(св-во) от 09.08.2002","38МЕ003716 803 от 02.08.2011
 срок действия с 02.08.2011 по 01.07.2014;     ","Магазин
""Элитные напитки""
г. Братск, ул. Депутатская, 17","
",,,,"М/о ""Город Иркутск"""
35,"ООО ""Вита""
ИНН: 3804043338","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 05.02.2009","38МЕ006419 847 от 13.12.2011
 срок действия с 13.12.2011 по 18.03.2014;     взамен: 38МЕ006055 рег. № 490 от 19.03.2009 с 19.03.2009 до 12.12.2011","Отдел в магазине
""Фортуна""
Братский район, с. Кузнецовка, ул. Депутатская, 26","
",,,,
36,"ООО ""ВИТА""
ИНН: 3805702590","МИФНС № 15 по Иркутской обл. и УОБАО
Постановление(св-во) от 15.09.2005","38МЕ006394 821 от 01.09.2011
 срок действия с 01.09.2011 по 05.06.2012;     взамен: 38МЕ006316 рег. № 743 от 06.06.2011 с 06.06.2011 до 31.08.2011","Отдел в магазине

г. Братск, ж.р. Центральный, ул. Цветочная, 3А","
",,05.06.2012,,
,,,,"Отдел в магазине

г. Зима, ул. Куйбышева, 9","
",,,,
,,,,"Отдел в магазине

г. Зима, ул. Подаюрова, 47","
",,,,
,,,,"Отдел в магазине

г.Зима, ул.Коминтерна, 71","
",,,,
,,,,"Отдел в магазине

Нижнеилимский район, п. Коршуновский, ул. Ленина, д. 6, № 3","
",,,,
,,,,"Отдел в магазине
""Добрый""
г. Тулун, ул. Ленина, 57","
",,,,
,,,,"Отдел в магазине

г. Зима, ул. Каландарашвили, 4","
",,,,
37,"ООО ""ВИТА""
ИНН: 3805702985","МИФНС № 15 по Иркутской области и УОБАО
Постановление(св-во) от 28.11.2005","38МЕ006346 770 от 06.07.2011
 срок действия с 06.07.2011 по 05.07.2016;     ","Магазин
""Маяк""
г. Братск, ул. Железнодорожная, 12","
",,,,
,,,,"Магазин
№ 93
г. Братск, ул. Заводская, 3Б","
",,,,
,,,,"Отдел в магазине
""Альфа""
г. Братск, ж.р. Центральный, ул.Обручева, 2/46, пом.1002","
",,,,
,,,,"Магазин
""Вита""
г. Братск, ул. Заярская, 15А","
",,,,
38,"ООО ""Все сразу""
ИНН: 3805707292","МИФНС № 15 по Иркутской обл. и УОБАО
Постановление(св-во) от 13.12.2007","38МЕ005919 364 от 19.03.2008
 срок действия с 19.03.2008 по 18.03.2013;     ","Магазин

ул. Гидростроителей, 57","
",,,,
39,"ООО ""Галерея счастья""
ИНН: 3805706450","МИФНС № 15 по Ирк.обл. и УОБАО
Постановление(св-во) от 26.07.2007","38МЕ005876 323 от 27.11.2007
 срок действия с 27.11.2007 по 26.11.2012;     ","Закусочная

 ул.25 летия Братскгэсстроя, 47 А","
",,,,
40,"ООО ""ГАММА""
ИНН: 3805709532","МИФНС № 15 по Иркутской области
Постановление(св-во) от 02.03.2009","38МЕ006100 533 от 12.08.2009
 срок действия с 12.08.2009 по 13.05.2014;     ","Магазин

ж.р.Гидростроитель, ул. Енисейская, 509","
",,,,
,,,,"Магазин

ж.р. Центральный, ул. Крупской, 14","
",,,,
41,"ООО ""ГЕЛИОС-ТРЕЙД""
ИНН: 3804021158","ИМНС России по Центральному округу г.Братска Ирк.о
Постановление(св-во) от 22.10.2002","38МЕ006478 902 от 02.05.2012
 срок действия с 02.05.2012 по 01.05.2013;     прекращенная: 38МЕ006218 652 от 30.08.2010  срок действия с 30.08.2010 по 25.04.2012","Кафе

г. Братск, ж.р. Центральный, ул. Карла Маркса, 5","
",,25.04.2012,,
,,,,"Магазин

г. Братск, ж.р. Центральный, ул. Обручева, 3, пом. 1003","
",,,,
,,,,"Магазин

г. Братск, ж.р.Центральный, ул. Баркова, 21, пом. 1003","
",,,,
,,,,"Торговый отдел
в торговом центре
г. Братск, ж.р.Центральный, ул. Коммунальная, 12","
",,,,
,,,,"Магазин

г. Братск, ж.р. Центральный, ул. Коммунальная, 13, строение 16","
",,,,
42,"ООО ""ГлавТоргСиб""
ИНН: 3804033241","ИФНС России по Центральн округу  гБратска Ирк об
Постановление(св-во) от 01.12.2005","38 МЕ006279 712 от 25.03.2011
 срок действия с 25.03.2011 по 24.03.2012","Отдел в магазине
""Триал""
г. Братск, ж.р. Центральный, ул Мира, 50 ""А""","
",,24.03.2012,,
43,"ООО ""ГЛАГОЛЬ""
ИНН: 3804043899","ИФНС  Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от ","38МЕ006178 610 от 30.04.2010
 срок действия с 30.04.2010 по 29.04.2012","Отдел в магазине

ж.р. Центральный, ул. Комсомольская, 10","
",,29.04.2012,,
44,"ООО ""Гладиатор""
ИНН: 3823033991","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 29.06.2011","38МЕ006391 818 от 29.08.2011
 срок действия с 29.08.2011 по 28.08.2016;     ","Магазин

г. Братск, ж.р. Центральный, ул. Обручева, 22, пом. 1003","
",,,,
