"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО города Братска",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
,,,,"Отдел магазина

Братский р-н, с. Илир, ул. Ленина, 15 А","
",,,,
,,,,"Отдел магазина

г. Братск, ж.р. Центральный, ул. Возрождения, 24 А, помещение № 2","
",,,,
,,,,"Отдел магазина

г. Братск, ж.р. Порожский, ул. 50 лет Октября, 77","
",,,,
,,,,"Павильон

Братский район, г. Вихоревка, ул. Северная, 22 А","
",,,,
,,,,"Павильон

г. Братск, СОНТ ""Зяба"", остановка ""Черемушки""","
",,,,
,,,,"Павильон

г. Братск, ж.р. Центральный, ул. Подбельского, район дома № 10 Г","
",,,,
,,,,"Торговый отдел
в торговом центре
г. Братск, ж.р. Энергетик, ул. Юбилейная, 51 ""А""","
",,,,
,,,,"Отдел в магазине
""Шмель""
Братский район, с. Кобляково, ул. Погодаева, 1 А","
",,,,
94,"ООО ""Нарине""
ИНН: 3804035312","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 13.06.2006","38МЕ005865 313 от 22.10.2007
 срок действия с 22.10.2007 по 22.10.2012;     ","Отдел в магазине

ул. Советская, 22","
",,,,
95,"ООО ""Натуральный Продукт""
ИНН: 3805700890","МИМНС № 15 по Иркутской области
Постановление(св-во) от 26.04.2004","38МЕ006327 752 от 22.06.2011
 срок действия с 22.06.2011 по 21.06.2013;     ","Отдел в магазине

г. Братск, ул. Рябикова, 51","
",,,,
,,,,"Отдел в магазине
""Едок""
г. Братск, ул. Советская, 2","
",,,,
,,,,"Отдел в магазине
""Новая эра""
г. Братск, ул. Крупской, 7","
",,,,
96,"ООО ""Наш регион""
ИНН: 3805703964","Межрайонная ИФНС № 15 по Ирк. обл. и УОБАО
Постановление(св-во) от 24.05.2006","38МЕ006515 940 от 09.07.2012
 срок действия с 09.07.2012 по 07.12.2013;     взамен: 38МЕ006483 рег. № 908 от 22.05.2012 с 22.05.2012 до 08.07.2012","Отдел в магазине

г. Усть-Илимск, ул. Мечтателей, 23, н.п. 4","
",,,,
,,,,"Отдел в магазине

г. Усть-Илимск, ул. Энгельса, д. 23, н.п.208","
",,,,
,,,,"Отдел в магазине

г. Усть-Илимск, ул. Островского, 28, № 2","
",,,,
,,,,"Отдел в магазине

г. Усть-Илимск, проспект Дружбы Народов, д. 68","
",,,,
,,,,"Отдел в магазине
""Успех""
г. Железногорск-Илимский, квартал 1, дом 88","
",,,,
,,,,"Магазин
""Продукты""
п. Залари, ул. Куйбышева, 4а","
",,,,
,,,,"Магазин
""Исток""
г. Зима, ул. Краснопартизанская, 40","
",,,,
,,,,"Закусочная

Нижнеилимский район, п. Видим, ул. Трактовая, 40","
",,,,
,,,,"Отдел в магазине

г. Усть-Илимск, ул. Островского, 28, № 1","
",,,,
97,"ООО ""Нике""
ИНН: 3804034580","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 06.04.2006","38МЕ006321 747 от 16.06.2011
 срок действия с 16.06.2011 по 15.06.2012;     ","Магазин
""Романовский""
г. Братск, ул. Рябикова, 57","
",,6/15/2012,,
98,"ООО ""Новый Век""
ИНН: 3804023451","ИМНС РФ по Центральному округу г.Братска Ирк. обл.
Постановление(св-во) от 04.11.2002","38МЕ006448 875 от 01.03.2012
 срок действия с 07.03.2012 по 06.03.2013;     прекращенная: 38МЕ005969 412 от 19.08.2008  срок действия с 19.08.2008 по 06.03.2012","Магазин

г. Братск, ж.р. Центральный, б-р Космонавтов, 3, пом. № 1001","
",,06.03.2012,,
99,"ООО ""Новый Дом""
ИНН: 3805402558","Межрайонная ИМНС России № 15 по Иркутской области
Постановление(св-во) от 27.08.2002","38МЕ006332 757 от 22.06.2011
 срок действия с 22.06.2011 по 21.06.2012;     ","Магазин

ул. Калужская, 3а","
",,6/21/2012,,
100,"ООО ""Норма""
ИНН: 3805703322","МИФНС № 15 по Иркутской области и УОБАО
Постановление(св-во) от 11.02.2006","38МЕ006309 738 от 31.05.2011
 срок действия с 02.06.2011 по 01.06.2012;     прекращенная: 38МЕ006309 738 от 31.05.2011  срок действия с 02.06.2011 по 01.06.2012","Торговый отдел
в торговом центре ""Пурсей"" (№1)
г. Братск, ж.р. Энергетик, ул. Наймушина, 32","
",,01.06.2012,,
,,,,"Торговый отдел
в торговом центре ""Пурсей"" ( № 2)
г. Братск, ж.р. Энергетик, ул. Наймушина, 32","
",,,,
,,,,"Торговый отдел
в универсальном магазине ""Ангара""
г. Братск, ж.р. Гидростроитель, ул. Енисейская, 56","
",,,,
,,,,"Торговый отдел
в торговом центре ""Виктория""
г. Братск, ж.р. Падун, ул. Гидростроителей, 47А","
",,,,
,,,,"Торговый отдел
в универсальном магазине ""Каскад""
г. Братск, ж.р. Энергетик, ул. Зверева, 7","
",,,,
101,"ООО ""Ностальжи""
ИНН: 3804035168","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 30.05.2006","38МЕ006328 753 от 24.06.2011
 срок действия с 24.06.2011 по 23.06.2012;     ","Бар
""НЭП""
г. Братск, ул. Депутатская, 17","
",,23.06.2012,,
102,"ООО ""О""Кей""
ИНН: 3804034799","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 03.05.2006","38МЕ006347 771 от 11.07.2011
 срок действия с 11.07.2011 по 10.07.2016;     ","Магазин

г. Братск, ул. Пихтовая, район жилого дома № 40","
",,,,
103,"ООО ""Оксика""
ИНН: 3804034090","ИФНС по Центральному округу г.Братска Иркутск. Обл
Постановление(св-во) от 14.02.2006","38МЕ006287 719 от 20.04.2011
 срок действия с 22.04.2011 по 21.04.2016;     ","Магазин
""Вавилон""
г. Братск, проспект Ленина, 36","
",,,,
104,"ООО ""ОЛИМП""
ИНН: 3805703900","МИФНС № 15 по Иркутской области и УОБАО
Постановление(св-во) от 18.05.2006","38МЕ006351 776 от 07.07.2011
 срок действия с 07.07.2011 по 06.07.2012;     ","Отдел в магазине
""Ваш выбор""
г. Братск, ул. Енисейская, 134","
",,06.07.2012,,
,,,,"Торговый отдел

г. Братск, ж.р. Энергетик, остановочный комплекс в 43-х метрах южнее здания 7 А ул. Мечтателей","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Гидростроитель, ул. Енисейская, севернее жилого дома №6","
",,,,
105,"ООО ""ОЛЬХОН""
ИНН: 3804038842","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 25.07.2007","38МЕ005862 310 от 15.10.2007
 срок действия с 15.10.2007 по 15.10.2012;     ","Закусочная

ул. Муханова, 1","
",,,,
106,"ООО ""ОНИКС""
ИНН: 3804034559","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 04.04.2006","38МЕ006357 782 от 15.07.2011
 срок действия с 15.07.2011 по 14.07.2012;     ","Торговый отдел

г. Братск, переулок Новый, 9А","
",,14.07.2012,,
107,"ООО ""Очаг""
ИНН: 3804033555","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 20.12.2005","38МЕ005800 250 от 27.04.2007
 срок действия с 27.04.2007 по 27.04.2012","Закусочная

г. Братск, п. Строитель, 77А","
",,27.04.2012,,
108,"ООО ""ПАНОРАМА""
ИНН: 3805705457","МИФНС № 15 по Ирк.обл и УОБАО
Постановление(св-во) от 28.12.2006","38МЕ006473 897 от 24.04.2012
 срок действия с 26.04.2012 по 25.04.2013;     прекращенная: 38МЕ005796 246 от 25.04.2007  срок действия с 25.04.2007 по 25.04.2012","Бар

г. Братск, ул. Солнечная, 4А","
",,25.04.2012,,
109,"ООО ""Парадиз""
ИНН: 3812095869","ИФНС по Свердловскому округу г. Иркутска
Постановление(св-во) от 04.05.2007","38МЕ006421 849 от 19.12.2011
 срок действия с 19.12.2011 по 21.10.2013;     взамен: 38МЕ006341 рег.№ 765 от 24.06.2011 с 24.06.2011 до 18.12.2011","Отдел в магазине
№ 76
г. Братск, ж.р. Центральный, ул. Карла Маркса, 12","
",,,,
,,,,"Торговый отдел

ж.р.Энергетик, ул.Гиндина, 4, пом №1002","
",,,,
,,,,"Отдел в магазине
универсам ""Кедр""
г. Братск, ж.р. Центральный, ул. Крупской, 44","
",,,,
,,,,"Отдел в магазине
""Юбилейный""
г. Братск, ж р.Центральный, ул.Мира, 22, пом. №1001","
",,,,
,,,,"Отдел в магазине
""Гурман""
г. Братск, ж.р. Цетральный, ул Советская, 2, пом. 1010","
",,,,
,,,,"Отдел в магазине
""Ангара""
Братский район, г. Вихоревка, ул. Советская, 30, пом. № 1002","
",,,,
,,,,"Торговый отдел
ТЦ ""Багульник""
г. Братск, ж.р. Центральный, ул. Крупской, 8","
",,,,
110,"ООО ""ПЕШКОВ""
ИНН: 3805703241","МИФНС № 15 по Иркутской области и УОБАО
Постановление(св-во) от 29.01.2006","38МЕ006494 919 от 09.06.2012
 срок действия с 09.06.2012 по 01.06.2013;     взамен: 38МЕ006480 № 904 от 10.05.2012 с 10.05.2012 до 08.06.2012","Кафе
""Пицца""
г. Братск, ж.р. Энергетик, ул. Наймушина, 24, пом. 1003","
",,,,
,,,,"Закусочная
""Калипсо""
г. Братск, ул. Сосновая, 2Б, пом. 1002","
",,,,
,,,,"Кафе
""Калипсо""
г. Братск, ул. Наймушина, 54, пом. 1003",,,,,
111,"ООО ""ПЕШКОВА""
ИНН: 3804033925","ИФНС по Центральному округу г.Братска Ирк. Обл.
Постановление(св-во) от 31.01.2006","38МЕ006338 763 от 23.06.2011
 срок действия с 28.06.2011 по 27.06.2012;     ","Буфет

г. Братск, ул. Кирова, 27","
",,27.06.2012,,
112,"ООО ""ПиК""
ИНН: 3805401681","Межрайонная ИМНС России № 15 по Иркутской обл.
Постановление(св-во) от 14.11.2002","38 МЕ006269 699 от 21.02.2011
 срок действия с 21.02.2011 по 20.02.2016;     ","Магазин
""Забота""
г. Братск, ул. Наймушина, 50","
",,,,
,,,,"Магазин
""Мозаика""
г. Братск, ул. Мечтателей, 15 ""А""","
",,,,
113,"ООО ""Планета""
ИНН: 3804008414","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 05.11.2009","38МЕ006397 824 от 09.09.2011
 срок действия с 09.09.2011 по 08.09.2012;     ","Магазин

г. Братск, ул. Гурьевская, 12","
",,,,
114,"ООО ""Покров ""
ИНН: 3804023490","ИМНС России по Центральному округу г. Братска Ирку
Постановление(св-во) от 30.10.2002","38МЕ006447 874 от 01.03.2012
 срок действия с 07.03.2012 по 06.03.2014;     прекращенная: 38МЕ005763 213 от 06.03.2007  срок действия с 06.03.2007 по 06.03.2012","Магазин
""Дружба""
г. Братск, ж.р. Центральный, ул. Обручева, 11, помещение № 1001","
",,06.03.2012,,
115,"ООО ""ПортАЛ""
ИНН: 3804008527","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 11.11.2009","38МЕ006221 654 от 08.09.2010
 срок действия с 08.09.2010 по 24.12.2014;     ","Отдел в магазине

г. Братск, ул. Южная, 109, помещение 1002","
",,,,
,,,,"Отдел в магазине

г.Братск,ж.р.Централ,ул.Рябикова, 15/31,пом.1001","
",,,,
116,"ООО ""Премиум""
ИНН: 3804035055","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 25.05.2006","38МЕ006372 797 от 02.08.2011
 срок действия с 02.08.2011 по 01.08.2012;     ","Магазин

г. Братск, ул. Обручева, 4","
",,,,
117,"ООО ""ПРОДСЕРВИС""
ИНН: 3805103886","МИМНС России №15 по Иркутской обл.
Постановление(св-во) от 18.12.2002","38МЕ005934 378 от 25.04.2008
 срок действия с 25.04.2008 по 24.04.2013;     ","Магазин

ул.Горького,1","
",,,,
,,,,"Закусочная

ул.Горького,1","
",,,,
,,,,"Отдел в магазине

ул. Лермонтова, 8","
",,,,
118,"ООО ""ПРОДСТРОЙТОРГ""
ИНН: 3805111502","МИМНС России №15 по Иркутской области
Постановление(св-во) от 10.11.2002","38МЕ006155 591 от 04.02.2010
 срок действия с 04.02.2010 по 06.06.2013;     ","Магазин

г. Братск, ж.р. Осиновка, ул. Спортивная, 6Г","
",,,,
119,"ООО ""Продуктовая планета""
ИНН: 3804032093","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 12.07.2005","38МЕ006438 864 от 10.02.2012
 срок действия с 10.02.2012 по 20.04.2013;     взамен: 38МЕ006009, рег. № 451 от 03.12.2008 с 03.12.2008 до 09.02.2012","Закусочная

г. Братск, П 10 81 02 01","
",,,,
120,"ООО ""Пятёрочка""
ИНН: 3804010597","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 16.04.2010","38МЕ006418 845 от 09.12.2011
 срок действия с 09.12.2011 по 08.12.2012;     ","Магазин

г. Братск, ж.р. Центральный, ул. Советская, дом № 5, помещение 1001","
",,,,
121,"ООО ""Развитие""
ИНН: 3805707800","МИФНС №15 по Иркутской области
Постановление(св-во) от 11.03.2008","38МЕ006367 792 от 21.07.2011
 срок действия с 21.07.2011 по 04.09.2013;     взамен: рег. № 618  38МЕ006186 от 14.05.2010 с 14.05.2010 до 20.07.2011","Бар

ж.р. Гидростроитель, ул. Вокзальная, 4А","
",,,,
,,,,"Буфет

ж.р. Осиновка, ул. Железнодорожная, 8А","
",,,,
,,,,"Магазин

г. Вихоревка, ул.Дзержинского, 38, пом. 1025","
",,,,
,,,,"Магазин

д/п Зяба, СОНТ ""Электрон"", ул. Энтузиастов, 15а","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Бикей, ул. Советская, 11а","
",,,,
,,,,"Отдел в магазине

ж.р. Центральный, ул. Пионерская, 13","
",,,,
,,,,"Отдел в магазине

г. Вихоревка, ул. Ленина, 42а","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Центральный, ул. Гагарина, 17","
",,,,
,,,,"Отдел в магазине

ж.р.Центральный, П 10 19 11 01","
",,,,
,,,,"Отдел в магазине

г. Вихоревка, ул. Ленина, 20-1","
",,,,
,,,,"Отдел в магазине

ж.р. Падун, ул. 2 Парковая, 8","
",,,,
,,,,"Отдел в магазине

ж.р. Центральный, ул. Пихтовая, 75","
",,,,
,,,,"Отдел в магазине

п. Тарма, ул. Дружбы, 46Б","
",,,,
,,,,"Отдел в магазине

ж.р. Гидростроитель, ул Заводская, 7А, пом 1001","
",,,,
,,,,"Отдел в магазине

ж.р. Центральный, ул. Кирова, 35","
",,,,
,,,,"Отдел в магазине

ж.р. Энергетик, ул. Пирогова, 7, пом. 1001","
",,,,
,,,,"Отдел в магазине

г. Тайшет, мкр-н Мясникова, 4-118Н","
",,,,
,,,,"Отдел в магазине

д. Кумейка, ул. Советская, 8","
",,,,
,,,,"Отдел в магазине

г. Железногорск-Илимский, ул. Янгеля, 6, офис 20","
",,,,
,,,,"Отдел в магазине

д. Леоново, ул. Кооперативная, 15","
",,,,
,,,,"Отдел в магазине

г. Усть-Илимск, ул. Братское шоссе, 7, н.п. 203","
",,,,
,,,,"Павильон

ж.р Центральный ул. Курчатова сев-западнее ж.д№50","
",,,,
,,,,"Павильон

ж.р. Бикей, ул. Совхозная, 1Б","
",,,,
,,,,"Павильон

ж.р. Энергетик, ул. Пирогова в 40м южнее здания №7","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Центральный, ул. Ленина, 29","
",,,,
122,"ООО ""Рамиль""
ИНН: 3804032914","ИФНС по Центральному округу г.Братска Иркутской об
Постановление(св-во) от 10.11.2005","38 МЕ006264 697 от 10.02.2011
 срок действия с 10.02.2011 по 09.02.2016;     ","Шашлычная

г.Братск, ж.р. Центральный, севернее ГСК ""Север"" ,Р 01 07 01 01 № 01","
",,,,
123,"ООО ""РеалТайм""
ИНН: 3804042060","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 24.06.2008","38МЕ006200 632 от 25.06.2010
 срок действия с 25.06.2010 по 30.10.2013;     ","Торговый отдел
в закусочной ""Парус""
ж.р. Центральный, ул. Мира, 3","
",,,,
124,"ООО ""Ресторан ""ТАЙГА""
ИНН: 3804008245","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 30.10.2009","38МЕ006152 587 от 28.12.2009
 срок действия с 28.12.2009 по 27.12.2014;     ","Бар
кофейный
г.Братск, ул. Мира, 35","
",,,,
,,,,"Магазин-кулинария

г.Братск, ул. Мира, 35","
",,,,
,,,,"Кафе

г.Братск, ул. Мира, 35","
",,,,
,,,,"Бар

г. Братск, ул. Мира, 35","
",,,,
,,,,"Ресторан

г. Братск, ул. Мира, 35","
",,,,
125,"ООО ""РИВ""
ИНН: 3805706250","МИФНС по Иркутской области и УОБАО
Постановление(св-во) от 22.06.2007","38МЕ005854 302 от 19.09.2007
 срок действия с 19.09.2007 по 18.09.2012;     ","Отдел в магазине

ул. Красноярская, 7","
",,,,
,,,,"Отдел в магазине

ул. Центральная, 58а","
",,,,
126,"ООО ""Ритал""
ИНН: 3804025716","ИМНС по Центральному округу г.Братска Иркутск. Обл
Постановление(св-во) от 19.10.2002","38МЕ006322 748 от 20.06.2011
 срок действия с 20.06.2011 по 19.06.2014;     ","Магазин
""Полюс""
г. Братск, ж.р. Центральный, переулок Новый, 5А","
",,,,
,,,,"Магазин
""Континент""
г. Братск, ж.р. Центральный, северо-восточнее перекрестка проспект Ленина - Бульвар Победы","
",,,,
,,,,"Отдел в магазине
""Север""
г. Братск, ул. Подбельского, 17/16","
",,,,
127,"ООО ""Роберт и Сыновья""
ИНН: 3804035320","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 13.06.2006","38МЕ006413 839 от 21.10.2011
 срок действия с 21.10.2011 по 20.10.2012;     ","Закусочная
""Золотая долина""
г. Братск, ул. Комсомольская, 67б","
",,,,
,,,,"Закусочная
""Арарат""
г. Братск, ул. Комсомольская, 71","
",,,,
128,"ООО ""Робин""
ИНН: 3823033945","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 01.06.2011","38МЕ006363 788 от 19.07.2011
 срок действия с 19.07.2011 по 18.07.2012;     ","Магазин
""Дубравушка""
г. Братск, ж.р. Центральный, ул. Муханова, 50","
",,18.07.2012,,
129,"ООО ""Рубин""
ИНН: 3804043017","ИФНС Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 09.12.2008","38МЕ006051 486 от 12.03.2009
 срок действия с 12.03.2009 по 11.03.2014;     ","Бар
""Таверна ""Медвежья лапа""
ж.р. Центральный, ул. Депутатская, 32","
",,,,
130,"ООО ""РУЗАННА""
ИНН: 3804034446","ИФНС по Центральному округу г.Братска Ирк.обл.
Постановление(св-во) от 28.03.2006","38МЕ006359 784 от 13.07.2011
 срок действия с 13.07.2011 по 12.07.2012;     ","Отдел в магазине
""Диана""
г. Братск, ул. Гагарина, 71, пом. 1002","
",,12.07.2012,,
,,,,"Кафе
""Гюмри""
г. Братск, ул. Гагарина, 5А","
",,,,
131,"ООО ""Русич Маркет""
ИНН: 3805104946","Межрайонная ИМНС России № 15 по Иркутской области
Постановление(св-во) от 20.09.2002","38МЕ006486 911 от 25.05.2012
 срок действия с 25.05.2012 по 23.05.2017;     взамен: 38МЕ006486, рег. № 910 от 24.05.2012 с 24.05.2012 до 24.05.2012прекращенная: 38МЕ006304 733 от 23.05.2011  срок действия с 24.05.2011 по 23.05.2012","Магазин
""Русич""
г. Братск, ж.р. Энергетик, ул. Солнечная, 6А","
",,23.05.2012,,
,,,,"Магазин
""Русич""
г. Братск, ж.р. Энергетик, ул. Холоднова, 9А","
",,,,
132,"ООО ""СЕВАН""
ИНН: 3804035496","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 22.06.2006","38МЕ006474 898 от 25.04.2012
 срок действия с 25.04.2012 по 24.04.2013;     ","Кафе
""Ахтамар""
г. Братск, ж.р. Центральный, ул. Северный Артек, 1А","
",,,,
133,"ООО ""Сезан""
ИНН: 3804033178","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 24.11.2005","38МЕ006432 860 от 25.01.2012
 срок действия с 25.01.2012 по 07.07.2012;     взамен: 38МЕ006375 рег. № 800 от 29.07.2011 с 29.07.2011 до 24.01.2012","Торговый отдел
в торгово-деловом центре ""Калита""
г. Братск, ж.р. Центральный, ул. Ленина, 7","
",,07.07.2012,,
,,,,"Торговый отдел
в ТЦ ""Байкал""
г. Братск, ж.р. Центральный, ул. Янгеля, 120/1 этаж 1 торговая площадь № 92","
",,,,
134,"ООО ""Секрет""
ИНН: 3804046603","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 11.11.2011","38МЕ006424 852 от 22.12.2011
 срок действия с 22.12.2011 по 21.12.2016;     ","Магазин

г. Братск, ж.р.  Центральный, проезд Индустриальный, 7","
",,,,
135,"ООО ""Семь Дней""
ИНН: 3804039500","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 03.10.2007","38МЕ006462 887 от 28.03.2012
 срок действия с 28.03.2012 по 23.04.2013;     взамен: переоф 38МЕ006189 рег № 621 от 27.05.2010 с 27.05.2010 до 27.03.2012","Магазин

г. Братск, ж.р. Энергетик, ул. Погодаева, 14","
",,,,
,,,,"Магазин

г. Братск, ул. Кирова, 31, помещение 1001","
",,,,
136,"ООО ""СибИнвест""
ИНН: 3804038440","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 05.06.2007","38МЕ005881 327 от 07.12.2007
 срок действия с 07.12.2007 по 06.12.2012;     ","Магазин

ул. Космонавтов, 22А","
",,,,
137,"ООО ""Сибирь""
ИНН: 3804032921","ИФНС по Центральному округу г. Братска Иркут. Обл.
Постановление(св-во) от 10.11.2005","38МЕ006034 472 от 29.12.2008
 срок действия с 29.12.2008 по 28.12.2013;     ","Магазин

ж.р. Порожский, ул. Нагорная, 204","
",,,,
,,,,"Магазин

ж.р. Порожский, ул. 50 лет Октября, 75","
",,,,
138,"ООО ""СИБИРЬ""
ИНН: 3804034414","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 23.03.2006","38МЕ006382 809 от 09.08.2011
 срок действия с 09.08.2011 по 08.08.2012;     ","Буфет
в торговом центре ""Гагаринский""
г. Братск, ж.р. Центральный, ул. Гагарина, 18, корпус № 09, этаж № 1, площадь № 01","
",,,,
,,,,"отдел с оказанием услуги питания
в ТЦ ""Инва""
г. Братск, ж.р. Энергетик, ул. Гиндина, д. 4, пом. № 1002, этаж № 1, торговая площадь № 41","
",,,,
,,,,"отдел с оказанием услуги питания
в торговом центре ""Байкал""
г. Братск, ж.р. Центральный,  ул. Янгеля, 120/1, павильон № 24, этаж № 2","
",,,,
,,,,"Буфет
на розничном универсальном рынке ""Центральный""
г. Братск, ж.р. Центральный, ул. Комсомольская, 62, торговая площадь № 1","
",,,,
139,"ООО ""СИБИРЬ""
ИНН: 3805707246","МИФНС №15 по Иркут обл. и УОБАО
Постановление(св-во) от 07.12.2007","38МЕ006045 480 от 06.02.2009
 срок действия с 06.02.2009 по 19.06.2013;     ","Отдел в магазине

ул. Енисейская, 20","
",,,,
,,,,"Торговый отдел

ул. Заводская, 11А","
",,,,
140,"ООО ""Сибирь-Алко""
ИНН: 3805705175","Межрайонная ИФНС № 15 по Иркутской области
Постановление(св-во) от 13.11.2006","38МЕ006459 885 от 23.03.2012
 срок действия с 23.03.2012 по 22.03.2017;     прекращенная: 38МЕ006402 826 от 16.09.2011  срок действия с 16.09.2011 по 06.03.2012","Магазин

г. Братск, ж.р. Центральный, ул. Курчатова, 30А, пом. 1001","
",,06.03.2012,,
,,,,"Магазин

г. Братск, ж.р. Энергетик, ул. Пирогова, 13","
",,,,
141,"ООО ""Сибиряк""
ИНН: 3804034950","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от ","38МЕ006355 780 от 07.07.2011
 срок действия с 07.07.2011 по 06.07.2012;     ","Бар

г. Братск, ул. Комсомольская, 38","
",,06.07.2012,,
142,"ООО ""СИБРУС""
ИНН: 3804033820","ИФНС по Центральному округу г.Братска Ирк. Обл.
Постановление(св-во) от 12.01.2006","38МЕ006329 754 от 27.06.2011
 срок действия с 27.06.2011 по 26.06.2012; 27.06.2012-26.06.2013;    ","Отдел в магазине

г. Братск, бульвар Космонавтов, 60","
",,,,
143,"ООО ""Сибскладсервис""
ИНН: 3805708810","МИФНС  № 15 по Иркутской области
Постановление(св-во) от 17.10.2008","А242026 943 от 09.07.2012
 срок действия с 09.07.2012 по 17.02.2013;","Магазин

г. Братск, ж.р. Центральный, ул. Обручева, 22, пом. 1001","
",,,,"М/о ""Братский район"""
,,,,"Отдел в магазине

г. Братск, ж.р. Центральный, ул. Маршала Жукова, 4, пом. 1001","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Осиновка, ул. Коршуновская, № 3","
",,,,
,,,,"Отдел в магазине

г. Братск, проспект Ленина, 52, помещение 1001","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Бикей, ул. Советская,  5","
",,,,
,,,,"Отдел в магазине

г.Братск, ж.р. Осиновка, ул. Спортивная, 8, пом. 1001","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Центральный, ул. Мира, 40, пом. 1003","
",,,,
144,"ООО ""СИБТРАК""
ИНН: 3804034781","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 03.05.2006","38МЕ006339 760 от 23.06.2011
 срок действия с 23.06.2011 по 22.06.2012;     ","Отдел магазина
""Сибирский""
г. Братск, ул. Обручева, 3","
",,22.06.2012,,
145,"ООО ""Сибтранссервис""
ИНН: 3804007428","ИМНС по Центр. округу г. Братска Иркутской обл.
Постановление(св-во) от 20.11.2002","38 МЕ006268 700 от 22.02.2011
 срок действия с 25.02.2011 по 24.02.2012; 25.02.2012-24.02.2013;    ","Магазин
""Альтус""
г. Братск, ул. Металлургов, 23/1","
",,,,
,,,,"Магазин
""Хороший""
г. Братск, ул. Курчатова, 66 ""А""","
",,,,
146,"ООО ""Сириус""
ИНН: 3804046498","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 20.10.2011","38МЕ006455 882 от 12.03.2012
 срок действия с 12.03.2012 по 11.03.2013;     ","Магазин

г. Братск, ул. Депутатская, 41, пом. № 1002","
",,,,
147,"ООО ""Скампи""
ИНН: 3804023476","ИМНС России по Центральному окр гБратска Иркутс об
Постановление(св-во) от 30.10.2002","38МЕ006453 880 от 01.03.2012
 срок действия с 07.03.2012 по 06.03.2013;     прекращенная: 38МЕ006086 519 от 19.06.2009  срок действия с 19.06.2009 по 06.03.2012","Мини-маркет
""Курчатовский""
г. Братск, ж.р. Центральный, пер. Слюдяной, д. 9, стр. 1","
",,06.03.2012,,
148,"ООО ""СКАТ""
ИНН: 3805703700","Межрайонная ИФНС № 15 по Ирк. Обл. и УОБАО
Постановление(св-во) от 05.04.2006","38МЕ006295 726 от 28.04.2011
 срок действия с 29.04.2011 по 28.04.2013;     ","Магазин

г. Братск, ж.р. Гидростроитель, ул. Енисейская, 52А","
",,,,
,,,,"Магазин

г. Братск, ул. Центральная, 5А","
",,,,
,,,,"Магазин

г. Братск, ж.р. Гидростроитель, ул. Сосновая, 8Б","
",,,,
