                  Государственный реестр выданных лицензий  за апрель 2012 г. по  Хабаровскому краю ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
№ пп,Организация - заявитель ,,,,, Объект,Место осуществления деятельности                                           ,Общая площадь,Арендуемая площадь,"Площадь торг зала, кол-во посадочных мест ",Время работы объекта,Примечание,Номер и срок действия лицензии,,,
,ОПФ,нименование организации,юридический адрес,"ИНН, КПП, ОГРН","Вид деятельности, заявленный срок в годах",,,,,,,,,,,
г. Хабаровск,,,,,,,,,,,,,,,,
34,ООО,"""Алко-Трейд""","г.Комсомольск-на-Амуре, ул.Пионерская д.66, 18, тел. 300-737",2703062847/270301001/1112703006063,розничная продажа АП 1 год,магазин,"г.Комсомольск, пр-кт.Октябрьский д.6",75.5,75.5,38.3,11-23,впервые,ХБ 001002 № 2552 17.04.2012 - 17.04.2013,,,
35,ООО,"""Ангела""","г.Комсомольск-на-Амуре, ул.Амурская д.9, тел. 22-72-46",2703052870/270301001/1092703003612,розничная продажа АП 2 года,магазин,"г.Комсомольск, ул.Амурская д.9",138.4,138.4,95,9-21,продление ,ХБ 000986 № 2165 17.04.2012 - 17.04.2014,,,
,,,,,,магазин,"г.Комсомольск, ул.Комсомольская д.53",54.4,54.4,45.7,8-22,,,,,
36,ООО,"""Анжелика""","г.Комсомольск-на-Амуре, ул.Культурная д.11, тел. 8-962-287-66-90",2703063270/270301001/1112703006679,розничная продажа АП 2 года,магазин,"г.Комсомольск, ул.Ленинградская д.31, корп. 2",52.9,52.9,38.1,08-23,впервые,ХБ 001015 № 2557 17.04.2012 - 17.04.2014,,,
37,ООО,"""Родина""","г.Комсомольск-на-Амуре, ш.Северное д.10, корп. 3, тел. 8-914-547-97-17",2703059273/270301001/1112703000970,розничная продажа АП в розлив 2 года,кафе,"г.Комсомольск, ш.Северное д.10, корп. 3",404,404,,09-02,впервые,ХБ 001014 № 2556 17.04.2012 - 17.04.2014,,,
38,ООО,"""ЮНА""","г.Комсомольск-на-Амуре, ул.Кирова д.31, тел. 54-35-23",2727018981/270301001/102270052530,розничная продажа АП 5 лет,магазин,"г.Комсомольск, ул.Советская д.15",86.4,86.4,63.2,08-23,доп. объекты,ХБ 002117 № 2004 16.06.2009 - 16.06.2014,,,
,,,,,,магазин,"г.Комсомольск, пр-кт.Мира д.36",123.6,,102.2,08-23,,,,,
,,,,,,магазин,"г.Комсомольск, ш.Северное д.1",122.3,122.3,80,8-21,,,,,
,,,,,,магазин,"г.Комсомольск, ул.Советская д.1",86.4,86.4,68.7,08-23,,,,,
,,,,,,магазин,"г.Комсомольск, ул.Культурная д.9",335.2,335.2,31.8,09-22,,,,,
,,,,,,магазин,"г.Комсомольск, ш.Восточное д.30",51.5,51.5,33,08-23,,,,,
,,,,,,магазин,"г.Комсомольск, ш.Восточное д.24",177.7,177.7,103.4,08-23,,,,,
39,ООО,"""Стерх""","г.Комсомольск-на-Амуре, пр-кт.Ленина д.38, тел. 54-48-57",2703037255/270301001/1062703061959,розничная продажа АП 2 года,магазин,"г.Комсомольск-на-Амуре, пр-кт.Ленина д.18",578,578,55.9,8-22,впервые,ХБ 001037 № 2564 17.04.2012 - 17.04.2014,,,
40,ООО,"""Торговый Дом КОМКО""","г.Комсомольск-на-Амуре, ул.Радищева д.3, тел. 22-04-77",2703024312/270301001/1032700045641,розничная продажа АП 1 год,магазин,"г.Комсомольск-на-Амуре, пр-кт.Ленина д.7","71,7","71,7","28,6",09-20,доп. объект с 17.01.2012,ХБ 000769 № 2495 13.12.2011 - 13.12.2012,,,
,,,,,,магазин,"г.Комсомольск-на-Амуре, пр-кт.Ленина д.32",129,129,"104,1",09-20,,,,,
Амурский р-н,,,,,,,,,,,,,,,,
41,ООО,"""Парадис""","г.Комсомольск-на-Амуре, ш.Комсомольское д.7-а, тел. 8-962-286-20-04",2703015935/270301001/1022700526881,розничная продажа АП 2 года,магазин,"г.Амурск, пр-кт.Комсомольский д.8б",63.8,63.8,63.8,09-20,доп. объект,ХБ 000866 № 2131 14.24.2012 - 14.02.2014,,,
42,ООО,"""Русская водка""","г.Амурск, ул.Амурская д.15, тел. 8-914-179-66-26",2706031371/270601001/1102706000110,розничная продажа АП 2 годжа,магазин,"г.Амурск, ул.Амурская д.15",97.4,97.4,48,8-22,продление,ХБ 000996 № 2339 17.04.2012 - 17.04.2014,,,
Бикинский р-н,,,,,,,,,,,,,,,,
43,ООО," ТД ""Альянс""","г.Бикин, ул.Лазо д.185, корп. 1, тел. 22-8-61",2707001806/270701001/1062713009501,розничная продажа АП в розлив 1 год,павильон,"г.Бикин, ул.Лазо д.185, корп. 1",96.4,96.4,59.3,08-23,продление,ХБ 001041 № 197 17.05.2012 - 17.05.2013,,,
Ванинский р-н,,,,,,,,,,,,,,,,
44,ООО," ""Магазин ""Кормилец""","п.г.т.Октябрьский, ул.Космонавтов д.3, тел. 8 (42-137) 24-2",2709011239/270901001/1062709001607,розничная продажа АП 3 года,магазин,"п.г.т.Октябрьский, ул.Космонавтов д.3",123.5,123.5,101.6,7-23,продление ,ХБ 000998 № 232 17.04.2012 - 17.04.2015,,,
45,ООО,"""Гала""","п.г.т.Октябрьский, ул.Космонавтов д.5, 3, тел. 8-924-213-22-22",2709011214/270901001/1062709000892,розничная продажа АП 1 год,магазин,"п.г.т.Октябрьский, ул.Юбилейная д.1а",32.8,,23.4,круглосуточно,продление ,ХБ 000984 № 115 17.04.2012 - 17.04.2013,,,
46,ООО,"""ДЭН""","п.с.т.Монгохто, ул.Спортивная д.7, 18, тел. 8-962-296-65-38",2709013557/270901001/1102709001493,розничная продажа АП 1 год,магазин,"п.с.т.Монгохто, ул.Театральная д.2-а",283.9,283.9,15,9-22,продление,ХБ 001013 № 2329 17.04.2012 - 17.04.2013,,,
47,ООО,"""Светлана""","п.с.т.Тумнин, ул.Комсомольская д.3-а, тел. 8-914-778-93-38",2709011246/270901001/1062709001651,розничная продажа АП 2 года,магазин,"п.с.т.Тумнин, ул.Комсомольская д.3-а",36.4,36.4,25.9,9-20,продление,ХБ 000997 № 216 17.04.2012 - 17.04.2014,,,
48,ООО,"Транспортно-экспедиторская компания ""Пять Звезд""","г.Хабаровск, ш.Владивостокское д.42, тел. 53-88-11",2723095576/272301001/1072723006531,розничная продажа АП в розлив 5 лет,кафе,"п.г.т.Ванино, ул.Портовая д.1А",208.6,208.6,50,09-02,впервые,ХБ 001026 № 2560 17.04.2012- 17.04.2017,,,
р-н имени Лазо,,,,,,,,,,,,,,,,
49,ООО,"""Виктория""","с.Долми, ул.Лесная д.10, 2",2713016790/271301001/1102713001335,розничная продажа АП 1 год,магазин,"с.Святогорье, ул.Юбилейная д.22",108.4,108.4,32,8-22,впервые,ХБ 000982 № 2314 17.04.2012 - 17.04.2013,,,
50,ООО,"""Ирина""","с.Полетное, ул.Октябрьская д.14, тел. 8-909-870-91-31",2713016818/271301001/1112713000047,розничная продажа АП 1 год,павильон,"с.Полетное, ул.Октябрьская д.14",41.6,41.6,16.8,08-22,продление,ХБ 001018 № 2328 17.04.2012 - 17.04.2013,,,
51,ООО,"""Максимум""","р.п.Переяславка, ул.Октябрьская д.76, тел. 21-9-68",2713013528/271301001/1062713009193,розничная продажа АП 1 год,магазин,"р.п.Переяславка, ул.Октябрьская д.76",92.9,92.9,46.3,8-23,впервые,ХБ 000990 № 91 17.04.2012 - 17.04.2013,,,
52,ООО,"""От А до Я""","р.п.Хор, ул.Кирова д.15, тел. 8 (42-154) 32-4",2713013729/271301001/1062713012559,розничная продажа АП 1 год,магазин,"р.п.Хор, ул.Кирова д.15",50.2,50.2,21,09-22,продление,ХБ 001019 № 228 17.04.2012 - 17.04.2013,,,
,,,,,,магазин,"р.п.Хор, ул.Менделеева д.1",54,54,12,08-22,,,,,
53,ООО,"""Шамхор""","п.с.т.Новостройка, ул.Шоссейная д.28, тел. 8-914-401-87-03",2713013743/271301001/1062713013197,"розничная продажа АП, розничная продажа АП в розлив 3 года",закусочная,"п.с.т.Новостройка, ул.Шоссейная д.28",195.4,,,круглосуточно,.,ХБ 000992 № 224 17.04.2012 - 17.04.2015,,,
,,,,,,павильон,"п.с.т.Новостройка, ул.Степная д.1а",89.7,,53.9,8-22,,,,,
Нанайский р-н,,,,,,,,,,,,,,,,
54,ООО,"""Престиж""","с.Иннокентьевка, ул.Комсомольская д.90, тел. 8-924-228-64-73",2714009362/271401001/1062720017766,розничная продажа АП в розлив 5 лет,кафе,243 км трассы Хабаровск - Комсомольск-на-Амуре,120,120,40,круглосуточно,впервые,ХБ 001036 № 2563 17.04.2012 - 17.04.2017,,,
Николаевский р-н,,,,,,,,,,,,,,,,
55,ООО,"""Виктор""","г.Николаевск-на-Амуре, ул.Школьная д.215, 22, тел. 2-79-00",2705092188/270501001/1062705006847,розничная продажа АП 5 лет ,магазин,"г.Николаевск-на-Амуре, ул.Орлова д.9",423,423,75.3,8-22,продление,ХБ 001042 № 1300 15.05.2012 - 15.05.2017,,,
,,,,,,магазин,"г.Николаевск-на-Амуре, ул.Гоголя д.98",70,70,35,09-23,,,,,
,,,,,,магазин ,"г.Николаевск-на-Амуре, ул.Бошняка д.5",50.8,50.8,33.9,08-23,,,,,
Советско-Гаванский р-н,,,,,,,,,,,,,,,,
56,ООО,"""Гранд""","г.Советская Гавань, ул.Рабочая д.13а, 18, тел. 8 (42-138) 41-2",2704020335/270401001/1102709001120,розничная продажа АП 1 год,магазин,"г.Советская Гавань, ул.Пугачева д.13",72.2,72.2,45,круглосуточно,продление,ХБ 001027 № 2325 17.04.2012 - 17.04.2013,,,
57,ООО,"""ДВ Поставки""","г.Советская Гавань, ул.Кишиневская д.12, тел. 8 (42-138) 6-05",2704012976/270401001/1082709000109,розничная продажа АП 2 год,магазин,"г.Советская Гавань, ул.Советская д.28",75.2,75.2,48.6,9-22,впервые,ХБ 000987 № 2549 17.04.2012 - 17.04.2014,,,
58,ООО,"""Светлячок""","г.Советская Гавань, ул.Пионерская д.28, 90, тел. 4-70-02",2704018350/270401001/1062709002157,розничная продажа АП 1 год,магазин,"г.Советская Гавань, ул.Пионерская д.13а",114.8,114.8,38.7,08-23,продление,ХБ 001016 № 228 17.04.2012 - 17.04.2013,,,
Тугуро-Чумиканский р-н,,,,,,,,,,,,,,,,
59,ООО,"""Берег""","с.Чумикан, ул.Таранца д.30, тел. 8-924-209-50-00",2718001131/271801001/1102720005816,розничная продажа АП в розлив 1 год,кафе,"с.Чумикан, ул.Таранца д.30",37.9,37.9,24,22-01,впервые,ХБ 001007 № 2554 17.04.2012 - 17.04.2013,,,
Ульчский р-н,,,,,,,,,,,,,,,,
60,ООО,"Транспортно-экспедиторская компания ""Пять Звезд""","г.Хабаровск, ш.Владивостокское д.42, тел. 53-88-11",2723095576/272301001/1072723006531,розничная продажа АП в розлив 5 лет,кафе,"п.с.т.Де-Кастри, ул.Советская д.2б",504.2,504.2,100,9-02,впервые,ХБ 001026 № 2560 17.04.2012 - 17.04.2017,,,
Хабаровский р-н,,,,,,,,,,,,,,,,
61,ООО,"""Вайтмар""","с.Ильинка, ул.Новая д.21, тел. 59-71-89",2720033324/272001001/1062720022200,розничная продажа АП 2 года,магазин,"с.Ильинка, ул.Совхозная д.31-а",77.6,77.6,59.7,08-21,впервые,ХБ 001010 № 2555 17.04.2012 - 17.04.2014,,,
62,ООО,"""ДВ-ОКРУГ""","г.Хабаровск, пр-кт.60 лет Октября д.158, тел. 61-32-26",2724084680/272401001/1052700260326,розничная продажа АП 5 лет,магазин,"с.Гаровка-2, ул.Поселочная д.7--б",48.5,48.5,34,08-23,впервые,ХБ 001020 № 2558 17.04.2012 - 17.04.2017,,,
63,ООО,"""Попелова""","с.Гаровка-1, ул.Мостовая д.1, тел. 29-07-07",2720032867/272001001/1062720020549,розничная продажа АП 1 год,павильон,"с.Гаровка-1, ул.Октябрьская д.4-а",68,68,47,08-23,впервые,ХБ 001006 № 2553 17.04.2012 - 17.04.2013,,,
64,ООО,"""ПродСервис""","с.Гаровка-1, пер.Новый д.1, тел. 62 87 18",2720045986/272001001/1112720003516,розничная продажа АП 1 год,магазин,"с.Гаровка-1, пер.Новый д.1",119.2,119.2,39.9,08-23,впервые,ХБ 001023 № 2559 17.04.2012 - 17.04.2013,,,
