"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Боханский район""",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
30,ООО «Велком» ИНН  8503007014,МИНФНС России №7 по Иркутской области и УОБАО,Д 518678 № 9 26.11.2009 29.07.2013,"1. магазин «Новый» - п. Бохан, мкр.  Южный, ул. Заводская,6; 2. магазин «Новый» - п. Бохан, ул. Гагарина,33А; 3. магазин «Новый» - п. Бохан, ул. Карла Маркса,6.",,,,,
31,ООО Уряал» ИНН 8503006589,МИНФНС России №7 по Иркутской области и УОБАО,38 МЕ 0008160 33-РАП 05.07.2007 по 05.07.2012,"1. магазин «Уряал» - п. Бохан, ул. Ленина,20/2.",,,7/5/2012,,
32,ООО «Жемчужина» ИНН 8503007134,МИНФНС России №7 по Иркутской области и УОБАО,"Д 518669, рег. № 6 от 08.09.2008 08.09.2013","1. магазин «Жемчужина» - с Олонки, ул. Руслана Хомколова; 2. магазин «Жемчужина» - д. Грехневка.",,,,,
33,ООО «Алисия» ИНН 8503007092,МИНФНС России №7 по Иркутской Области и УОБАО,"Д 518697, рег. № 9 от 16.12.2008 16.12.2013","1. магазин «Алисия» - с. Хохорск, ул. Ленина,10.",,,,,
34,ООО «Высота» ИНН 8503007215,МИНФНС России №7 по Иркутской Области и УОБАО,38МЕ003050 № 11 от 13.05.11 до 29.12.13,"1. магазин «Ассорти» - д.Харатирген, ул. Ленина,5.",,,,,
35,ООО «Светлана» ИНН 3845000037,МИНФИНС России  №16 по Иркутской области,Д 518655 № 11 22.12.2009 17.03.2014,"1. магазин «Светлана» - п. Бохан, ул. Калинина, 76; 2. магазин «Светлана» - п. Бохан, ул. Коммунистическая, д.3-1; 3. магазин «Светлана» - д. Логаново;  4. магазин «Светлана» - д. Крюково.",,,,,
36,ООО «Визит» ИНН 8503007141,МИНФИНС России  №16 по Иркутской области,Д 518706 № 3 26.03.2009 26.03.2014,"1. магазин «Визит» - с. Олонки, ул. Пушкина, 28А.",,,,,
37,ООО «Березка» ИНН 8503005708,МИН ФИНС России № 16 по Иркутской области,Д 518674 № 5 02.04.2009 02.04.2014,"1. магазин «Берёзка» - п. Бохан ул.  Ленина,21а.",,,,,
38,ООО «Березка» ИНН 8503006349,МИН ФИНС России № 16 по Иркутской области,Д 518677 № 8 06.10.2009 06.10.2014,"1. магазин «Родничок» - с. Середкино, ул. Молодежная,1а.",,,,,
39,ООО «Метелица» ИНН 3849005935,МИН ФИНС России № 16 по Иркутской области,Д 518653 № 13  31.12.2009 31.12.2014,"1. магазин «Метелица» - с. Олонки ул. 40 лет Победы,1.",,,,,
40,ООО Селена» ИНН 3827027861,МИН ФНС России № 16 по Иркутской области,"А 195022, рег. № 4 от 06.03.2012г. до 06.03.13","1. закусочная «У речки» - с. Дундай, ул. Школьная,2а.",,,,,
41,"ООО ""Вектор"" ИНН 3812103439",ИФНС по Свердловскому округу г. Иркутска,"Лицензия А 203189, рег. № 53 от 28.06.2011г. до 25.08.2013г.","1. магазин - Иркутская область, Боханский район, ул. Калинина,45.",,,,,Иркутское районное муниципальное образование
42,"ООО ""Айсберг"" ИНН 3827035654",МИФНС № 17 по Иркутской области,38МЕ 003955 АН00784Пр7 от 02.04.2012г. до 09.12.2015г. ,"1. отдел в магазине - с. Буреть, ул. Космонавтов, 13; 2. отдел в магазине - с. Олонки, ул. Нагорная,22; 3. отдел в магазине  - д. Мутиново, ул. Молодежная, 15; 4. отдел в магазине - с. Вершина, ул. Советская,48; 5. отдел в магазине - с. Новая Ида, ул. Центральная,42; 6. отдел в магазине - д. Заглик, ул. Нагорная",,,,,Администрация г. Иркутска
