                  Государственный реестр выданных лицензий  за февраль 2011г. по Хабаровскому краю,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
№ пп,Организация - заявитель ,,,,, Объект,Место осуществления деятельности                                           ,Общая площадь,Арендуемая площадь,"Площадь торг зала, кол-во посадочных мест ",Время работы объекта,Примечание,Номер и срок действия лицензии,
,ОПФ,нименование организации,юридический адрес,"ИНН, КПП, ОГРН","Вид деятельности, заявленный срок в годах",,,,,,,,,
г. Хабаровск,,,,,,,,,,,,,,
48,ООО,"""Визит-ДВ""","г.Комсомольск-на-Амуре, пер.Островского д.13, тел. 8-924-410-60-58",2703052334/270301001/1092703003106,розничная продажа алкогольной продукции 3 года,магазин,"г.Комсомольск-на-Амуре, ул.Копылова д.43-2",139,139,93.4,8-22,продление,ХБ 002302 № 2130 15.02.2011 - 15.02.2014,
49,ООО,"""Меркурий""","г.Комсомольск-на-Амуре, ш.Магистральное д.23-4, тел. 54-17-23",2703036149/270301001/1062703057086,розничная продажа алкогольной продукции 5 лет,магазин,"г.Комсомольск-на-Амуре, ш.Магистральное д.23-4",125.7,125.7,69.5,9-23,продление,ХБ 002304 № 2132 15.02.2011 - 15.02.2016,
50,ООО,"""Парадис""","г.Комсомольск-на-Амуре, ш.Комсомольское д.7а, тел. 8-962-286-20-04",2703015935/270301001/1022700526881,розничная продажа алкогольной продукции 1 год,магазин,"г.Комсомольск-на-Амуре, ш.Комсомольское д.7-2",460.1,460.1,422.1,9-20,продление,ХБ 002303 № 2131 15.02.2011 - 15.02.2012,
,,,,,,магазин,"г.Комсомольск-на-Амуре, пр-кт.Ленина д.27а",89.2,89.2,64,8-20,,,
51,ОАО,"""Хабаровскнефтепродукт""","г.Хабаровск, ул.Мухина д.22, тел. 79-38-12",2700000105/272101001/1022700910704,розничная продажа алкогольной продукции 5 лет,магазин на АЗС № 25,"г.Комсомольск-на-Амуре, Северное ш. д.1-3",67,,35,круглосуточно,продление,ХБ 002609 № 52 15.02.2011 - 15.02.2016,
Комсомольский район,,,,,,,,,,,,,,
52,ООО,"""Вега"""," п.Снежный, ул.Торговая д.18, тел. 8 (42-17) 566-596",2712009222/271201001/1092712000072,розничная продажа алкогольной продукции 3 года,магазин,"с.Снежный, ул.Торговая д.18",182.2,182.2,98,9-21,впервые,ХБ 002613 № 2298 15.02.2011 - 15.02.2014,
Район имени Лазо,,,,,,,,,,,,,,
53,ООО,"""Венера""","р.п.Мухен, ул.Заводская д.1, тел. 8-909-875-88-94",2713016656/271301001/1102713000720,розничная продажа алкогольной продукции 1 год,магазин,"р.п.Мухен, ул.Гагарина д.1",55.2,55.2,30.1,8-23,впервые,ХБ 002632 № 2302 15.02.2011 - 15.02.2012,
54,ООО,"""Даурия""","с.Бичевая, ул.Гоголя д.21, тел. 8-962-67-77",2713013630/271301001/1062713009479,розничная продажа алкогольной продукции 3 года,магазин,"с.Бичевая, ул.Партизанская д.10а",79.6,79.6,48.6,круглосуточно,продление,ХБ 002127 № 116 15.02.2011 - 15.02.2014,
55,ООО,"""ДТО""","с.Долми, ул.Центральная д.50, тел. 8-909-843-78-87",2713013454/271301001/1052740365754,розничная продажа алкогольной продукции 2 года,магазин,"с.Долми, ул.Центральная д.50",89.9,89.9,57,9-23,продление,ХБ 002404 № 80 15.02.2011 - 15.02.2013,
,,,,,,отдел в магазине,"р.п.Хор, ул.Советская д.2",15,15,15,круглосуточно,,,
56,ОАО,"""Хабаровскнефтепродукт""","г.Хабаровск, ул.Мухина д.22, тел. 79-38-12",2700000105/272101001/1022700910704,розничная продажа алкогольной продукции 5 лет,магазин при АЗС № 38,"р.п.Переяславка, 59 км трассы Хабаровск-Владивосток",81.4,,52.7,круглосуточно,продление,ХБ 002609 № 52 15.02.2011 - 15.02.2016,
Нанайский район,,,,,,,,,,,,,,
57,ООО,"""Александр"""," с.Джонка, ул.Советская д.68, тел. 8-924-114-20-59",2714010086/271401001/1092720002430,розничная продажа алкогольной продукции 2 года,отдел в магазине,"с.Джонка, ул.Советская д.68",20,20,10,круглосуточно,продление,ХБ 002307 № 2135 185.02.2011 - 15.02.2013,
58,ПО,"""Олима""","с.Найхин, ул.М.Пассара д.9а, тел. 8 (42-156) 43-358",2714009122/271401001/1062720000034,розничная продажа алкогольной продукции 1 год,магазин,"с.Нижняя Манома, ул.Центральная д.7",59,59,47.4,10-19,продление,ХБ 002618 № 68 15.02.2011 - 15.02.2012,
,,,,,,магазин," с.Дада, ул. Лесная д.12",104.8,104.8,52.1,8-22,,,
,,,,,,магазин," с.Найхин, ул.М.Пассара д.9а",205.2,205.2,88.8,8-23,,,
59,ООО,"""Елена""","с. Троицкое, ул. Калинина д.24-2",2714009080/271401001/1052701041205,розничная продажа алкогольной продукции 1 год,магазин,"с. Троицкое, ул. Постышева д.26","77,4","77,4","42,8",9-22,продление,ХБ 002655 № 42 15.02.2011 - 15.02.2012,
,,,,,,магазин,"с. Троицкое, ул. 40 лет Победы д.48",20,20,10,9-22,,,
Николаевский район,,,,,,,,,,,,,,
60,ООО,"""Меркурий""","г.Николаевск-на-Амуре, ул.Гоголя д.25, тел. 8 (42 135) 2-68-36",2705040662/270501001/1032700110255,розничная продажа алкогольной продукции 5 лет,магазин,"г.Николаевск-на-Амуре, ул.Гоголя д.25",56.5,56.5,44.4,7-02,продление,ХБ 002220 № 71 158.02.2011 - 15.02.2016,
,,,,,,магазин,"г.Николаевск-на-Амуре, ул.Чихачева д.11",50,50,26.1,круглосуточно,,,
,,,,,,магазин,"г.Николаевск-на-Амуре, ул.Кантера д.9",50,50,26,круглосуточно,,,
,,,,,,магазин,"г.Николаевск-на-Амуре, ул.Советская д.104",50,50,20.4,круглосуточно,,,
,,,,,,магазин,"г.Николаевск-на-Амуре, ул.Гоголя д.28а",50,50,20.2,круглосуточно,,,
61,ООО,"""Престиж""","г.Николаевск-на-Амуре, ул.Пионерская д.74, 6, тел. 2-13-57",2705093826/270501001/1102705000640,розничная продажа алкогольной продукции 1 год,магазин,"р.п.Многовершинный, ул.Черкашина д.5-1",43.9,43.9,16.7,10-20,впервые,ХБ 002610 № 2297 15.02.2011 - 15.02.2012,
