"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Шелеховскому району",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
28,"ООО «Каскад-СВ»
3821008975
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888866 № 13
от  28.04.2012 
с 28.04.2012 до 28.04.2013
","Иркутская обл.,  г. Шелехов, Иркутская обл.,  г. Шелехов, квартал 2, дом 16,  магазин «Ксюша»;  Иркутская обл. г. Шелехов,  квартал 20, дом 90, Лит.А/2 магазин «Каскад»; Иркутская обл.,  г. Шелехов, 1 микрор. , дом 33а, магазин № 33, Иркутская обл.,  г. Шелехов, квартал 1, д.7, магазина № 5, магазин ""Номер первый""; Иркутская обл.,  г. Шелехов, квартал 18, д.24, в магазине № 12, магазин ""МагазинЧик"".
",,,,,Администрация Шелеховского раона,
29,"ООО ""КАРИНА""   3821014055",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888834 № 42
от  14.07.2011 
с 14.07.2011 
до 14.07.2013
","Иркутская область, г.Шелехов, 6 квартал, дом 34, магазин ""Ветерок""",,,,,Администрация Шелеховского раона,
30,"ООО «Карт бланш»
3848003420
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888842 № 57
от 21.09.2011
с 21.09.2011 до
21.09.2013
","Иркутская область, г.Шелехов, квартал 4, в районе строящихся домов, торговый павильон.",,,,,Администрация Шелеховского раона,
31,"ООО «Лидер»
3821013686
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888838 № 49
от  21.07.2011 
с 21.07.2011 
до 21.07.2012
","Иркутская область,  г. Шелехов,
1 микрорайон  около дома № 43, магазин «Радуга»
",,,7/21/2012,,Администрация Шелеховского раона,
32,"ООО «ЛиС Плюс»
3848000758
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888757
 от 12.05.2009
12.05.2009 
12.05.2014
","г. Шелехов, квартал 6, торговая площадь у магазина «Сибирь», павильон «Окинский».",,,7/10/2012,,Администрация Шелеховского раона,
33,"ООО «Лаура»
3811082754
",Инспекция МНС России по Октябрьскому округу г. Иркутска Иркутской области,"Г 888758 № 15
от 28.05.2009 
28.05.2009 
28.05.2014
","г.Шелехов, 1 микрорайон, у дома № 8, павильон ",,,,,Администрация Шелеховского раона,
34,"ООО «МОЙ МАЛЫШ»
3821011946
",Межрайонная Инспекция МНС России № 18 по Иркутской области,"Г 888862 № 8
от 02.03.2012 
02.03.2012 
02.03.2013
","г. Шелехов, 1 микрорайон, д.46, магазин «Сибирячка»",,,,,Администрация Шелеховского раона,
35,"ООО «Метелица-Байкал»
3808077916
",Инспекция Минестерства РФ по налогам и сборам по Правобережному округу г. Иркутска Иркутской области,"Г 888714 № 3
от 27.02.2008 
27.02.2008 
27.02.2013
","г. Шелехов, просп. Петра Красильникова, дом 1, бар кинотеатра «Юность»",,,,,Администрация Шелеховского раона,
36,"ООО «Мандарин»
0320990124
",ТОРМ Межрайонная ИФНС России №8 по Республике Бурятия в Тункинском районе,"Г 888829 № 34
от 17.06.2011
с 17.06.2011
до 17.06.2012
","Иркутская область, г.Шелехов, 1 микрорайон, дом 45, супермаркет «Мандарин»",,,6/17/2012,,Администрация Шелеховского раона,
37,"ООО «Незабудка»
3821015267
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888711 № 27
от  27.12.2007
27.12.2007 
27.12.2012
","Шелеховский район, 
п. Большой Луг, ул. Привокзальная, дом 11, магазин «Азарт»
",,,,,Администрация Шелеховского раона,
