"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Иркутскому районному МО",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
55,"ООО ""Березка""                        ИНН-3827033551",Межрайонная инспекция ФНС  №12 по Иркутской области                                           ,А 203119 рег.№ 2 от 28.01.2010  по 28.01.2015 г,"Иркутский район, с. Малое Голоустное, ул. Чайковского, 2 - специализированный отдел ООО ""Березка"" в магазине ""Елена"" ип Ярмола В.В.",,,,,,
56,"ООО ""Мир Посуды""                                ИНН 3827019934",Межрайонная ИФНС №12 по Иркутской области                      ,А 203120 рег. №3 от 28.01.2010 с 28.01.2010 по 29.09.2012 взамен А 203002 рег.№ СА0073 от 29.10.2007," Иркутский район, д.Усть-Куда, ул.Урожайная, 9 ""А""- магазин                                                                         ",,,,,,
57,Иркутское  городское потребительское  общество                               ИНН 3811099412,Администрация г. Иркутска,"А016 рег №88 от 29.09.2011, с 28.09.2011-27.09.2016","1. г. Иркутск, ул. Волжская, 3 - магазин, 2. г. Иркутск, ул. Горького, 10 - магазин, 3. г. Иркутск, бульвар Гагарина. 40 - магазин, 4. Иркутский район, п. Большая Речка,ул. Ленина,4 -магазин, 5. г. Иркутск, ул. Тельмана, 38 - магазин",,,,,Администрация г. Иркутска,
58,"ООО ""НеоАльянс""                          ИНН - 3808208862",ИФНС России по Провобережному округу г. Иркутска,"АН 00670 Пр8 от 25.11.2010, с 28.09.2009 по 27.09.2014г.","Иркутский район, 12 км. Байкальского тракта - магазин",,,,,Администрация г. Иркутска,
59,"ООО""Развитие""                                 ИНН 3827021620",МИ  ФНС   № 12  по  Иркутской  области,"А 203122 рег. №9 от 23.03.2010 по  28.07.2013, взамен А 203100 рег.№016 от 03.08.2009","1.Иркутский район.с.Оек ул.Кирова 30 А-отдел в павильоне,                                                                                           2. Иркутский район, с. Хомутово, ул. Кирова, 43 ""А"" - специализированный отдел в магазине ""Дарья""",,,,,,
60,"ООО  ""Оптиум""                     ИНН 3811112920      ",Инспекция Федеральной налоговой службы по Октябрьскому  округу г. Иркутска  ,"А 203124 рег.№ 11  с  15.04.2010 по  01.08.2013, взамен А 203065 рег.№049 ОТ 01.08.2008","1.Иркутский район.д.Куда, ул.Ленина 33  В  магазин;  2 Иркутский район, д. Куда, ул. Ленина, 33 ""в""  - кафе ""На Заречной""",,,,,,
61,"ООО  ""Антарес""                     ИНН  3827028008",Межрайонная ИФНС №12 по Иркутской области                      ,"А 203127 рег.№ 19 от 14.05.2010 по 11.08.2013, взамен А 203069 рег. №053 от 11.08.2008","1.Иркутский район.п.Первомайский, ул.Веселая 2  магазин;                                                                                      2. Иркутский район, с. Пивовариха, ул. Дорожная, 1 - магазин",,,,,,
62,"ООО ""Ниагара""                            ИНН 38100488888",инспекцией Федеральной налоговой службы по Ленинскому району г. Иркутска,АН 00446Пр5 рег.№ 31 от 29.07.2010 г по 02.03.2013г,"1. Иркутский район, р.п. Листвянка, ул. Академическая, 4 - отдел; 2. р.п. Листвянка, ул. Гудина, 13 - отдел; 3. р.п. Листвянка, ул. Октябрьская, 5 - отдел",,,,,Администрация г. Иркутска,
63,"ООО ""БайКомТур""              ИНН 3827014140",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,А 203135 рег. номер №32 от 02.08.2010 по 02.08.2012 ,"1. Иркутский район, р.п. Листвянка, ул. Горького, 31- бар ""Подлеморье""; 2. р.п. Листвянка, ул. Горького, 31- магазин ""Подлеморье""",,,,,,
64,"ООО ""Парадиз""                   ИНН 3812095869",Инспекция Федеральной налоговой службыпо  Свердловскому  округу  г.Иркутска,"АН 00588Пр3 рег.номер 33 от 09.08.2010, с 26.12.2008 по 25.12.2013","1. Иркутский район, 17 км Байкальского тракта ""СНТ ""Авиатор""- спец.отдел.в магазине",,,,,Администрация г. Иркутска,
