№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
78,"ООО ""Николаевский""",6730059784,1056758451584,"214030, Смоленская область, г. Смоленск, ул. Николаева, д. 52","214030, Смоленская область, г. Смоленск, ул. Николаева, д. 52 (магазин), без ограничений",№ 918                 Б 005654,26 июня 2006,по 26 июня 2011, до 27 июня 2016,,,,,,,
,,,,,"214025, Смоленская область, г. Смоленск, ул. Нахимова, д. 2 (магазин), без ограничений",,,,,,,,,,,
79,"ООО ""Нурлан""",6731051587,1056758416109,"214020, Смоленская область, г. Смоленск, ул. Ломоносова, д. 4","214010, Смоленская область, г. Смоленск, ул. Ломоносова, д. 4 (закусочная). Без ограничений",№ 698                 Б 005437                        № 698                           Г 301837,12 апреля 2011,до 25 апреля 2011,до 25 апреля 2012,,,,,,,
,,,,,"214020, Смоленская область, г. Смоленск, ул. Шевченко, д. 82 (остановочный торговый модуль), до 15%",,,,,,,,,,,
,,,,,"214530, Смоленская область, Смоленский район, с. Печерск, ул. Минская, д. 5-а (закусочная), без ограничений",,,,,,,,,,,
,,,,,"214020, Смоленская область, г. Смоленск, ул. Шевченко, д. 82 (кафе)",,13 апреля 2009,по 25 апреля 2011,,исключение объекта,,,,,,
,,,,,"214031, Смоленская область, г. Смоленск, ул. Рыленкова, д. 22, ""Кисилевский рынок"" (бокс Г-9)",,13 апреля 2009,по 25 апреля 2011,,исключение объекта,,,,,,
,,,,,"214031, Смоленская область, г. Смоленск, ул. Рыленкова, д. 22, ""Кисилевский рынок"" (бокс Ж-21)",,13 апреля 2009,по 25 апреля 2011,,исключение объекта,,,,,,
80,"ООО ""Телега""",6730065731,1066731112030,"214004, Смоленская область, г. Смоленск, ул. Николаева, 30","214004, Смоленская область, г. Смоленск, ул. Николаева, 30(кафе), без ограничений",№ 1446              Б 005298,17 декабря 2010,по 19 февраля 2012,,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Б. Советская, д. 21 (кафе), без ограничений",,,,,,,,,,,
81,"ООО ""Партнер-2010""",6729022363,1106731000991,"214012, Смоленская область, г. Смоленск, ул. Вокзальная, д. 1","214022, Смоленская область, г. Смоленск, ул. Стационарная, д. 1 (магазин), без ограничений",№ 1916                Б 005223,12 июля 2010,по 12 июля 2011,до 13 июля 2012,,,,,,,
82,"ООО ""Панда""",6729032361,1056758439814,"214001, Смоленская область, г. Смоленск, ул. Старо-Комендантская, д. 4","214020, Смоленская область, г. Смоленск, ул. Румянцева, д. 1 (магазин), без ограничений",№ 804                Б 005239,14 октября 2010,по 01 июля 2011,до 02 июля 2016  ,,,,,,,
,,,,,"214012, Смоленская область, г. Смоленск, ул. Ново-Ленинградская, д. 16 (магазин), без ограничений",,,,,,,,,,,
83,"ООО ""Чистый источник""",6730052475,1046758309828,"214000, Смоленская область, г. Смоленск, ул. Октябрьской Революции, д. 9, корп. 1, офис 302","216500, Смоленская область, г. Рославль, ул. Каляева, д. 81(кафе-бар), без ограничений",№ 1848                  Б 005286,10 декабря 2010,по 08 июня 2014,,,,,,,,
,,,,,"215100, Смоленская область, г. Вязьма, ул. Московская, д. 9-а (кафе-бар), без ограничений",,,,,,,,,,,
84,"ООО ""Вдохновение""",6729045280,1086731010783,"214005, Смоленская область, г. Смоленск, ул. Гастелло, д. 7/1","214005, Смоленская область, г. Смоленск, ул. Гастелло, д. 7/1 (магазин)",№ 1902                Б 005204,28 января 2010,по 28 января 2015,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Автозаводская, д. 38 (магазин)",,,,,,,,,,,
85,"ООО ""Мясничок""",6730084131,1096731013180,"214004, Смоленская область, г. Смоленск, ул. Кирова, д. 34 а, кв. 40","214018, Смоленская область, г. Смоленск, пр-т Гагарина, д. 17 (магазин), без ограничений",№ 2018                                        Б 004986,20 июля 2011,до 20 июля 2012,,,,,,,,
86,"ООО ""Агропрод""",6730003943,1026701448641,"214000, Смоленская область, г. Смоленск, ул. Пржевальского, 6, 25","214000, Смоленская область, г. Смоленск, ул Пржевальского, д. 6/25 (магазин), без ограничений",№ 1134                Б 005930,17 июля 2006,по 17 июля 2011,до 18 июля 2016,,,,,,,
87,"ООО ""Сомелье""",6732007478,1106732007315,"214013, Смоленская область, г. Смоленск, Колхозный переулок, д. 10","214020, Смоленская область, г. Смоленск, ул. Шевченко, д. 44 (магазин), без ограничений",№ 1977                 Б 004998               (Б 004900),21 марта 2011,до 21 марта 2016,,,,,,,,
,,,,,"214020, Смоленская область, г. Смоленск, ул. Тухачевского, д. 6 (магазин), без ограничений",,,,,,,,,,,
,,,,,"214013, Смоленская область, г. Смоленск, ул. Черняховского, д. 28 (магазин), без ограничений",,,,,,,,,,,
,,,,,"214013, Смоленская область, г. Смоленск, ул. Рыленкова, д. 61 ""А"" (магазин), без ограничений",,,,,,,,,,,
,,,,,"214019, Смоленская область, г. Смоленск, ул. Крупской, д. 68 (магазин), без ограничений",,,,,включение объекта      07 октября 2011,,,,,,
,,,,,"214019,Смоленская область, г. Смоленск, ул. 25 Сентября, д. 48 (магазин), без ограничений",,,,,включение объекта      07 октября 2011,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Коненкова, д. 3(магазин), без ограничений",,,,,включение объекта      07 октября 2011,,,,,,
,,,,,"214005, Смоленская область, г. Смоленск, ул. Ново-Московская, д. 2/8 (магазин), без ограничений",,,,,включение объекта      07 октября 2011,,,,,,
88,"ООО ""Атланта""",6730061590,1066731026328,"214004, Смоленская область, г. Смоленск, ул. Оршанская, д. 16, кв. 74","214004, Смоленская область, г. Смоленск, ул. Белинского, (закусочная), без ограничений",№ 2014              Б 004915,16 июня 2011,до 16 июня 2012,,,,,,,,
89,"ООО ""БЕРЕЗКА""",6730062762,1066731101051,"214025, Смоленская область, г. Смоленск, ул. Нарвская, д. 21, корпус 2, кв. 5","214025, Смоленская область, г. Смоленск, ул. Багратиона, д. 8/1 (торговый павильон), до 15%",№ 828                Б 004913,15 июня 2011,до 16 июня 2016,,,,,,,,
,,,,,"214025, Смоленская область, г. Смолеснк, ул. Нормандии-Неман, д. 26 (магазин), без ограничений",,,,,,,,,,,
90,"ООО ""СВЕТЛАНА""",6729034376,1066731101161,"214006, Смоленская область, г. Смоленск, ул. Чкалова, д. 9, кв. 74","214006, Смоленская область, г. Смоленск, ул. Фрунзе, д. 37 (магазин), без ограничений",№ 941                   Б 005702,29 июня 2006,по 29 июня 2011,до 30 июня 2014,,,,,,,
91,"ООО ""Валерия""",6729034224,1066731100611,"214005, Смоленская область, г. Смоленск, п. Гнездово, ул. Шоссейная, д. 36","214005, Смоленская область, г. Смоленск, п. Гнездово, ул. Шоссейная, д. 36 (магазин), без ограничений",№ 923                Г 679783,23 октября 2008,по 27 июня 2011,до 28 июня 2012,,,,,,,
,"ООО ""Потис""",6731061384,1076731006428,"214031, Смоленская область, г. Смоленск, ул. 25 Сентября, д. 60","214031, Смоленская область, г. Смоленск, ул. 25 Сентября, д. 60 (кафе-бар), без ограничений",№ 1584                   Б 005321,28 декабря 2010,по 08 ноября 2012,,,,,,,,
,,,,,"214036, Смоленская область, г. Смоленск, ул. Попова, д. 74 (кафе-бар), без ограничений",,,,,,,,,,,
,,,,,"214036, Смоленская область, г. Смоленск, ул. Попова, д. 100-Б (кафе), без ограничений",,,,,,,,,,,
,,,,,"214036, Смоленская область, г. Смоленск, ул. Рыленкова, д. 66 (кафе), без ограничений",,,,,,,,,,,
92,"ООО ""Драбова""",6730065643,1066731111150,"214004, Смоленская область, г. Смоленск, ул. Городок Коминтерна, д. 11, кв. 8","214000, Смоленская область, ул. Дзержинского, д. 18-а (кафе), без ограничений",№ 1875                Б 005257,03 ноября 2010,по 29 октября 2014,,,,,,,,
,,,,,"214012, Смоленская область, г. Смоленск, Привокзальная площадь, д. 1 (киоск), до 15%",,,,,,,,,,,
93,"ООО ""Амфора""",6731077151,1096731011596,"214000, Смоленская область, г. Смоленск, переулок Мало-Штабной, д. 10, кв. 18","214012, Смоленская область, г. Смоленск, ул. Кашена, д. 11-а (магазин)",№ 1898               Б 005199,26 января 2010,по 26 января 2015,,,,,,,,
,,,,,"214019, Смоленская область, г. Смоленск, п. Тихвинка, д. 10-В (магазин)",,,,,,,,,,,
,,,,,"214025, Смоленская область, г. Смоленск, ул. Нахимова, д. 18 (магазин)",,,,,,,,,,,
94,"ООО ""Усадьба""",6729033090,1066731001798,"214000, Смоленская область, г. Смоленск, ул. Бакунина, д. 2-в","214000, Смоленская область, ул. Бакунина, д. 2-в (кафе), без ограничений",№ 1277                 Б 004755,05 августа 2011,по 23 августа 2011,,,,,,,,
95,"ООО ""Уткин и К""",6729035193,1066731105451,"214034, Смоленская область, г. Смоленск, ул. Щорса, д. 6","214034, Смоленская область, г. Смоленск, ул. Щорса, д. 6(кафе), без ограничений",№ 1232                Г 254874,02 августа 2006,по 02 августа 2011,до 03 августа 2012,,,,,,,
96,"ООО ""БРИЗ""",6730062642,1066731100820,"214004, Смоленская область, г. Смоленск, ул. Николаева, 19, 208","214015, Смоленская область, г. Смоленск, ул. Багратиона, д. 65 (магазин), без ограничений",№ 1186                  Б 005969,24 июля 2006,по 24 июля 2011,до 25 июля 2016,,,,,,,
97,"ООО ""Талисман""",6731055165,1066731101689,"214031, Смоленская область, г. Смоленск, пр-т Строителей, 18, А, 33","214020, Смоленская область, г. Смоленск, ул. Попова, д. 20 (кафе), без ограничений",№ 1184                Б 005970,24 июля 2006,по 24 июля 2011,до 25 июля 2012,,,,,,,
98,"ООО ""Ани""",6731052809,1056758464322,"214009, Смоленская область, г. Смоленск, микрорайон Южный, д. 29 Е","214009, Смоленская область, г. Смоленск, мкр-н Южный, д. 29 Е (магазин), без ограничений",№ 2039                Б 004778,20 июля 2011,до 20 июля 2012,,,,,,,,
,,,,,"214019, Смоленская область, г. Смоленск ул. Марии Октябрьской д. 24 (магазин) без ограничений",№ 954                 Б 005720,29 июня 2006,по 29 июня 2011,,исключение объекта,,,,,,
99,"ООО ""Феникс""",6732011650,1116732002661,"214031, Смоленская область, г. Смоленск, ул. Индустриальная, д. 4","214000, Смоленская область, г. Смоленск, ул. Дзержинского, д. 21, без ограничений",№ 2046                  Б 004754,05 августа 2011,до 05 августа 2012,,,,,,,,
100,"ООО ""ПАРНАС""",6731056088,1066731106166,"214014, Смоленская область, г. Смоленск, ул. Твардовского, 22, 70","214001, Смоленская область, г. Смоленск, ул. Ново-Ленинградская, д. 16 (кафе), без ограничений",№ 1197               В 445765,27 июля 2006,по 27 июля 2011,до 28 июля 2016,,,,,,,
101,"ООО ""Винодел""",6731079166,1106731000397,"214036, Смоленская область, г. Смоленск, ул. Попова, д. 119","214036, Смоленская область, г. Смоленск, ул. Попова, д. 119 (магазин), без ограничений",№ 1899                Б 005327,20 января 2011,по 27 января 2015,,,,,,,,
,,,,,"214013, Смоленская область, г. Смоленск, ул. Кирова, д. 15 (магазин), до 15%",,,,,,,,,,,
,,,,,"214025, Смоленская область, г. Смоленск, ул. Багратиона, д. 61 (магазин), до 15%",,,,,,,,,,,
,,,,,"214015, Смоленская область, г.Смоленск,  ул. Б. Краснофлотская, д. 61 (магазин)",,,,,,,,,,,
,,,,,"214010, Смоленская область, г. Смоленск, ул. Седова, д. 42 (магазин), до 15%",,,,,,,,,,,
102,"ООО ТЦ ""Старый Дворик""",6730060564,105675840196,"214000, Смоленская область,  г. Смоленск, ул. Маяковского, д. 5, кв. 10","214013, Смоленская область, г. Смоленск, ул. Матросова, д. 27 (кафе), без ограничений",№ 856                  Б 004793,18 июля 2011,по 22 июня 2011,до 23 июня 2012,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Бакунина, д. 12 (магазин), без ограничений",,,,,,,,,,,
103,"ООО ""РАКИТА""",6729034577,1066731101910,"214034, Смоленская область, г. Смоленск, ул. Ракитная, д. 23","214034, Смоленская область, г. Смоленск, ул. Ракитная, д. 22-б (магазин), без ограничений",№ 906                 Б 005681,29 июня 2006,по 29 июня 2011,до 30 июня 2016,,,,,,,
,,,,,"214034, Смоленская область, г. Смоленск, ул. Ракитная, д. 13-а (магазин), без ограничений",,,,,,,,,,,
,,,,,"215299, Смоленская область, Смоленский район, д. Ракитня-2, д. 3 (магазин), до 15%",,,,,,,,,,,
104,"ООО ""Рэната""",6731012500,1026701422197,"214036, Смоленская область, г. Смоленск, ул. Попова, д. 29, кв. 65","214005, Смоленская область, г. Смоленск, ул. Ново-Московская, д. 4 (магазин), без ограничений", № 1825                     Б 004740                (Г 301998),15 августа 2011,по 28 января 2014,,,,,,,,
,,,,,"214019, Смоленская область, г. Смоленск, ул. Крупской, д. 68 (магазин), без ограничений",,,,,,,,,,,
,,,,,"214036, Смоленская область, г. Смоленск, ул. Рыленкова, д. 66 (магазин), без ограничений",,,,,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, пр-т Гагарина, д. 8-а (магазин), без ограничений",,,,,,,,,,,
,,,,,"215710, Смоленская область, Дорогобужский район, г. Дорогобуж, ул. Лермонтова, д. 42 (бар), без ограничений",,,,,,,,,,,
,,,,,"216265, Смоленская область, Демидовский район, д. Бакланово, ул. Панская, д. 2 (магазин), без ограничений",,,,,,,,,,,
,,,,,"216270, Смоленская область, Демидовский район, п. Пржевальское, ул. Советская, д. 9-а (магазин), без ограничений",,,,,,,,,,,
,,,,,"214013, Смоленская область, г. Смоленск, ул. Кирова, д. 2/57 (кафе), без ограничений",,,,,,,,,,,
,,,,,"214031, Смоленская область, г. Смоленск, ул. Попова, д. 44 (закусочная), без ограничений",,,,,13 января 2012 включение объекта ,,,,,,
105,"ООО ""Белые ночи""",6731054179,1066731046546,"214019, Смоленская область, г. Смоленск, ул. Крупской, д. 41-а","214019, Смоленская область, г. Смоленск, ул. Крупской, д. 41-а (магазин), без ограничений",№ 1990                 Б 005429,07 апреля 2011,по 07 апреля 2012,,,,,,,,
106,"МУП ""КОЩИНО""",6730043576,1026701432999,"214000, Смоленская область, г. Смоленск, ул. Октябрьской революции, д. 1/2","214019, Смоленская область, г. Смоленск, ул. Крупской, д. 61а (магазин), без ограничений",№ 1978              Б 004780,21 июля 2011,по 12 сентября 2011,,,,,,,,
,,,,,"214513, Смоленская область, Смоленский район, д. Кощино, пер. Новоселов, д. 10 (магазин), без ограничений",№ 1978               Б 005388,18 марта 2011,по 12 сентября 2011,,исключение объекта,,,,,,
,,,,,"214513, Смоленская область, Смоленский район, д. Кощино, пер. Новоселов, д. 10 (закусочная), без ограничений",№ 2088                  Г 301997,12 января 2012,по 12 января 2013,,исключение объекта,,,,,,
,,,,,"214513, Смоленская область, Смоленский район, д. Кощино, ул. Мира, д. 13 (магазин), без ограничений",,,,,исключение объекта,,,,,,
,,,,,"214513, Смоленская область, Смоленский район, д. Кащино, ул. Мира, д. 12 (столовая), без ограничений",,,,,исключение объекта,,,,,,
107,"ООО ""Наш магазин""",6729032876,1056758464927,"214012, Смоленская область, г. Смоленск, ул. 12 лет Октября, д. 15, кв. 20","214036, Смоленская область, г. Смоленск, ул. Рыленкова, д. 38-а( магазин), без ограничений",№ 1965               Б 005405,24 марта 2011,по 21 февраля 2013,,,,,,,,
108,"ООО ""Караман""",6731055126,1066731101470,"214020, Смоленская область, г. Смоленск, ул. Ломоносова, д. 11-а кв.4 ","214020, Смоленская область, г. Смоленск, ул. 25 Сентября , д. 42 (магазин), без ограничений",№ 862                   Б 005641,22 июня 2006,по 22 июня 2011, до 23 июня 2012,,,,,,,
109,"ООО ""САЛИ""",6731055581,1066731103834,"214031, Смоленская область, г. Смоленск, пр-т Строителей, д. 12, кв. 3","214019, Смоленская область, г. Смоленск, ул. Крупской, д. 73 (магазин), без ограничений",№ 860                 Б 005638,22 июня 2006,по 22 июня 2011,до 23 июня 2016,,,,,,,
110,"ООО ""К""",6729034633,1066731103152,"214000, Смоленская область, г. Смоленск, пос. Вязовенька","214000, Смоленская область, г. Смоленск, ул. Николаева, мкр. ""ТЕЗА"" (бистро), до 15%",№ 929                 Б 004760,05 августа 2011,до 30 июня 2016,,,,,,,,
,,,,,"214009, Смоленская область, г. Смоленск, микр-н Южный, д. 27 (закусочная), без ограничений",,,,,,,,,,,
,,,,,"214020, Смоленская область, г. Смоленск, ул. Ломоносова, д. 23 (закусочная), без ограничений",,,,,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. 25 Сентября, мкр. ""Юбилейный"" (бистро), без ограничений",№ 929                Б 005684,29 июня 2006,по 29 июня 2011,,исключение объекта,,,,,,
,,,,,"214019, Смоленская область, г. Смоленск, трамвайный проезд, д. 10 (закусочная)",,29 июня 2006,по 29 июня 2011,,исключение объекта,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Крупской, мкр. ""Медгородок"" (бистро), без ограничений",,29 июня 2006,по 29 июня 2011,,исключение объекта,,,,,,
111,"ООО ""Янтарь""",6730063847,1066731104483,"214000, Смоленская область, г. Смоленск, пгт. Миловидово, 35","214019, Смоленская область, г. Смоленск, пгт. Миловидово, д. 35 (магазин), без ограничений)",№ 1130                   Б 005904,14 июля 2006,по 14 июля 2011,до 15 июля 2012,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, пгт. Миловидово, д. 35 (кафе), без ограничений",,31 июля 2006,по 14 июля 2011,,исключение объекта,,,,,,
112,"ООО ""ПОКРОВОЧКА""",6731054997,1066731101150,"214014, Смоленская область, г. Смоленск, ул. Тенишивой, д. 19, кв. 14","214006, Смоленская область, г. Смоленск, ул. Фрунзе, между домами 47-49 (магазин), без ограничений",№ 807                 Б 005571,01 июля 2006, по 01 июля 2011,до 02 июля 2016  ,,,,,,,
113,"ООО ""Аврора+""",6731054073,1066731043928,"214015, Смоленская область, г. Смоленск, пер. 5-й Краснофлотский, д. 4-а","214025, Смоленская область, г. Смоленск, ул. Багратиона, д. 65 (магазин), без ограничений",№ 766                 Г 679679,22 апреля 2008,по 01 июня 2011,до 02 июня 2013,,,,,,,
114,"ООО ""Лидер-С""",6730060500,1056758468590,"214004, Смоленская область, г. Смоленск, переулок Новочернушенский, д. 1/2","214004, Смоленская область, г. Смоленск, переулок Ново-Чернушенский, д. 1/2 (магазин), без ограничений",№ 916                 Б 005658,26 июня 2006,по 26 июня 2011,до 27 июня 2014,,,,,,,
115,"ООО ""Смоленский Вариант""",6730063879,1066731104660,"214015, Смоленская область, г. Смоленск, ул. Мало-Краснофлотская, д. 29","214015, Смоленская область, г. Смоленск, ул. Б. Краснофлотская, д. 4 (магазин), без ограничений",№ 943                  Б 005703                   ,29 июня 2006,по 29 июня 2011,до 30 июня 2014,,,,,,,
,,,,,"214006, Смоленская область, г. Смоленск, ул. Островского, д. 5 (магазин), без ограничений",,,,,,,,,,,
,,,,,"214015, Смоленская область, г. Смоленск, ул. М. Краснофлотская, д. 29 (магазин), без ограничений",,,,,,,,,,,
,,,,,"214012, Смоленская область, г. Смоленск, ул. Витебское шоссе, д. 4 (магазин), без ограничений",,,,,,,,,,,
116,"ООО ""Мечта""",6731055246,1066731101854,"214036, Смоленская область, г. Смоленск, ул. Попова, д. 84","214036, Смоленская область, г. Смоленск, ул. Попова, д. 84 (магазин), без ограничений",№ 1064                 Б 005834,05 июля 2006,по 05 июля 2011,до 06 июля 2016,,,,,,,
117,"ООО ""Трембита""",6729041694,1076731016449,"214022, Смоленская область, г. Смоленск, п. Серебрянка, д, 84","214022, Смоленская область, г. Смоленск, п. Серебрянка, д. 84",№ 1941                 Б 005283                                ( Г 301864),24 декабря 2010,по 24 декабря 2011,до 25 декабря 2014,,,,,,,
118,"ООО ""ВЕКТОР""",6730079565,1086731015095,"214018, Смоленская область, г. Смоленск, пр-т Гагарина, д. 26","214018, Смоленская область, г. Смоленск, пр-т Гагарина, д. 26 (магазин), без ограничений",№ 1826                Б 005478,13 мая 2011,по 28 января 2014,,,,,,,,
,,,,,"214019,Смоленская область, г. Смоленск, ул. 25 Сентября, д. 18/2 (магазин), без ограничений",,,,,,,,,,,
,,,,,"214001, Смоленская область,г. Смоленск, пр-т Гагарина, д. 46 (магазин), без ограничений",,,,,,,,,,,
119,"ООО ""НУРА""",6731051481,1056758410037,"214020, Смоленская область, г. Смоленск, ул. Шевченко, д. 93Б, кв. 15","214010, Смоленская область, г. Смоленск, ул. Седова, д. 15 (магазин), без ограничений",№ 1971              Б 004801,03 июня 2011,по 14 марта 2013,,,,,,,,
,,,,,"214020, Смоленская область, г. Смоленск, ул. Шевченко, д. 69 (остановочный комплекс), до 15%",,,,,,,,,,,
120,"ООО ""НЕБО""",6731078204,1096731014555,"214025, Смоленская область, г. Смоленск, ул. Багратиона, д. 61","214007, Смоленская область, г. Смоленск, ул. Кирова, д. 59 (магазин), без ограничений",№ 1894                 Б 005442,19 апреля 2011,до 29 декабря 2014,,,,,,,,
,,,,,"214007, Смоленская область, г. Смоленск, ул. Багратиона, д. 61 (магазин), без ограничений",,,,,,,,,,,
,,,,,"216790, Смоленская область, г. Рудня, ул. 14 лет Октября, д. 82-а (магазин), без ограничений",,,,,,,,,,,
,,,,"214000, Смоленская область, г. Смоленск, ул. Большая Краснофлотская, д. 15-а",,№ 1894                  Б 005195,29 декабря 2009,по 29 декабря 2014,,смена юр адреса,,,,,,
121,"ООО ""Флагман""",6731055366,1066731103185,"214000, Смоленская область, г. Смоленск, ул. Тенишевой, 6,3","214032, Смоленская область, г. Смоленск, ул. Генерала Городнянского, д. 1-3 (торговый павильон)",№ 1179                     Б 005959,19 июля 2006,по 19 июля 2011,,,,,,,,
,,,,,"214032, Смоленская область, г. Смоленск, ул. Лавочкина, д. 62 (магазин)",,,,,,,,,,,
,,,,,"214032, Смоленская область, г. Смоленск, ул. Лавочкина, д. 62 (закусочная)",,,,,,,,,,,
122,"ООО ""Смолторг""",6730046714,1026701453250,"214014, Смоленская область, г. Смоленск, ул. Тенишевой, д. 29","214014, Смоленская область, г. Смоленск, ул. Тенишевой, д. 29 (магазин), без ограничений",№ 1983                     Б 005427,04 апреля 2011,по 04 апреля 2012,,,,,,,,
123,"ООО ""ПЛЕТНЕВ""",6729033654,1066731040210,"214031, Смоленская область, г. Смоленск, проезд Дзержинского, д. 8, кв. 124","214011, Смоленская область, г. Смоленск, ул. Автозаводская, д. 19 (магазин), без ограничений",№ 688                 Г 679297,07 апреля 2006,по 07 апреля 2011, до 08 апреля 2015,,,,,,,
,,,,,"214011, Смоленская область, г. Смоленск, ул. Автозаводская, д. 19 (закусочная), до 15 %",,,,,,,,,,,
124,"ООО ""Центр-Пиво""",6729032019,1056758416098,"214005, Смоленская область, г. Смоленск, ул. Таборная гора, д. 6","214005, Смоленская область, г. Смоленск, ул. Таборная гора, д. 6 (складское помещение)",№ 1718               Г 679769,01 ноября 2008,по 01 ноября 2013,,,,,,,,
,,,,,"214025, Смоленская область, г. Смоленск, ул. Нарвская, около д. 23 (магазин)",,,,,,,,,,,
,,,,,"214020, Смоленская область, г. Смоленск, ул. Попова, д. 96 (магазин)",,,,,,,,,,,
,,,,,"214031, Смоленская область, г. Смоленск, ул. Шевченко, остановка, ул. Бабушкина (киоск)",,,,,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, пр-т Гагарина, д. 48 (киоск)",,,,,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Дзержинского, около д. 21 (киоск)",,,,,,,,,,,
,,,,,"214020, Смоленская область, г. Смоленск, ул. Попова, около д. 86 (киоск)",,,,,,,,,,,
,,,,,"214031, Смоленская область, г. Смоленск, ул. Рыленкова, д. 13 (киоск)",,,,,,,,,,,
,,,,,"214014, Смоленская область, г. Смоленск, ул. Исаковского, ""Никольские ворота"" (киоск)",,,,,,,,,,,
125,"ОАО ""ЦЕНТРАЛЬНЫЙ УНИВЕРМАГ""",6730018033,1026701429974,"214018, Смоленская область, г. Смоленск, ул. Октябрьской революции, д. 17","214018, Смоленская область, г. Смоленск, ул. Октябрьской револдюции, д. 17 (магазин), без ограничений",№ 1972                    Б 005387,05 марта 2011,по 05 марта 2012,,,,,,,,
126,"ООО ""Исток Плюс""",6732009669,1116732000406,"214025, Смоленская область, г. Смоленск, 1-й Краснофлотский переулок, д. 17, кв. 123","214000, Смоленская область, г. Смоленск, ул. Николаева, д. 18 (магазин), без ограничений",№ 1959                        Г 301860,14 февраля 2011,по 14 февраля 2012,,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Николаева, д. 18  (закусочная), без ограничений",,,,,,,,,,,
,,,,,"214012, смоленская область, г. Смоленск, ул. Желябова, д. 1 (торговый центр ""Байкал""), без ограничений",,,,,,,,,,,
127,"ООО ""Днепр""",6730068041,1076731001786,"214000, Смоленская область, г. Смоленск, ул. Глинки, 11/30","214000, Смоленская область, г. Смоленск, ул. Глинки, 11/30 (бар)",№ 1475                 Г 679464,06 апреля 2007,по 06 апреля 2012,,,,,,,,
128,"ООО ""Эдем""",6729034383,1066731101216,"214022, Смоленская область, г. Смоленск, ул. Нижняя Дубровенка, д. 19-а","214022, Смоленская область, г. Смоленск, п. Красный бор (ресторан), без ограничений",№ 872                  Б 005669,26 июня 2006,по 26 июня 2011,до 27 июня 2012,,,,,,,
,,,,,"214022, Смоленская область, г. Смоленск, п. Красный Бор, ул. Станционная (павильон), до 15%",,,,,,,,,,,
129,"ООО ""Фламинго""",6730073362,1076731017527,"214004, Смоленская область, г. Смоленск, ул. Николаева, д. 50","214004, Смоленская область, г. Смоленск, ул. Николаева, д. 50 (кафе), без ограничений",№ 1979               Б 005408,25 марта 2011,по 25 марта 2012,,,,,,,,
130,"ООО ""ПРАГА""",6730077328,1086731008330,"214004, Смоленская область, г. Смоленск, ул. Николаева, д. 26","214004, Смоленская область, г. Смоленск, ул. Николаева, д. 26 (кафе), без ограничений",№ 1980               Б 005402,23 марта 2011,по 23 марта 2012,,,,,,,,
131,"ОГУ ""Столовая администрации Смоленской области""",6730051048,1036758337043,"214000, Смоленская область, г. Смоленск, пл. Ленина, д. 1","214000, Смоленская область, г. Смоленск, пл. Ленина, д. 1 (буфет №1)",№ 1800               Б 005065,29 декабря 2008,по 29 декабря 2013,,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, пл. Ленина, д. 1 (буфет №2)",,,,,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Октябрьской революции, д. 14-а (буфет)",,,,,,,,,,,
132,"ООО ""Гефест""",6729002582,1026701431030,"214039, Смоленская область, г. Смоленск, ул. Еременко, д. 66, кв. 53","214019, Смоленская область, г. Смоленск, ул. Крупской, д. 54 (склад), без ограничений",№ 1563              Б 005447             ( Г 301851),22 апреля 2011,по 28 сентября 2012,,смена юр. Адреса,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Ленина, д. 4 (склад), без ограничений",,,,,исключение объекта,,,,,,
,,,,"214019, Смоленская область, г. Смоленск, ул. Крупской, д. 54","214019, Смоленская область, г. Смоленск, ул. Крупской, д. 54 (склад), без ограничений",№ 1563                         Г 301851,28 сентября 2007,28 сентября 2012,,,,,,,,
,,,,,"214036, Смоленская область, г. Смоленск, ул. Петра Алексеева, д. 19/70 (магазин), без ограничений",,,,,,,,,,,
