На 10.10.2012,,,,,,,
,,,,,,,
Наименование,ИНН,Место нахождения,Адрес места осуществления деятельности,Наименование места осуществления деятельности,Серия и номер лицензии,Дата начала,Дата окончания
Уссурийское РАЙПО,2529000460,"Приморский край, г Уссурийск, ул Некрасова д.274","Приморский край, г Уссурийск, с Раковка, ул Украинская д.2",Магазин,ПК0060676/4089,13.09.2012,13.09.2013
Уссурийское РАЙПО,2529000460,"Приморский край, г Уссурийск, ул Некрасова д.274","Приморский край, г Уссурийск, с Боголюбовка, ул Центральная д.4а",Магазин,ПК0060676/4089,13.09.2012,13.09.2013
Уссурийское РАЙПО,2529000460,"Приморский край, г Уссурийск, ул Некрасова д.274","Приморский край, г Уссурийск, с Новоникольск, ул Советская д.68",иагазин,ПК0060676/4089,13.09.2012,13.09.2013
"ОАО ""322 Авиационный ремонтный завод""",2511055959,"Приморский край, Уссурийский р-н, с Воздвиженка, ул Жуковского д.5","Приморский край, Уссурийский р-н, с Воздвиженка, ул Жуковского д.5",Магазин,ПК0056281,20.06.2008,20.06.2013
"ООО ""Ариал""",2511030721,"Приморский край, Уссурийский р-н, с Воздвиженка, ул Пионерская д.4а","Приморский край, Уссурийский р-н, с Воздвиженка, ул Пионерская д.4а, в/г 11",закусочная,ПК0060589/4002,17.08.2012,17.08.2013
"ООО ""Боулинг-Экстрим""",2511043865,"Приморский край, Уссурийский р-н, пос.Тимирязевский, ул Воложенина д.33а","Приморский край, Уссурийский р-н, пос.Тимирязевский, ул Воложенина д.33а",бар,ПК0045357,21.10.2007,21.10.2012
"ООО ""Галина""",2511049465,"Приморский край, Уссурийский р-н, с Каменушка, ул Центральная д.7","Приморский край, Уссурийский р-н, с Каменушка, ул Центральная д.7",Магазин,ПК0059501/2914,08.11.2011,15.11.2013
"ООО ""Держава""",2511048052,"Приморский край, Уссурийский р-н, с Воздвиженка, ул Ленинская д.14","Приморский край, Уссурийский р-н, с Воздвиженка, ул Чкалова д.72",Отдел в магазине,ПК0059323/2736,04.08.2011,11.08.2016
"ООО ""Держава""",2511048052,"Приморский край, Уссурийский р-н, с Воздвиженка, ул Ленинская д.14","Приморский край, Уссурийский р-н, с Воздвиженка, ул Ленинская д.1б",Отдел в магазине,ПК0059323/2736,04.08.2011,11.08.2016
"ООО ""Держава""",2511048052,"Приморский край, Уссурийский р-н, с Воздвиженка, ул Ленинская д.14","Приморский край, Уссурийский р-н, с Воздвиженка, ул Ленинская д.61а",Отдел в магазине,ПК0059323/2736,04.08.2011,11.08.2016
"ООО ""К-3""",2511048140,"Приморский край, Уссурийский р-н, пос.Тимирязевский, ул Воложенина д.2","Приморский край, Уссурийский р-н, пос.Тимирязевский, ул Воложенина д.2",Отдел в магазине ,ПК0060249/3662,08.06.2012,09.06.2013
"ООО ""КАРО""",2511027817,"Приморский край, Уссурийский р-н, пос.Тимирязевский, ш Михайловское д.10а","Приморский край, Уссурийский р-н, пос.Тимирязевский, ш Михайловское д.10а",кафе,ПК0057199/612,13.08.2009,24.08.2014
"ООО ""Коопсоюз""",2511035744,"Приморский край, г Уссурийск, ул Некрасова д.274а","Приморский край, Уссурийский р-н, с Утесное, ул Ефимова д.22",Магазин,ПК0060484/3897,26.07.2012,25.02.2013
"ООО ""Коопсоюз""",2511035744,"Приморский край, г Уссурийск, ул Некрасова д.274а","Приморский край, Уссурийский р-н, с Степное, ул Центральная д.30",Магазин,ПК0060484/3897,26.07.2012,25.02.2013
"ООО ""Коопсоюз""",2511035744,"Приморский край, г Уссурийск, ул Некрасова д.274а","Приморский край, Уссурийский р-н, с Пуциловка, ул Советская д.15б",Магазин,ПК0060484/3897,26.07.2012,25.02.2013
"ООО ""Коопсоюз""",2511035744,"Приморский край, г Уссурийск, ул Некрасова д.274а","Приморский край, Уссурийский р-н, с Красный Яр, ул Советская д.34",Магазин,ПК0060484/3897,26.07.2012,25.02.2013
"ООО ""Коопсоюз""",2511035744,"Приморский край, г Уссурийск, ул Некрасова д.274а","Приморский край, Уссурийский р-н, с Воздвиженка, ул Студгородок д.1",Магазин,ПК0060484/3897,26.07.2012,25.02.2013
"ООО ""Коопсоюз""",2511035744,"Приморский край, г Уссурийск, ул Некрасова д.274а","Приморский край, Уссурийский р-н, с Борисовка, ул Советская д.70",Магазин,ПК0060484/3897,26.07.2012,25.02.2013
"ООО ""Коопсоюз""",2511035744,"Приморский край, г Уссурийск, ул Некрасова д.274а","Приморский край, Уссурийский р-н, с Алексей-Никольское, ул Украинская д.56 а",Магазин,ПК0060484/3897,26.07.2012,25.02.2013
"ООО ""Коопсоюз""",2511035744,"Приморский край, г Уссурийск, ул Некрасова д.274а","Приморский край, Уссурийский р-н, с Красный Яр, ул Советская д.34",Магазин,ПК0060614/4027,23.08.2012,26.06.2013
"ООО ""Коопсоюз""",2511035744,"Приморский край, г Уссурийск, ул Некрасова д.274а","Приморский край, Уссурийский р-н, с Степное, ул Центральная д.30",Магазин,ПК0060614/4027,23.08.2012,26.06.2013
"ООО ""Коопсоюз""",2511035744,"Приморский край, г Уссурийск, ул Некрасова д.274а","Приморский край, Уссурийский р-н, с Пуциловка, ул Советская д.15б",Магазин,ПК0060614/4027,23.08.2012,26.06.2013
"ООО ""Коопсоюз""",2511035744,"Приморский край, г Уссурийск, ул Некрасова д.274а","Приморский край, Уссурийский р-н, с Алексей-Никольское, ул Украинская д.56 а",Магазин,ПК0060614/4027,23.08.2012,26.06.2013
"ООО ""Коопсоюз""",2511035744,"Приморский край, г Уссурийск, ул Некрасова д.274а","Приморский край, Уссурийский р-н, с Утесное, ул Ефимова д.22",Магазин,ПК0060614/4027,23.08.2012,26.06.2013
"ООО ""Коопсоюз""",2511035744,"Приморский край, г Уссурийск, ул Некрасова д.274а","Приморский край, Уссурийский р-н, с Воздвиженка, ул Студгородок д.1",Магазин,ПК0060614/4027,23.08.2012,26.06.2013
"ООО ""Коопсоюз""",2511035744,"Приморский край, г Уссурийск, ул Некрасова д.274а","Приморский край, Уссурийский р-н, с Борисовка, ул Советская д.70",Магазин,ПК0060614/4027,23.08.2012,26.06.2013
"ООО ""Коопсоюз""",2511035744,"Приморский край, г Уссурийск, ул Некрасова д.274а","Приморский край, Уссурийский р-н, с Горнотаежное, ул Солнечная д.7",магазин,ПК0060614/4027,23.08.2012,26.06.2013
"ООО ""Лидия""",2511051136,"Приморский край, Уссурийский р-н, с Глуховка, ул Раковская д.1","Приморский край, Уссурийский р-н, с Глуховка, ул Раковская д.1",Магазин,ПК0060266/3679,15.06.2012,15.06.2013
"ООО ""Лучик""",2511053341,"Приморский край, Уссурийский р-н, с Алексей-Никольское, ул Советов д.19а","Приморский край, Уссурийский р-н, с Алексей-Никольское, ул Советов д.19а",Магазин,ПК0060746/4159,02.10.2012,02.10.2013
"ООО ""Любава и К""",2511033360,"Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.199","Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.199-литЖ",закусочная,ПК0060456/3869,25.07.2012,25.07.2013
"ООО ""Любава и К""",2511033360,"Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.199","Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.199","кафе ""Фламинго""",ПК0060456/3869,25.07.2012,25.07.2013
"ООО ""Люкс""",2511048800,"Приморский край, Уссурийский р-н, с Корсаковка, ул Комсомольская д.22а","Приморский край, Уссурийский р-н, с Корсаковка, ул Комсомольская д.22а",Отдел в магазине,ПК0056978/391,05.06.2009,07.06.2014
"ООО ""Мария""",2511002562,"Приморский край, г Уссурийск, ул Ленина д.49а","Приморский край, Уссурийский р-н, с Каменушка, ул Профсоюзная д.9а",Магазин,ПК0056512,02.02.2009,02.02.2014
"ООО ""Мария""",2511002562,"Приморский край, г Уссурийск, ул Ленина д.49а","Приморский край, Уссурийский р-н, с Каймановка, ул Центральная д.1а",Магазин,ПК0056512,02.02.2009,02.02.2014
"ООО ""Натэль""",2511047570,"Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.186","Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.89",Отдел в магазине,ПК0059106/2516,05.07.2011,17.07.2016
"ООО ""Натэль""",2511047570,"Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.186","Приморский край, Уссурийский р-н, с Новоникольск, ул 40 лет Победы д.8в",Отдел в магазине,ПК0059106/2516,05.07.2011,17.07.2016
"ООО ""Натэль""",2511047570,"Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.186","Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.186",Отдел в магазине,ПК0059106/2516,05.07.2011,17.07.2016
"ООО ""Натэль""",2511047570,"Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.186","Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.152б",Отдел в магазине,ПК0059106/2516,05.07.2011,17.07.2016
"ООО ""ОЛЕС""",2511066372,"Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.89","Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.89",Отдел в магазине,ПК0057404/817,03.11.2009,06.11.2014
"ООО ""Омега-2""",2511047154,"Приморский край, г Уссурийск, ул Пушкина д.50","Приморский край, Уссурийский р-н, с Воздвиженка, ул Ленина д.4",Магазин,ПК0056759/172,10.04.2009,21.04.2014
"ООО ""Рома""",2511046224,"Приморский край, Уссурийский р-н, с Борисовка, ул Советская д.19","Приморский край, Уссурийский р-н, с Борисовка, ул Строительная д.2а",Магазин №1,ПК0058041/1454,29.07.2010,30.05.2014
"ООО ""Рома""",2511046224,"Приморский край, Уссурийский р-н, с Борисовка, ул Советская д.19","Приморский край, Уссурийский р-н, с Алексей-Никольское, ул Советов д.19",Магазин №4,ПК0058041/1454,29.07.2010,30.05.2014
"ООО ""Россыпи""",2511047940,"Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.51","Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.51",Отдел в магазине,ПК0057063/476,29.06.2009,11.07.2014
"ООО ""СЭЙЛОР""",2511046337,"Приморский край, г Уссурийск, ул Некрасова д.274","Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.4г",Отдел в магазине,ПК0060571/003984,17.08.2012,05.06.2013
"ООО ""СЭЙЛОР""",2511046337,"Приморский край, г Уссурийск, ул Некрасова д.274","Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.4г",Отдел в магазине,ПК0060219/3632,04.06.2012,05.06.2013
"ООО ""Светлана-плюс""",2511047500,"Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.112","Приморский край, Уссурийский р-н, с Новоникольск, ул Советская д.112",Отдел в магазине,ПК0057065/478,29.06.2009,12.07.2014
"ООО ""СлавКо""",2511064826,"Приморский край, Уссурийский р-н, пос.Тимирязевский, ул Воложенина д.12б","Приморский край, Уссурийский р-н, пос.Тимирязевский, ул Воложенина д.12б",Отдел в магазине,ПК0057427/840,18.11.2009,25.11.2014
"ООО ""Славда""",2511047700,"Приморский край, г Уссурийск, ул Горького д.69-926","Приморский край, Уссурийский р-н, с Богатырка, ул Центральная д.9",Магазин,ПК0060080/3493,28.04.2012,01.05.2013
"ООО ""Торговый Дом ""Савва""",2511062145,"Приморский край, г Уссурийск, ул Калинина д.39","Приморский край, Уссурийский р-н, пос.Тимирязевский, ш Михайловское д.46",Магазин,ПК0059448/2861,06.10.2012,06.10.2015
"ООО ""Харбин""",2511025440,"Приморский край, Уссурийский р-н, пос.Тимирязевский, ш Михайловское д.1б","Приморский край, Уссурийский р-н, пос.Тимирязевский, ш Михайловское д.1б",кафе,ПК0058726/2139,29.04.2011,30.04.2014
"ООО ""Харисово""",2511058156,"Приморский край, Уссурийский р-н, с Кроуновка, ул Молодежная д.2а","Приморский край, Уссурийский р-н, с Кроуновка, ул Советская д.44а",Магазин,ПК0055706,21.07.2008,21.07.2013
"ООО ""Элит Трэвэл""",2511054747,"Приморский край, Уссурийский р-н, с Каменушка, ул Центральная д.15","Приморский край, Уссурийский р-н, с Каменушка, ул Центральная д.15а",кафе-бар,ПК0059658/3071,28.12.2011,28.12.2014
"ООО ""Эма""",2511033240,"Приморский край, Уссурийский р-н, с Борисовка, ул Советская д.28","Приморский край, Уссурийский р-н, с Борисовка, ул Советская д.69",Магазин,ПК0056962/375,02.06.2009,16.06.2014
"ООО ""Эма""",2511033240,"Приморский край, Уссурийский р-н, с Борисовка, ул Советская д.28","Приморский край, Уссурийский р-н, с Борисовка, ул Строительная д.1",Магазин,ПК0056962/375,02.06.2009,16.06.2014
"ООО ""Юля""",2511046954,"Приморский край, Уссурийский р-н, с Раковка, ул Советская д.6","Приморский край, Уссурийский р-н, с Раковка, ул Советская д.6",Магазин,ПК0056804/217,17.04.2009,07.05.2014
"ООО ""Алекс""",2512303636,"Приморский край, г Фокино, ул Усатого д.28","Приморский край, г Фокино, ул Усатого д.28",Магазин,ПК0056518,21.01.2009,21.01.2014
"ООО ""Альта""",2512300280,"Приморский край, г Фокино, ул Усатого д.3","Приморский край, г Фокино, ул К.Маркса д.2, в торговом центре ""Дипломат""",Магазин,ПК0056711/124,19.03.2009,04.04.2014
"ООО ""Альта""",2512300280,"Приморский край, г Фокино, ул Усатого д.3","Приморский край, г Фокино, ул Усатого д.26а","Магазин ""Диг""",ПК0056711/124,19.03.2009,04.04.2014
"ООО ""Аншлаг""",2512303682,"Приморский край, г Фокино, ул Усатого д.8а-3","Приморский край, г Фокино, ул Заводская д.1в","кафе ""Аншлаг""",ПК0060528/3941,31.07.2012,31.07.2013
"ООО ""Байкал""",2512302583,"Приморский край, г Фокино, ул Дальняя д.36","Приморский край, г Фокино, ул К.Маркса д.25б",Магазин,ПК0060460/3873,20.07.2012,20.07.2015
"ООО ""Байкал""",2512302583,"Приморский край, г Фокино, ул Дальняя д.36","Приморский край, г Фокино, ул Белашева д.18/16",Магазин,ПК0060460/3873,20.07.2012,20.07.2015
"ООО ""Байкал""",2512302583,"Приморский край, г Фокино, ул Дальняя д.36","Приморский край, г Фокино, ул Дальняя д.36а, розничная продажа алк. продукции с содерж этил. спирта не более чем 16,5%  объема готовой продукции","закусочная ""Дальняя 36""",ПК0060460/3873,20.07.2012,20.07.2015
"ООО ""Березка""",2512302760,"Приморский край, г Фокино, п.г.т.Дунай, ул Советская д.4-64","Приморский край, г Фокино, п.г.т.Дунай, ул Советская д.4",Магазин,ПК0060306/3719,26.06.2012,26.06.2014
"ООО ""Бриз""",2512004185,"Приморский край, г Фокино, ул Ленина д.13-2","Приморский край, г Фокино, ул Усатого д.3а","Магазин ""Лагуна""",ПК0059408/2821,04.10.2011,18.10.2012
"ООО ""Бриз""",2512004185,"Приморский край, г Фокино, ул Ленина д.13-2","Приморский край, г Фокино, ул Ленина д.22а","Магазин ""Парус""",ПК0059408/2821,04.10.2011,18.10.2012
"ООО ""Бриз""",2512004185,"Приморский край, г Фокино, ул Ленина д.13-2","Приморский край, г Фокино, ул Марии Цукановой д.7","Магазин ""Флагман""",ПК0059408/2821,04.10.2011,18.10.2012
"ООО ""Вега""",2512302801,"Приморский край, г Фокино, ул К.Маркса д.39а","Приморский край, г Фокино, ул К.Маркса д.39а",Магазин,ПК0057318/731,06.10.2009,03.10.2014
"ООО ""Вояж""",2512300346,"Приморский край, г Фокино, п.г.т.Дунай, ул Ленина д.35в-75","Приморский край, г Фокино, п.г.т.Дунай, ул Ленина д.18","Магазин ""Виктория""",ПК0057901/1314,27.05.2010,03.01.2015
"ООО ""Вояж""",2512300346,"Приморский край, г Фокино, п.г.т.Дунай, ул Ленина д.35в-75","Приморский край, г Фокино, п.г.т.Дунай, ул Ленина д.27","Магазин ""Удача""",ПК0057901/1314,27.05.2010,03.01.2015
"ООО ""Горизонт""",2512304044,"Приморский край, г Уссурийск, ул Пролетарская д.3","Приморский край, г Фокино, ул Клубная д.23",Отдел в магазине,ПК0059708/3121,23.12.2011,08.07.2014
"ООО ""Дилан-Маркет""",2537077820,"Приморский край, г Владивосток, ул Командорская д.11","Приморский край, г Фокино, ул Мищенко д.2","Магазин ""Дилан""",ПК0060161/3574,15.05.2012,16.05.2017
"ООО ""Доминникович""",2512302720,"Приморский край, г Фокино, п.г.т.Дунай, ул Юбилейная д.2-48","Приморский край, г Фокино, п.г.т.Дунай, ул Юбилейная д.2",Магазин ,ПК0059985/3398,28.03.2012,29.03.2013
"ООО ""КВОТА""",2512004298,"Приморский край, г Фокино, п.г.т.Дунай, ул Морская д.51-52","Приморский край, г Фокино, п.г.т.Дунай, ул Морская д.7","Магазин ""Оптимист""",ПК0060278/3691,15.06.2012,15.06.2014
"ООО ""Кобра""",2512302590,"Приморский край, г Фокино, ул К.Маркса д.31-37","Приморский край, г Фокино, ул К.Маркса д.21б",Отдел в торговом центре,ПК0057366/779,15.10.2009,01.11.2012
"ООО ""Лидер""",2512305390,"Приморский край, г Фокино, ул Белашева д.16а, 155","Приморский край, г Фокино, ул Марии Цукановой д.6","Магазин ""Нептун""",ПК0060339/3752,02.07.2012,02.07.2013
"ООО ""МАЯК""",2512305440,"Приморский край, г Фокино, п.г.т.Дунай, ул Пограничная д.32","Приморский край, г Фокино, п.г.т.Дунай, ул Морская д.22",магазин,ПК0060550/3963,14.08.2012,14.08.2013
"ООО ""ОРХИДЕЯ""",2512300265,"Приморский край, г Фокино, п.г.т.Дунай, ул Советская д.12-54","Приморский край, г Фокино, п.г.т.Дунай, ул Советская д.12-54","Магазин ""Валентина""",ПК0056847/260,29.04.2009,01.05.2014
"ООО ""Строй-Лидер""",2512302897,"Приморский край, г Фокино, п.г.т.Дунай, ул Ветеранов д.4-1","Приморский край, г Фокино, п.г.т.Дунай, ул Советская д.2",Магазин,ПК0045414,08.11.2007,08.11.2012
"ООО ""Тин Кан""",2512302167,"Приморский край, г Фокино, ул Центральная д.26-69","Приморский край, г Фокино, ул Центральная д.24","Магазин ""Тинкан""",ПК0055838,22.09.2008,21.09.2013
"ООО ""Тин Кан""",2512302167,"Приморский край, г Фокино, ул Центральная д.26-69","Приморский край, г Фокино, ул Центральная д.24","закусочная ""Тинкан""",ПК0055838,22.09.2008,21.09.2013
"ООО ""Тихас-Лэнд""",2512302600,"Приморский край, г Фокино, ул Постникова д.2а-84","Приморский край, г Фокино, ул Усатого д.21","Магазин ""Аленка""",ПК0059631/3044,14.12.2011,16.12.2013
"ООО ""Тихас-Лэнд""",2512302600,"Приморский край, г Фокино, ул Постникова д.2а-84","Приморский край, г Фокино, ул Белашева д.20а","Магазин ""Атлант-Сити""",ПК0059631/3044,14.12.2011,16.12.2013
"ООО ""Торгсервис-Центр""",2512300900,"Приморский край, г Фокино, ул Заводская д.1б","Приморский край, г Фокино, ул Ясная д.9",кафе,ПК0056748/161,02.04.2009,03.11.2013
"ООО ""Украина""",2512302400,"Приморский край, г Фокино, ул К.Маркса д.4","Приморский край, г Фокино, 100 км гострассы Владивосток-Находка","закусочная ""Якорь""",ПК0056731/144,27.03.2009,30.03.2014
"ООО ""Украина""",2512302400,"Приморский край, г Фокино, ул К.Маркса д.4","Приморский край, г Фокино, ул К.Маркса д.4","кафе ""Лесная сказка""",ПК0056731/144,27.03.2009,30.03.2014
"ООО ""Феникс""",2512302914,"Приморский край, г Фокино, п.г.т.Дунай, ул Морская д.15-16","Приморский край, г Фокино, п.г.т.Дунай, ул Морская д.26а","Магазин ""Феникс""",ПК0056398,29.12.2008,13.12.2012
"ООО ""Фрегат""",2512004202,"Приморский край, г Фокино, ул Ленина д.13, 2","Приморский край, г Фокино, ул Марии Цукановой д.14а",кафе,ПК0060678/4091,07.09.2012,07.09.2015
"ООО ""Шанс""",2512304654,"Приморский край, г Фокино, п.г.т.Дунай, ул Морская д.20-62","Приморский край, г Фокино, п.г.т.Дунай, ул Советская д.1а",Магазин,ПК0060316/3729,03.07.2012,03.07.2014
"ООО ""Экспресс""",2512302777,"Приморский край, г Фокино, п.г.т.Дунай, ул Морская д.24-21","Приморский край, г Фокино, п.г.т.Дунай, ул Ленина д.16-2,3",Магазин,ПК0060317/3730,03.07.2012,03.07.2013
"ООО ""Элит""",2512302505,"Приморский край, г Фокино, ул Усатого д.1-18","Приморский край, г Фокино, ул Усатого д.1, нежилое помещение 18",Магазин,ПК0058915/2337,23.06.2011,30.06.2016
"ООО ""Юнис""",2512001674,"Приморский край, г Фокино, ул Мищенко д.7","Приморский край, г Фокино, ул Ленина д.20а","Магазин ""Россиянка""",ПК0059629/3042,09.12.2011,27.12.2016
"ООО ""Юнис""",2512001674,"Приморский край, г Фокино, ул Мищенко д.7","Приморский край, г Фокино, ул К.Маркса д.23б","Магазин ""Садко""",ПК0059629/3042,09.12.2011,27.12.2016
"ООО Торговая Сеть ""Уссурийский бальзам""",2511013444,"Приморский край, г Находка, ул Гагарина д.10","Приморский край, г Фокино, ул Усатого д.1",Магазин ,ПК0060689/4102,30.09.2012,30.09.2014
"Федеральное казенное предприятие ""Управление торговли Тихоокеанского флота""",2537040273,"Приморский край, г Владивосток, ул Верхне-Портовая д.12б","Приморский край, г Фокино, ул Марии Цукановой д.14а","Магазин ""Кулинария""",ПК0056752/165,02.04.2009,06.08.2013
"Федеральное казенное предприятие ""Управление торговли Тихоокеанского флота""",2537040273,"Приморский край, г Владивосток, ул Верхне-Портовая д.12б","Приморский край, г Фокино, ул Постникова д.13",Магазин № 1,ПК0056752/165,02.04.2009,06.08.2013
"Федеральное казенное предприятие ""Управление торговли Тихоокеанского флота""",2537040273,"Приморский край, г Владивосток, ул Верхне-Портовая д.12б","Приморский край, г Фокино, ул Постникова д.14",Магазин № 25,ПК0056752/165,02.04.2009,06.08.2013
"Федеральное казенное предприятие ""Управление торговли Тихоокеанского флота""",2537040273,"Приморский край, г Владивосток, ул Верхне-Портовая д.12б","Приморский край, г Фокино, ул К.Маркса д.21",Магазин № 67,ПК0056752/165,02.04.2009,06.08.2013
"Федеральное казенное предприятие ""Управление торговли Тихоокеанского флота""",2537040273,"Приморский край, г Владивосток, ул Верхне-Портовая д.12б","Приморский край, г Фокино, ул Постникова д.13",Магазин № 7,ПК0056752/165,02.04.2009,06.08.2013
"Федеральное казенное предприятие ""Управление торговли Тихоокеанского флота""",2537040273,"Приморский край, г Владивосток, ул Верхне-Портовая д.12б","Приморский край, г Фокино, бухта Анна, в/ч 22938",Магазин № 71,ПК0056752/165,02.04.2009,06.08.2013
"Федеральное казенное предприятие ""Управление торговли Тихоокеанского флота""",2537040273,"Приморский край, г Владивосток, ул Верхне-Портовая д.12б","Приморский край, г Фокино, ул Марии Цукановой д.14а",бар,ПК0056752/165,02.04.2009,06.08.2013
"Федеральное казенное предприятие ""Управление торговли Тихоокеанского флота""",2537040273,"Приморский край, г Владивосток, ул Верхне-Портовая д.12б","Приморский край, г Фокино, ул Марии Цукановой д.14а","кафе ""Офицерское""",ПК0056752/165,02.04.2009,06.08.2013
"ООО ""Анна-Мария""",2530008182,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Горького д.317, 20","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Мира д.30А",Магазин,ПК 0059780/3192,20.01.2012,21.01.2013
"ООО ""Анна-Мария""",2530008182,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Горького д.317, 20","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Трактовая д.42А",Магазин,ПК 0059780/3192,20.01.2012,21.01.2013
"ООО ""Валентина""",2530008030,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Некрасова д.2б","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Некрасова д.2б","Магазин ""Руслан""",ПК0060476/3889,26.07.2012,26.07.2017
"ООО ""Валентина""",2530008030,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Некрасова д.2б","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Трактовая д.26а","Магазин ""Теремок""",ПК0060476/3889,26.07.2012,26.07.2017
"ООО ""Гермес""",2530007196,"Приморский край, Ханкайский р-н, с Астраханка, пер Озерный д.14","Приморский край, Ханкайский р-н, с Астраханка, ул Первомайская д.1",Магазин,ПК0060128/3541,16.05.2012,03.07.2015
"ООО ""Гермес""",2530007196,"Приморский край, Ханкайский р-н, с Астраханка, пер Озерный д.14","Приморский край, Ханкайский р-н, с Владимиро-Петровка, ул Молодежная д.12",Магазин,ПК0060128/3541,16.05.2012,03.07.2015
"ООО ""Гермес""",2530007196,"Приморский край, Ханкайский р-н, с Астраханка, пер Озерный д.14","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Трактовая д.80 А",Магазин,ПК0060128/3541,16.05.2012,03.07.2015
"ООО ""Гермес""",2530007196,"Приморский край, Ханкайский р-н, с Астраханка, пер Озерный д.14","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул 50 лет ВЛКСМ д.12а",Магазин,ПК0060128/3541,16.05.2012,03.07.2015
"ООО ""Гермес""",2530007196,"Приморский край, Ханкайский р-н, с Астраханка, пер Озерный д.14","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Пионерская д.3 А",Магазин,ПК0060128/3541,16.05.2012,03.07.2015
"ООО ""Гермес""",2530007196,"Приморский край, Ханкайский р-н, с Астраханка, пер Озерный д.14","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул 50 лет ВЛКСМ д.12а",бар,ПК0060128/3541,16.05.2012,03.07.2015
"ООО ""Изюминка""",2530007647,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Кирова д.25а","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Кирова д.25а",Магазин,ПК0055797,22.08.2008,22.08.2013
"ООО ""КАМА""",2530007213,"Приморский край, Ханкайский р-н, с Астраханка, ул Блюхера д.5-1","Приморский край, Ханкайский р-н, с Астраханка, ул Решетникова д.75",Магазин,ПК0056016,21.11.2008,21.11.2013
"ООО ""КАМА""",2530007213,"Приморский край, Ханкайский р-н, с Астраханка, ул Блюхера д.5-1","Приморский край, Ханкайский р-н, с Астраханка, ул Первомайская д.30а",Магазин,ПК0056016,21.11.2008,21.11.2013
"ООО ""КАМА""",2530007213,"Приморский край, Ханкайский р-н, с Астраханка, ул Блюхера д.5-1","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Трактовая д.2/3",Магазин,ПК0056016,21.11.2008,21.11.2013
"ООО ""Крона""",2530005424,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Северная д.21","Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Октябрьская д.3",Магазин,ПК0059503/2916,08.11.2011,06.07.2016
"ООО ""Крона""",2530005424,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Северная д.21","Приморский край, Ханкайский р-н, с Троицкое, ул Советская д.17",Магазин,ПК0059503/2916,08.11.2011,06.07.2016
"ООО ""Крона""",2530005424,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Северная д.21","Приморский край, Ханкайский р-н, с Новокачалинск, ул Калинина д.28",Магазин,ПК0059503/2916,08.11.2011,06.07.2016
"ООО ""Крона""",2530005424,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Северная д.21","Приморский край, Ханкайский р-н, с Октябрьское, ул Советская д.24а",Магазин,ПК0059503/2916,08.11.2011,06.07.2016
"ООО ""Крона""",2530005424,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Северная д.21","Приморский край, Ханкайский р-н, с Ильинка, ул Столетия д.12",Магазин,ПК0059503/2916,08.11.2011,06.07.2016
"ООО ""Крона""",2530005424,"Приморский край, Ханкайский р-н, с Камень-Рыболов, ул Северная д.21","Приморский край, Ханкайский р-н, с Платоно-Александровское, ул Почтовая д.36",Магазин,ПК0059503/2916,08.11.2011,06.07.2016
