На 10.10.2012,,,,,,,
,,,,,,,
Наименование,ИНН,Место нахождения,Адрес места осуществления деятельности,Наименование места осуществления деятельности,Серия и номер лицензии,Дата начала,Дата окончания
"ОАО ""Владивосток Авиа""",2502011786,"Приморский край, Артем, ул Портовая д.41","Приморский край, Артем, ул Портовая д.41, в зале официальных лиц и делегаций, расположенный в административном здании аэровокзала (лит А)",бар,ПК0060645/004058,23.08.2012,24.08.2013
"ОАО ""Владивосток Авиа""",2502011786,"Приморский край, Артем, ул Портовая д.41","Приморский край, Артем, ул Портовая д.41, в бизнес зале,расположенный в здании аэровокзала",бар,ПК0060645/004058,23.08.2012,24.08.2013
"ОАО ""Владивосток Авиа""",2502011786,"Приморский край, Артем, ул Портовая д.41","Приморский край, Артем, ул Портовая д.41, в зале официальных лиц и делегаций, расположенный в административном здании аэровокзала (лит А)",бар,ПК0060645/004058,23.08.2012,24.08.2013
"ОАО ""Владивосток Авиа""",2502011786,"Приморский край, Артем, ул Портовая д.41","Приморский край, Артем, ул Портовая д.41, в бизнес зале,расположенный в здании аэровокзала",бар,ПК0060645/004058,23.08.2012,24.08.2013
"ОАО ""Владивосток Авиа""",2502011786,"Приморский край, Артем, ул Портовая д.41","Приморский край, Артем, ул Портовая д.41, помещение службы обеспечения бортовым питанием",помещение,ПК0060645/004058,23.08.2012,24.08.2013
"ОАО ""Владивосток Авиа""",2502011786,"Приморский край, Артем, ул Портовая д.41","Приморский край, Артем, ул Портовая д.41, помещение службы обеспечения бортовым питанием",помещение,ПК0060645/004058,23.08.2012,24.08.2013
"ООО ""АЛЕКСАНДР""",2502043139,"Приморский край, Артем, ул Октябрьская д.5, 20","Приморский край, Артем, ул Кирова д.34",Магазин,ПК0059739/3151,19.01.2012,20.01.2013
"ООО ""АЛМИКС-1""",2502028324,"Приморский край, Артем, ул Фрунзе д.48","Приморский край, Артем, ул Фрунзе д.48","закусочная ""Журавушка""",ПК0057432/845,19.11.2009,01.12.2014
"ООО ""АРТОКС""",2502008984,"Приморский край, Артем, ул Лазо д.11","Приморский край, Артем, ул Лазо д.11",Магазин,ПК0059583/2996,01.12.2011,10.12.2012
"ООО ""Авиатор""",2502027296,"Приморский край, Артем, ул Кирова д.23-4","Приморский край, Артем, ул Фрунзе д.32а",Магазин-супермаркет,ПК0060441/3854,18.07.2012,18.07.2013
"ООО ""Авиатор""",2502027296,"Приморский край, Артем, ул Кирова д.23-4","Приморский край, Артем, ул Фрунзе д.32а",кафе,ПК0060441/3854,18.07.2012,18.07.2013
"ООО ""Авиатор""",2502027296,"Приморский край, Артем, ул Кирова д.23-4","Приморский край, Артем, ул Фрунзе д.32а",ресторан,ПК0060441/3854,18.07.2012,18.07.2013
