,"Реестр действующих лицензий на розничную продажу алкогольной продукции, 
выданных на предприятия торговли и общественного питания Белгородской области по состоянию на 01.05.2012",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,№ п/п,Наименование территориально обособленного объекта,Дата добавления объекта,Муниципальное образование,Место нахождения объекта,ИНН организации,КПП объекта,Тип предприятия,Наименование организации,ОПФ,Местонахождения организации,Регистрационные номера и срок действия лицензии
3122504762/311145001,47,"Отдел в магазине ""Влад""",,Красногвардейский район,"Красногвардейский район, с. Ливенка, ул. Ленина, д. 92/1",3122504762,311145001,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311132023,48,"Отдел в магазине ""Вояж""",,Красногвардейский район,"Красногвардейский район, с. Никитовка, ул. Калинина, д. 3",3122504762,311132023,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/312245004,49,"Отдел в магазине ""Гурман""",,г. Алексеевка,"г. Алексеевка, ул. Л.Толстого, д. 91 (складское помещение - г.Алексеевка, ул.Привокзальная, д.12)",3122504762,312245004,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311245009,50,"Отдел в магазине ""Денисок""",,Красненский район,"Красненский район, с. Камызино, ул. Ленина, д. 15-а",3122504762,311245009,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/312232016,51,"Отдел в магазине ""Дмитриевский""",,г. Алексеевка,"г. Алексеевка, ул. Комсомольская, 60-б",3122504762,312232016,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/312232018,52,"Отдел в магазине ""Дорожник""",,Алексеевский район,"Алексеевский район, с. Иловка, ул. Красногвардейская, д.1-а",3122504762,312232018,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311132029,53,"Отдел в магазине ""Дорожный""",,Красногвардейский район,"Красногвардейский район, с. Казацкое, ул. Дорожная, д. 22-а",3122504762,311132029,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311145011,54,"Отдел в магазине ""Дубрава""",,Красногвардейский район,"Красногвардейский район, с. Валуйчик, ул. Черняховского, д. 8",3122504762,311145011,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки до 15%"
3122504762/311132024,55,"Отдел в магазине ""Егорьевский""",,Красногвардейский район,"Красногвардейский район, с. Веселое, ул. Мира, д. 15-а",3122504762,311132024,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311132014,56,"Отдел в магазине ""Егорьевский""",,Красногвардейский район,"Красногвардейский район, с. Веселое, ул. Куйбышева, д. 111-а",3122504762,311132014,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
