Реестр  действующих лицензии на розничную продажу алкогольной продукции в  Калининградской области (на 01.10.2012 г.),,,,,,,,,,,,,,,,,,,,,
№ лиц.:,До:,ОПФ:,Лицо:,Адрес:,ИНН:,Район:,Город:,Селение:,Улица:,Дом:,Корпус:,Квартира:,Ориентир,Описание,,,,,,,
39/АЛК/08/367,29/10/2013,ООО,"""СЕВЕРНАЯ ЗВЕЗДА""","236040, Калининградская обл., г. Калининград, пл. Победы, д. 4",3905022246,,г. Калининград,,пл. Победы,д. 4,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/69,28/02/2013,ООО,"""СЕВЕРНОЕ СИЯНИЕ""","236006, Калининградская обл., г. Калининград, пр-кт Московский, д. 133-б, кв. 1",3906098801,,г. Калининград,,ул. Киевская,д. 74,,,,литер I из литера А,,,,,,,
39/АЛК/12/62,20/02/2014,ООО,"""Севилья""","236001, Калининградская обл., г. Калининград, ул. Ялтинская, д. 20",3906094620,,г. Калининград,,ул. Черняховского,д. 15,кафе,,,,,,,,,,
39/АЛК/11/195,08/04/2016,ОАО,"""Седьмой Континент""","125581, г. Москва, ул. Фестивальная, д. 8, стр. 1",7705005628,,г. Гурьевск,,ул. Красная,д. 2-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/694,02/11/2012,ООО,"""Седьмой Континент-СЗ""","236006, Калининградская обл., г. Калининград, ул. Фрунзе, д. 15-а",3906141905,,г. Калининград,пгт Прибрежный,ул. Строительная,д. 9-а,,,,,,,,,,,
39/АЛК/12/129,16/03/2017,ООО,"""СЕЛЕСТА""","238400, Калининградская обл., г. Правдинск, ул. Кутузова, д. 2",3923003197,,г. Правдинск,,ул. Кутузова,д. 2,,,,,,,,,,,
39/АЛК/12/243,05/05/2013,ООО,"""СЕМУРГ""","236040, Калининградская обл., г. Калининград, ул. Шевченко, д. 2",3906180196,,г. Калининград,,пр-кт Гвардейский,д. 10,кафе,,,,,,,,,,
39/АЛК/11/560,04/08/2016,ООО,"""Семь братьев""","236011, Калининградская обл., г. Калининград, ул. Муромская, д. 31",3906154566,,г. Калининград,,ул. Муромская,д. 31,,,,,,,,,,,
39/АЛК/11/440,24/06/2013,ООО,"""Семь Ветров""","236011, Калининградская обл., г. Калининград, ул. Батальная, д. 79-б",3907052920,,г. Калининград,,ул. Батальная,д. 79-б,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/726,25/11/2014,ООО,"""Семь вкусов""","236040, Калининградская обл., г. Калининград, ул. Шевченко, д. 5-а,7-9-11, 11-а",3906216452,,г. Калининград,,ул. Шевченко,д. 5-а,7-9-11,11-а,,кафе,,,,,,,
39/АЛК/11/628,23/09/2013,ООО,"""СЕМЬ СЕРДЕЦ""","236009, Калининградская обл., г. Калининград, ул. Б.Окружная-4, д. 94, кв.1",3906150427,,г. Калининград,,пр-кт Мира,д. 106,,,,,,,,,,,
39/АЛК/08/2,18/01/2013,ООО,"""СЕМЬ""","238750, Калининградская обл., г. Советск, ул. Школьная, д. 3",3911013144,,г. Советск,,ул. Школьная,д. 3,,,1-й этаж,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/488,08/07/2013,ООО,"""Семья""","238444, Калининградская обл., г. Ладушкин, ул. Победы, д. 12-а",3915451727,,г. Ладушкин,,ул. Победы,д. 12-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/479,21/08/2014,ООО,"""Сервис Продукт""","238550, Калининградская обл., г. Светлогорск, ул. Островского, д. 3, кв. 5",3912502652,,г. Светлогорск,,ул. Островского,д. 3,,,,,,,,,,,
39/АЛК/11/569,12/08/2016,ООО,"""Серебряные родники""","236901, Калининградская обл., г. Калининград, ул. Дорожная, д. 9",3908025647,,г. Калининград,,пр-кт Ленинский,д. 111-117,,,кафе,,,,,,,,
39/АЛК/11/36,04/02/2013,ООО,"""Серебряный дождь""","236040, г. Калининград, пл. Победы, д. 4-а, корп. 1, каб. 622",3905041922,,г. Калининград,,пр-кт Ленинский,д. 18,кафе,,,литер IV из литера А,,,,,,,
39/АЛК/12/331,25/06/2013,ООО,"""СИА""","236039, г. Калининград, ул. Железнодорожная, д. 7, пав. 15",3908035821,,г. Калининград,,ул. Железнодорожная,д. 7,,,,"секции 15,16 из литера Ж, закусочная",,,,,,,
39/АЛК/09/212,14/05/2014,ООО,"""Сигма Балтия""","236040, Калининградская обл., г. Калининград, ул. Сергеева, д. 14",3906081621,,г. Калининград,,ул. Горького,д. 197,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/664,19/10/2012,ООО,"""Сириус ЛТД""","238750, Калининградская обл., г. Советск, ул. Больничная, д. 6, кв. 1",3911012077,,г. Неман,,ул. Советская,д. 3-а,,,,,,,,,,,
39/АЛК/11/438,24/06/2016,ООО,"""СИРИУС""","238315, Калининградская обл., Гурьевский р-н, п. Храброво, ул. Гвардейская, д. 26, кв. 27",3917029133,Гурьевский р-н,,п. Храброво,ул. Гвардейская,,,,торговый павильон,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/548,24/12/2013,ООО,"""СиС Минус""","238560, Калининградская обл., г. Светлогорск, ул. Ленина, д. 20",3912008436,,г. Светлогорск,,ул. Ленина,д. 20-а,,,кафе-магазин,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/08/56,27/02/2013,ООО,"""СКАРЛЕТТ ПЛЮС""","238400, Калининградская обл., г. Правдинск, ул. Торговая, д. 6",3923003214,,г. Правдинск,,ул. Кутузова,д. 58-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/175,06/04/2015,ООО,"""СкорпВес""","238710, Калининградская обл., г. Неман, ул. Первомайская, д. 10",3909027326,,г. Неман,в районе,ул. Комсомольская,д. 4,,,,,,,,,,,
39/АЛК/12/61,20/02/2013,ООО,"""СЛОН""","238450, Калининградская обл., г. Мамоново, ул. Чекистов, д. 21",3915007536,,г. Мамоново,,ул. Михайлицина,д. 10,,,,"Литер: А, Б",,,,,,,
39/АЛК/12/47,08/02/2015,ООО,"""Случь""","238450, Калининградская обл., г. Мамоново, ул. Шоссейная, д. 6",3915501992,,г. Мамоново,,ул. Шоссейная,д. 6-а,,,,,,,,,,,
39/АЛК/12/307,08/06/2017,ООО,"""СОВСТРОЙИНВЕСТ""","236034, Калининградская обл., г. Калининград, пер. Ржевский-2, д. 20",3907207203,,г. Пионерский,,ул. Флотская,д. 2-а,,,,,,,,,,,
39/АЛК/11/750,02/12/2014,ООО,"""СОЖ 555""","238100, Калининградская обл., г. Черняховск, ул. Комсомольская, д. 13, кв. 7",3914013375,,г. Черняховск,,ул. Суворова,д. 14,бар,,,,,,,,,,
39/АЛК/11/696,02/11/2012,ООО,"""Соробей""","236016, Калининградская обл., г. Калининград, ул. Фрунзе, д. 75",3906143243,,г. Калининград,,ул. Фрунзе,д. 75,,,,закусочная,,,,,,,
39/АЛК/12/348,29/06/2017,ООО,"""СОФИ""","236039, Калининградская обл., г. Калининград, пр-кт Калинина, д. 4",3907050418,,г. Калининград,,пр-кт Калинина,д. 4,,,,литер Г и Г1,,,,,,,
39/АЛК/12/17,13/01/2015,ООО,"""Софиты""","236000, Калининградская обл., г. Калининград, пр-кт Ленинский, д. 30, офис 607",3906251168,,г. Калининград,,пр-кт Ленинский,д. 30,бар,,1-й подвальный этаж,,,,,,,,
39/АЛК/11/608,02/09/2016,ООО,"""Союз Виктор и Я""","236000, Калининградская обл., г. Калининград, ул. Горького, д. 195, пав. № 8",3906151364,,г. Калининград,,ул. Горького,д. 195,,,"павильон № 8, 9",,,,,,,,
39/АЛК/11/727,25/11/2012,ООО,"""Союз-Ц""","236000, Калининградская обл., г. Калининград, пр-кт Советский, д. 28",3904001123,,г. Калининград,,пр-кт Советский,д. 24-28,,,,,,,,,,,
39/АЛК/11/807,23/12/2014,ООО,"""Ставор""","238450, Калининградская обл., г. Мамоново, ул. Жабинского, д. 4",3915502604,,г. Мамоново,,ул. Жабинского,д. 4,,,,литер I из литера А,,,,,,,
39/АЛК/12/329,25/06/2015,ООО,"""СТАЛКЕР""","238340, Калининградская обл., г. Светлый, ул. Ленина, д. 16-а",3913501595,,г. Светлый,,ул. Красноармейская,д. 7,,,,литера I,,,,,,,
39/АЛК/10/25,28/01/2013,ООО,"""СТАНДАРТ СЕРВИС""","236039, г. Калининград, ул. Октябрьская, д. 8",3907200134,,г. Калининград,,ул. Октябрьская,д. 6,,,"2-й этаж, бар",без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/803,23/12/2012,ООО,"""Стандарт""","236000, Калининградская обл., г. Калининград, пр-кт Мира, д. 19/21",3905064535,,г. Калининград,,ул. Эпроновская,д. 21,кафе,,,литер А,,,,,,,
39/АЛК/11/594,26/08/2016,ООО,"""Старая Мельница""","238051, Калининградская обл., г. Гусев, ул. Школьная, д. 17-а",3902068926,Гусевский р-н,,п. Липово,ул. Колхозная,д. 42,,,,ресторан,,,,,,,
39/АЛК/09/825,30/12/2012,ООО,"""СТАРТ""","238301, Калининградская обл., Гурьевский р-н, п. Рассвет, ул. Центральная, д. 20",3917029060,,г. Калининград,,ул. Батальная,д. 4,,,,с содержанием этилового спирта не более 15% объёма готовой продукции,,,,,,,
39/АЛК/11/797,23/12/2012,ООО,"""Старый Доктор""","238550, Калининградская обл., г. Светлогорск, ул. Гагарина, д. 12",3912012288,,г. Светлогорск,,ул. Гагарина,д. 12,кафе,,,,,,,,,,
39/АЛК/07/339,20/11/2012,ООО,"""Старый Мастер""","236005, Калининградская обл., г. Калининград, ул. Камская, д. 2-б",3908021473,,г. Калининград,,ул. Морозова П.,д. 10-26,,,,закусочная,,,,,,,
39/АЛК/08/21,11/02/2013,ООО,"""Стел-Макс""","238150, Калининградская обл., г. Черняховск, ул. Госпитальная, д. 18",3914013551,,г. Черняховск,,ул. Госпитальная,д. 18,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/09/692,05/11/2012,ООО,"""Супер Норма""","238300, Калининградская обл., Гурьевский р-н, п. Шоссейное, ул. Калининградское шоссе, д. 18-а",3917504999,Гурьевский р-н,,п. Шоссейное,ул. Калининградское шоссе,д. 18-а,,,,,,,,,,,
39/АЛК/09/834,30/12/2012,ООО,"""Сфинкс""","238700, Калининградская обл., г. Советск, ул. Победы, д. 26-28",3911015007,,г. Советск,,ул. Победы,д. 26-28,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/764,08/12/2012,ООО,"""Сюрприз плюс""","238510, Калининградская обл., г. Приморск, ул. Янтарная, д. 7-а",3901003330,Балтийский ГО,г. Приморск,,ул. Янтарная,д. 7-а,,,,,,,,,,,
39/АЛК/10/102,26/03/2013,ООО,"""Табаско Один""","236000, г. Калининград, пр-кт Мира, д. 19",3905610093,,г. Калининград,,пр-кт Мира,д. 19-21,,,цокольный этаж,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/87,25/02/2013,ООО,"""Табаско три""","236009, г. Калининград, ул. Колхозная, д. 12, кв. 1",3906171265,,г. Калининград,,пр-кт Победы,д. 137,,,1-ый этаж,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/444,03/11/2013,ООО,"""ТабаскоКалининград""","236000, г. Калининград, ул. Горького, д. 154-а",3906219936,,г. Калининград,,ул. Горького,д. 154-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/471,21/08/2013,ООО,"""Тай Кон""","236039, Калининградская обл., г. Калининград, ул. Ольштынская, д. 44",3907206320,,г. Калининград,,ул. Ольштынская,д. 44,,,"- пер. Ольштынский, д. 1-9",литер I из лит.А,,,,,,,
39/АЛК/08/235,16/07/2013,ООО,"""Тайм Аут""","238642, Калининградская обл., Полесский р-н, п. Залесье, ул. Большаковская, д. 30, кв. 2",3922005995,,г. Калининград,,ул. Л.Иванихиной,д. 2-б,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/435,10/08/2017,ООО,"""Талл-Трейд""","236030, Калининградская обл., г. Калининград, ул. Ялтинская, д. 89",3906154510,,г. Калининград,,ул. Ялтинская,д. 89,,,,"литер III, а из лит.А",,,,,,,
39/АЛК/11/439,24/06/2013,ООО,"""Тамара""","238340, Калининградская обл., г. Светлый, ул. Парковая, д. 3, кв. 90",3913010614,,г. Светлый,,ул. Калининградская,д. 22,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/815,29/12/2016,ООО,"""Тандем""","238317, Калининградская обл., Гурьевский р-н, п. Заливное, ул. Центральная, д. 8",3917030467,,г. Калининград,,ул. Можайская,д. 55-63,,,,литер II из литера А,,,,,,,
39/АЛК/12/472,21/08/2013,ООО,"""Тарго""","238550, Калининградская обл., г. Светлогорск, ул. Мичурина, д. 4, кв. 66",3912011968,,г. Светлогорск,квартал,ул. Пионерская-Ленинградская,магазин,,,помещение № 2,литер 2А,,,,,,,
39/АЛК/11/737,25/11/2016,ООО,"""Тасун""","236010, Калининградская обл., г. Калининград, пр-кт Победы, д. 137-в",3905612573,,г. Калининград,,пр-кт Мира,д. 191,,,,,,,,,,,
39/АЛК/12/50,13/02/2013,ООО,"""ТАТЬЯНА""","236011, Калининградская обл., г. Калининград, ул. Батальная, д. 94, кв. 160",3908035892,,г. Калининград,,ул. Туруханская,д. 1-а,закусочная,,,"Литера Г, г1, г2",,,,,,,
39/АЛК/11/633,23/09/2014,ООО,"""ТАУР-торг""","236901, Калининградская обл., г. Калининград, пгт Прибрежный, ул. Рабочая, д. 4-а",3908021917,,г. Калининград,,ул. Заводская,д. 3-а,,,,,,,,,,,
39/АЛК/12/208,20/04/2017,ООО,"""ТВ ""Компания""","236013, Калининградская обл., г. Калининград, ул. Алтайская-1, д. 29",3905606001,,г. Советск,,ш. Жилинское,д. 25-б,,,,,,,,,,,
39/АЛК/09/727,26/11/2012,ООО,"""ТД Центральный""","236000, Калининградская обл., г. Калининград, ул. Судостроительная, д. 75",3907054596,,г. Калининград,,ул. Судостроительная,д. 75,,,,,,,,,,,
39/АЛК/11/816,29/12/2012,ООО,"""ТЕЗЕЙ""","236038, Калининградская обл., г. Калининград, ул. Ю.Гагарина, д. 42",3906001190,,г. Калининград,,ул. Эпроновская,д. 4-6,кафе,,,литер I,,,,,,,
39/АЛК/11/744,02/12/2016,ООО,"""Терек""","236023, Калининградская обл., г. Калининград, ул. Молочинского, д. 10",3904075372,,г. Калининград,,ул. Киевская,д. 120-а,,,,литер VIII из литера А и литер I из литера А,,,,,,,
39/АЛК/12/278,25/05/2013,ООО,"""Терраса""","238534, Калининградская обл., Зеленоградский р-н, п. Лесной, ул. Невского, д. 26",3918028340,Зеленоградский р-н,,п. Лесной,ул. Невского,д. 26,кафе,,,,,,,,,,
39/АЛК/12/7,13/01/2013,ООО,"""Территория ""Якитория""","236000, Калининградская обл., г. Калининград, пр-кт Ленинский, д. 18",3904053523,,г. Калининград,,пр-кт Ленинский,д. 18,кафе,,1-й этаж,литер III,,,,,,,
39/АЛК/11/715,18/11/2012,ООО,"""ТерриТория Вкуса плюс""","236000, Калининградская обл., г. Калининград, ул. Чернышевского, д. 24",3906246305,,г. Калининград,,ул. Туркменская,д. 1,,,,,,,,,,,
39/АЛК/12/491,24/08/2013,ООО,"""ТерриТория Вкуса""","236000, Калининградская обл., г. Калининград, ул. Чернышевского, д. 24",3904612958,,г. Калининград,,ул. Туркменская,д. 1,,,,,,,,,,,
39/АЛК/11/798,23/12/2012,ООО,"""Техно-компакт""","236008, Калининградская обл., г. Калининград, ул. Колхозная, д. 26",3906092704,,г. Калининград,,ул. Червонная,д. 17,,,,литер Б,,,,,,,
39/АЛК/11/662,19/10/2014,ООО,"""ТехПромТорг""","236040, Калининградская обл., г. Калининград, ул. Шевченко, д. 5-а, 7-9-11",3906204295,,г. Калининград,,ул. Дм.Донского,д. 19,бар,,,,,,,,,,
39/АЛК/10/342,10/09/2015,ООО,"""Титры""","238550, Калининградская обл., г. Светлогорск, пер. Сиреневый, д. 4-5",3912501313,,г. Светлогорск,,пер. Лермонтовский,д. 2-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/515,31/08/2013,ООО,"""Тихая Гавань""","238550, Калининградская обл., г. Светлогорск, ул. Садовая, д. 7",3912009856,,г. Светлогорск,,ул. Октябрьская,д. 3,кафе,,,,,,,,,,
39/АЛК/12/419,01/08/2015,ООО,"""Толпаки-сервис""","238210, Калининградская обл., г. Гвардейск, ул. Гагарина, д. 6",3916009790,Гвардейский р-н,,п. Борское,,д. 53,,,магазин № 10,,,,,,,,
39/АЛК/11/586,17/08/2014,ООО,"""ТОЛЬКО ДЛЯ ВАС""","238050, Калининградская обл., г. Гусев, ул. Железнодорожная, д. 8",3902006398,,г. Гусев,,пр-кт Ленина,д. 43,,,,,,,,,,,
39/АЛК/11/646,10/10/2016,ООО,"""Торг-Хаус""","236011, Калининградская обл., г. Калининград, ул. Машиностроительная, д. 4, кв. 13",3908035170,,г. Калининград,,ул. Судостроительная,д. 94,,,,,,,,,,,
39/АЛК/11/389,10/06/2016,ЗАО,"""Торгмортранс""","236039, г. Калининград, ул. Причальная-4, д. 24",3903001360,,г. Калининград,,ул. Причальная-4,д. 24,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/08/40,19/02/2013,ООО,"""Торговая компания ""ДВОЕ""","236023, г. Калининград, ул. Красная, д. 115",3904045882,,г. Калининград,,пр-кт Победы,д. 117-127,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/266,24/05/2015,ООО,"""Торговая сеть ""Семья""""","236038, Калининградская обл., г. Калининград, пер. Краснодонский, д. 8, кв. 34",3906225383,,г. Калининград,,ул. Ген-лт.Озерова,д. 7-13,,,,литер IV из лит.А,,,,,,,
39/АЛК/11/559,04/08/2013,ООО,"""Торговая фирма Магазин 25""","236006, Калининградская обл., г. Калининград, ул. А.Невского, д. 176",3906012071,,г. Калининград,,ул. А.Невского,д. 176-178,,,,,,,,,,,
39/АЛК/07/379,14/12/2012,ООО,"""Торговый Дом ""БНК""","238300, Калининградская обл., г. Гурьевск, ул. Гранитная, д. 12",3917030932,Багратионовский р-н,,п. Рябиновка,ул. Калининградская,д. 2-б,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/408,27/07/2017,ООО,"""Торговый дом ""Гагаринский""","236008, Калининградская обл., г. Калининград, ул. Грибоедова, д. 12-а",3906146452,,г. Калининград,,ул. Артиллерийская,д. 63,,,,литер XXX из лит.А,,,,,,,
39/АЛК/11/265,05/05/2016,ООО,"""Торговый дом ""МЕЛЬНИЦА""","236006, г. Калининград, ул. Литовский Вал, д. 25",3906111763,,г. Калининград,,ул. Киевская,д. 121-б,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/249,26/04/2014,ООО,"""ТОРГОВЫЙ ДОМ ""РОСВЕСТАЛКО""","236040, Калининградская обл., г. Калининград, ул. Черняховского, д. 80",3906069215,,г. Калининград,,ул. Черняховского,д. 80,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/326,19/05/2016,ООО,"""Торговый дом ""Тимербаев""","236000, Калининградская обл., г. Калининград, пр-кт Мира, д. 5/7",3905044970,,г. Калининград,,пер. Трамвайный,д. 12-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/272,25/05/2017,ООО,"""Торговый дом ""ШАНС""","238224, Калининградская обл., Зеленоградский р-н, п. Переславское, ул. Гвардейская, д. 21",3918009965,Зеленоградский р-н,,п. Переславское,ул. Гвардейская,д. 16-а,,,,,,,,,,,
39/АЛК/12/239,05/05/2013,ООО,"""Торговый дом - Запад""","236039, Калининградская обл., г. Калининград, пр-кт Калинина, д. 65-69",3907046482,,г. Калининград,,ул. Брусничная,д. 1,магазин,,,литер I из лит.А,,,,,,,
39/АЛК/10/483,03/12/2015,ООО,"""Торговый дом XXI Век""","236023, г. Калининград, ул. Ген-лт.Захарова, д. 1",3908032122,,г. Калининград,,ул. Полоцкая,д. 45,,,,с содержанием этилового спирта не более 15% объёма готовой продукции,,,,,,,
39/АЛК/11/680,28/10/2012,ООО,"""Торговый дом Вилия +""","238550, Калининградская обл., г. Светлогорск, пр. Калининградский, д. 5, литер А",3912009863,Зеленоградский р-н,,п. Грачевка,ул. Центральная,д. 1,,,,,,,,,,,
39/АЛК/08/466,24/12/2013,ООО,"""Торговый дом Левана""","238355, Калининградская обл., Гурьевский р-н, п. Луговое, ул. Центральная, д. 1-а",3906037291,Гурьевский р-н,,п. Луговое,ул. Центральная,д. 1-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/09/714,19/11/2012,ООО,"""Торговый дом Людмила""","236040, г. Калининград, пр. Озерный, д. 2",3906096152,,г. Калининград,,пр. Озерный,д. 2,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/55,13/02/2015,ООО,"""Торговый дом Орбита""","238030, Калининградская обл., г. Гусев, ул. Московская, д. 1",3902006447,,г. Гусев,,ул. Московская,д. 1,,,,,,,,,,,
39/АЛК/11/708,11/11/2014,ООО,"""Торговый дом Разноторг""","236005, Калининградская обл., г. Калининград, ул. Камская, д. 65",3908035941,,г. Пионерский,,ул. Флотская,д. 13,,,,,,,,,,,
39/АЛК/10/253,16/07/2013,ООО,"""ТоргТрест""","236000, г. Калининград, пр-кт Советский, д. 292",3904612115,,г. Калининград,,пр-кт Советский,д. 292,,,,,,,,,,,
39/АЛК/12/489,22/08/2013,ООО,"""ТОРГУС""","236010, Калининградская обл., г. Калининград, ул. Энгельса, д. 36, кв. 4",3905046254,,г. Калининград,,ул. Пугачева,д. 13,ресторан,,,,,,,,,,
39/АЛК/12/535,10/09/2013,ООО,"""ТОРСКОМ""","236000, Калининградская обл., г. Калининград, ул. Алябьева, д. 14, кв. 5",3904005294,,г. Калининград,,ул. К.Маркса,д. 57-59,,,,литер V из лит.А,,,,,,,
39/АЛК/10/336,07/09/2015,ООО,"""Транс-А""","236040, Калининградская обл., г. Калининград, пл. Победы, д. 10",3905036577,,г. Калининград,,пл. Победы,д. 10,,,,,,,,,,,
39/АЛК/11/748,02/12/2012,ООО,"""Трансфрукт""","238750, Калининградская обл., г. Советск, ул. А.Невского, д. 2-в",3911011468,,г. Советск,,ул. А.Невского,д. 2-в,бар,,,,,,,,,,
39/АЛК/10/282,05/08/2013,ООО,"""Три К""","236000, г. Калининград, ул. Красная, д. 85",3904027121,Зеленоградский р-н,,п. Аральское,шоссе Светлогорское,д. 1-б,,,,,,,,,,,
39/АЛК/11/595,26/08/2016,ООО,"""Трио""","238030, Калининградская обл., г. Гусев, ул. Школьная, д. 17-а",3902800716,,г. Гусев,,ул. Школьная,д. 17-а,,,,,,,,,,,
39/АЛК/09/748,03/12/2012,ООО,"""Трой""","236040, г. Калининград, пр. Озерный, д. 2, кв. 1",3906201400,,г. Калининград,,пр. Озерный,д. 2,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/649,10/10/2012,ООО,"""ТСД""","238550, Калининградская обл., г. Светлогорск, пер. Ягодный, д. 1, кв. 21",3912012182,,г. Светлогорск,,пр. Калининградский,д. 88,,,,,,,,,,,
39/АЛК/10/386,04/10/2013,ООО,"""ТЭК-КАЛИНИНГРАД""","238310, Калининградская обл., Гурьевский р-н, п. Васильково, ул. Шатурская, д. 1-в",3917507051,,г. Черняховск,,ш. Гусевское,д. 26,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/40,11/02/2013,ООО,"""Тэлла""","236901, г. Калининград, пгт Прибрежный, ул. Береговая, д. 66, кв. 20",3908601178,,г. Калининград,пгт Прибрежный,ул. Парковая,д. 1,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/353,29/06/2013,ООО,"""Угловой""","236010, Калининградская обл., г. Калининград, ул. Бородинская, д. 6, кв. 8",3905074854,,г. Калининград,,ул. Больничная,д. 21-25,,,,"литер II из литера А, кафе",,,,,,,
39/АЛК/11/710,11/11/2016,ООО,"""УНИВЕРСАМ ""МОСКОВСКИЙ""","236030, Калининградская обл., г. Калининград, пр-кт Московский, д. 83",3906014784,,г. Калининград,,пр-кт Московский,д. 83,,,,магазин,,,,,,,
39/АЛК/12/111,16/03/2013,ООО,"""Универсам ""Северный""","236029, Калининградская обл., г. Калининград, ул. Зеленая, д. 76",3906003158,,г. Калининград,,ул. Зеленая,д. 76,закусочная,,,,,,,,,,
39/АЛК/09/60,05/03/2014,ФКП,"""Управление торговли Балтийского флота""","236006, Калининградская обл., г. Калининград, ул. Черепичная, д. 21",3906075829,,г. Гвардейск,,ул. Тельмана,д. 21,,,,,,,,,,,
39/АЛК/09/755,09/12/2014,ОАО,"""Управление торговли Балтийского флота""","236006, Калининградская обл., г. Калининград, ул. Черепичная, д. 21",3906211415,,г. Гвардейск,,ул. Тельмана,д. 21,,,,,,,,,,,
39/АЛК/08/251,30/07/2013,ООО,"""Уралочка""","236006, Калининградская обл., г. Калининград, ул. Грига, д. 58-а",3903006908,,г. Калининград,,ул. Грига,д. 58-а,,,,без ограничения содержания этилового спирта в готовой продукции.,,,,,,,
39/АЛК/07/386,19/12/2012,ООО,"""УРУСВАТИ""","238550, Калининградская обл., г. Светлогорск, ул. Октябрьская, д. 22",3912000726,,г. Светлогорск,,ул. Октябрьская,д. 22,,,,"кафе ""У лукоморья""",,,,,,,
39/АЛК/12/21,19/01/2015,ООО,"""Учебно-оздоровительный комплекс ""Олимп""","238560, Калининградская обл., г. Светлогорск, пр. Калининградский, д. 72-в",3912009060,,г. Светлогорск,,пр. Калининградский,д. 72-в,ресторан,,,,,,,,,,
39/АЛК/11/616,09/09/2014,ООО,"""ФАВОРИТ""","236030, Калининградская обл., г. Калининград, пр-кт Московский, д. 127, кв. 26",3906165960,,г. Калининград,,ул. Интернациональная,д. 58-а,секция №23,,,,,,,,,,
39/АЛК/12/253,18/05/2015,ООО,"""Факт""","238580, Калининградская обл., г. Светлогорск, пгт Янтарный, ул. Советская, д. 70",3912502211,,г. Светлогорск,,ул. Верещагина,д. 10,ресторан,,,,,,,,,,
39/АЛК/11/245,22/04/2013,ООО,"""Феникс""","236010, Калининградская обл., г. Калининград, ул. Вагоностроительная, д. 12-а",3906228296,,г. Калининград,,ул. Вагоностроительная,д. 12-а,,,,с содержанием этилового спирта не более 15% объёма готовой продукции,,,,,,,
39/АЛК/09/829,30/12/2012,ООО,"""ФЕОДАЛ""","236008, г. Калининград, ул. Ленинградская, д. 39, кв. 1",3906148918,,г. Калининград,,ул. Черняховского,д. 15,,,павильон № П-040,с содержанием этилового спирта не более 15% объёма готовой продукции,,,,,,,
39/АЛК/12/254,18/05/2014,ООО,"""ФЕЯ +""","236011, Калининградская обл., г. Калининград, ул. У.Громовой, д. 2-б",3908034909,,г. Калининград,,ул. У.Громовой,д. 2-б,закусочная,,,,,,,,,,
39/АЛК/11/168,01/04/2016,ООО,"""ФИЛИПП""","236000, Калининградская обл., г. Калининград, ул. Каштановая Аллея, д. 47",3907007331,,г. Калининград,,ул. Красная,д. 3-5,,,,,,,,,,,
39/АЛК/10/517,17/12/2015,ООО,"""фирма ""100""","236011, г. Калининград, ул. Аллея Смелых, д. 164/2",3907014057,,г. Калининград,,ул. Аллея Смелых,д. 164,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
