Реестр  действующих лицензии на розничную продажу алкогольной продукции в  Калининградской области (на 01.10.2012 г.),,,,,,,,,,,,,,,,,,,,,
№ лиц.:,До:,ОПФ:,Лицо:,Адрес:,ИНН:,Район:,Город:,Селение:,Улица:,Дом:,Корпус:,Квартира:,Ориентир,Описание,,,,,,,
39/АЛК/11/615,09/09/2013,ООО,"""АртКлуб""","236000, Калининградская обл., г. Калининград, пр-кт Мира, д. 67",3905053100,,г. Калининград,,пр-кт Мира,д. 67,,,,,,,,,,,
39/АЛК/12/370,06/07/2013,ООО,"""АССОЛЬ""","238520, Калининградская обл., г. Балтийск, ул. Головко, д. 5",3901000153,,г. Балтийск,,ул. Ленина,д. 18-а,ресторан,,,,,,,,,,
39/АЛК/08/133,29/04/2013,ООО,"""АТЛА""","236039, Калининградская обл., г. Калининград, пр-кт Ленинский, д. 42-б",3908006098,,г. Калининград,,пр-кт Ленинский,д. 42-б,,,,ресторан,,,,,,,
39/АЛК/12/557,25/09/2015,ООО,"""Атмосфера""","236000, Калининградская обл., г. Калининград, пр-кт Ленинский, д. 30, офис 703",3906236650,,г. Калининград,,ул. Беланова,д.1,бар,,подвал,,,,,,,,
39/АЛК/11/772,09/12/2012,ЗАО,"""Аэропорт ""Храброво""","238315, Калининградская обл., Гурьевский р-н, п. Храброво, Аэропорт",3917505777,Гурьевский р-н,,п. Храброво,Аэропорт,,,,,"Служба общественного и бортового питания, кафе",,,,,,,
39/АЛК/11/754,02/12/2016,ООО,"""Багира""","238350, Калининградская обл., Гурьевский р-н, п. Шоссейное, ш. Калининградское, д. 24, кв. 5",3917030379,,г. Калининград,,ул. Можайская,д. 30,,,,,,,,,,,
39/АЛК/12/191,13/04/2013,ООО,"""Багратионовская звезда""","238424, Калининградская обл., Багратионовский р-н, п. Партизанское, ул. Новая",3915008850,Багратионовский р-н,,п. Партизанское,ул. Новая,д. 1-а,,,,,,,,,,,
39/АЛК/12/461,21/08/2015,ПО,"""Багратионовское районное потребительское общество""","238420, Калининградская обл., г. Багратионовск, ул. Калининградская, д. 9",3915001661,Багратионовский р-н,,п. Славское,ул. А.Тхоржевского,д. 30-а,,,,,,,,,,,
39/АЛК/12/526,10/09/2017,,"""База отдыха ""Балтийские пески"" Центрального банка Российской Федерации (Банка России)""","238534, Калининградская обл., Зеленоградский р-н, п. Лесной, ул. Набережная, д. 4-а",7702235133,Зеленоградский р-н,,п. Лесной,ул. Набережная,д. 4-а,бар №2,,,литер С,,,,,,,
39/АЛК/11/583,19/08/2014,ООО,"""БАЛЕКС""","236030, Калининградская обл., г. Калининград, ул. Римская, д. 24, кв. 2",3906154870,,г. Калининград,,ул. А.Невского,д. 62-62в,,,,,,,,,,,
39/АЛК/12/286,31/05/2017,ООО,"""Балт - Аллюр СПМ""","236011, Калининградская обл., г. Калининград, ул. Интернациональная, д. 41, кв. 33",3907029871,,г. Калининград,,ул. Интернациональная,д. 58-а,,,"секции 10, 11",предприятие общественного питания,,,,,,,
39/АЛК/09/634,02/10/2012,ООО,"""Балт - Пит""","236030, г. Калининград, ул. Ялтинская, д. 20",3905051617,,г. Калининград,,ул. Ялтинская,д. 20-а,закусочная,,,,,,,,,,
39/АЛК/12/559,28/09/2013,ООО,"""Балт-Самбия""","236010, Калининградская обл., г. Калининград, пр-кт Победы, д. 42-б",3905039105,,г. Калининград,,пр-кт Победы,д. 42-б,закусочная,,,,,,,,,,
39/АЛК/12/224,27/04/2017,ООО,"""Балтавтопарк""","236023, Калининградская обл., г. Калининград, ул. Марш.Борзова, д. 39-41",3906082664,,г. Калининград,,ул. Марш.Борзова,д. 39-41,,,,I из литеры А,,,,,,,
39/АЛК/09/768,10/10/2012,ООО,"""БАЛТАЛКОТОРГ""","236039, г. Калининград, ул. Портовая, д. 18",3906135806,,г. Калининград,,ул. Портовая,д. 18,литера А,,"помещения №№ 26, 27, 29",без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/192,13/04/2017,ООО,"""Балтийск""","236040, Калининградская обл., г. Калининград, ул. Проф.Баранова, д. 34",3906245975,Гурьевский р-н,,п. Храброво,Аэропорт,,кафе,,,"литер А, А1",,,,,,,
39/АЛК/11/606,02/09/2016,ООО,"""Балтийская Гавань +""","236000, Калининградская обл., г. Калининград, ул. Красная, д. 68",3904077387,,г. Калининград,,ул. Красная,д. 68,,,,,,,,,,,
39/АЛК/08/102,07/04/2013,ООО,"""БАЛТИЙСКАЯ ЖЕМЧУЖИНА""","238550, Калининградская обл., г. Светлогорск, пр. Калининградский, д. 105-а",3912002900,,г. Светлогорск,,пр. Калининградский,д. 105-а,,,,,,,,,,,
39/АЛК/11/766,08/12/2012,ООО,"""Балтийская кухня""","236000, Калининградская обл., г. Калининград, пр-кт Советский, д. 112",3906232782,,г. Калининград,,ул. Гайдара,д. 117-123,кафе,,,,,,,,,,
39/АЛК/11/711,11/11/2012,ООО,"""Балтийская линия""","236000, Калининградская обл., г. Калининград, пр-кт Мира, д. 19-21",3905068843,,г. Калининград,,пр-кт Мира,д. 19-21,кафе,,,,,,,,,,
39/АЛК/12/376,06/07/2015,ООО,"""Балтийские курорты""","236000, Калининградская обл., г. Калининград, пр-кт Советский, д. 13",3904077122,,г. Калининград,,пл. Победы,д. 10,кафе,,,,,,,,,,
