"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Усть-Илимский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
22,Общество с ог-раниченной от-ветственностью «ЛЕМИС»  3817034813,МИ  ФНС   РФ №  9                 по  Иркутской области  ,А 218470          №  25  03.09.10 г.        с  03.09.10 г. по 26.03.14 г. Зарегистрир.  08.10.10,"Усть-Илимский  р-н:                                          п. Невон,                                                                          ул. Транспортная, 5,                                                        вино-водочный  отдел в магазине «Ива»    ",,,,,Администрация            города              Усть-Илимска,
23,Общество с ог-раниченной от-ветственностью «Братчанка»  3817038494,МИ  ФНС   РФ №  9                 по  Иркутской области  ,А 178965             № 14           28.04.11 г.      с 29.04.11 г.     по 28.04.12 г.      ,"Усть-Илимский  р-н:                                        п. Седаново,                                                 ул. Ангарская, 14,                                                                  вино-водочный  отдел  в   магазине «Братчанка»    ",,,4/28/2012,,,
24,Общество с ог-раниченной от-ветственностью «НИДИКО» 3817038381,МИ МНС России № 9 по Иркутской области,А – 178968        №  19             06.07.11 г.        с  07.07.11 г.  по 06.07.12 г.,"Усть-Илимский  р-н:                                          с. Ершово,                                                                    ул. Булгакова, 2А,                                                                   вино-водочный  отдел  в  магазине «Дальний»    ",,,06.07.12,,,
25,Общество с ог-раниченной от-ветственностью «Гамыра» 3817039963,МИ  ФНС № 9 по Иркутской области ,А 242487          №  5                03.05.12 г.        с  03.05.12 г. по 02.05.13 г. Зарегистрир.  28.05.12,"Усть-Илимский р-н:                                                     п. Эдучанка,                                                  ул. Королёва, д.13, н.п. 1                       вино-водочный  отдел  магазина «Хороший» ",,,,,Администрация            города              Усть-Илимска,
26,"Общество с ог-раниченной от-ветственностью  ""Ширак""  3817030858",МИ  ФНС № 9 по Иркутской области и УОБАО,.  Выдана         А-178973           № 4     26.04.2012г.     с 11.05.2012 по10.05.2013г.,"Усть-Илимский р-н:                           Садоводческое товарищество граждан «Гидростроитель»,                                      ул. Западная, стр. № 1                                отдел в магазине «Ирина».                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            магазин ""Ирина""",,,,,,
27,Общество с ог-раниченной от-ветственностью «Братчанка»  3817038494,МИ  ФНС   РФ №  9                 по  Иркутской области  ,      Выдана                 А 178974             № 7           18.05.12 г.      с 19.05.12 г.     по 18.05.13 г.,"Усть-Илимский  р-н:                                        п. Седаново,                                                 ул. Ангарская, 14,                                                                  вино-водочный  отдел  в   магазине «Братчанка»    ",,,,,,
28,"Общество с ог-раниченной от-ветственностью   ""Юкс""                                                            3817029404",МИ  ФНС № 9 по Иркутской области и УОБАО,А – 242490        № 9                      31.05.12 г.             с 01.06.12 г. по 31.05.17 г.  Зарегистрир.   06.06.12,"р.п.Железнодорожный:                                      магазин  ""Магазин № 1""                              ул. 70 лет Октября, д.10;                 магазин «Рублёвка»,                                                             ул. Больничная, 15А;                                                 Усть-Илимский р-н:                                              магазин «Русь»                                               Дачное некоммерческое товарищество  «Лесник»;           магазин «Родничок»                                              Садоводческое некоммерческое товарищество «Родник».                                                                                                                                                                                                                                                                                                                                                                    ",,,,,Администрация            города              Усть-Илимска,
29,Общество с ог-раниченной от-ветственностью «НИДИКО» 3817038381,МИ МНС России № 9 по Иркутской области,А – 178975        №  15             11.07.12 г.        с  12.07.12 г.  по  11.07.15 г.,"Усть-Илимский  р-н:                                          с. Ершово,                                                                    ул. Булгакова, 2А,                                                                   вино-водочный  отдел  в  магазине «Дальний»    ",,,,,,
30,Общество с ог-раниченной от-ветственностью «РаДа»    3817040373,МИ  ФНС № 9 по Иркутской области и УОБАО,А – 178976        № 16                      12.07.12 г.             с  13.07.12 г. по 12.07.17 г.   ,"Иркутская область, г.Усть-Илимск, ул.Белградская, 5Б, магазин ""Супермаркет ""Белградский"".",,,,,,
31,Общество с ог-раниченной от-ветственностью «КИТ»  3817040359,МИ  ФНС № 9 по Иркутской области и УОБАО,А – 178977        № 17                      12.07.12 г.             с  13.07.12 г. по 12.07.17 г.   ,"Иркутская область,            г.Усть-Илимск, магазин ""Ветеран"", ул.Ленина, д.1, н.п. 91;           магазин ""Кулинария"", ул. 50 лет ВЛКСМ, д.22",,,,,,
