Реестр выданных лицензий ,,,,,,,,,,
на осуществление розничной продажи алкогольной продукции  действующих на  02.07.2012 г.,,,,,,,,,,
,,,,,,,,,,
№,О лицензиате,ИНН / ОГРН,Дата выдачи лицензии,"Серия, регистр.№",Срок действия лицензии,Адреса территориально обособленных объектов,сведения о действии лицензии,Примечание,Лицензирующий орган,
,,,,,,"47)Тюменская область,  Заводоуковский район, с. Новая Заимка, ул. Декабристов, д. 7/1, магазин (открыт 09.12.10)
48)Тюменская область,  г. Заводоуковск, ул. Каретная, д. 13, магазин (открыт 09.12.10)
",,,,
,,,,,,"49)Тюменская область,  г. Заводоуковск, ул. Черемуховая, д. 20, магазин (открыт 09.12.10)
",,,,
5,"ПО ""Голышмановский районный Союз  потребительских Обществ"" (Голышмановский райпотребсоюз), юр.адрес: Россия, Тюменская область, Голышмановский район, р.п. Голышманово, ул. Ленина, № 26
руков.:Торопова В.И., тел. (34546) 2-53-04",ИНН 7214000032  ОГРН 1027201556557,22/01/2002,72-РАП №1902,01/02/2013,"1)Тюменская область, Голышмановский район, р.п. Голышманово, ул. Ленина, д. 23, магазин ""Продмаг"" (открыт 02.02.02)
2)Тюменская область, Голышмановский район, р.п. Голышманово, ул. Ленина, д. 25, магазин ""Елена"" (открыт 11.03.04)
",продлена реш. №10 от 29/01/2008  до 01/02/2013, Прим: Замена бланка (внесение изменений реш.97 от 11.03.04)  2. Дата проверки 25.05.2009 (без нарушений),Управление Л и РПР ТО,
,,,,,,,,,,
6,"производственному кооперативу ""Проектно-строительный кооператив № 23"" (ПСК-23), юр.адрес: 626019, Тюменская область, Тюменский район, с. Червишево
руков.:Стариков В.А., тел. 22-25-23",ИНН 7224006273  ОГРН 1027200819260 (дата регистрации 21.08.1998),05/03/2002,72-РАП №1522,05/03/2013,"1)Тюменская область, Тюменский район, с. Червишево, ул. Строителей, д. 12, магазин (открыт 05.03.02)
2)Тюменская область, Тюменский район, с. Мичурино, ул. Центральная, д. 20, магазин (открыт 28.03.03)
",продлена реш. №72 от 29/02/2008  до 05/03/2013, Прим: Проверка 19.06.07 (отбор проб)  2.Дата проверки 07.07.10 (замечания),Управление Л и РПР ТО,
,,,,,,,,,,
7,"ООО ""МЕЧТА"", юр.адрес: Тюменская область, г. Заводоуковск, ул. Хахина, д. 7
руков.:Кущян А.Г., тел. (34542) 2-12-40",ИНН 7215004287 ОГРН 1027201595541 (дата регистрации 18.12.1998),12/03/2002,72-РАП №3969,12/03/2013,"1)Тюменская область, г. Заводоуковск, ул. Хахина, д. 7, магазин (открыт 12.03.02)
2)Тюменская область, г. Заводоуковск, ул. Революционная, д. 45 Б, магазин (открыт 12.03.02)
",продлена реш. №130 от 01/03/2012  до 12/03/2013," Прим: Дата проверки 15.10.07 (отбор проб)  2.Проверка 09.11.10 (без нарушений, отбор проб)",Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, г. Заводоуковск, ул. Первомайская, д. 9, магазин (открыт 12.03.02)
4)Тюменская область, г. Заводоуковск, трасса Тюмень-Омск 94 км, закусочная (общепит) (открыт 12.03.02)
",,,,
,,,,,,,,,,
8,"ООО ""Прометей ЛТД"", юр.адрес: 625504, Тюменская область, Тюменский район, п. Боровский, ул. М. Горького, д. 2/4
руков.:Возисаева Л.А., тел. 724-103",ИНН 7224004981  ОГРН 1027200827114 (дата регистрации 19.12.2001),03/04/2002,72-РАП №2364,03/04/2013,"1)Тюменская область, Тюменский район, п. Боровский, ул. Мира, д. 12, магазин № 1 (открыт 03.04.02)
2)Тюменская область, Тюменский район, п. Боровский, ул. М. Горького, д. 2/4, магазин ""Елена"" (открыт 03.04.02)
",продлена реш. №159 от 02/04/2008  до 03/04/2013, Прим: Проверка 31.05.07 (отбор проб)  2.Дата проверки 12.07.10 (без нарушений),Управление Л и РПР ТО,
,,,,,,,,,,
9,"ПО ""Потребительское общество им. Кирова"" (ПО им. Кирова), юр.адрес: Россия, Тюменская область, Тюменский район, с. Мальково, ул. Кузнечная, д. 1
руков.:Щекина Е.А., тел. 77-60-54",ИНН 7224008915  ОГРН 1027200865471 (дата регистрации 23.06.1998),03/07/2002,72-РАП №1204,02/07/2013,"1)Тюменская область, Тюменский район, с. Чикча, ул. М. Джалиля, д. 37, магазин (открыт 03.07.02)
2)Тюменская область, Тюменский район, д. Якуши, ул. Файзи, д. 4, магазин (открыт 03.07.02)
",продлена реш. №388 от 30/06/2008  до 02/07/2013, Прим: Проверка 21.06.07 (отбор проб)   2.Дата проверки 14.07.10 (замечания),Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, Тюменский район, с. Мальково, ул. Кооперативная, д. 30, магазин (открыт 08.09.03)
4)Тюменская область, Тюменский район, д. Есаулово, ул. Кирова, д. 21, магазин (открыт 03.07.05)
",,,,
,,,,,,,,,,
10,"ЗАО ""Шабановское Межхозяйственное производственное объединение"" (""Шабановское МПО), юр.адрес: Российская Федерация, Тюменская область, Омутинский район, с. Шабаново
руков.:Лапшина Н.М., тел. (34544) 3-29-44",ИНН 7220003391  ОГРН 1027201673597,16/07/2002,72-РАП №1218,15/07/2013,"1)Тюменская область, Омутинский район, с. Шабаново, ул. Шабановская, д. 15, магазин (открыт 16.07.02)
2)Тюменская область, Омутинский район, с. Шабаново, ул. Вагайская, д. 2, магазин (открыт 12.09.02)
",продлена реш. №416 от 14/07/2008  до 15/07/2013,,Управление Л и РПР ТО,
,,,,,,,,,,
11,"ЗАО ""Ресторанный Дом ""Александр"", юр.адрес: 625048, Тюменская область, г. Тюмень, ул. Харьковская, д. 57
руков.:Кайданович Г.А., тел. 417-800  415-785",ИНН 7203082562  ОГРН 1027200801462,15/08/2002,72-РАП №2589,15/08/2013,"1)г. Тюмень, ул. Харьковская, д. 57, ресторан ""Александр""  (общепит) (открыт 15.08.02)
2)г. Тюмень, ул. Харьковская, д. 57, магазин-кулинария ""Калина"" (общепит) (открыт 15.07.05)
",продлена реш. №574 от 15/08/2008  до 15/08/2013, Прим: переоф. реш.№19 от 30.01.08 (изменение названия организации) 2.Проверка 08.02.12 (предписание),Управление Л и РПР ТО,
