№ п/п,Наименование организации,ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес места осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделением организации,Вид лицензируемой деятельности,Вид продукции,Номер лицензии,Регистрационный номер лицензии,Серия лицензии,"Наименование лицензирующего органа, выдавшего лицензию",Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Статус лицензии,Дата изменения статуса
4287,"Общество с ограниченной ответственностью ""Лора""",7810118356,783901001,"Российская Федерация, 190068, Санкт-Петербург, Садовая ул., д. 60, литера А",,"Санкт-Петербург, Садовая ул., д. 60, литера А, часть пом. 2-Н (комн. 2-14, часть комн. 1)",,78,78,Розничная продажа алкогольной продукции,,78-005608,00055/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",20.01.2011,20.01.2016,,,,,Действует,20.01.2011
4289,"Общество с ограниченной ответственностью ""Ресторанчик ""У Петровича""",7806017891,780601001,"195027, Российская Федерация, Санкт-Петербург, Среднеохтинский пр., дом 44",,"Санкт-Петербург, Среднеохтинский пр., д. 44, корпус 1, литера А, помещения 2-Н, 5-Н, 7-Н",,78,78,Розничная продажа алкогольной продукции,,78-005613,00060/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",20.01.2011,20.01.2014,,,,,Действует,20.01.2011
4290,"Общество с ограниченной ответственностью ""Санох""",7807310300,780701001,"198332, Российская Федерация, Санкт-Петербург, Маршала Казакова ул., дом 38, корп. 1, кв. 209",,"Санкт-Петербург, Партизана Германа ул., д. 5/14, лит. А, часть пом. 10Н(ком. 2-6)",,78,78,Розничная продажа алкогольной продукции,,78-005614,00061/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",20.01.2011,20.01.2016,,,,,Действует,20.01.2011
4291,"Общество с ограниченной ответственностью ""Август""",7825016646,781401001,"Российская Федерация, 197373, Санкт-Петербург, Долгоозерная ул., д. 3, корп. 2",,"Санкт-Петербург, Авиаконструкторов пр., д. 3/13, торговое место  № 7,8",,78,78,Розничная продажа алкогольной продукции,,78-005617,00063/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",20.01.2011,20.01.2014,,,,,Действует,20.01.2011
4293,"Закрытое акционерное общество ""Новый проект""",7801086933,784101001,"191014, Российская Федерация, Санкт-Петербург, Восстания ул., дом 26/38",,"Санкт-Петербург, Восстания ул., д. 26/38, лит. А, пом. 2-Н",,78,78,Розничная продажа алкогольной продукции,,78-005618,00064/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",20.01.2011,20.01.2014,,,,,Действует,20.01.2011
4294,"Общество с ограниченной ответственностью ""ИРМА""",7817303982,781701001,"Российская Федерация, 196650, Санкт-Петербург, Колпино, Ленина пр., д. 9/15",,"Санкт-Петербург, Колпино, Пролетарская ул., д. 46, корп. 3, литера А",,78,78,Розничная продажа алкогольной продукции,,78-005619,00065/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",20.01.2011,20.01.2016,,,,,Действует,20.01.2011
4295,"Общество с ограниченной ответственностью ""МУХОМОР""",7838438797,,"Российская Федерация, 190013, Санкт-Петербург, Верейская ул., д. 1/62, литера А, помещение 1-Н",,"Санкт-Петербург, Загородный пр., д. 64, литера А, помещение 1-Н",,78,78,Розничная продажа алкогольной продукции,,78-005620,00066/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",20.01.2011,20.01.2013,,,,,Действует,20.01.2011
4296,"Общество с ограниченной ответственностью ""Анита""",7811141118,781101001,"193148, Российская Федерация, Санкт-Петербург, Дудко ул., дом 18, лит. А",,"Санкт-Петербург, Дудко ул., д. 18, литера А, часть помещения 9-Н (ком.14-19,24-26)",,78,78,Розничная продажа алкогольной продукции,,78-005420,00097/2008,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",22.01.2011,22.01.2014,,,,,Действует,22.01.2011
4298,"Общество с ограниченной ответственностью ""БИНГО""",7807024490,780701001,"198332, Российская Федерация, Санкт-Петербург, Ленинский пр., дом 81, корп. 1, лит. А, пом. 1Н, 23Н",,"Санкт-Петербург, Ленинский пр., д. 81,  Корп.1, лит.А, пом. 23Н, 1Н.",,78,78,Розничная продажа алкогольной продукции,,78-005585,00106/2008,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",23.01.2011,23.01.2016,,,,,Действует,23.01.2011
4300,"Общество с ограниченной ответственностью ""ПетроМакс""",7840432190,784001001,"Российская Федерация, 191002, Санкт-Петербург, Рубинштейна ул., д. 30, пом. 34",,"Санкт-Петербург, Рубинштейна ул., д. 30, литера А, часть помещения 11Н (комн.1, 3-13)",,78,78,Розничная продажа алкогольной продукции,,78-005623,00069/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",24.01.2011,24.01.2013,,,,,Действует,24.01.2011
4301,"Общество с ограниченной ответственностью ""Радуга""",7826734745,780401001,"Российская Федерация, 195271, Санкт-Петербург, Замшина ул., д. 27, корп. 1, кв.234",,"Санкт-Петербург, Евгеньевская ул., д. 2, литера А, часть пом. 3-Н (комн. 1-5)",,78,78,Розничная продажа алкогольной продукции,,78-005624,00070/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",24.01.2011,24.01.2013,,,,,Действует,24.01.2011
4302,"Общество с ограниченной ответственностью ""Балтика""",7802231622,783801001,"190013, Российская Федерация, Санкт-Петербург, Подольская ул., д. 40, литера А, помещение 4Н",,"Санкт-Петербург, Северный пр., д. 63, корп. 1, лит. А, пом. 3-Н",,78,78,Розничная продажа алкогольной продукции,,78-005626,00071/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",24.01.2011,24.01.2014,,,,,Действует,24.01.2011
4303,"Общество с ограниченной ответственностью ""Восход""",7843303756,784301001,"197762, Российская Федерация, Санкт-Петербург, Кронштадт, Аммермана ул., дом 26, лит. А, пом. 1-Н",,"Санкт-Петербург, Кронштадт, Аммермана ул., д. 26, лит. А, помещение 1-Н",,78,78,Розничная продажа алкогольной продукции,,78-005625,00072/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",24.01.2011,24.01.2014,,,,,Действует,24.01.2011
4304,"Общество с ограниченной ответственностью ""Елена""",7817304070,781701001,"196655, Российская Федерация, Санкт-Петербург, г.Колпино, территория Ижорский завод, д.б/н, лит. В, ч. пом. 10Н :к. 2, ч. к.1",,"Санкт-Петербург, Колпино, Ижорский завод тер., д. б/н, литера В, часть помещения 3Н (комн. 2, 3, часть комн. 4)",,78,78,Розничная продажа алкогольной продукции,,78-005627,00073/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",24.01.2011,24.01.2014,,,,,Действует,24.01.2011
4305,"Общество с ограниченной ответственностью ""Чаплин-клуб""",7802482087,780201001,"Российская Федерация, 194044, Санкт-Петербург, Пироговская наб., д. 5/2, литера А-А1",,"Санкт-Петербург, Пироговская наб., д. 5/2, литера А, часть помещения 1Н (часть пом.219, пом.221-234,238-240,244,246,247,250-255,258,261,286-294)",,78,78,Розничная продажа алкогольной продукции,,78-005628,00074/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",24.01.2011,24.01.2014,,,,,Действует,24.01.2011
4306,"Общество с ограниченной ответственностью ""Парадиз""",7840325007,784001001,"191119, Российская Федерация, Санкт-Петербург, Коломенская ул., дом 33/40",,"Санкт-Петербург, Каменноостровский пр., д. 22, литера А, помещение 1-Н",,78,78,Розничная продажа алкогольной продукции,,78-005646,00077/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",25.01.2011,25.01.2013,,,,,Действует,25.01.2011
4307,"Общество с ограниченной ответственностью ""КОМЕТА-7""",7802032786,780201001,"194100, Российская Федерация, Санкт-Петербург, Кантемировская ул., дом 7",,"Санкт-Петербург, Кантемировская ул., д. 7, литера Б1, часть помещения",,78,78,Розничная продажа алкогольной продукции,,78-005647,00078/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",25.01.2011,25.01.2013,,,,,Действует,25.01.2011
4309,"Общество с ограниченной ответственностью ""Владимир""",7825361459,784001001,"191011, Российская Федерация, Санкт-Петербург, Крылова пер., дом 1/24",,"Санкт-Петербург, Крылова пер., д. 1, литера А, помещение 10Н",,78,78,Розничная продажа алкогольной продукции,,78-005649,00080/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",25.01.2011,25.01.2014,,,,,Действует,25.01.2011
4310,"Общество с ограниченной ответственностью ""Большевики""",7811468762,781101001,"Российская Федерация, 193231, Санкт-Петербург, Большевиков пр., д. 3, корп. 1, литера А, помещение 18-Н",,"Санкт-Петербург, Большевиков пр., д. 3, корп. 1, литера А, помещение 18Н",,78,78,Розничная продажа алкогольной продукции,,78-005650,00081/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",25.01.2011,25.01.2016,,,,,Действует,25.01.2011
4311,"Общество с ограниченной ответственностью ""Коломяжский""",7814473739,781401001,"Российская Федерация, 197348, Санкт-Петербург, Коломенская ул., д. 15, корп. 2, литера А, помещение 27-Н",,"Санкт-Петербург, Коломяжский пр., д. 15, корп. 2, литера А, часть пом. 27Н(пом.14,16)",,78,78,Розничная продажа алкогольной продукции,,78-005651,00082/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",25.01.2011,25.01.2016,,,,,Действует,25.01.2011
4312,"Общество с ограниченной ответственностью ""Озерки""",7802719956,780201001,"Российская Федерация, 194356, Санкт-Петербург, Энгельса пр., д. 124, корп. 1, литера А, помещение 12-Н",,"Санкт-Петербург, Энгельса пр., д. 124, корп. 1, литера А, часть помещ. 12-Н (комн.1)",,78,78,Розничная продажа алкогольной продукции,,78-005653,00083/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",25.01.2011,25.01.2016,,,,,Действует,25.01.2011
4313,"Общество с ограниченной ответственностью ""Наука""",7804443950,780401001,"Российская Федерация, 195256, Санкт-Петербург, Науки пр., д. 14, корп. 1, литера А, помещение 1-Н",,"Санкт-Петербург, Науки пр., д. 14, корп. 1, литера А, помещение 2-Н",,78,78,Розничная продажа алкогольной продукции,,78-005655,00085/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",25.01.2011,25.01.2016,,,,,Действует,25.01.2011
4315,"Общество с ограниченной ответственностью ""Новый Век""",7814081146,784201001,"Российская Федерация, 191025, Санкт-Петербург, Жуковского ул., д. 57, литера А, помещение 2Н",,"Санкт-Петербург, Жуковского ул., д. 57, лит. А, пом. 2-Н",,78,78,Розничная продажа алкогольной продукции,,78-005657,00087/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",25.01.2011,25.01.2014,,,,,Действует,25.01.2011
4316,"Общество с ограниченной ответственностью ""Яра""",7816193575,781601001,"192283, Российская Федерация, Санкт-Петербург, Купчинская ул., д. 32, корп. 1, литера Б",,"Санкт-Петербург, Купчинская ул., д. 32, корпус 1, литера Б, пом. 1-Н (комн.2,4,5,6,7), пом.5-Н (комн.1-7), пом. 6-Н(комн.1-19), пом. 8-Н(части комн .1,2,4, комн. 11-17, 19), пом. 9-Н(комн.1-5)",,78,78,Розничная продажа алкогольной продукции,,78-005658,00088/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",25.01.2011,25.01.2016,,,,,Действует,25.01.2011
4322,"Общество с ограниченной ответственностью ""ВИКТОРИЯ""",7825065114,784101001,"191028, Российская Федерация, Санкт-Петербург, Моховая ул., дом 31, лит. А, пом. 22-Н",,"Санкт-Петербург, Дыбенко ул., д. 13, корп. 1, лит. Я, пом. 6-Н, 12-Н",,78,78,Розничная продажа алкогольной продукции,,78-005630,00117/2008,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",25.01.2011,25.01.2014,,,,,Действует,25.01.2011
4333,"Общество с ограниченной ответственностью ""ЕЛЕНА""",7802129971,780201001,"194352, Р. Ф., Санкт-Петербург, Просвещения пр., дом 46",,"Санкт-Петербург, Ушинского ул., д. 5, корп. 1, литера Б, часть помщения 1Н (комн.9-13)",,78,78,Розничная продажа алкогольной продукции,,78-005670,00075/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",26.01.2011,26.01.2014,,,,,Действует,26.01.2011
4334,"Общество с ограниченной ответственностью ""Эрлифт +""",7802088940,780201001,"194352, Российская Федерация, Санкт-Петербург, Придорожная аллея, д. 19",,"Санкт-Петербург, Луначарского пр., д. 60, корпус 1, литера Г, помещение 4Н",,78,78,Розничная продажа алкогольной продукции,,78-005666,00092/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",26.01.2011,26.01.2013,,,,,Действует,26.01.2011
4336,"Общество с ограниченной ответственностью ""МОНО""",7813109896,781301001,"197046, Российская Федерация, Санкт-Петербург, Малая Посадская ул., дом 4а, лит. А",,"Санкт-Петербург, Королева пр., д. 46, корп. 1, литера А, помещение 1-Н",,78,78,Розничная продажа алкогольной продукции,,78-005668,00094/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",26.01.2011,26.01.2016,,,,,Действует,26.01.2011
4337,"Общество с ограниченной ответственностью ""Евразия""",7825485493,784001001,"191025, Российская Федерация, Санкт-Петербург, Владимирский пр., дом 14, лит. А",,"Санкт-Петербург, Владимирский пр., д. 14, литер А, пом. 5-Н",,78,78,Розничная продажа алкогольной продукции,,78-005669,00095/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",26.01.2011,26.01.2016,,,,,Действует,26.01.2011
4338,"Общество с ограниченной ответственностью ""Торный""",7802387789,780201001,"194223, Российская Федерация, Санкт-Петербург, Жака Дюкло ул., д. 8, корп. 1, литера В",,"Санкт-Петербург, Литейный пр., д. 24, литера А, помещение 14-Н",,78,78,Розничная продажа алкогольной продукции,,78-005671,00096/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",26.01.2011,26.01.2014,,,,,Действует,26.01.2011
4342,"Общество с ограниченной ответственностью ""Кофе""",7802721786,780201001,"Российская Федерация, 194354, Санкт-Петербург, Художников пр., д. 14, литера А, помещение 3Н",,"Санкт-Петербург, Невский пр., д. 48, литера А, часть помещения 1-Н (комн. 89, 204, части комн. 200, 201)",,78,78,Розничная продажа алкогольной продукции,,78-005663,01183/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",26.01.2011,29.12.2013,,,,,Действует,26.01.2011
4345,"Закрытое акционерное общество ""Орандж Клаб""",7710508867,783801001,"190000, Российская Федерация, Санкт-Петербург, Глинки ул., дом 3-5-7, лит. А, пом. 1Н",,"Санкт-Петербург, Ефимова ул., д. 2, литера А, часть пом.1-Н (ком. 269, 270; часть ком. 185)",,78,78,Розничная продажа алкогольной продукции,,78-005644,00038/2008,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",29.01.2011,29.01.2014,,,,,Действует,29.01.2011
4346,"Общество с ограниченной ответственностью ""СТАС""",7820017491,782001001,"Российская Федерация, 198620, Санкт-Петербург, Пушкин, Церковная ул., д. 21-а, литера А",,"Санкт-Петербург, Пушкин, Церковная ул., д. 21-а, литера А, помещение 1Н",,78,78,Розничная продажа алкогольной продукции,,78-005584,00039/2008,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",29.01.2011,29.01.2014,,,,,Действует,29.01.2011
4347,"Общество с ограниченной ответственностью ""НИСО""",7817009814,781701001,"196657, Российская Федерация, Санкт-Петербург, Колпино, Красных Партизан ул., дом 10",,"Санкт-Петербург, Колпино, Красных партизан ул., д. 10, литера А, часть пом. 3-Н (комн.3-8, ч.ком. 2, комн. 14,15), пом. 6-Н",,78,78,Розничная продажа алкогольной продукции,,78-005634,00040/2008,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",29.01.2011,29.01.2016,,,,,Действует,29.01.2011
4348,"Общество с ограниченной ответственностью ""ДИОНИС""",7804033464,780401001,"195267, Российская Федерация, Санкт-Петербург, Гражданский пр., д. 114, корп. 1, литера А, помещение 48Н",,"Санкт-Петербург, Гражданский пр., д. 114, корп. 1, литера А, помещение 48Н",,78,78,Розничная продажа алкогольной продукции,,78-005629,00084/2008,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",31.01.2011,31.01.2013,,,,,Действует,31.01.2011
4349,"Общество с ограниченной ответственностью ""Сюзанна""",7820024749,782001001,"Российская Федерация, 196620, Санкт-Петербург, Павловск, Медвежий пер., д. 2/5",,"Санкт-Петербург, Павловск, Медвежий пер., д. 2/5, литера А, часть помещения Н-1 (комн. 21,23, часть комн. 5)",,78,78,Розничная продажа алкогольной продукции,,78-005631,00161/2006,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",02.02.2011,02.02.2014,,,,,Действует,02.02.2011
4352,"Общество с ограниченной ответственностью ""Медея""",7807008480,780701001,"198323, Российская Федерация, Санкт-Петербург, Горелово, Красносельское шоссе, дом 2",,"Санкт-Петербург, пос. Горелово, Красносельское шоссе, д. 2, корпус 2",,78,78,Розничная продажа алкогольной продукции,,78-005632,00132/2008,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",05.02.2011,05.02.2014,,,,,Действует,05.02.2011
4353,"Общество с ограниченной ответственностью ""Витебский""",7816193818,781601001,"Российская Федерация, 192284, Санкт-Петербург, Купчинская ул., д. 1/5, литера А, помещения 3Н, 4Н, 5Н",,"Санкт-Петербург, Купчинская ул., д. 1/5, литера А,  часть пом.4Н (комн. 13-17), часть помещ. 6Н (комн. 1-10)",,78,78,Розничная продажа алкогольной продукции,,78-005641,00135/2008,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",05.02.2011,05.02.2014,,,,,Действует,05.02.2011
4354,"Общество с ограниченной ответственностью ""Фурштадт""",7841364030,784101001,"197734, Российская Федерация, Санкт-Петербург, Кирочная ул., д. 8, литера А, помещение 14-Н",,"Санкт-Петербург, Кирочная ул., д. 8, литера А, помещение 14-Н",,78,78,Розничная продажа алкогольной продукции,,78-005697,00136/2008,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",05.02.2011,05.02.2013,,,,,Действует,05.02.2011
4355,"Общество с ограниченной ответственностью ""МАКСЕЛЬ""",7810279392,781001001,"Российская Федерация, 196084, Санкт-Петербург, Заставская ул., д. 3, литера А",,"Санкт-Петербург, Заставская ул., д. 3, литера А, часть помещ. 1Н (комн.12, 13)",,78,78,Розничная продажа алкогольной продукции,,78-005685,00099/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.02.2011,07.02.2014,,,,,Действует,07.02.2011
4356,"Общество с ограниченной ответственностью ""АГАТ""",7817034070,781701001,"189631, Российская Федерация, Санкт-Петербург, Металлострой, Плановая ул., д. 6",,"Санкт-Петербург, Металлострой, Плановая ул., д. 6, литера А, помещение 2-Н",,78,78,Розничная продажа алкогольной продукции,,78-005687,00101/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.02.2011,07.02.2014,,,,,Действует,07.02.2011
4358,"Общество с ограниченной ответственностью ""Транс-Технологии""",7801218548,780101001,"Российская Федерация, Санкт-Петербург, 12-я линия В.О., дом 13, лит. А, пом. 18-Н",,"Санкт-Петербург, Замшина ул., д. 19, литера А, часть пом. 1-Н (комн.1,3,4,5,6,7,8,10,18,19, часть комн. 2)",,78,78,Розничная продажа алкогольной продукции,,78-005688,00102/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.02.2011,07.02.2014,,,,,Действует,07.02.2011
4359,"Производственный кооператив ""Белочка""",7812042832,783801001,"Россия, 190000, Санкт-Петербург, Московский пр., дом 7",,"Санкт-Петербург, Московский пр., д. 7, лит. А, пом. 2-Н",,78,78,Розничная продажа алкогольной продукции,,78-005689,00103/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.02.2011,07.02.2014,,,,,Действует,07.02.2011
4361,"Общество с ограниченной ответственностью ""Манго""",7802730540,,"Российская Федерация, 194352, Санкт-Петербург, Придорожная аллея, д. 21, кв. 614",,"Санкт-Петербург, Савушкина ул., д. 126, литера А, часть помещения 2Н (часть комн. 177)",,78,78,Розничная продажа алкогольной продукции,,78-005691,00105/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.02.2011,07.02.2016,,,,,Действует,07.02.2011
4362,"Общество с ограниченной ответственностью ""Галио""",7813120089,781301001,"Российская Федерация, 197760, Санкт-Петербург, Кронштадт, Советская ул., д. 33, литера Б",,"Санкт-Петербург, Кронштадт, Мануильского ул., д. 37, литера А, часть помещения 3-Н (комнаты 2, 5, 6)",,78,78,Розничная продажа алкогольной продукции,,78-005694,00107/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.02.2011,07.02.2014,,,,,Действует,07.02.2011
4364,"Общество с ограниченной ответственностью ""Глобус""",7805137836,781301001,"Российская Федерация, 197110, Санкт-Петербург, Пионерская ул., д. 31, литера А, помещение 1-Н",,"Санкт-Петербург, Пионерская ул., д. 31, лит. А, пом. 1-Н",,78,78,Розничная продажа алкогольной продукции,,78-005695,00108/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.02.2011,07.02.2014,,,,,Действует,07.02.2011
4365,"Общество с ограниченной ответственностью ""ОВА""",7826155258,783901001,"198005, Российская Федерация, Санкт-Петербург, Измайловский пр., дом 12, лит. Д, пом. 2-Н",,"Санкт-Петербург, Конюшенная пл., д. 2, литера В, часть помещения 2Н( комнаты 17,19-24,часть комн.25)",,78,78,Розничная продажа алкогольной продукции,,78-005696,00109/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.02.2011,07.02.2014,,,,,Действует,07.02.2011
4366,"Общество с ограниченной ответственностью ""КАРАМБОЛЬ""",7805131665,780501001,"198097, Российская Федерация, Санкт-Петербург, Стачек пр., д. 60",,"Санкт-Петербург, Чекистов ул., д. 20, литера А, часть пом. 1-Н (14-35), 1-Н МОП (11)",,78,78,Розничная продажа алкогольной продукции,,78-005713,00114/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.02.2011,07.02.2013,,,,,Действует,07.02.2011
4367,"Общество с ограниченной ответственностью ""БЕЛМИХ""",7807003958,780701001,"Российская Федерация, 198326, Санкт-Петербург, деревня Торики, Песочная ул., д. 22",,"Санкт-Петербург, Торики, Аннинское шоссе, дом 76, литер Г, помещения 1Н,2Н",,78,78,Розничная продажа алкогольной продукции,,78-005714,00115/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.02.2011,07.02.2014,,,,,Действует,07.02.2011
4368,"Общество с ограниченной ответственностью ""АЛЕКСАНДРА""",7825434001,784201001,"Российская Федерация, 193144, Санкт-Петербург, 5-я Советская ул., д. 44, лит. А",,"Санкт-Петербург, Ленина пл., д. 6, литера Е, пом. 2-Н (1), 3-Н (1-9), 4-Н (1-12), часть пом. 9-Н (29-35, 37-53, часть 36)",,78,78,Розничная продажа алкогольной продукции,,78-005715,00116/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.02.2011,07.02.2014,,,,,Действует,07.02.2011
4369,"Общество с ограниченной ответственностью ""Старое Кафе""",7802731512,,"Российская Федерация, 194044, Санкт-Петербург, Смолячкова ул., д. 14, корп. 1, литера Б, помещение 15Н",,"Санкт-Петербург, Смолячкова ул., д. 14, корп. 1, литера Б, помещение 15Н",,78,78,Розничная продажа алкогольной продукции,,78-005716,00117/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.02.2011,07.02.2014,,,,,Действует,07.02.2011
4370,"Общество с ограниченной ответственностью ""ПРОФИТ""",7826157350,784101001,"191011, Российская Федерация, Санкт-Петербург, наб. реки Фонтанки, д. 29/66, литера А, Лит. А",,"Санкт-Петербург, наб. реки Фонтанки, д. 29/66, лит. А, пом. 12Н, часть пом. 5Н(к. 14,15,16), Караванная ул., д. 24-26, лит. А, часть пом. 4Н(к. 1-11)",,78,78,Розничная продажа алкогольной продукции,,78-005717,00119/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.02.2011,07.02.2014,,,,,Действует,07.02.2011
4371,"Закрытое акционерное общество ""НЕВО-КУБАТ""",7813001412,781301001,"197198, Российская Федерация, Санкт-Петербург, Большая Пушкарская ул., дом 19, лит. А, пом. 2Н",,"Санкт-Петербург, Большая Пушкарская ул., д. 19, лит. А, пом. 2Н",,78,78,Розничная продажа алкогольной продукции,,78-005678,00163/2006,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.02.2011,07.02.2016,,,,,Действует,07.02.2011
4372,"Общество с ограниченной ответственностью ""Виксон""",7842321128,784201001,"193036, Российская Федерация, Санкт-Петербург, Суворовский пр., дом 13/24, лит. А",,"Санкт-Петербург, Суворовский пр., д. 13/24, лит. А, часть пом. 1Н(1,2,3)",,78,78,Розничная продажа алкогольной продукции,,78-005676,00167/2006,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.02.2011,07.02.2015,,,,,Действует,07.02.2011
4374,"Общество с ограниченной ответственностью ""Бриз""",7807344796,780701001,"Российская Федерация, 198260, Санкт-Петербург, Солдата Корзуна ул., д. 58, корп. 1, литера А, помещение 14Н",,"Санкт-Петербург, Новоизмайловский пр., д. 4, литера А, часть помещения 14Н (комн. 12-21, 41-45)",,78,78,Розничная продажа алкогольной продукции,,78-005704,00803/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.02.2011,12.11.2012,,,,,Действует,07.02.2011
4376,"Общество с ограниченной ответственностью ""СЕНСОР""",7842003044,784201001,"191024, Российская Федерация, Санкт-Петербург, 2-я Советская ул., дом 16, лит. Б, пом. 7Н",,"Санкт-Петербург, Савушкина ул., д. 37, литера А, часть помещения 1Н (часть комн.3, комнаты 4, 5, 16, 25, 26, 29)",,78,78,Розничная продажа алкогольной продукции,,78-005698,00150/2008,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",08.02.2011,08.02.2014,,,,,Действует,08.02.2011
4377,"Общество с ограниченной ответственностью ""КарЛе""",7838389490,783801001,"190000, Российская Федерация, Санкт-Петербург, Декабристов ул., д. 2, литера А, помещение 1Н",,"Санкт-Петербург, Декабристов ул., д. 2, литера А, помещение 1-Н",,78,78,Розничная продажа алкогольной продукции,,78-005729,00122/2011,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",09.02.2011,09.02.2014,,,,,Действует,09.02.2011
