"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Нижнеудинский район"" ",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
34,"ООО ""Вектор Север"" ИНН 3805710496","г. Братск, ул. Гайнулина, 1А/1",38 МЕ 006379 рег. № 806 от 08.08.2011г. по 27.05.2012г.,"1. торговый отдел в магазине""Пятерочка""по адресу: г. Нижнеудинск, ул. Транспортная, 9; 2. торговый отдел в магазине ""Продукты"" г. Нижнеудинск, ул. Кашика, 100.",,,5/27/2012,,Администрация г. Братска,
35,"Нижнеудинское потребительское общество ""Кедр"" ИНН 3813001214","г. Нижнеудинск, Восточный переезд, 7",А 209437 № 12 от 04.06.2011г. до 04.06.2012г. ,"1) магазин № 3 – д. Укар, ул. Центральная,  8; 2) магазин № 5 – д. Рубахина, ул. Береговая, 40; 3) магазин № 6 – с. Мельница, ул. Ленина, 46; 4) магазин № 7 – с. Абалаково, ул. Центральная,  19; 5) магазин № 8 – д. Швайкина,  ул. Центральная, 32; 6) магазин № 9 – п. Майский, ул. Солнечная, 1; 7) магазин № 10 – д. Шипицина, ул. Встречи, 32; 8) магазин № 11 – д. Уват,  ул. Мира, 33; 9) магазин № 17 – п. Подгорный,  ул. Просвещения, 8;  10) магазин № 19 – д. Зенцова, ул. Трактовая, 16; 11)  магазин № 23 – д. Чалоты,  ул. Центральная, 24а;",,,04.06.2012г.,,,
,,,,"12)  магазин № 26 – д. Кушун, ул. Центральная,  57; 13)  магазин № 27 – д. Муксут, ул. Таежная, 13; 14)  магазин № 29 – с. Боровинок,  ул. Мира, 23; 15)  магазин № 30 – с. Широково, ул. Центральная, 2; 16)  магазин № 36 – п. Костино, ул. Новая, 31; 17)  магазин № 20 – п. Черемшанка,  ул. Рабочая, 4; 18)  магазин № 2 – р.п. Ук,  ул. 40 лет Победы, 7; 19)  магазин № 5 – р.п. Ук, пер. Первомайский, 5; 20)  магазин № 8 – д. Мара,  ул. Московская, 7А; 21)  магазин № 10  – с. Каменка, ул. Садовая, 56а;",,,,,,
,,,,"22)  магазин № 11 – д. Новое село, ул. Шевченко, 23; 23)  магазин № 12 – п. Балакшин Бор, пер. Пионерский, 3; 24)  магазин № 3 – д. Орик,  ул. Октябрьская, 35; 25)  магазин № 4 – д. Кургатей, ул. Центральная,  1; 26)  магазин № 6 – д. Катын, ул. Лесная, 6; 27)  магазин № 7 –  д. Бородинск, ул. Партизанская, 6; 28)  магазин № 8 – д. Миллерова,  ул. Лесная, 1; 29)  магазин № 12 – с. Катарбей,  ул. Советская, 75; 30)  магазин № 15 – с. Чехово,   ул. Советская, 2; 31)  бар в кафе «Альянс» – с. Мельница,  ул. Ленина, 48; 32)  бар в кафе «Уют» – с. Катарбей,  ул. Советская, 77; 33)  бар в кафе «Три медведя» – с. Широково, ул. Центральная, 2;  ",,,,,,
36,"ООО ""Крепость Юг"" ИНН 3805712373","г. Братск, ж.р. Энергетик, ул. Наймушина, 24, помещение № 1001",38 МЕ 006395 № 822 от 05.09.2011г. до 22.03.2012г.,"1. отдел в магазине ""Ручеек-2"", Нижнеудинский район, п. Ук, ул. Кимильтейская, 1; 2. отдел в магазине ""Ручеек-3"", Нижнеудинский район, п. Ук, ул. Казанцева, 1; 3. отдел в магазине ""Хлебный"", Нижнеудинский район, п. Ук, ул. Спортивная, 1; 4. бар в кафе, Нижнеудинский район, п. Ук, ул. Кимильтейская, 24; 5. бар-кафе ""Кристалл"", г. Нижнеудинск, ул. Гоголя, 111; 6. торговый отдел в магазине Нижнеудинский район, п. Нерха, ул. Центральная, 6; 7. торговый отдел в магазине Нижнеудинский район, с. Алыгджер, ул. Советская, 1; ",,,3/22/2012,,Администрация г. Братска,
,,,,"8. отдел в кафе ""Хан"" г. Нижнеудинск, ул. Кашика, 240; 9. торговый отдел в магазине ""Ассорти"" Нижнеудинский район, с. Солонцы, ул. Центральная, 30;10. торговый отдел в магазине ""ЦУМ"" г. Нижнеудинск, ул. Лермонтова, 31; 11. торговый отдел в магазине ""Лакомка"" г. Нижнеудинск, ул. Комсомольская, 1",,,,,,
37,ООО «Стелс» ИНН 3815014762,"г. Тайшет, ул. Ленина, 133а",А 242759 № 19 от 25.05.2011г. до 18.08.2014г.,"1. кафе ""Березка"" Нижнеудинский район в 46 м на северо-восток от столба 1362+667м автомобильной дороги М53",,,,,Администрация Тайшетского района,
38,ООО «Центр» ИНН 3813002384,"Нижнеудинский район, г. Алзамай, ул. Первомайская, 5","А 209448 №26 от 03.05.2012г. до 03.08.2012г, взамен .А 209439 №26 от 03.08.2011г. до 03.08.2012г.","1. г. Алзамай, ул. Первомайская, 45,  магазин                                                                ",,,,,,
39,ООО «Ника» ИНН 3813002433,"г. Нижнеудинск, ул. Ленина, 51",А 209442 № 10 от 30.11.2011г. по 29.11.2012г.,"1. Нижнеудинский р-н,  п. Вознесенский, ул. Школьная, 15, бар кафе «Фаворит»",,,,,,
40,"ООО ""Волна"" ИНН 3812125802","г. Иркутск, ул. Ракитная, дом 14, офис 10","А 224302 № 13 от 15.05.2012г. по 22.01.2017г., взамен А 224293 № 02 от 23.01.2012г. по 22.01.2017г.","1. отдел в магазине ""Продукты"", расположенный по адресу: г. Нижнеудинск, ул. Горького, 2А-2; 2. отдел в магазине, расположенном по адресу:  г. Нижнеудинск, ул. Профсоюзная, 13; 3. отдел в магазине, расположенный по адресу: п. Замзор, ул. Центральная, 11",,,,,Администрация Усольского района,
